,ENSCINT00000002067_ENSCING00000001100,ENSCINT00000005339_ENSCING00000002624,ENSCSAVT00000010526_ENSCSAVG00000006131,ENSCSAVT00000010536_ENSCSAVG00000006135,ENSCINT00000005021_ENSCING00000002476,ENSCINT00000034689_ENSCING00000020293,ENSCSAVT00000017200_ENSCSAVG00000010014,ENSCINT00000028760_ENSCING00000016460,ENSCINT00000022226_ENSCING00000011527,ENSCINT00000030621_ENSCING00000017923,ENSCINT00000035423_ENSCING00000023741,ENSCINT00000002184_ENSCING00000001160,ENSCSAVT00000011858_ENSCSAVG00000006873,ENSCINT00000031357_ENSCING00000018026,ENSCINT00000012522_ENSCING00000006058,ENSCINT00000037049_ENSCING00000024427,ENSCINT00000030527_ENSCING00000023331,ENSCINT00000035406_ENSCING00000018441,ENSCSAVT00000008387_ENSCSAVG00000004928,ENSCINT00000022066_ENSCING00000011415,ENSCSAVT00000015416_ENSCSAVG00000008945,ENSCINT00000002693_ENSCING00000001384,ENSCSAVT00000010482_ENSCSAVG00000006096,ENSCSAVT00000010483_ENSCSAVG00000006096,ENSCINT00000031816_ENSCING00000023469,ENSCSAVT00000001819_ENSCSAVG00000001040,ENSCINT00000024036_ENSCING00000012836,ENSCSAVT00000005718_ENSCSAVG00000003361,ENSPSIT00000008733_ENSPSIG00000007939,ENSACAT00000001146_ENSACAG00000001227,ENSXETT00000066053_ENSXETG00000031746
ENSCINT00000035423_ENSCING00000023741,0.08,0.13,0.23,0.21,0.23,0.25,0.06,0.05,0.17,0.04,1.0,1e-18,0.16,0.23,0.14,0.09,0.15,0.17,0.03,0.16,0.06,0.07,0.05,0.05,0.04,0.18,0.15,1e-18,1e-18,1e-18,0.04
ENSCINT00000002184_ENSCING00000001160,1e-18,0.13,1e-18,1e-18,0.09,0.06,0.07,1e-18,0.26,1e-18,1e-18,1.0,1e-18,1e-18,0.22,1e-18,1e-18,0.28,0.05,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.07,0.43,0.19,1e-18,0.26
ENSCSAVT00000011858_ENSCSAVG00000006873,0.03,0.13,0.12,0.07,0.26,0.2,0.1,0.09,0.14,0.08,0.16,1e-18,1.0,0.3,0.18,0.07,0.14,0.17,0.15,0.2,0.15,0.22,0.26,0.26,0.12,0.1,0.15,1e-18,1e-18,1e-18,0.07
ENSCINT00000031357_ENSCING00000018026,0.07,0.22,0.24,0.16,0.22,0.16,1e-18,1e-18,0.23,1e-18,0.23,1e-18,0.3,1.0,0.16,0.13,0.23,0.21,0.05,0.16,0.06,0.15,0.18,0.18,0.16,0.1,0.15,1e-18,1e-18,1e-18,1e-18
ENSCINT00000012522_ENSCING00000006058,0.010000000000000002,0.17,0.15,0.08,0.13,0.14,0.09,0.08,0.17,0.08,0.14,0.22,0.18,0.16,1.0,0.07,0.15,0.2,0.14,0.19,0.11,0.13,0.11,0.11,0.04,0.04,0.23,0.11,0.08,1e-18,0.07
ENSCINT00000037049_ENSCING00000024427,0.08,1e-18,1e-18,1e-18,1e-18,1e-18,0.08,0.09,1e-18,0.07,0.09,1e-18,0.07,0.13,0.07,1.0,1e-18,1e-18,1e-18,1e-18,-0.02,0.06,0.09,0.09,0.11,1e-18,1e-18,1e-18,1e-18,1e-18,-0.05
ENSCINT00000030527_ENSCING00000023331,1e-18,0.21,0.11,0.06,0.12,0.14,1e-18,1e-18,0.14,1e-18,0.15,1e-18,0.14,0.23,0.15,1e-18,1.0,0.47,0.19,0.27,0.21,0.08,0.09,0.09,0.15,0.07,0.29,1e-18,1e-18,1e-18,1e-18
ENSCINT00000035406_ENSCING00000018441,1e-18,0.17,0.15,0.11,0.08,0.13,0.15,1e-18,0.19,1e-18,0.17,0.28,0.17,0.21,0.2,1e-18,0.47,1.0,0.03,0.27,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.19,0.11,0.13,1e-18,0.2
ENSCSAVT00000008387_ENSCSAVG00000004928,1e-18,0.03,1e-18,0.04,0.03,0.04,0.04,1e-18,0.04,1e-18,0.03,0.05,0.15,0.05,0.14,1e-18,0.19,0.03,1.0,0.3,0.26,0.2,0.19,0.19,0.1,1e-18,0.03,0.05,0.1,1e-18,0.15
ENSCINT00000022066_ENSCING00000011415,1e-18,0.15,0.12,0.1,0.09,0.16,0.04,1e-18,0.2,1e-18,0.16,0.05,0.2,0.16,0.19,1e-18,0.27,0.27,0.3,1.0,0.45,0.23,0.23,0.23,0.1,0.07,0.29,0.05,0.23,1e-18,0.17
ENSCSAVT00000015416_ENSCSAVG00000008945,0.010000000000000002,1e-18,1e-18,0.06,1e-18,1e-18,0.06,0.07,1e-18,0.12,0.06,1e-18,0.15,0.06,0.11,-0.02,0.21,1e-18,0.26,0.45,1.0,0.24,0.28,0.28,0.23,0.04,1e-18,1e-18,1e-18,1e-18,1e-18
ENSCINT00000002693_ENSCING00000001384,0.1,0.21,1e-18,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.07,1e-18,0.22,0.15,0.13,0.06,0.08,1e-18,0.2,0.23,0.24,1.0,0.46,0.46,0.18,0.16,1e-18,1e-18,1e-18,1e-18,1e-18
ENSCSAVT00000010482_ENSCSAVG00000006096,0.06,1e-18,1e-18,0.02,1e-18,1e-18,0.09,0.08,1e-18,0.15,0.05,1e-18,0.26,0.18,0.11,0.09,0.09,1e-18,0.19,0.23,0.28,0.46,1.0,0.75,0.26,0.14,1e-18,1e-18,1e-18,1e-18,0.06
ENSCSAVT00000010483_ENSCSAVG00000006096,0.06,1e-18,1e-18,0.02,1e-18,1e-18,0.09,0.08,1e-18,0.15,0.05,1e-18,0.26,0.18,0.11,0.09,0.09,1e-18,0.19,0.23,0.28,0.46,0.75,1.0,0.26,0.14,1e-18,1e-18,1e-18,1e-18,0.06
ENSCINT00000031816_ENSCING00000023469,0.02,1e-18,1e-18,0.11,1e-18,1e-18,0.07,0.03,1e-18,0.18,0.04,1e-18,0.12,0.16,0.04,0.11,0.15,1e-18,0.1,0.1,0.23,0.18,0.26,0.26,1.0,0.21,1e-18,1e-18,1e-18,1e-18,0.03
ENSCSAVT00000001819_ENSCSAVG00000001040,1e-18,1e-18,1e-18,0.22,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.18,1e-18,0.1,0.1,0.04,1e-18,0.07,1e-18,1e-18,0.07,0.04,0.16,0.14,0.14,0.21,1.0,1e-18,1e-18,1e-18,1e-18,1e-18
ENSCINT00000024036_ENSCING00000012836,1e-18,0.18,0.1,0.11,0.13,0.16,0.11,1e-18,0.26,1e-18,0.15,0.07,0.15,0.15,0.23,1e-18,0.29,0.19,0.03,0.29,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1.0,0.14,0.05,1e-18,0.04
ENSCSAVT00000005718_ENSCSAVG00000003361,1e-18,0.07,1e-18,1e-18,0.07,0.1,0.09,1e-18,0.1,1e-18,1e-18,0.43,1e-18,1e-18,0.11,1e-18,1e-18,0.11,0.05,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.14,1.0,0.14,1e-18,0.15
ENSPSIT00000008733_ENSPSIG00000007939,1e-18,0.15,1e-18,1e-18,0.11,0.17,0.11,1e-18,0.1,1e-18,1e-18,0.19,1e-18,1e-18,0.08,1e-18,1e-18,0.13,0.1,0.23,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.05,0.14,1.0,0.35,0.29
ENSACAT00000001146_ENSACAG00000001227,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.35,1.0,1e-18
ENSXETT00000066053_ENSXETG00000031746,0.03,0.13,1e-18,1e-18,0.17,0.18,0.1,0.07,0.09,-0.04,0.04,0.26,0.07,1e-18,0.07,-0.05,1e-18,0.2,0.15,0.17,1e-18,1e-18,0.06,0.06,0.03,1e-18,0.04,0.15,0.29,1e-18,1.0
