,ENSMVIT00005011686_ENSMVIG00005007534,ENSMVIT00005011692_ENSMVIG00005007534,ENSLCOT00000013880_ENSLCOG00000009454,ENSCCET00000008373_ENSCCEG00000005571,ENSCCET00000008379_ENSCCEG00000005571,ENSPMJT00000006938_ENSPMJG00000004270,ENSLSDT00000022521_ENSLSDG00000014134,ENSLSDT00000022524_ENSLSDG00000014134,ENSJHYT00000003851_ENSJHYG00000002536,ENSZALT00000008017_ENSZALG00000005013,ENSSCAT00000019952_ENSSCAG00000012927,ENSFALT00000005491_ENSFALG00000005250,ENSCPUT00000004652_ENSCPUG00000002906,ENSCPUT00000004660_ENSCPUG00000002906,ENSCPGT00000015157_ENSCPGG00000009790,ENSCPGT00000015172_ENSCPGG00000009790,ENSMUNT00000008898_ENSMUNG00000006156,ENSABRT00000031445_ENSABRG00000018904,ENSAPLT00000009343_ENSAPLG00000008950,ENSAPLT00000043587_ENSAPLG00000008950,ENSGALT00000006810_ENSGALG00000004285,ENSGALT00000092088_ENSGALG00000004285,ENSCJPT00005001615_ENSCJPG00005001004,ENSMGAT00000004447_ENSMGAG00000003970,ENSNMET00000027040_ENSNMEG00000015941,ENSNMET00000027041_ENSNMEG00000015941,ENSAHAT00000000705_ENSAHAG00000000540,ENSAOWT00000007354_ENSAOWG00000004469,ENSARWT00000002375_ENSARWG00000001556,ENSDNVT00000001153_ENSDNVG00000000718,ENSNPET00000015276_ENSNPEG00000011137,ENSCPRT00005019774_ENSCPRG00005011728,ENSCPRT00005019779_ENSCPRG00005011728,ENSGAGT00000034368_ENSGAGG00000021816,ENSCABT00000029879_ENSCABG00000019968,ENSCPBT00000045461_ENSCPBG00000026775,ENSPSIT00000014204_ENSPSIG00000012689,ENSACAT00000016896_ENSACAG00000016803,ENSPVIT00000039503_ENSPVIG00000023647,ENSPVIT00000039505_ENSPVIG00000023647,ENSPVIT00000039506_ENSPVIG00000023647,ENSNSUT00000021502_ENSNSUG00000014724,ENSSMRT00000008579_ENSSMRG00000005888,ENSSPUT00000019084_ENSSPUG00000013849,ENSPEMT00000017645_ENSPEMG00000013465,ENSMOCT00000015888_ENSMOCG00000012352,ENSMOCT00000015894_ENSMOCG00000012352,ENSCGRT00001018808_ENSCGRG00001015386,ENSCGRT00000002622_ENSCGRG00000001884,ENSCGRT00000002623_ENSCGRG00000001884
ENSSCAT00000019952_ENSSCAG00000012927,0.88,0.97,0.96,0.89,0.98,0.98,0.89,0.98,0.99,0.89,1.0,0.98,0.86,0.95,0.86,0.95,0.95,0.95,0.95,0.88,0.94,0.85,0.94,0.94,0.85,0.78,0.94,0.94,0.95,0.94,0.94,0.91,0.79,0.91,0.91,0.84,0.91,0.88,0.79,0.79,0.88,0.86,0.88,0.88,0.88,0.89,0.45,0.88,0.88,0.44
ENSFALT00000005491_ENSFALG00000005250,0.87,0.96,0.96,0.89,0.98,0.98,0.89,0.98,0.98,0.89,0.98,1.0,0.86,0.95,0.86,0.95,0.95,0.95,0.95,0.87,0.94,0.85,0.94,0.94,0.85,0.78,0.94,0.94,0.94,0.94,0.93,0.91,0.79,0.91,0.91,0.84,0.91,0.88,0.79,0.79,0.88,0.86,0.87,0.88,0.89,0.89,0.45,0.88,0.88,0.44
ENSCPUT00000004652_ENSCPUG00000002906,0.97,0.88,0.88,0.96,0.87,0.87,0.96,0.86,0.86,0.95,0.86,0.86,1.0,0.91,0.99,0.9,0.87,0.87,0.87,0.8,0.87,0.96,0.86,0.87,0.96,0.8,0.87,0.87,0.87,0.87,0.86,0.83,0.8,0.84,0.83,0.85,0.83,0.79,0.88,0.79,0.79,0.77,0.79,0.8,0.79,0.79,0.48,0.79,0.79,0.48
ENSCPUT00000004660_ENSCPUG00000002906,0.88,0.97,0.97,0.87,0.96,0.96,0.86,0.95,0.95,0.86,0.95,0.95,0.91,1.0,0.9,0.99,0.97,0.96,0.96,0.89,0.96,0.87,0.96,0.96,0.86,0.8,0.96,0.96,0.96,0.96,0.95,0.92,0.8,0.93,0.93,0.85,0.92,0.89,0.79,0.79,0.88,0.87,0.88,0.89,0.88,0.87,0.45,0.87,0.87,0.44
ENSCPGT00000015157_ENSCPGG00000009790,0.97,0.88,0.87,0.96,0.87,0.87,0.95,0.86,0.85,0.94,0.86,0.86,0.99,0.9,1.0,0.91,0.87,0.87,0.87,0.8,0.87,0.96,0.87,0.87,0.96,0.8,0.87,0.87,0.87,0.87,0.86,0.83,0.8,0.84,0.83,0.85,0.83,0.79,0.88,0.79,0.79,0.78,0.79,0.8,0.79,0.79,0.48,0.79,0.79,0.49
ENSCPGT00000015172_ENSCPGG00000009790,0.88,0.97,0.96,0.87,0.96,0.96,0.86,0.95,0.94,0.85,0.95,0.95,0.9,0.99,0.91,1.0,0.97,0.97,0.96,0.89,0.96,0.87,0.96,0.96,0.86,0.8,0.96,0.96,0.96,0.96,0.95,0.92,0.8,0.93,0.92,0.85,0.92,0.89,0.79,0.79,0.88,0.87,0.89,0.89,0.88,0.87,0.45,0.87,0.87,0.45
ENSMUNT00000008898_ENSMUNG00000006156,0.87,0.96,0.96,0.87,0.96,0.96,0.86,0.95,0.95,0.86,0.95,0.95,0.87,0.97,0.87,0.97,1.0,0.96,0.96,0.89,0.96,0.87,0.96,0.96,0.87,0.8,0.96,0.96,0.96,0.96,0.95,0.92,0.8,0.93,0.92,0.85,0.92,0.89,0.8,0.8,0.89,0.87,0.89,0.89,0.88,0.88,0.45,0.87,0.87,0.45
ENSABRT00000031445_ENSABRG00000018904,0.87,0.96,0.96,0.86,0.95,0.95,0.86,0.95,0.95,0.86,0.95,0.95,0.87,0.96,0.87,0.97,0.96,1.0,0.98,0.91,0.97,0.88,0.96,0.97,0.87,0.81,0.96,0.96,0.96,0.96,0.95,0.92,0.8,0.92,0.92,0.84,0.92,0.88,0.79,0.79,0.89,0.87,0.88,0.89,0.87,0.88,0.46,0.87,0.87,0.45
ENSAPLT00000009343_ENSAPLG00000008950,0.87,0.96,0.96,0.86,0.95,0.95,0.86,0.95,0.95,0.86,0.95,0.95,0.87,0.96,0.87,0.96,0.96,0.98,1.0,0.93,0.97,0.88,0.96,0.96,0.87,0.8,0.96,0.96,0.96,0.96,0.95,0.92,0.8,0.92,0.92,0.84,0.92,0.89,0.79,0.79,0.89,0.87,0.89,0.89,0.87,0.88,0.46,0.87,0.87,0.45
ENSAPLT00000043587_ENSAPLG00000008950,0.8,0.88,0.88,0.79,0.88,0.88,0.79,0.88,0.87,0.79,0.88,0.87,0.8,0.89,0.8,0.89,0.89,0.91,0.93,1.0,0.89,0.81,0.89,0.88,0.8,0.74,0.89,0.89,0.89,0.89,0.88,0.85,0.74,0.85,0.85,0.77,0.84,0.81,0.73,0.73,0.81,0.8,0.81,0.82,0.8,0.8,0.47,0.8,0.8,0.46
ENSGALT00000006810_ENSGALG00000004285,0.87,0.96,0.96,0.86,0.95,0.95,0.86,0.95,0.95,0.85,0.94,0.94,0.87,0.96,0.87,0.96,0.96,0.97,0.97,0.89,1.0,0.91,0.98,0.98,0.89,0.83,0.96,0.96,0.96,0.96,0.95,0.91,0.8,0.92,0.92,0.84,0.92,0.88,0.79,0.79,0.88,0.86,0.88,0.89,0.88,0.88,0.47,0.87,0.87,0.46
ENSGALT00000092088_ENSGALG00000004285,0.96,0.87,0.87,0.95,0.86,0.86,0.95,0.86,0.86,0.95,0.85,0.85,0.96,0.87,0.96,0.87,0.87,0.88,0.88,0.81,0.91,1.0,0.89,0.89,0.98,0.83,0.87,0.87,0.87,0.87,0.86,0.82,0.8,0.83,0.83,0.84,0.82,0.79,0.88,0.79,0.79,0.77,0.79,0.8,0.79,0.79,0.5,0.78,0.78,0.5
ENSCJPT00005001615_ENSCJPG00005001004,0.86,0.96,0.95,0.86,0.95,0.95,0.85,0.94,0.94,0.85,0.94,0.94,0.86,0.96,0.87,0.96,0.96,0.96,0.96,0.89,0.98,0.89,1.0,0.98,0.89,0.82,0.96,0.96,0.96,0.96,0.95,0.92,0.8,0.92,0.92,0.84,0.92,0.88,0.79,0.79,0.89,0.87,0.89,0.89,0.88,0.88,0.46,0.88,0.88,0.47
ENSMGAT00000004447_ENSMGAG00000003970,0.86,0.95,0.95,0.86,0.95,0.95,0.85,0.95,0.94,0.85,0.94,0.94,0.87,0.96,0.87,0.96,0.96,0.97,0.96,0.88,0.98,0.89,0.98,1.0,0.89,0.82,0.95,0.95,0.95,0.96,0.95,0.91,0.8,0.92,0.92,0.84,0.92,0.88,0.79,0.79,0.88,0.87,0.88,0.89,0.87,0.87,0.46,0.87,0.87,0.46
ENSNMET00000027040_ENSNMEG00000015941,0.95,0.86,0.86,0.95,0.86,0.86,0.95,0.85,0.85,0.94,0.85,0.85,0.96,0.86,0.96,0.86,0.87,0.87,0.87,0.8,0.89,0.98,0.89,0.89,1.0,0.84,0.86,0.86,0.86,0.87,0.86,0.83,0.8,0.83,0.83,0.85,0.82,0.79,0.88,0.79,0.79,0.78,0.79,0.8,0.79,0.79,0.49,0.78,0.78,0.49
ENSNMET00000027041_ENSNMEG00000015941,0.79,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.78,0.78,0.8,0.8,0.8,0.8,0.8,0.81,0.8,0.74,0.83,0.83,0.82,0.82,0.84,1.0,0.8,0.8,0.8,0.8,0.79,0.75,0.75,0.76,0.76,0.79,0.75,0.72,0.72,0.72,0.72,0.71,0.72,0.74,0.71,0.72,0.42,0.71,0.71,0.41
ENSAHAT00000000705_ENSAHAG00000000540,0.87,0.95,0.95,0.86,0.95,0.95,0.86,0.95,0.94,0.85,0.94,0.94,0.87,0.96,0.87,0.96,0.96,0.96,0.96,0.89,0.96,0.87,0.96,0.95,0.86,0.8,1.0,1.0,1.0,0.98,0.97,0.92,0.8,0.93,0.93,0.86,0.92,0.89,0.8,0.8,0.89,0.87,0.89,0.89,0.88,0.88,0.46,0.87,0.87,0.46
ENSAOWT00000007354_ENSAOWG00000004469,0.87,0.95,0.95,0.86,0.95,0.95,0.86,0.95,0.94,0.85,0.94,0.94,0.87,0.96,0.87,0.96,0.96,0.96,0.96,0.89,0.96,0.87,0.96,0.95,0.86,0.8,1.0,1.0,1.0,0.98,0.96,0.92,0.8,0.93,0.93,0.85,0.92,0.89,0.8,0.8,0.89,0.87,0.89,0.89,0.88,0.88,0.46,0.87,0.87,0.46
ENSARWT00000002375_ENSARWG00000001556,0.87,0.96,0.95,0.86,0.95,0.95,0.86,0.95,0.94,0.85,0.95,0.94,0.87,0.96,0.87,0.96,0.96,0.96,0.96,0.89,0.96,0.87,0.96,0.95,0.86,0.8,1.0,1.0,1.0,0.98,0.97,0.92,0.81,0.93,0.93,0.86,0.92,0.89,0.8,0.8,0.89,0.88,0.89,0.89,0.88,0.88,0.46,0.87,0.87,0.46
ENSDNVT00000001153_ENSDNVG00000000718,0.86,0.95,0.95,0.86,0.95,0.95,0.85,0.95,0.94,0.85,0.94,0.94,0.87,0.96,0.87,0.96,0.96,0.96,0.96,0.89,0.96,0.87,0.96,0.96,0.87,0.8,0.98,0.98,0.98,1.0,0.96,0.92,0.8,0.93,0.92,0.85,0.92,0.89,0.8,0.8,0.89,0.88,0.89,0.89,0.87,0.87,0.46,0.87,0.87,0.46
ENSNPET00000015276_ENSNPEG00000011137,0.85,0.94,0.94,0.85,0.94,0.94,0.85,0.94,0.93,0.84,0.94,0.93,0.86,0.95,0.86,0.95,0.95,0.95,0.95,0.88,0.95,0.86,0.95,0.95,0.86,0.79,0.97,0.96,0.97,0.96,1.0,0.91,0.79,0.92,0.92,0.84,0.91,0.88,0.79,0.79,0.88,0.86,0.88,0.89,0.87,0.88,0.46,0.87,0.87,0.46
ENSCPRT00005019774_ENSCPRG00005011728,0.82,0.91,0.91,0.82,0.91,0.91,0.82,0.91,0.91,0.82,0.91,0.91,0.83,0.92,0.83,0.92,0.92,0.92,0.92,0.85,0.91,0.82,0.92,0.91,0.83,0.75,0.92,0.92,0.92,0.92,0.91,1.0,0.89,0.93,0.93,0.86,0.93,0.9,0.8,0.8,0.89,0.88,0.89,0.89,0.87,0.87,0.45,0.86,0.86,0.46
ENSCPRT00005019779_ENSCPRG00005011728,0.8,0.8,0.8,0.79,0.79,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.74,0.8,0.8,0.8,0.8,0.8,0.75,0.8,0.8,0.81,0.8,0.79,0.89,1.0,0.82,0.82,0.84,0.81,0.78,0.77,0.77,0.77,0.76,0.77,0.78,0.75,0.76,0.43,0.75,0.75,0.44
ENSGAGT00000034368_ENSGAGG00000021816,0.83,0.92,0.92,0.83,0.92,0.92,0.83,0.92,0.91,0.82,0.91,0.91,0.84,0.93,0.84,0.93,0.93,0.92,0.92,0.85,0.92,0.83,0.92,0.92,0.83,0.76,0.93,0.93,0.93,0.93,0.92,0.93,0.82,1.0,0.99,0.91,0.96,0.9,0.8,0.8,0.9,0.88,0.9,0.9,0.87,0.87,0.43,0.87,0.87,0.44
ENSCABT00000029879_ENSCABG00000019968,0.83,0.92,0.92,0.82,0.92,0.92,0.83,0.92,0.91,0.82,0.91,0.91,0.83,0.93,0.83,0.92,0.92,0.92,0.92,0.85,0.92,0.83,0.92,0.92,0.83,0.76,0.93,0.93,0.93,0.92,0.92,0.93,0.82,0.99,1.0,0.91,0.96,0.9,0.81,0.81,0.9,0.88,0.9,0.9,0.87,0.87,0.43,0.87,0.87,0.44
ENSCPBT00000045461_ENSCPBG00000026775,0.85,0.85,0.85,0.84,0.84,0.85,0.84,0.84,0.84,0.84,0.84,0.84,0.85,0.85,0.85,0.85,0.85,0.84,0.84,0.77,0.84,0.84,0.84,0.84,0.85,0.79,0.86,0.85,0.86,0.85,0.84,0.86,0.84,0.91,0.91,1.0,0.89,0.82,0.82,0.82,0.82,0.81,0.82,0.83,0.8,0.8,0.43,0.79,0.79,0.43
ENSPSIT00000014204_ENSPSIG00000012689,0.82,0.92,0.92,0.82,0.91,0.91,0.82,0.91,0.91,0.82,0.91,0.91,0.83,0.92,0.83,0.92,0.92,0.92,0.92,0.84,0.92,0.82,0.92,0.92,0.82,0.75,0.92,0.92,0.92,0.92,0.91,0.93,0.81,0.96,0.96,0.89,1.0,0.89,0.8,0.8,0.89,0.87,0.89,0.9,0.86,0.87,0.43,0.86,0.86,0.43
ENSACAT00000016896_ENSACAG00000016803,0.79,0.89,0.88,0.79,0.88,0.88,0.79,0.88,0.88,0.78,0.88,0.88,0.79,0.89,0.79,0.89,0.89,0.88,0.89,0.81,0.88,0.79,0.88,0.88,0.79,0.72,0.89,0.89,0.89,0.89,0.88,0.9,0.78,0.9,0.9,0.82,0.89,1.0,0.84,0.84,0.93,0.91,0.93,0.87,0.85,0.85,0.41,0.85,0.85,0.42
ENSPVIT00000039503_ENSPVIG00000023647,0.88,0.79,0.79,0.88,0.79,0.79,0.89,0.79,0.79,0.88,0.79,0.79,0.88,0.79,0.88,0.79,0.8,0.79,0.79,0.73,0.79,0.88,0.79,0.79,0.88,0.72,0.8,0.8,0.8,0.8,0.79,0.8,0.77,0.8,0.81,0.82,0.8,0.84,1.0,0.91,0.91,0.82,0.84,0.78,0.76,0.77,0.46,0.76,0.76,0.47
ENSPVIT00000039505_ENSPVIG00000023647,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.8,0.79,0.79,0.73,0.79,0.79,0.79,0.79,0.79,0.72,0.8,0.8,0.8,0.8,0.79,0.8,0.77,0.8,0.81,0.82,0.8,0.84,0.91,1.0,0.91,0.82,0.84,0.78,0.76,0.77,0.43,0.76,0.76,0.44
ENSPVIT00000039506_ENSPVIG00000023647,0.79,0.89,0.89,0.79,0.88,0.89,0.79,0.88,0.88,0.79,0.88,0.88,0.79,0.88,0.79,0.88,0.89,0.89,0.89,0.81,0.88,0.79,0.89,0.88,0.79,0.72,0.89,0.89,0.89,0.89,0.88,0.89,0.77,0.9,0.9,0.82,0.89,0.93,0.91,0.91,1.0,0.91,0.93,0.87,0.85,0.85,0.43,0.85,0.85,0.44
ENSNSUT00000021502_ENSNSUG00000014724,0.78,0.87,0.87,0.77,0.86,0.86,0.77,0.86,0.86,0.77,0.86,0.86,0.77,0.87,0.78,0.87,0.87,0.87,0.87,0.8,0.86,0.77,0.87,0.87,0.78,0.71,0.87,0.87,0.88,0.88,0.86,0.88,0.76,0.88,0.88,0.81,0.87,0.91,0.82,0.82,0.91,1.0,0.92,0.85,0.84,0.84,0.4,0.84,0.84,0.41
ENSSMRT00000008579_ENSSMRG00000005888,0.79,0.89,0.88,0.78,0.88,0.88,0.79,0.88,0.88,0.79,0.88,0.87,0.79,0.88,0.79,0.89,0.89,0.88,0.89,0.81,0.88,0.79,0.89,0.88,0.79,0.72,0.89,0.89,0.89,0.89,0.88,0.89,0.77,0.9,0.9,0.82,0.89,0.93,0.84,0.84,0.93,0.92,1.0,0.88,0.85,0.85,0.43,0.85,0.85,0.44
ENSSPUT00000019084_ENSSPUG00000013849,0.79,0.89,0.88,0.79,0.88,0.89,0.79,0.88,0.88,0.79,0.88,0.88,0.8,0.89,0.8,0.89,0.89,0.89,0.89,0.82,0.89,0.8,0.89,0.89,0.8,0.74,0.89,0.89,0.89,0.89,0.89,0.89,0.78,0.9,0.9,0.83,0.9,0.87,0.78,0.78,0.87,0.85,0.88,1.0,0.84,0.84,0.45,0.84,0.84,0.44
ENSPEMT00000017645_ENSPEMG00000013465,0.79,0.88,0.88,0.79,0.88,0.88,0.79,0.88,0.89,0.79,0.88,0.89,0.79,0.88,0.79,0.88,0.88,0.87,0.87,0.8,0.88,0.79,0.88,0.87,0.79,0.71,0.88,0.88,0.88,0.87,0.87,0.87,0.75,0.87,0.87,0.8,0.86,0.85,0.76,0.76,0.85,0.84,0.85,0.84,1.0,0.97,0.53,0.97,0.97,0.54
ENSMOCT00000015888_ENSMOCG00000012352,0.8,0.89,0.89,0.79,0.88,0.88,0.8,0.89,0.89,0.8,0.89,0.89,0.79,0.87,0.79,0.87,0.88,0.88,0.88,0.8,0.88,0.79,0.88,0.87,0.79,0.72,0.88,0.88,0.88,0.87,0.88,0.87,0.76,0.87,0.87,0.8,0.87,0.85,0.77,0.77,0.85,0.84,0.85,0.84,0.97,1.0,0.57,0.96,0.96,0.53
ENSMOCT00000015894_ENSMOCG00000012352,0.49,0.46,0.46,0.48,0.45,0.45,0.49,0.45,0.46,0.49,0.45,0.45,0.48,0.45,0.48,0.45,0.45,0.46,0.46,0.47,0.47,0.5,0.46,0.46,0.49,0.42,0.46,0.46,0.46,0.46,0.46,0.45,0.43,0.43,0.43,0.43,0.43,0.41,0.46,0.43,0.43,0.4,0.43,0.45,0.53,0.57,1.0,0.53,0.53,0.88
ENSCGRT00001018808_ENSCGRG00001015386,0.79,0.88,0.88,0.79,0.88,0.88,0.79,0.88,0.88,0.79,0.88,0.88,0.79,0.87,0.79,0.87,0.87,0.87,0.87,0.8,0.87,0.78,0.88,0.87,0.78,0.71,0.87,0.87,0.87,0.87,0.87,0.86,0.75,0.87,0.87,0.79,0.86,0.85,0.76,0.76,0.85,0.84,0.85,0.84,0.97,0.96,0.53,1.0,1.0,0.57
ENSCGRT00000002622_ENSCGRG00000001884,0.79,0.88,0.88,0.79,0.88,0.88,0.79,0.88,0.88,0.79,0.88,0.88,0.79,0.87,0.79,0.87,0.87,0.87,0.87,0.8,0.87,0.78,0.88,0.87,0.78,0.71,0.87,0.87,0.87,0.87,0.87,0.86,0.75,0.87,0.87,0.79,0.86,0.85,0.76,0.76,0.85,0.84,0.85,0.84,0.97,0.96,0.53,1.0,1.0,0.57
ENSCGRT00000002623_ENSCGRG00000001884,0.49,0.46,0.46,0.49,0.45,0.45,0.49,0.45,0.45,0.49,0.44,0.44,0.48,0.44,0.49,0.45,0.45,0.45,0.45,0.46,0.46,0.5,0.47,0.46,0.49,0.41,0.46,0.46,0.46,0.46,0.46,0.46,0.44,0.44,0.44,0.43,0.43,0.42,0.47,0.44,0.44,0.41,0.44,0.44,0.54,0.53,0.88,0.57,0.57,1.0
