,ENSEEET00000050881_ENSEEEG00000023664,ENSPNAT00000003820_ENSPNAG00000002201,ENSDCDT00000017503_ENSDCDG00000009470,ENSHHUT00000042362_ENSHHUG00000025217,ENSHHUT00000024305_ENSHHUG00000014691,ENSHHUT00000024308_ENSHHUG00000014691,ENSELUT00000034488_ENSELUG00000022198,ENSELUT00000042642_ENSELUG00000022198,ENSLCRT00005066357_ENSLCRG00005023831,ENSCGOT00000041530_ENSCGOG00000017757,ENSCSET00000007843_ENSCSEG00000005001,ENSCSET00000007847_ENSCSEG00000005001,ENSCSET00000007850_ENSCSEG00000005001,ENSMAMT00000031789_ENSMAMG00000020872,ENSMALT00000031329_ENSMALG00000021273,ENSATET00000011724_ENSATEG00000008066,ENSBSLT00000002544_ENSBSLG00000001213,ENSBSLT00000002548_ENSBSLG00000001213,ENSLBET00000012723_ENSLBEG00000009287,ENSLBET00000012737_ENSLBEG00000009287,ENSLBET00000012761_ENSLBEG00000009287,ENSLBET00000012790_ENSLBEG00000009287,ENSLBET00000012818_ENSLBEG00000009287,ENSSDUT00000012158_ENSSDUG00000008688
ENSCSET00000007843_ENSCSEG00000005001,0.6,0.41,0.44,0.53,0.55,0.56,0.54,0.54,0.67,0.67,1.0,0.83,0.83,0.63,0.66,0.64,0.65,0.65,0.61,0.6,0.61,0.63,0.64,0.66
ENSCSET00000007847_ENSCSEG00000005001,0.6,0.41,0.51,0.53,0.6,0.63,0.61,0.61,0.73,0.73,0.83,1.0,0.83,0.68,0.7,0.64,0.72,0.65,0.61,0.6,0.61,0.63,0.64,0.73
ENSCSET00000007850_ENSCSEG00000005001,0.6,0.41,0.44,0.53,0.55,0.56,0.54,0.54,0.67,0.67,0.83,0.83,1.0,0.63,0.66,0.64,0.65,0.65,0.61,0.6,0.61,0.63,0.64,0.66
ENSMAMT00000031789_ENSMAMG00000020872,0.65,0.46,0.47,0.62,0.6,0.61,0.59,0.59,0.75,0.75,0.63,0.68,0.63,1.0,0.73,0.75,0.73,0.68,0.7,0.68,0.69,0.72,0.75,0.74
ENSMALT00000031329_ENSMALG00000021273,0.62,0.42,0.49,0.55,0.65,0.62,0.6,0.6,0.77,0.76,0.66,0.7,0.66,0.73,1.0,0.7,0.74,0.78,0.66,0.64,0.66,0.68,0.69,0.75
ENSATET00000011724_ENSATEG00000008066,0.65,0.46,0.43,0.66,0.55,0.55,0.53,0.53,0.7,0.7,0.64,0.64,0.64,0.75,0.7,1.0,0.7,0.7,0.71,0.69,0.7,0.74,0.79,0.69
ENSBSLT00000002544_ENSBSLG00000001213,0.66,0.42,0.53,0.58,0.64,0.67,0.65,0.65,0.79,0.79,0.65,0.72,0.65,0.73,0.74,0.7,1.0,0.83,0.66,0.64,0.66,0.67,0.68,0.8
ENSBSLT00000002548_ENSBSLG00000001213,0.66,0.42,0.47,0.58,0.64,0.61,0.59,0.59,0.72,0.72,0.65,0.65,0.65,0.68,0.78,0.7,0.83,1.0,0.66,0.64,0.66,0.67,0.68,0.73
ENSLBET00000012723_ENSLBEG00000009287,0.03,0.4,0.42,0.59,0.55,0.55,0.52,0.52,0.7,0.69,0.61,0.61,0.61,0.7,0.66,0.71,0.66,0.66,1.0,0.83,0.82,0.83,0.85,0.67
ENSLBET00000012737_ENSLBEG00000009287,0.03,0.4,0.41,0.57,0.52,0.52,0.5,0.5,0.68,0.67,0.6,0.6,0.6,0.68,0.64,0.69,0.64,0.64,0.83,1.0,0.8,0.81,0.82,0.66
ENSLBET00000012761_ENSLBEG00000009287,0.02,0.38,0.41,0.57,0.54,0.54,0.52,0.52,0.7,0.69,0.61,0.61,0.61,0.69,0.66,0.7,0.66,0.66,0.82,0.8,1.0,0.82,0.83,0.67
ENSLBET00000012790_ENSLBEG00000009287,0.66,0.43,0.43,0.61,0.56,0.56,0.54,0.54,0.71,0.71,0.63,0.63,0.63,0.72,0.68,0.74,0.67,0.67,0.83,0.81,0.82,1.0,0.85,0.69
ENSLBET00000012818_ENSLBEG00000009287,0.67,0.45,0.44,0.66,0.56,0.56,0.54,0.54,0.71,0.71,0.64,0.64,0.64,0.75,0.69,0.79,0.68,0.68,0.85,0.82,0.83,0.85,1.0,0.69
ENSSDUT00000012158_ENSSDUG00000008688,0.63,0.41,0.53,0.59,0.65,0.69,0.67,0.67,0.81,0.81,0.66,0.73,0.66,0.74,0.75,0.69,0.8,0.73,0.67,0.66,0.67,0.69,0.69,1.0
