,ENSHHUT00000012419_ENSHHUG00000007362,ENSPKIT00000039748_ENSPKIG00000002053,ENSECRT00000015671_ENSECRG00000010275,ENSDCDT00000032702_ENSDCDG00000018262,ENSDCDT00000032878_ENSDCDG00000018262,ENSDCDT00000032899_ENSDCDG00000018262,ENSDCDT00000033241_ENSDCDG00000018262,ENSDCDT00000033352_ENSDCDG00000018262,ENSDCDT00000033353_ENSDCDG00000018262,ENSDCDT00000033387_ENSDCDG00000018262,ENSDCDT00000033391_ENSDCDG00000018262,ENSDCDT00000036979_ENSDCDG00000020168,ENSDCDT00000036980_ENSDCDG00000020168,ENSDCDT00000037034_ENSDCDG00000020168,ENSDCDT00000037108_ENSDCDG00000020168,ENSDCDT00000037171_ENSDCDG00000020168,ENSDCDT00000037172_ENSDCDG00000020168,ENSDCDT00000037193_ENSDCDG00000020168,ENSDCDT00000022111_ENSDCDG00000012757,ENSDCDT00000022133_ENSDCDG00000012757,ENSDCDT00000022291_ENSDCDG00000012757,ENSDCDT00000022317_ENSDCDG00000012757,ENSDCDT00000022327_ENSDCDG00000012757,ENSDCDT00000022354_ENSDCDG00000012757,ENSDCDT00000022358_ENSDCDG00000012757,ENSDCDT00000022366_ENSDCDG00000012757,ENSDCDT00000022385_ENSDCDG00000012757,ENSCHAT00000001924_ENSCHAG00000001231
ENSDCDT00000033391_ENSDCDG00000018262,0.6,0.55,0.52,0.84,0.84,0.84,0.85,0.85,0.86,0.85,1.0,0.82,0.82,0.86,0.85,0.83,0.86,0.86,0.84,0.84,0.85,0.83,0.85,0.83,0.86,0.85,0.86,0.6
ENSDCDT00000036979_ENSDCDG00000020168,0.62,0.54,0.43,0.83,0.9,0.84,0.85,0.83,0.82,0.85,0.82,1.0,0.89,0.84,0.84,0.82,0.82,0.82,0.9,0.85,0.84,0.82,0.82,0.81,0.82,0.85,0.82,0.6
ENSDCDT00000036980_ENSDCDG00000020168,0.62,0.53,0.47,0.82,0.85,0.82,0.82,0.82,0.82,0.9,0.82,0.89,1.0,0.84,0.82,0.81,0.83,0.83,0.85,0.82,0.82,0.81,0.82,0.81,0.83,0.9,0.83,0.6
ENSDCDT00000037034_ENSDCDG00000020168,0.62,0.56,0.46,0.82,0.82,0.82,0.83,0.83,0.84,0.83,0.86,0.84,0.84,1.0,0.83,0.82,0.84,0.84,0.83,0.83,0.83,0.82,0.83,0.81,0.84,0.83,0.84,0.6
ENSDCDT00000037108_ENSDCDG00000020168,0.63,0.54,0.45,0.84,0.85,0.85,0.86,0.86,0.85,0.84,0.85,0.84,0.82,0.83,1.0,0.85,0.85,0.85,0.86,0.86,0.92,0.85,0.84,0.82,0.85,0.84,0.85,0.63
ENSDCDT00000037171_ENSDCDG00000020168,0.64,0.54,0.46,0.83,0.84,0.84,0.84,0.84,0.83,0.82,0.83,0.82,0.81,0.82,0.85,1.0,0.83,0.83,0.84,0.84,0.85,0.92,0.83,0.84,0.83,0.83,0.83,0.63
ENSDCDT00000037172_ENSDCDG00000020168,0.64,0.54,0.48,0.83,0.84,0.84,0.85,0.85,0.9,0.85,0.86,0.82,0.83,0.84,0.85,0.83,1.0,0.86,0.84,0.84,0.85,0.83,0.88,0.85,0.9,0.85,0.86,0.61
ENSDCDT00000037193_ENSDCDG00000020168,0.64,0.54,0.48,0.83,0.84,0.84,0.85,0.85,0.86,0.85,0.86,0.82,0.83,0.84,0.85,0.83,0.86,1.0,0.84,0.84,0.85,0.83,0.85,0.83,0.86,0.85,0.86,0.61
ENSDCDT00000022111_ENSDCDG00000012757,0.59,0.53,0.45,0.84,0.93,0.87,0.88,0.85,0.84,0.87,0.84,0.9,0.85,0.83,0.86,0.84,0.84,0.84,1.0,0.87,0.86,0.84,0.84,0.82,0.84,0.87,0.84,0.61
ENSDCDT00000022133_ENSDCDG00000012757,0.59,0.53,0.45,0.86,0.87,0.93,0.9,0.85,0.84,0.84,0.84,0.85,0.82,0.83,0.86,0.84,0.84,0.84,0.87,1.0,0.86,0.84,0.84,0.82,0.84,0.84,0.84,0.61
ENSDCDT00000022291_ENSDCDG00000012757,0.6,0.53,0.44,0.84,0.85,0.85,0.86,0.86,0.85,0.84,0.85,0.84,0.82,0.83,0.92,0.85,0.85,0.85,0.86,0.86,1.0,0.85,0.84,0.82,0.85,0.84,0.85,0.61
ENSDCDT00000022317_ENSDCDG00000012757,0.6,0.52,0.45,0.83,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.82,0.81,0.82,0.85,0.92,0.83,0.83,0.84,0.84,0.85,1.0,0.83,0.84,0.83,0.83,0.83,0.6
ENSDCDT00000022327_ENSDCDG00000012757,0.6,0.53,0.46,0.83,0.84,0.84,0.84,0.84,0.88,0.84,0.85,0.82,0.82,0.83,0.84,0.83,0.88,0.85,0.84,0.84,0.84,0.83,1.0,0.9,0.88,0.84,0.85,0.58
ENSDCDT00000022354_ENSDCDG00000012757,0.59,0.54,0.5,0.82,0.82,0.82,0.82,0.82,0.85,0.82,0.83,0.81,0.81,0.81,0.82,0.84,0.85,0.83,0.82,0.82,0.82,0.84,0.9,1.0,0.85,0.82,0.83,0.59
ENSDCDT00000022358_ENSDCDG00000012757,0.6,0.53,0.47,0.84,0.84,0.84,0.85,0.85,0.9,0.85,0.86,0.82,0.83,0.84,0.85,0.83,0.9,0.86,0.84,0.84,0.85,0.83,0.88,0.85,1.0,0.85,0.86,0.59
ENSDCDT00000022366_ENSDCDG00000012757,0.6,0.51,0.48,0.83,0.87,0.84,0.84,0.84,0.85,0.94,0.85,0.85,0.9,0.83,0.84,0.83,0.85,0.85,0.87,0.84,0.84,0.83,0.84,0.82,0.85,1.0,0.85,0.58
ENSDCDT00000022385_ENSDCDG00000012757,0.6,0.53,0.47,0.84,0.84,0.84,0.85,0.85,0.86,0.85,0.86,0.82,0.83,0.84,0.85,0.83,0.86,0.86,0.84,0.84,0.85,0.83,0.85,0.83,0.86,0.85,1.0,0.59
ENSCHAT00000001924_ENSCHAG00000001231,0.59,0.54,0.45,0.58,0.61,0.61,0.61,0.61,0.59,0.59,0.6,0.6,0.6,0.6,0.63,0.63,0.61,0.61,0.61,0.61,0.61,0.6,0.58,0.59,0.59,0.58,0.59,1.0
