,ENSCHAT00000037412_ENSCHAG00000015895,ENSCHAT00000037469_ENSCHAG00000015895,ENSCHAT00000037487_ENSCHAG00000015895,ENSCHAT00000037534_ENSCHAG00000015895,ENSCHAT00000037555_ENSCHAG00000015895,ENSCHAT00000037574_ENSCHAG00000015895,ENSCHAT00000037617_ENSCHAG00000015895,ENSDCDT00000005522_ENSDCDG00000002175,ENSDCDT00000005523_ENSDCDG00000002175,ENSDCDT00000005525_ENSDCDG00000002175,ENSDCDT00000005620_ENSDCDG00000002175,ENSDCDT00000005631_ENSDCDG00000002175,ENSDCDT00000005721_ENSDCDG00000002175,ENSDCDT00000005727_ENSDCDG00000002175,ENSDCDT00000005740_ENSDCDG00000002175,ENSIPUT00000009131_ENSIPUG00000005883,ENSIPUT00000009170_ENSIPUG00000005883,ENSIPUT00000009238_ENSIPUG00000005883,ENSEEET00000030884_ENSEEEG00000014385,ENSEEET00000030886_ENSEEEG00000014385,ENSEEET00000030891_ENSEEEG00000014385,ENSEEET00000030893_ENSEEEG00000014385,ENSEEET00000030897_ENSEEEG00000014385,ENSEEET00000030906_ENSEEEG00000014385,ENSEEET00000030907_ENSEEEG00000014385,ENSEEET00000030915_ENSEEEG00000014385,ENSEEET00000030917_ENSEEEG00000014385,ENSPNAT00000001582_ENSPNAG00000002774,ENSPNAT00000001776_ENSPNAG00000002774,ENSPNAT00000001795_ENSPNAG00000002774,ENSAMXT00000053473_ENSAMXG00000036737,ENSDART00000100351_ENSDARG00000033444,ENSDCDT00000000262_ENSDCDG00000000138,ENSHHUT00000006467_ENSHHUG00000003681,ENSHHUT00000006504_ENSHHUG00000003681,ENSHHUT00000006508_ENSHHUG00000003681,ENSHHUT00000006540_ENSHHUG00000003681,ENSHHUT00000026718_ENSHHUG00000015298,ENSHHUT00000026722_ENSHHUG00000015298,ENSHHUT00000026753_ENSHHUG00000015298,ENSHHUT00000026758_ENSHHUG00000015298,ENSHHUT00000026772_ENSHHUG00000015298,ENSHHUT00000026821_ENSHHUG00000015298,ENSELUT00000014767_ENSELUG00000004292,ENSSFOT00015032343_ENSSFOG00015020483,ENSSFOT00015032397_ENSSFOG00015020483,ENSPKIT00000018758_ENSPKIG00000015828,ENSCHAT00000059377_ENSCHAG00000024900,ENSCHAT00000059402_ENSCHAG00000024900,ENSDCDT00000050807_ENSDCDG00000025599,ENSDCDT00000050870_ENSDCDG00000025599,ENSDCDT00000050871_ENSDCDG00000025599,ENSDCDT00000050876_ENSDCDG00000025599,ENSDCDT00000050895_ENSDCDG00000025599,ENSDCDT00000051148_ENSDCDG00000025599,ENSDCDT00000051155_ENSDCDG00000025599,ENSAMXT00000056966_ENSAMXG00000006652,ENSAMXT00000006982_ENSAMXG00000006652,ENSAMXT00000051381_ENSAMXG00000006652,ENSAMXT00000006973_ENSAMXG00000006652
ENSDART00000100351_ENSDARG00000033444,0.65,0.63,0.61,0.65,0.65,0.63,0.64,0.61,0.6,0.63,0.62,0.62,0.6,0.6,0.61,0.7,0.69,0.68,0.68,0.67,0.65,0.65,0.66,0.66,0.66,0.65,0.66,0.63,0.68,0.63,0.6,1.0,0.38,0.67,0.64,0.63,0.64,0.65,0.66,0.65,0.65,0.65,0.64,0.67,0.63,0.62,0.61,0.58,0.58,0.63,0.63,0.64,0.63,0.64,0.61,0.62,0.63,0.64,0.63,0.61
ENSDCDT00000000262_ENSDCDG00000000138,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.41,0.41,0.41,0.41,0.46,0.46,0.46,0.41,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.45,0.38,0.45,0.45,0.39,0.38,1e-18,0.45,0.38,1.0,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.34,0.36,0.36,0.37,0.37,0.37,0.41,0.37,0.37,0.37,0.37,0.39,0.39,0.39
ENSHHUT00000006467_ENSHHUG00000003681,0.67,0.65,0.64,0.68,0.68,0.68,0.66,0.67,0.65,0.67,0.66,0.66,0.65,0.65,0.66,0.68,0.67,0.66,0.69,0.68,0.66,0.66,0.67,0.67,0.67,0.66,0.67,0.62,0.68,0.59,0.6,0.67,0.38,1.0,0.89,0.89,0.88,0.84,0.85,0.85,0.84,0.84,0.84,0.82,0.68,0.68,0.66,0.63,0.63,0.64,0.63,0.64,0.65,0.64,0.62,0.64,0.65,0.66,0.65,0.64
ENSHHUT00000006504_ENSHHUG00000003681,0.67,0.68,0.68,0.68,0.69,0.66,0.68,0.68,0.68,0.68,0.69,0.69,0.67,0.68,0.69,0.66,0.66,0.66,0.67,0.67,0.66,0.66,0.65,0.67,0.68,0.66,0.65,0.61,0.69,0.61,0.6,0.64,0.38,0.89,1.0,0.91,0.88,0.86,0.86,0.86,0.85,0.86,0.86,0.8,0.67,0.67,0.65,0.66,0.66,0.65,0.65,0.66,0.65,0.65,0.64,0.66,0.65,0.65,0.65,0.66
ENSHHUT00000006508_ENSHHUG00000003681,0.66,0.68,0.68,0.68,0.68,0.65,0.69,0.66,0.67,0.67,0.68,0.67,0.66,0.66,0.68,0.65,0.66,0.65,0.66,0.67,0.67,0.66,0.65,0.67,0.68,0.65,0.66,0.6,0.68,0.6,0.57,0.63,0.38,0.89,0.91,1.0,0.9,0.85,0.84,0.85,0.85,0.85,0.85,0.8,0.66,0.66,0.65,0.65,0.66,0.66,0.65,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.66,0.65
ENSHHUT00000006540_ENSHHUG00000003681,0.66,0.67,0.67,0.68,0.69,0.68,0.69,0.67,0.65,0.67,0.67,0.67,0.66,0.66,0.67,0.65,0.65,0.64,0.66,0.67,0.68,0.67,0.67,0.68,0.69,0.66,0.67,0.61,0.66,0.61,0.58,0.64,0.38,0.88,0.88,0.9,1.0,0.84,0.83,0.84,0.84,0.84,0.83,0.79,0.65,0.65,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.65,0.65,0.65,0.65
ENSHHUT00000026718_ENSHHUG00000015298,0.67,0.67,0.67,0.68,0.68,0.68,0.66,0.66,0.65,0.66,0.67,0.67,0.66,0.66,0.68,0.65,0.66,0.65,0.67,0.66,0.66,0.66,0.67,0.67,0.67,0.66,0.67,0.6,0.68,0.59,0.59,0.65,0.37,0.84,0.86,0.85,0.84,1.0,0.92,0.93,0.92,0.92,0.94,0.81,0.66,0.66,0.64,0.65,0.66,0.64,0.63,0.65,0.64,0.64,0.63,0.64,0.65,0.65,0.65,0.65
ENSHHUT00000026722_ENSHHUG00000015298,0.68,0.67,0.67,0.68,0.68,0.67,0.66,0.67,0.67,0.67,0.68,0.68,0.67,0.66,0.68,0.66,0.67,0.66,0.68,0.68,0.65,0.65,0.67,0.66,0.67,0.66,0.66,0.61,0.7,0.58,0.61,0.66,0.37,0.85,0.86,0.84,0.83,0.92,1.0,0.93,0.92,0.92,0.91,0.81,0.67,0.67,0.64,0.66,0.66,0.63,0.63,0.64,0.64,0.64,0.64,0.63,0.65,0.65,0.64,0.65
ENSHHUT00000026753_ENSHHUG00000015298,0.67,0.68,0.68,0.68,0.68,0.67,0.66,0.66,0.67,0.67,0.68,0.69,0.67,0.66,0.69,0.66,0.66,0.65,0.67,0.67,0.66,0.66,0.67,0.67,0.67,0.66,0.67,0.61,0.69,0.59,0.6,0.65,0.37,0.85,0.86,0.85,0.84,0.93,0.93,1.0,0.93,0.93,0.92,0.81,0.66,0.66,0.64,0.65,0.66,0.64,0.63,0.65,0.64,0.64,0.64,0.64,0.65,0.65,0.65,0.65
ENSHHUT00000026758_ENSHHUG00000015298,0.66,0.67,0.67,0.68,0.68,0.68,0.66,0.66,0.67,0.66,0.68,0.68,0.66,0.66,0.68,0.65,0.65,0.64,0.67,0.67,0.66,0.66,0.67,0.67,0.67,0.66,0.67,0.6,0.68,0.59,0.6,0.65,0.37,0.84,0.85,0.85,0.84,0.92,0.92,0.93,1.0,0.93,0.92,0.8,0.65,0.65,0.64,0.66,0.66,0.64,0.63,0.64,0.64,0.64,0.63,0.63,0.64,0.65,0.64,0.65
ENSHHUT00000026772_ENSHHUG00000015298,0.66,0.67,0.67,0.68,0.68,0.68,0.66,0.66,0.66,0.66,0.67,0.68,0.66,0.66,0.68,0.65,0.65,0.64,0.67,0.67,0.66,0.66,0.68,0.68,0.67,0.67,0.68,0.61,0.68,0.59,0.6,0.65,0.37,0.84,0.86,0.85,0.84,0.92,0.92,0.93,0.93,1.0,0.92,0.8,0.65,0.66,0.64,0.66,0.66,0.63,0.62,0.64,0.64,0.63,0.63,0.63,0.65,0.65,0.64,0.65
