,ENSACAT00000025747_ENSACAG00000025881,ENSNSUT00000015596_ENSNSUG00000010851,ENSPVIT00000023386_ENSPVIG00000014397,ENSPVIT00000023389_ENSPVIG00000014397,ENSPVIT00000023392_ENSPVIG00000014397,ENSPVIT00000023395_ENSPVIG00000014397,ENSSMRT00000009344_ENSSMRG00000006415,ENSSMRT00000009356_ENSSMRG00000006415,ENSSMRT00000009378_ENSSMRG00000006415,ENSSMRT00000009385_ENSSMRG00000006415,ENSARWT00000027307_ENSARWG00000016419,ENSARWT00000027273_ENSARWG00000016329,ENSARWT00000027296_ENSARWG00000016329,ENSARWT00000027305_ENSARWG00000016329,ENSAOWT00000010322_ENSAOWG00000006065,ENSAOWT00000010373_ENSAOWG00000006065,ENSAOWT00000010385_ENSAOWG00000006065,ENSAOWT00000010393_ENSAOWG00000006065,ENSAHAT00000008703_ENSAHAG00000005819,ENSAHAT00000008707_ENSAHAG00000005819,ENSDNVT00000022093_ENSDNVG00000012836,ENSDNVT00000022098_ENSDNVG00000012836,ENSDNVT00000022104_ENSDNVG00000012836,ENSDNVT00000022117_ENSDNVG00000012836,ENSNPET00000022111_ENSNPEG00000015878,ENSNPET00000022121_ENSNPEG00000015878,ENSNPET00000022124_ENSNPEG00000015878,ENSNPET00000022127_ENSNPEG00000015878,ENSNPET00000022129_ENSNPEG00000015878,ENSNPET00000022137_ENSNPEG00000015878,ENSNPET00000022146_ENSNPEG00000015878,ENSSCAT00000019219_ENSSCAG00000012477,ENSSCAT00000019222_ENSSCAG00000012477,ENSMVIT00005008475_ENSMVIG00005005558,ENSCCET00000017447_ENSCCEG00000010931,ENSAHAT00000008695_ENSAHAG00000005815,ENSAOWT00000009947_ENSAOWG00000006028,ENSGALT00000108313_ENSGALG00000041263,ENSGALT00000082498_ENSGALG00000041263,ENSGALT00000091572_ENSGALG00000041263,ENSGALT00000095393_ENSGALG00000041263,ENSMGAT00000016939_ENSMGAG00000015065,ENSCJPT00005034488_ENSCJPG00005019904,ENSCJPT00005034490_ENSCJPG00005019904,ENSCJPT00005034491_ENSCJPG00005019904,ENSNMET00000015189_ENSNMEG00000009196,ENSNMET00000015190_ENSNMEG00000009196,ENSNMET00000015192_ENSNMEG00000009196
ENSARWT00000027307_ENSARWG00000016419,0.72,0.73,0.7,0.7,1e-18,0.74,0.69,0.7,0.69,1e-18,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.81,1e-18,0.81,0.84,0.77,0.77,0.77,0.77,0.77,1e-18,1e-18,0.79,0.76,0.78,0.8,0.88,0.88,0.78,0.77,0.81,1e-18,0.77,0.77,0.77,0.8,0.81,0.78,1e-18
ENSARWT00000027273_ENSARWG00000016329,1e-18,0.25,0.83,0.81,0.83,1e-18,0.81,0.83,0.8,0.86,1e-18,1.0,0.96,0.96,0.96,0.99,0.95,0.95,0.96,0.93,0.91,0.92,0.89,1e-18,0.87,0.89,0.88,0.87,0.86,0.92,0.89,1e-18,1e-18,0.3,1e-18,0.27,0.27,0.89,0.86,1e-18,0.89,0.88,0.87,0.84,1e-18,1e-18,0.89,0.89
ENSARWT00000027296_ENSARWG00000016329,1e-18,0.25,0.81,0.83,0.86,1e-18,0.79,0.8,0.83,0.83,1e-18,0.96,1.0,0.98,0.93,0.95,0.98,0.97,0.93,0.96,0.89,0.94,0.91,1e-18,0.86,0.87,0.86,0.89,0.88,0.89,0.91,1e-18,1e-18,0.3,1e-18,0.27,0.27,0.86,0.89,1e-18,0.91,0.86,0.84,0.87,1e-18,1e-18,0.87,0.9
ENSARWT00000027305_ENSARWG00000016329,1e-18,0.25,0.8,0.82,0.85,1e-18,0.79,0.8,0.82,0.82,1e-18,0.96,0.98,1.0,0.93,0.95,0.97,0.99,0.93,0.95,0.89,0.93,0.9,1e-18,0.85,0.87,0.86,0.88,0.87,0.89,0.92,1e-18,1e-18,0.3,1e-18,0.27,0.27,0.86,0.88,1e-18,0.9,0.86,0.84,0.86,1e-18,1e-18,0.87,0.91
ENSAOWT00000010322_ENSAOWG00000006065,1e-18,0.25,0.82,0.8,0.82,1e-18,0.8,0.81,0.79,0.84,1e-18,0.96,0.93,0.93,1.0,0.97,0.94,0.94,0.94,0.92,0.9,0.9,0.88,1e-18,0.87,0.87,0.87,0.86,0.85,0.9,0.88,1e-18,1e-18,0.3,1e-18,0.27,0.27,0.87,0.85,1e-18,0.87,0.87,0.85,0.83,1e-18,1e-18,0.88,0.88
ENSAOWT00000010373_ENSAOWG00000006065,1e-18,0.25,0.83,0.81,0.83,1e-18,0.81,0.83,0.8,0.86,1e-18,0.99,0.95,0.95,0.97,1.0,0.96,0.96,0.96,0.94,0.91,0.92,0.89,1e-18,0.87,0.89,0.88,0.87,0.86,0.92,0.89,1e-18,1e-18,0.3,1e-18,0.27,0.27,0.89,0.87,1e-18,0.89,0.88,0.87,0.84,1e-18,1e-18,0.89,0.89
ENSAOWT00000010385_ENSAOWG00000006065,1e-18,0.25,0.81,0.83,0.86,1e-18,0.79,0.8,0.83,0.83,1e-18,0.95,0.98,0.97,0.94,0.96,1.0,0.98,0.94,0.96,0.89,0.94,0.91,1e-18,0.86,0.87,0.86,0.89,0.88,0.89,0.91,1e-18,1e-18,0.3,1e-18,0.27,0.27,0.87,0.89,1e-18,0.91,0.86,0.84,0.87,1e-18,1e-18,0.87,0.9
ENSAOWT00000010393_ENSAOWG00000006065,1e-18,0.25,0.8,0.82,0.85,1e-18,0.79,0.8,0.82,0.82,1e-18,0.95,0.97,0.99,0.94,0.96,0.98,1.0,0.94,0.95,0.89,0.93,0.9,1e-18,0.85,0.87,0.86,0.88,0.87,0.89,0.92,1e-18,1e-18,0.3,1e-18,0.27,0.27,0.86,0.88,1e-18,0.9,0.86,0.84,0.86,1e-18,1e-18,0.87,0.91
ENSAHAT00000008703_ENSAHAG00000005819,0.74,0.22,0.83,0.81,0.87,0.76,0.81,0.83,0.81,0.89,1e-18,0.96,0.93,0.93,0.94,0.96,0.94,0.94,1.0,0.96,0.91,0.95,0.89,0.81,0.88,0.89,0.88,0.87,0.86,0.9,0.88,0.29,1e-18,0.3,0.77,0.27,0.27,0.89,0.87,0.79,0.92,0.88,0.87,0.85,0.79,0.79,0.89,0.92
ENSAHAT00000008707_ENSAHAG00000005819,0.74,0.22,0.81,0.84,0.89,0.76,0.8,0.81,0.83,0.86,1e-18,0.93,0.96,0.95,0.92,0.94,0.96,0.95,0.96,1.0,0.89,0.97,0.91,0.81,0.86,0.87,0.86,0.89,0.88,0.88,0.9,0.29,1e-18,0.3,0.77,0.27,0.27,0.87,0.89,0.79,0.94,0.86,0.85,0.87,0.79,0.79,0.87,0.93
ENSDNVT00000022093_ENSDNVG00000012836,0.7,0.68,0.87,0.84,0.81,0.73,0.85,0.86,0.84,0.83,0.81,0.91,0.89,0.89,0.9,0.91,0.89,0.89,0.91,0.89,1.0,0.91,0.95,0.84,0.9,0.91,0.9,0.89,0.88,0.88,0.86,0.72,0.74,0.73,0.78,0.76,0.76,0.93,0.91,0.79,0.87,0.93,0.92,0.89,0.78,0.79,0.93,0.87
ENSDNVT00000022098_ENSDNVG00000012836,0.74,0.22,0.81,0.84,0.89,0.76,0.8,0.81,0.83,0.87,1e-18,0.92,0.94,0.93,0.9,0.92,0.94,0.93,0.95,0.97,0.91,1.0,0.93,0.81,0.86,0.87,0.87,0.89,0.89,0.88,0.9,0.29,1e-18,0.32,0.77,0.29,0.29,0.87,0.89,0.79,0.95,0.87,0.85,0.87,0.79,0.79,0.87,0.93
ENSDNVT00000022104_ENSDNVG00000012836,0.7,0.67,0.84,0.86,0.84,0.72,0.82,0.84,0.86,0.81,0.81,0.89,0.91,0.9,0.88,0.89,0.91,0.9,0.89,0.91,0.95,0.93,1.0,0.84,0.88,0.89,0.88,0.91,0.9,0.86,0.87,0.72,0.74,0.73,0.77,0.76,0.76,0.91,0.93,0.78,0.89,0.9,0.89,0.91,0.78,0.79,0.91,0.88
ENSDNVT00000022117_ENSDNVG00000012836,0.82,0.75,0.73,0.72,0.76,0.84,0.71,0.72,0.71,0.72,0.84,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.81,0.81,0.84,0.81,0.84,1.0,0.78,0.79,0.79,0.78,0.78,1e-18,1e-18,0.78,0.76,0.79,0.89,0.86,0.86,0.79,0.78,0.9,0.79,0.79,0.78,0.78,0.89,0.9,0.79,0.79
ENSNPET00000022111_ENSNPEG00000015878,0.7,0.65,0.83,0.8,0.8,0.7,0.8,0.82,0.8,0.8,0.77,0.87,0.86,0.85,0.87,0.87,0.86,0.85,0.88,0.86,0.9,0.86,0.88,0.78,1.0,0.97,0.97,0.95,0.93,0.92,0.88,0.7,0.72,0.69,0.76,0.73,0.73,0.88,0.86,0.76,0.85,0.88,0.87,0.85,0.75,0.76,0.89,0.85
ENSNPET00000022121_ENSNPEG00000015878,0.7,0.65,0.84,0.82,0.81,0.71,0.82,0.83,0.81,0.81,0.77,0.89,0.87,0.87,0.87,0.89,0.87,0.87,0.89,0.87,0.91,0.87,0.89,0.79,0.97,1.0,0.97,0.96,0.95,0.93,0.89,0.7,0.72,0.69,0.76,0.73,0.73,0.9,0.88,0.76,0.86,0.9,0.89,0.86,0.75,0.77,0.9,0.86
ENSNPET00000022124_ENSNPEG00000015878,0.7,0.68,0.83,0.81,0.8,0.71,0.81,0.82,0.8,0.8,0.77,0.88,0.86,0.86,0.87,0.88,0.86,0.86,0.88,0.86,0.9,0.87,0.88,0.79,0.97,0.97,1.0,0.95,0.95,0.92,0.88,0.7,0.72,0.69,0.76,0.73,0.73,0.89,0.86,0.76,0.85,0.88,0.87,0.85,0.75,0.77,0.89,0.85
ENSNPET00000022127_ENSNPEG00000015878,0.7,0.65,0.82,0.84,0.83,0.7,0.8,0.81,0.83,0.79,0.77,0.87,0.89,0.88,0.86,0.87,0.89,0.88,0.87,0.89,0.89,0.89,0.91,0.78,0.95,0.96,0.95,1.0,0.96,0.91,0.91,0.7,0.72,0.69,0.76,0.73,0.73,0.88,0.89,0.76,0.88,0.87,0.86,0.88,0.75,0.76,0.88,0.87
ENSNPET00000022129_ENSNPEG00000015878,0.7,0.68,0.8,0.82,0.82,0.7,0.79,0.8,0.82,0.78,0.77,0.86,0.88,0.87,0.85,0.86,0.88,0.87,0.86,0.88,0.88,0.89,0.9,0.78,0.93,0.95,0.95,0.96,1.0,0.9,0.89,0.7,0.72,0.69,0.76,0.73,0.73,0.86,0.88,0.76,0.87,0.86,0.85,0.87,0.75,0.76,0.87,0.86
ENSNPET00000022137_ENSNPEG00000015878,1e-18,0.28,0.81,0.79,0.81,1e-18,0.78,0.8,0.78,0.82,1e-18,0.92,0.89,0.89,0.9,0.92,0.89,0.89,0.9,0.88,0.88,0.88,0.86,1e-18,0.92,0.93,0.92,0.91,0.9,1.0,0.91,1e-18,1e-18,0.31,1e-18,0.29,0.29,0.87,0.85,1e-18,0.87,0.86,0.85,0.83,1e-18,1e-18,0.87,0.87
ENSNPET00000022146_ENSNPEG00000015878,1e-18,0.28,0.79,0.81,0.83,1e-18,0.77,0.78,0.79,0.8,1e-18,0.89,0.91,0.92,0.88,0.89,0.91,0.92,0.88,0.9,0.86,0.9,0.87,1e-18,0.88,0.89,0.88,0.91,0.89,0.91,1.0,1e-18,1e-18,0.31,1e-18,0.29,0.29,0.85,0.86,1e-18,0.88,0.85,0.83,0.85,1e-18,1e-18,0.85,0.89
ENSSCAT00000019219_ENSSCAG00000012477,0.7,0.74,0.65,0.65,0.29,0.71,0.65,0.66,0.65,0.28,0.79,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.29,0.29,0.72,0.29,0.72,0.78,0.7,0.7,0.7,0.7,0.7,1e-18,1e-18,1.0,0.86,0.79,0.82,0.82,0.82,0.73,0.73,0.79,0.29,0.72,0.72,0.72,0.79,0.8,0.74,0.29
ENSSCAT00000019222_ENSSCAG00000012477,0.68,0.69,0.66,0.66,1e-18,0.69,0.67,0.67,0.67,1e-18,0.76,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.74,1e-18,0.74,0.76,0.72,0.72,0.72,0.72,0.72,1e-18,1e-18,0.86,1.0,0.78,0.8,0.77,0.77,0.75,0.75,0.78,1e-18,0.74,0.74,0.74,0.77,0.78,0.75,1e-18
ENSMVIT00005008475_ENSMVIG00005005558,0.68,0.69,0.65,0.65,0.29,0.71,0.65,0.65,0.65,0.3,0.78,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.73,0.32,0.73,0.79,0.69,0.69,0.69,0.69,0.69,0.31,0.31,0.79,0.78,1.0,0.8,0.77,0.77,0.72,0.72,0.79,0.3,0.72,0.71,0.71,0.78,0.79,0.73,0.3
ENSCCET00000017447_ENSCCEG00000010931,0.81,0.74,0.71,0.7,0.75,0.82,0.7,0.7,0.7,0.71,0.8,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.77,0.77,0.78,0.77,0.77,0.89,0.76,0.76,0.76,0.76,0.76,1e-18,1e-18,0.82,0.8,0.8,1.0,0.82,0.82,0.78,0.78,0.89,0.79,0.78,0.78,0.77,0.89,0.9,0.79,0.79
ENSAHAT00000008695_ENSAHAG00000005815,0.74,0.75,0.67,0.67,0.25,0.76,0.66,0.67,0.66,0.24,0.88,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.76,0.29,0.76,0.86,0.73,0.73,0.73,0.73,0.73,0.29,0.29,0.82,0.77,0.77,0.82,1.0,0.94,0.73,0.73,0.83,0.3,0.73,0.73,0.73,0.83,0.83,0.74,0.31
ENSAOWT00000009947_ENSAOWG00000006028,0.74,0.75,0.67,0.67,0.25,0.76,0.66,0.67,0.66,0.24,0.88,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.76,0.29,0.76,0.86,0.73,0.73,0.73,0.73,0.73,0.29,0.29,0.82,0.77,0.77,0.82,0.94,1.0,0.73,0.73,0.83,0.3,0.73,0.73,0.73,0.83,0.83,0.74,0.31
ENSGALT00000108313_ENSGALG00000041263,0.71,0.68,0.87,0.84,0.81,0.72,0.84,0.86,0.84,0.82,0.78,0.89,0.86,0.86,0.87,0.89,0.87,0.86,0.89,0.87,0.93,0.87,0.91,0.79,0.88,0.9,0.89,0.88,0.86,0.87,0.85,0.73,0.75,0.72,0.78,0.73,0.73,1.0,0.95,0.84,0.91,0.96,0.95,0.92,0.82,0.82,0.96,0.9
ENSGALT00000082498_ENSGALG00000041263,0.7,0.67,0.84,0.86,0.83,0.71,0.82,0.84,0.86,0.8,0.77,0.86,0.89,0.88,0.85,0.87,0.89,0.88,0.87,0.89,0.91,0.89,0.93,0.78,0.86,0.88,0.86,0.89,0.88,0.85,0.86,0.73,0.75,0.72,0.78,0.73,0.73,0.95,1.0,0.84,0.93,0.94,0.92,0.94,0.82,0.82,0.94,0.9
ENSGALT00000091572_ENSGALG00000041263,0.82,0.75,0.72,0.71,0.77,0.83,0.71,0.72,0.71,0.73,0.81,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.79,0.79,0.79,0.79,0.78,0.9,0.76,0.76,0.76,0.76,0.76,1e-18,1e-18,0.79,0.78,0.79,0.89,0.83,0.83,0.84,0.84,1.0,0.81,0.83,0.82,0.82,0.93,0.93,0.82,0.81
ENSGALT00000095393_ENSGALG00000041263,0.75,0.24,0.81,0.83,0.89,0.77,0.79,0.8,0.82,0.85,1e-18,0.89,0.91,0.9,0.87,0.89,0.91,0.9,0.92,0.94,0.87,0.95,0.89,0.79,0.85,0.86,0.85,0.88,0.87,0.87,0.88,0.29,1e-18,0.3,0.79,0.3,0.3,0.91,0.93,0.81,1.0,0.9,0.88,0.9,0.81,0.81,0.9,0.96
ENSMGAT00000016939_ENSMGAG00000015065,0.7,0.67,0.86,0.84,0.81,0.72,0.84,0.86,0.83,0.82,0.77,0.88,0.86,0.86,0.87,0.88,0.86,0.86,0.88,0.86,0.93,0.87,0.9,0.79,0.88,0.9,0.88,0.87,0.86,0.86,0.85,0.72,0.74,0.72,0.78,0.73,0.73,0.96,0.94,0.83,0.9,1.0,0.95,0.92,0.82,0.82,0.96,0.89
ENSCJPT00005034488_ENSCJPG00005019904,0.7,0.68,0.86,0.83,0.8,0.71,0.83,0.85,0.82,0.81,0.77,0.87,0.84,0.84,0.85,0.87,0.84,0.84,0.87,0.85,0.92,0.85,0.89,0.78,0.87,0.89,0.87,0.86,0.85,0.85,0.83,0.72,0.74,0.71,0.78,0.73,0.73,0.95,0.92,0.82,0.88,0.95,1.0,0.95,0.84,0.81,0.95,0.87
ENSCJPT00005034490_ENSCJPG00005019904,0.7,0.67,0.83,0.85,0.82,0.71,0.81,0.82,0.85,0.79,0.77,0.84,0.87,0.86,0.83,0.84,0.87,0.86,0.85,0.87,0.89,0.87,0.91,0.78,0.85,0.86,0.85,0.88,0.87,0.83,0.85,0.72,0.74,0.71,0.77,0.73,0.73,0.92,0.94,0.82,0.9,0.92,0.95,1.0,0.84,0.81,0.92,0.88
ENSCJPT00005034491_ENSCJPG00005019904,0.81,0.75,0.71,0.71,0.77,0.82,0.7,0.71,0.7,0.73,0.8,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.79,0.79,0.78,0.79,0.78,0.89,0.75,0.75,0.75,0.75,0.75,1e-18,1e-18,0.79,0.77,0.78,0.89,0.83,0.83,0.82,0.82,0.93,0.81,0.82,0.84,0.84,1.0,0.92,0.81,0.81
ENSNMET00000015189_ENSNMEG00000009196,0.82,0.75,0.72,0.72,0.77,0.83,0.71,0.72,0.71,0.73,0.81,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.79,0.79,0.79,0.79,0.79,0.9,0.76,0.77,0.77,0.76,0.76,1e-18,1e-18,0.8,0.78,0.79,0.9,0.83,0.83,0.82,0.82,0.93,0.81,0.82,0.81,0.81,0.92,1.0,0.84,0.81
ENSNMET00000015190_ENSNMEG00000009196,0.71,0.68,0.87,0.84,0.81,0.72,0.84,0.86,0.84,0.82,0.78,0.89,0.87,0.87,0.88,0.89,0.87,0.87,0.89,0.87,0.93,0.87,0.91,0.79,0.89,0.9,0.89,0.88,0.87,0.87,0.85,0.74,0.75,0.73,0.79,0.74,0.74,0.96,0.94,0.82,0.9,0.96,0.95,0.92,0.81,0.84,1.0,0.91
ENSNMET00000015192_ENSNMEG00000009196,0.75,0.24,0.81,0.82,0.87,0.77,0.79,0.8,0.81,0.85,1e-18,0.89,0.9,0.91,0.88,0.89,0.9,0.91,0.92,0.93,0.87,0.93,0.88,0.79,0.85,0.86,0.85,0.87,0.86,0.87,0.89,0.29,1e-18,0.3,0.79,0.31,0.31,0.9,0.9,0.81,0.96,0.89,0.87,0.88,0.81,0.81,0.91,1.0
