,ENSPKIT00000026165_ENSPKIG00000020183,ENSSFOT00015009875_ENSSFOG00015006271,ENSTRUT00000036760_ENSTRUG00000014324,ENSMMOT00000003802_ENSMMOG00000002986,ENSLCRT00005004265_ENSLCRG00005000323,ENSLCRT00005004446_ENSLCRG00005000323,ENSLCRT00005005737_ENSLCRG00005000323,ENSLCRT00005005747_ENSLCRG00005000323,ENSLCRT00005005762_ENSLCRG00005000323,ENSLCRT00005005766_ENSLCRG00005000323,ENSLCRT00005005768_ENSLCRG00005000323,ENSLCRT00005005769_ENSLCRG00005000323,ENSLCRT00005005776_ENSLCRG00005000323,ENSLCRT00005005780_ENSLCRG00005000323,ENSLBET00000006341_ENSLBEG00000004617,ENSLBET00000006670_ENSLBEG00000004617,ENSLBET00000007001_ENSLBEG00000004617,ENSLBET00000007080_ENSLBEG00000004617,ENSCGOT00000036908_ENSCGOG00000013887,ENSCGOT00000036914_ENSCGOG00000013887,ENSCGOT00000036920_ENSCGOG00000013887,ENSMALT00000018355_ENSMALG00000012511,ENSMALT00000018390_ENSMALG00000012511,ENSMALT00000018422_ENSMALG00000012511,ENSMAMT00000033128_ENSMAMG00000021699,ENSMAMT00000033134_ENSMAMG00000021699,ENSMAMT00000033141_ENSMAMG00000021699,ENSATET00000020568_ENSATEG00000014057,ENSATET00000020604_ENSATEG00000014057,ENSBSLT00000004557_ENSBSLG00000002064,ENSBSLT00000004559_ENSBSLG00000002064,ENSBSLT00000004562_ENSBSLG00000002064,ENSBSLT00000004563_ENSBSLG00000002064,ENSBSLT00000004565_ENSBSLG00000002064,ENSBSLT00000004566_ENSBSLG00000002064,ENSBSLT00000004567_ENSBSLG00000002064,ENSBSLT00000004571_ENSBSLG00000002064,ENSBSLT00000004573_ENSBSLG00000002064,ENSSDUT00000023135_ENSSDUG00000016505,ENSSDUT00000023179_ENSSDUG00000016505,ENSSDUT00000023234_ENSSDUG00000016505
ENSLCRT00005005768_ENSLCRG00005000323,0.7,0.68,0.74,0.77,0.92,0.95,0.95,0.97,0.96,0.96,1.0,0.93,0.94,0.91,1e-18,0.75,0.83,0.83,0.86,0.83,0.85,0.82,0.83,0.83,0.82,0.82,0.81,0.81,0.81,0.77,0.78,0.79,0.77,0.77,0.8,0.77,0.78,0.77,0.84,0.85,0.86
ENSLCRT00005005769_ENSLCRG00005000323,0.7,0.68,0.73,0.77,0.96,0.92,0.96,0.93,0.93,0.93,0.93,1.0,0.92,0.9,1e-18,0.75,0.82,0.81,0.84,0.83,0.84,0.85,0.85,0.82,0.85,0.84,0.85,0.86,0.85,0.83,0.82,0.8,0.79,0.77,0.78,0.79,0.79,0.79,0.88,0.87,0.84
ENSLCRT00005005776_ENSLCRG00005000323,0.72,0.69,0.75,0.78,0.93,0.93,0.94,0.93,0.92,0.93,0.94,0.92,1.0,0.92,1e-18,0.76,0.82,0.82,0.85,0.83,0.84,0.82,0.83,0.83,0.82,0.83,0.81,0.81,0.82,0.77,0.78,0.79,0.77,0.77,0.79,0.77,0.78,0.77,0.84,0.85,0.87
ENSLCRT00005005780_ENSLCRG00005000323,0.68,0.66,0.72,0.75,0.91,0.91,0.92,0.91,0.9,0.9,0.91,0.9,0.92,1.0,1e-18,0.73,0.8,0.82,0.83,0.82,0.82,0.8,0.8,0.8,0.79,0.8,0.78,0.79,0.79,0.75,0.75,0.76,0.75,0.75,0.77,0.75,0.76,0.75,0.82,0.82,0.84
ENSLBET00000006341_ENSLBEG00000004617,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1.0,0.8,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSLBET00000006670_ENSLBEG00000004617,0.65,0.65,0.66,0.67,0.76,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.76,0.73,0.8,1.0,0.88,0.87,0.76,0.73,0.76,0.74,0.75,0.75,0.73,0.74,0.73,0.73,0.73,0.7,0.7,0.7,0.69,0.7,0.7,0.69,0.7,0.7,0.76,0.76,0.76
ENSLBET00000007001_ENSLBEG00000004617,0.69,0.68,0.73,0.76,0.82,0.81,0.83,0.82,0.81,0.83,0.83,0.82,0.82,0.8,1e-18,0.88,1.0,0.95,0.83,0.8,0.82,0.82,0.82,0.82,0.81,0.82,0.8,0.8,0.81,0.77,0.78,0.79,0.77,0.77,0.78,0.76,0.77,0.77,0.84,0.84,0.82
ENSLBET00000007080_ENSLBEG00000004617,0.68,0.67,0.73,0.75,0.81,0.81,0.82,0.82,0.81,0.82,0.83,0.81,0.82,0.82,1e-18,0.87,0.95,1.0,0.83,0.82,0.82,0.81,0.82,0.82,0.8,0.81,0.79,0.79,0.8,0.77,0.77,0.78,0.77,0.76,0.79,0.76,0.77,0.76,0.82,0.83,0.82
ENSCGOT00000036908_ENSCGOG00000013887,0.7,0.7,0.74,0.77,0.84,0.84,0.86,0.85,0.84,0.84,0.86,0.84,0.85,0.83,1e-18,0.76,0.83,0.83,1.0,0.95,0.96,0.83,0.84,0.84,0.83,0.83,0.82,0.82,0.83,0.78,0.79,0.79,0.78,0.79,0.8,0.78,0.79,0.77,0.86,0.86,0.87
ENSCGOT00000036914_ENSCGOG00000013887,0.69,0.68,0.72,0.74,0.83,0.83,0.83,0.83,0.82,0.82,0.83,0.83,0.83,0.82,1e-18,0.73,0.8,0.82,0.95,1.0,0.93,0.81,0.81,0.82,0.81,0.81,0.8,0.8,0.81,0.76,0.77,0.77,0.76,0.77,0.78,0.76,0.77,0.76,0.84,0.84,0.86
ENSCGOT00000036920_ENSCGOG00000013887,0.69,0.7,0.73,0.76,0.83,0.83,0.85,0.84,0.83,0.83,0.85,0.84,0.84,0.82,1e-18,0.76,0.82,0.82,0.96,0.93,1.0,0.82,0.83,0.83,0.82,0.83,0.81,0.82,0.82,0.77,0.78,0.79,0.77,0.79,0.79,0.77,0.78,0.77,0.85,0.86,0.86
ENSMALT00000018355_ENSMALG00000012511,0.7,0.69,0.73,0.76,0.84,0.81,0.86,0.82,0.82,0.82,0.82,0.85,0.82,0.8,1e-18,0.74,0.82,0.81,0.83,0.81,0.82,1.0,0.98,0.95,0.89,0.88,0.88,0.87,0.86,0.84,0.83,0.83,0.81,0.79,0.81,0.8,0.81,0.82,0.89,0.88,0.85
ENSMALT00000018390_ENSMALG00000012511,0.71,0.7,0.74,0.77,0.84,0.82,0.86,0.82,0.82,0.83,0.83,0.85,0.83,0.8,1e-18,0.75,0.82,0.82,0.84,0.81,0.83,0.98,1.0,0.95,0.88,0.89,0.87,0.86,0.86,0.83,0.83,0.83,0.81,0.8,0.82,0.81,0.82,0.82,0.88,0.89,0.86
ENSMALT00000018422_ENSMALG00000012511,0.7,0.69,0.73,0.77,0.82,0.82,0.84,0.83,0.82,0.82,0.83,0.82,0.83,0.8,1e-18,0.75,0.82,0.82,0.84,0.82,0.83,0.95,0.95,1.0,0.85,0.86,0.84,0.83,0.84,0.8,0.81,0.82,0.8,0.8,0.82,0.79,0.81,0.79,0.86,0.86,0.86
ENSMAMT00000033128_ENSMAMG00000021699,0.7,0.69,0.73,0.76,0.84,0.81,0.86,0.81,0.82,0.82,0.82,0.85,0.82,0.79,1e-18,0.73,0.81,0.8,0.83,0.81,0.82,0.89,0.88,0.85,1.0,0.98,0.97,0.87,0.86,0.84,0.83,0.83,0.81,0.79,0.81,0.8,0.81,0.81,0.89,0.88,0.85
ENSMAMT00000033134_ENSMAMG00000021699,0.7,0.7,0.73,0.77,0.84,0.82,0.86,0.82,0.82,0.83,0.82,0.84,0.83,0.8,1e-18,0.74,0.82,0.81,0.83,0.81,0.83,0.88,0.89,0.86,0.98,1.0,0.96,0.86,0.87,0.83,0.83,0.82,0.81,0.79,0.81,0.81,0.82,0.82,0.88,0.89,0.86
ENSMAMT00000033141_ENSMAMG00000021699,0.69,0.69,0.72,0.75,0.84,0.8,0.84,0.8,0.81,0.81,0.81,0.85,0.81,0.78,1e-18,0.73,0.8,0.79,0.82,0.8,0.81,0.88,0.87,0.84,0.97,0.96,1.0,0.87,0.86,0.83,0.82,0.82,0.8,0.78,0.8,0.8,0.81,0.8,0.88,0.87,0.84
ENSATET00000020568_ENSATEG00000014057,0.69,0.69,0.72,0.75,0.85,0.8,0.84,0.8,0.81,0.81,0.81,0.86,0.81,0.79,1e-18,0.73,0.8,0.79,0.82,0.8,0.82,0.87,0.86,0.83,0.87,0.86,0.87,1.0,0.98,0.87,0.86,0.84,0.83,0.81,0.82,0.82,0.83,0.83,0.88,0.87,0.84
ENSATET00000020604_ENSATEG00000014057,0.69,0.69,0.72,0.76,0.85,0.81,0.85,0.81,0.81,0.82,0.81,0.85,0.82,0.79,1e-18,0.73,0.81,0.8,0.83,0.81,0.82,0.86,0.86,0.84,0.86,0.87,0.86,0.98,1.0,0.86,0.87,0.84,0.82,0.81,0.83,0.83,0.83,0.83,0.87,0.88,0.85
ENSBSLT00000004557_ENSBSLG00000002064,0.67,0.67,0.72,0.73,0.81,0.77,0.81,0.77,0.77,0.78,0.77,0.83,0.77,0.75,1e-18,0.7,0.77,0.77,0.78,0.76,0.77,0.84,0.83,0.8,0.84,0.83,0.83,0.87,0.86,1.0,0.98,0.96,0.94,0.92,0.94,0.94,0.95,0.94,0.84,0.83,0.8
ENSBSLT00000004559_ENSBSLG00000002064,0.67,0.67,0.72,0.74,0.82,0.77,0.81,0.77,0.77,0.78,0.78,0.82,0.78,0.75,1e-18,0.7,0.78,0.77,0.79,0.77,0.78,0.83,0.83,0.81,0.83,0.83,0.82,0.86,0.87,0.98,1.0,0.95,0.94,0.93,0.94,0.94,0.95,0.95,0.83,0.84,0.81
ENSBSLT00000004562_ENSBSLG00000002064,0.68,0.68,0.73,0.75,0.79,0.78,0.81,0.78,0.79,0.79,0.79,0.8,0.79,0.76,1e-18,0.7,0.79,0.78,0.79,0.77,0.79,0.83,0.83,0.82,0.83,0.82,0.82,0.84,0.84,0.96,0.95,1.0,0.96,0.93,0.95,0.94,0.94,0.94,0.84,0.83,0.82
ENSBSLT00000004563_ENSBSLG00000002064,0.67,0.66,0.72,0.73,0.77,0.77,0.79,0.77,0.77,0.78,0.77,0.79,0.77,0.75,1e-18,0.69,0.77,0.77,0.78,0.76,0.77,0.81,0.81,0.8,0.81,0.81,0.8,0.83,0.82,0.94,0.94,0.96,1.0,0.92,0.94,0.92,0.93,0.93,0.82,0.82,0.8
ENSBSLT00000004565_ENSBSLG00000002064,0.67,0.69,0.71,0.73,0.77,0.76,0.78,0.77,0.76,0.76,0.77,0.77,0.77,0.75,1e-18,0.7,0.77,0.76,0.79,0.77,0.79,0.79,0.8,0.8,0.79,0.79,0.78,0.81,0.81,0.92,0.93,0.93,0.92,1.0,0.95,0.91,0.93,0.92,0.79,0.8,0.81
ENSBSLT00000004566_ENSBSLG00000002064,0.68,0.68,0.73,0.75,0.78,0.78,0.8,0.79,0.78,0.78,0.8,0.78,0.79,0.77,1e-18,0.7,0.78,0.79,0.8,0.78,0.79,0.81,0.82,0.82,0.81,0.81,0.8,0.82,0.83,0.94,0.94,0.95,0.94,0.95,1.0,0.93,0.94,0.93,0.82,0.82,0.83
ENSBSLT00000004567_ENSBSLG00000002064,0.67,0.66,0.71,0.72,0.79,0.76,0.79,0.76,0.76,0.77,0.77,0.79,0.77,0.75,1e-18,0.69,0.76,0.76,0.78,0.76,0.77,0.8,0.81,0.79,0.8,0.81,0.8,0.82,0.83,0.94,0.94,0.94,0.92,0.91,0.93,1.0,0.94,0.93,0.81,0.81,0.8
ENSBSLT00000004571_ENSBSLG00000002064,0.67,0.68,0.72,0.74,0.79,0.77,0.8,0.78,0.77,0.78,0.78,0.79,0.78,0.76,1e-18,0.7,0.77,0.77,0.79,0.77,0.78,0.81,0.82,0.81,0.81,0.82,0.81,0.83,0.83,0.95,0.95,0.94,0.93,0.93,0.94,0.94,1.0,0.93,0.82,0.82,0.81
ENSBSLT00000004573_ENSBSLG00000002064,0.67,0.66,0.71,0.73,0.79,0.76,0.8,0.76,0.76,0.77,0.77,0.79,0.77,0.75,1e-18,0.7,0.77,0.76,0.77,0.76,0.77,0.82,0.82,0.79,0.81,0.82,0.8,0.83,0.83,0.94,0.95,0.94,0.93,0.92,0.93,0.93,0.93,1.0,0.82,0.83,0.8
ENSSDUT00000023135_ENSSDUG00000016505,0.71,0.69,0.74,0.77,0.86,0.83,0.88,0.84,0.84,0.84,0.84,0.88,0.84,0.82,1e-18,0.76,0.84,0.82,0.86,0.84,0.85,0.89,0.88,0.86,0.89,0.88,0.88,0.88,0.87,0.84,0.83,0.84,0.82,0.79,0.82,0.81,0.82,0.82,1.0,0.98,0.94
ENSSDUT00000023179_ENSSDUG00000016505,0.72,0.7,0.75,0.77,0.87,0.84,0.89,0.84,0.84,0.85,0.85,0.87,0.85,0.82,1e-18,0.76,0.84,0.83,0.86,0.84,0.86,0.88,0.89,0.86,0.88,0.89,0.87,0.87,0.88,0.83,0.84,0.83,0.82,0.8,0.82,0.81,0.82,0.83,0.98,1.0,0.95
ENSSDUT00000023234_ENSSDUG00000016505,0.73,0.7,0.75,0.76,0.86,0.86,0.86,0.85,0.84,0.84,0.86,0.84,0.87,0.84,1e-18,0.76,0.82,0.82,0.87,0.86,0.86,0.85,0.86,0.86,0.85,0.86,0.84,0.84,0.85,0.8,0.81,0.82,0.8,0.81,0.83,0.8,0.81,0.8,0.94,0.95,1.0
