,ENSDCDT00000032969_ENSDCDG00000018406,ENSCHAT00000001037_ENSCHAG00000000662,ENSIPUT00000029421_ENSIPUG00000019147,ENSIPUT00000029433_ENSIPUG00000019155,ENSIPUT00000029448_ENSIPUG00000019155,ENSEEET00000035697_ENSEEEG00000016794,ENSEEET00000035699_ENSEEEG00000016794,ENSEEET00000035701_ENSEEEG00000016794,ENSEEET00000039594_ENSEEEG00000018596,ENSPNAT00000017823_ENSPNAG00000016612,ENSPNAT00000021137_ENSPNAG00000019399,ENSPNAT00000021151_ENSPNAG00000019399,ENSPNAT00000021178_ENSPNAG00000019399,ENSPNAT00000021180_ENSPNAG00000019399,ENSPNAT00000021184_ENSPNAG00000019399,ENSAMXT00000037541_ENSAMXG00000029480,ENSAMXT00000040275_ENSAMXG00000038859,ENSAMXT00000034564_ENSAMXG00000041198,ENSDART00000171258_ENSDARG00000100946,ENSDART00000173691_ENSDARG00000100946,ENSDART00000125584_ENSDARG00000086421,ENSDART00000173774_ENSDARG00000086421,ENSELUT00000010918_ENSELUG00000006328,ENSELUT00000010929_ENSELUG00000006328,ENSELUT00000011706_ENSELUG00000005929,ENSELUT00000011717_ENSELUG00000005929,ENSHHUT00000011460_ENSHHUG00000006804,ENSHHUT00000011464_ENSHHUG00000006804,ENSHHUT00000011477_ENSHHUG00000006804,ENSHHUT00000047888_ENSHHUG00000028144,ENSHHUT00000047873_ENSHHUG00000028135,ENSHHUT00000069767_ENSHHUG00000039791,ENSELUT00000003600_ENSELUG00000010141,ENSAOCT00000019271_ENSAOCG00000016109,ENSAPET00000015333_ENSAPEG00000010660,ENSAPET00000015340_ENSAPEG00000010660,ENSAPOT00000005761_ENSAPOG00000008832,ENSSPAT00000005384_ENSSPAG00000004095,ENSPRNT00000029944_ENSPRNG00000014072,ENSPNYT00000006488_ENSPNYG00000004882,ENSHBUT00000016653_ENSHBUG00000011455,ENSMZET00005012480_ENSMZEG00005009059,ENSACLT00000009365_ENSACLG00000006245,ENSNBRT00000023335_ENSNBRG00000017417,ENSONIT00000019793_ENSONIG00000015713,ENSACIT00000021987_ENSACIG00000016648,ENSPFOT00000014182_ENSPFOG00000014148,ENSPMET00000009459_ENSPMEG00000005484,ENSPLAT00000022591_ENSPLAG00000017973,ENSPRET00000006355_ENSPREG00000004362,ENSGAFT00000028805_ENSGAFG00000019275,ENSXMAT00000040015_ENSXMAG00000025602,ENSKMAT00000007690_ENSKMAG00000005701,ENSOMET00000009694_ENSOMEG00000005062,ENSGWIT00000006549_ENSGWIG00000003462,ENSGWIT00000006550_ENSGWIG00000003462,ENSGWIT00000006552_ENSGWIG00000003462,ENSSDUT00000005047_ENSSDUG00000003672
ENSELUT00000010918_ENSELUG00000006328,0.45,0.39,0.39,0.37,0.33,0.4,0.4,0.4,0.38,0.35,0.39,0.28,0.36,0.35,0.39,0.29,0.29,0.26,0.34,0.25,0.34,0.34,1.0,0.96,0.56,0.58,0.75,0.72,0.67,0.54,0.66,0.43,0.38,0.47,0.46,0.47,0.48,0.47,0.5,0.47,0.46,0.46,0.46,0.46,0.45,0.37,0.46,0.46,0.46,0.47,0.45,0.45,0.45,0.4,0.43,0.63,0.4,0.52
ENSELUT00000010929_ENSELUG00000006328,0.45,0.41,0.36,0.36,0.32,0.39,0.39,0.4,0.38,0.37,0.37,0.28,0.35,0.35,0.39,0.28,0.28,0.27,0.34,0.24,0.34,0.33,0.96,1.0,0.57,0.6,0.72,0.74,0.66,0.53,0.68,0.44,0.38,0.49,0.48,0.49,0.49,0.48,0.52,0.49,0.49,0.49,0.48,0.49,0.48,0.4,0.48,0.48,0.48,0.45,0.47,0.47,0.47,0.44,0.43,0.63,0.4,0.54
ENSELUT00000011706_ENSELUG00000005929,0.37,0.38,0.3,0.36,0.36,0.4,0.4,0.42,0.4,0.44,0.38,0.29,0.35,0.29,0.34,0.27,0.27,0.26,0.36,0.27,0.36,0.37,0.56,0.57,1.0,0.9,0.56,0.58,0.56,0.59,0.63,0.36,0.36,0.47,0.48,0.47,0.47,0.48,0.49,0.46,0.46,0.46,0.46,0.46,0.46,0.43,0.44,0.43,0.43,0.42,0.44,0.42,0.46,0.38,0.38,0.37,0.4,0.5
ENSELUT00000011717_ENSELUG00000005929,0.41,0.42,0.34,0.4,0.37,0.44,0.44,0.46,0.45,0.4,0.43,0.33,0.39,0.29,0.38,0.31,0.31,0.3,0.4,0.27,0.4,0.4,0.58,0.6,0.9,1.0,0.58,0.6,0.55,0.56,0.67,0.36,0.36,0.51,0.47,0.5,0.5,0.51,0.53,0.51,0.51,0.5,0.51,0.51,0.51,0.4,0.48,0.48,0.48,0.46,0.48,0.47,0.51,0.37,0.38,0.41,0.39,0.55
ENSHHUT00000011460_ENSHHUG00000006804,0.43,0.42,0.38,0.41,0.37,0.44,0.44,0.44,0.4,0.4,0.44,0.31,0.4,0.32,0.36,0.25,0.25,0.25,0.34,0.27,0.35,0.34,0.75,0.72,0.56,0.58,1.0,0.96,0.91,0.76,0.76,0.44,0.39,0.49,0.48,0.49,0.5,0.49,0.51,0.47,0.48,0.47,0.48,0.47,0.47,0.39,0.46,0.46,0.46,0.47,0.45,0.44,0.49,0.36,0.47,0.63,0.34,0.54
ENSHHUT00000011464_ENSHHUG00000006804,0.45,0.44,0.39,0.4,0.37,0.43,0.43,0.45,0.41,0.41,0.44,0.32,0.4,0.35,0.38,0.26,0.26,0.27,0.35,0.27,0.36,0.33,0.72,0.74,0.58,0.6,0.96,1.0,0.9,0.75,0.78,0.45,0.39,0.52,0.51,0.52,0.52,0.52,0.54,0.51,0.51,0.5,0.51,0.5,0.5,0.42,0.48,0.48,0.49,0.46,0.48,0.47,0.52,0.43,0.47,0.63,0.34,0.57
ENSHHUT00000011477_ENSHHUG00000006804,0.4,0.38,0.34,0.37,0.37,0.4,0.4,0.4,0.36,0.4,0.4,0.28,0.36,0.32,0.32,0.22,0.22,0.23,0.31,0.27,0.32,0.31,0.67,0.66,0.56,0.55,0.91,0.9,1.0,0.76,0.72,0.44,0.39,0.46,0.48,0.46,0.47,0.46,0.47,0.43,0.44,0.43,0.44,0.43,0.43,0.39,0.42,0.42,0.42,0.43,0.41,0.4,0.46,0.36,0.47,1e-18,0.34,0.5
ENSHHUT00000047888_ENSHHUG00000028144,0.37,0.35,1e-18,0.37,0.37,0.37,0.37,0.37,0.36,0.42,0.41,0.29,0.38,1e-18,0.41,0.23,0.23,0.21,0.35,1e-18,0.35,0.35,0.54,0.53,0.59,0.56,0.76,0.75,0.76,1.0,0.69,0.39,0.36,0.44,0.41,0.44,0.45,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.42,0.38,0.4,0.4,0.39,0.41,0.39,0.38,0.4,0.38,1e-18,0.43,0.38,0.48
ENSHHUT00000047873_ENSHHUG00000028135,0.47,0.47,0.39,0.44,0.4,0.47,0.47,0.49,0.48,0.45,0.49,0.38,0.45,0.35,0.43,0.35,0.35,0.35,0.39,0.27,0.38,0.37,0.66,0.68,0.63,0.67,0.76,0.78,0.72,0.69,1.0,0.44,0.41,0.54,0.49,0.54,0.54,0.53,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.43,0.52,0.51,0.52,0.49,0.51,0.51,0.53,0.42,0.43,0.49,0.4,0.59
ENSHHUT00000069767_ENSHHUG00000039791,0.37,0.36,0.32,0.32,0.32,0.33,0.33,0.35,0.32,0.33,0.33,0.28,0.34,0.29,0.3,0.29,0.29,0.28,0.31,0.24,0.3,0.29,0.43,0.44,0.36,0.36,0.44,0.45,0.44,0.39,0.44,1.0,0.71,0.39,0.43,0.39,0.38,0.4,0.39,0.37,0.37,0.37,0.37,0.37,0.36,0.33,0.35,0.36,0.36,0.34,0.35,0.35,0.37,0.26,0.35,0.3,0.33,0.42
ENSELUT00000003600_ENSELUG00000010141,0.35,0.35,0.27,0.32,0.32,0.31,0.31,0.32,0.3,0.32,0.32,0.27,0.32,0.25,0.28,0.27,0.27,0.26,0.29,0.2,0.29,0.28,0.38,0.38,0.36,0.36,0.39,0.39,0.39,0.36,0.41,0.71,1.0,0.38,0.4,0.38,0.37,0.39,0.37,0.34,0.34,0.34,0.34,0.34,0.35,0.33,0.33,0.34,0.34,0.34,0.33,0.33,0.37,0.25,0.32,0.3,0.4,0.4
ENSAOCT00000019271_ENSAOCG00000016109,0.41,0.42,0.38,0.38,0.35,0.42,0.42,0.46,0.43,0.44,0.45,0.34,0.4,0.35,0.4,0.32,0.32,0.34,0.37,0.27,0.38,0.37,0.47,0.49,0.47,0.51,0.49,0.52,0.46,0.44,0.54,0.39,0.38,1.0,0.9,0.94,0.9,0.84,0.72,0.67,0.67,0.67,0.67,0.67,0.68,0.6,0.63,0.63,0.63,0.62,0.62,0.62,0.64,0.5,0.52,0.48,0.52,0.73
ENSAPET00000015333_ENSAPEG00000010660,0.36,0.4,0.36,0.34,0.34,0.38,0.38,0.42,0.39,0.44,0.41,0.28,0.35,0.35,0.35,0.25,0.25,0.29,0.33,0.28,0.34,0.33,0.46,0.48,0.48,0.47,0.48,0.51,0.48,0.41,0.49,0.43,0.4,0.9,1.0,0.9,0.85,0.79,0.68,0.63,0.63,0.63,0.63,0.63,0.63,0.6,0.6,0.6,0.6,0.59,0.58,0.59,0.63,0.47,0.52,1e-18,0.51,0.7
ENSAPET00000015340_ENSAPEG00000010660,0.4,0.42,0.38,0.38,0.35,0.42,0.42,0.46,0.43,0.44,0.45,0.34,0.4,0.35,0.39,0.32,0.32,0.34,0.37,0.27,0.37,0.36,0.47,0.49,0.47,0.5,0.49,0.52,0.46,0.44,0.54,0.39,0.38,0.94,0.9,1.0,0.89,0.83,0.72,0.68,0.67,0.67,0.67,0.67,0.68,0.6,0.63,0.63,0.63,0.61,0.62,0.62,0.64,0.5,0.52,0.47,0.51,0.73
ENSAPOT00000005761_ENSAPOG00000008832,0.4,0.42,0.4,0.39,0.36,0.42,0.42,0.45,0.43,0.44,0.45,0.35,0.41,0.34,0.39,0.32,0.32,0.34,0.39,0.3,0.39,0.38,0.48,0.49,0.47,0.5,0.5,0.52,0.47,0.45,0.54,0.38,0.37,0.9,0.85,0.89,1.0,0.82,0.71,0.68,0.67,0.67,0.67,0.67,0.69,0.59,0.62,0.62,0.62,0.61,0.61,0.61,0.64,0.5,0.48,0.48,0.49,0.72
ENSSPAT00000005384_ENSSPAG00000004095,0.42,0.43,0.38,0.39,0.36,0.41,0.41,0.45,0.42,0.43,0.43,0.33,0.39,0.32,0.39,0.31,0.31,0.33,0.37,0.25,0.38,0.39,0.47,0.48,0.48,0.51,0.49,0.52,0.46,0.44,0.53,0.4,0.39,0.84,0.79,0.83,0.82,1.0,0.71,0.69,0.68,0.68,0.68,0.69,0.69,0.61,0.63,0.63,0.63,0.62,0.63,0.63,0.65,0.51,0.55,0.53,0.5,0.71
ENSPRNT00000029944_ENSPRNG00000014072,0.42,0.42,0.4,0.41,0.37,0.45,0.45,0.49,0.47,0.44,0.47,0.37,0.42,0.37,0.41,0.34,0.34,0.36,0.41,0.31,0.41,0.4,0.5,0.52,0.49,0.53,0.51,0.54,0.47,0.43,0.56,0.39,0.37,0.72,0.68,0.72,0.71,0.71,1.0,0.68,0.67,0.67,0.67,0.68,0.68,0.55,0.63,0.63,0.63,0.62,0.62,0.62,0.65,0.5,0.56,0.55,0.53,0.69
ENSPNYT00000006488_ENSPNYG00000004882,0.43,0.45,0.39,0.38,0.35,0.42,0.42,0.45,0.43,0.45,0.47,0.36,0.43,0.35,0.41,0.34,0.34,0.34,0.39,0.29,0.39,0.38,0.47,0.49,0.46,0.51,0.47,0.51,0.43,0.42,0.56,0.37,0.34,0.67,0.63,0.68,0.68,0.69,0.68,1.0,0.93,0.92,0.92,0.92,0.88,0.61,0.62,0.62,0.62,0.6,0.61,0.61,0.62,0.47,0.52,0.52,0.52,0.68
ENSHBUT00000016653_ENSHBUG00000011455,0.43,0.45,0.39,0.38,0.34,0.42,0.42,0.45,0.43,0.45,0.47,0.36,0.43,0.35,0.4,0.34,0.34,0.34,0.39,0.29,0.39,0.38,0.46,0.49,0.46,0.51,0.48,0.51,0.44,0.42,0.56,0.37,0.34,0.67,0.63,0.67,0.67,0.68,0.67,0.93,1.0,0.92,0.92,0.92,0.88,0.61,0.62,0.62,0.62,0.6,0.62,0.62,0.62,0.46,0.52,0.5,0.5,0.68
ENSMZET00005012480_ENSMZEG00005009059,0.44,0.45,0.39,0.37,0.34,0.42,0.42,0.45,0.44,0.45,0.47,0.37,0.44,0.36,0.42,0.34,0.34,0.34,0.39,0.29,0.39,0.38,0.46,0.49,0.46,0.5,0.47,0.5,0.43,0.42,0.55,0.37,0.34,0.67,0.63,0.67,0.67,0.68,0.67,0.92,0.92,1.0,0.94,0.92,0.88,0.61,0.61,0.61,0.61,0.6,0.61,0.61,0.62,0.47,0.51,0.52,0.51,0.68
ENSACLT00000009365_ENSACLG00000006245,0.43,0.45,0.39,0.38,0.34,0.42,0.42,0.45,0.43,0.45,0.47,0.37,0.44,0.36,0.42,0.34,0.34,0.34,0.39,0.29,0.39,0.38,0.46,0.48,0.46,0.51,0.48,0.51,0.44,0.42,0.55,0.37,0.34,0.67,0.63,0.67,0.67,0.68,0.67,0.92,0.92,0.94,1.0,0.92,0.88,0.61,0.61,0.61,0.61,0.6,0.61,0.61,0.62,0.47,0.51,0.52,0.51,0.68
ENSNBRT00000023335_ENSNBRG00000017417,0.44,0.45,0.39,0.38,0.34,0.42,0.42,0.45,0.44,0.46,0.47,0.37,0.44,0.36,0.42,0.34,0.34,0.34,0.4,0.29,0.4,0.39,0.46,0.49,0.46,0.51,0.47,0.5,0.43,0.41,0.55,0.37,0.34,0.67,0.63,0.67,0.67,0.69,0.68,0.92,0.92,0.92,0.92,1.0,0.88,0.61,0.62,0.62,0.62,0.6,0.62,0.62,0.62,0.46,0.51,0.52,0.5,0.68
