,ENSLACT00000025449_ENSLACG00000022431,ENSLACT00000001450_ENSLACG00000001287,ENSAOWT00000025794_ENSAOWG00000015377,ENSAOWT00000025797_ENSAOWG00000015377,ENSAOWT00000025801_ENSAOWG00000015377,ENSAHAT00000013297_ENSAHAG00000008687,ENSAHAT00000013304_ENSAHAG00000008687,ENSARWT00000005145_ENSARWG00000003254,ENSARWT00000005147_ENSARWG00000003254,ENSARWT00000005149_ENSARWG00000003254,ENSARWT00000005150_ENSARWG00000003254,ENSDNVT00000016173_ENSDNVG00000009483,ENSDNVT00000016179_ENSDNVG00000009483,ENSDNVT00000016192_ENSDNVG00000009483,ENSDNVT00000016202_ENSDNVG00000009483,ENSDNVT00000016214_ENSDNVG00000009483,ENSDNVT00000016229_ENSDNVG00000009483,ENSNPET00000012579_ENSNPEG00000009188,ENSJHYT00000025666_ENSJHYG00000016098,ENSJHYT00000025683_ENSJHYG00000016098,ENSJHYT00000025707_ENSJHYG00000016098,ENSZALT00000026767_ENSZALG00000016106,ENSZALT00000026768_ENSZALG00000016106,ENSPMJT00000023636_ENSPMJG00000013570,ENSPMJT00000023637_ENSPMJG00000013570,ENSPMJT00000023638_ENSPMJG00000013570,ENSCCET00000033442_ENSCCEG00000019902,ENSCCET00000033443_ENSCCEG00000019902
ENSARWT00000005150_ENSARWG00000003254,0.54,0.54,0.98,0.95,0.96,0.96,0.97,0.96,0.99,0.99,1.0,0.95,0.95,0.96,0.94,0.93,0.94,0.82,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.87,0.89,0.88
ENSDNVT00000016173_ENSDNVG00000009483,0.57,0.53,0.97,0.93,0.95,0.95,0.93,0.95,0.95,0.95,0.95,1.0,1.0,0.98,0.98,0.97,0.98,0.81,0.91,0.91,0.91,0.91,0.91,0.91,0.89,0.86,0.91,0.9
ENSDNVT00000016179_ENSDNVG00000009483,0.57,0.53,0.97,0.93,0.95,0.95,0.93,0.95,0.95,0.95,0.95,1.0,1.0,0.98,0.98,0.97,0.98,0.81,0.91,0.91,0.91,0.91,0.91,0.91,0.89,0.86,0.91,0.9
ENSDNVT00000016192_ENSDNVG00000009483,0.54,0.53,0.95,0.92,0.93,0.93,0.95,0.93,0.96,0.96,0.96,0.98,0.98,1.0,0.97,0.96,0.97,0.82,0.89,0.89,0.89,0.89,0.9,0.89,0.88,0.87,0.89,0.88
ENSDNVT00000016202_ENSDNVG00000009483,0.56,0.52,0.95,0.94,0.95,0.95,0.94,0.96,0.94,0.94,0.94,0.98,0.98,0.97,1.0,0.98,0.97,0.8,0.9,0.9,0.9,0.9,0.9,0.89,0.89,0.86,0.89,0.88
ENSDNVT00000016214_ENSDNVG00000009483,0.56,0.53,0.94,0.93,0.95,0.95,0.94,0.95,0.93,0.93,0.93,0.97,0.97,0.96,0.98,1.0,0.96,0.81,0.9,0.9,0.9,0.9,0.91,0.9,0.89,0.87,0.89,0.89
ENSDNVT00000016229_ENSDNVG00000009483,0.57,0.49,0.95,0.93,0.94,0.94,0.93,0.94,0.94,0.94,0.94,0.98,0.98,0.97,0.97,0.96,1.0,0.8,0.89,0.89,0.89,0.89,0.9,0.89,0.88,0.85,0.89,0.88
ENSNPET00000012579_ENSNPEG00000009188,0.48,0.53,0.81,0.79,0.8,0.8,0.81,0.8,0.82,0.82,0.82,0.81,0.81,0.82,0.8,0.81,0.8,1.0,0.79,0.79,0.79,0.79,0.8,0.79,0.78,0.77,0.79,0.81
ENSJHYT00000025666_ENSJHYG00000016098,0.55,0.54,0.91,0.87,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.91,0.91,0.89,0.9,0.9,0.89,0.79,1.0,1.0,1.0,0.99,0.98,0.97,0.96,0.93,0.97,0.96
ENSJHYT00000025683_ENSJHYG00000016098,0.55,0.54,0.91,0.87,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.91,0.91,0.89,0.9,0.9,0.89,0.79,1.0,1.0,1.0,0.99,0.98,0.97,0.96,0.93,0.97,0.96
ENSJHYT00000025707_ENSJHYG00000016098,0.55,0.54,0.91,0.87,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.91,0.91,0.89,0.9,0.9,0.89,0.79,1.0,1.0,1.0,0.99,0.98,0.97,0.96,0.93,0.97,0.96
ENSZALT00000026767_ENSZALG00000016106,0.55,0.54,0.91,0.87,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.91,0.91,0.89,0.9,0.9,0.89,0.79,0.99,0.99,0.99,1.0,0.99,0.97,0.95,0.93,0.96,0.96
ENSZALT00000026768_ENSZALG00000016106,0.55,0.54,0.91,0.87,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.91,0.91,0.9,0.9,0.91,0.9,0.8,0.98,0.98,0.98,0.99,1.0,0.96,0.94,0.92,0.95,0.94
ENSPMJT00000023636_ENSPMJG00000013570,0.56,0.54,0.91,0.87,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.91,0.91,0.89,0.89,0.9,0.89,0.79,0.97,0.97,0.97,0.97,0.96,1.0,0.98,0.96,0.99,0.98
ENSPMJT00000023637_ENSPMJG00000013570,0.55,0.53,0.89,0.87,0.89,0.89,0.87,0.89,0.88,0.88,0.88,0.89,0.89,0.88,0.89,0.89,0.88,0.78,0.96,0.96,0.96,0.95,0.94,0.98,1.0,0.97,0.97,0.96
ENSPMJT00000023638_ENSPMJG00000013570,0.51,0.53,0.86,0.86,0.86,0.86,0.86,0.86,0.87,0.87,0.87,0.86,0.86,0.87,0.86,0.87,0.85,0.77,0.93,0.93,0.93,0.93,0.92,0.96,0.97,1.0,0.95,0.94
ENSCCET00000033442_ENSCCEG00000019902,0.56,0.53,0.91,0.87,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.91,0.91,0.89,0.89,0.89,0.89,0.79,0.97,0.97,0.97,0.96,0.95,0.99,0.97,0.95,1.0,0.99
ENSCCET00000033443_ENSCCEG00000019902,0.55,0.54,0.9,0.86,0.88,0.88,0.87,0.88,0.88,0.88,0.88,0.9,0.9,0.88,0.88,0.89,0.88,0.81,0.96,0.96,0.96,0.96,0.94,0.98,0.96,0.94,0.99,1.0
