,ENSEBUT00000017484_ENSEBUG00000010593,ENSHCOT00000017429_ENSHCOG00000013588,ENSPMGT00000028780_ENSPMGG00000021804,ENSLBET00000013781_ENSLBEG00000010055,ENSLBET00000022952_ENSLBEG00000016719,ENSTRUT00000052750_ENSTRUG00000019743,ENSLCRT00005009815_ENSLCRG00005004411,ENSLCRT00005009834_ENSLCRG00005004411,ENSLCRT00005009836_ENSLCRG00005004411,ENSLCRT00005009842_ENSLCRG00005004411,ENSLCRT00005009843_ENSLCRG00005004411,ENSLCRT00005009859_ENSLCRG00005004411,ENSPFOT00000017180_ENSPFOG00000017023,ENSPLAT00000017098_ENSPLAG00000023984,ENSPMET00000017562_ENSPMEG00000012625,ENSPRET00000016665_ENSPREG00000011157,ENSPRET00000016709_ENSPREG00000011157,ENSXCOT00000019747_ENSXCOG00000014657,ENSXCOT00000019745_ENSXCOG00000014654,ENSXMAT00000015398_ENSXMAG00000015282,ENSGAFT00000024703_ENSGAFG00000016488,ENSGAFT00000024716_ENSGAFG00000016504,ENSCVAT00000005493_ENSCVAG00000007676,ENSFHET00000021572_ENSFHEG00000015503,ENSKMAT00000024474_ENSKMAG00000017891,ENSAOCT00000011249_ENSAOCG00000005752,ENSAOCT00000011284_ENSAOCG00000005752,ENSAPET00000007389_ENSAPEG00000005116,ENSAPOT00000025488_ENSAPOG00000019678,ENSPRNT00000008651_ENSPRNG00000004600,ENSPRNT00000008661_ENSPRNG00000004600,ENSSPAT00000006440_ENSSPAG00000004829,ENSORLT00000025493_ENSORLG00000020579
ENSXMAT00000015398_ENSXMAG00000015282,0.76,0.88,0.79,0.74,0.74,0.6,0.82,0.79,0.84,0.82,0.8,0.77,0.97,0.97,0.97,0.97,0.94,0.86,0.82,1.0,0.81,0.84,0.86,0.86,0.86,0.85,0.81,0.86,0.85,0.82,0.8,0.85,0.85
ENSGAFT00000024703_ENSGAFG00000016488,0.57,0.69,0.7,1e-18,1e-18,1e-18,0.68,0.68,0.68,0.67,0.67,0.53,0.81,0.81,0.81,0.8,0.81,1e-18,0.96,0.81,1.0,1e-18,0.68,0.75,0.71,0.69,0.69,0.7,0.7,0.68,0.68,0.71,0.67
ENSGAFT00000024716_ENSGAFG00000016504,0.62,0.75,0.71,0.87,0.88,0.72,0.71,0.67,0.72,0.72,0.7,0.73,0.83,0.83,0.83,0.84,0.81,0.98,1e-18,0.84,1e-18,1.0,0.74,0.82,0.73,0.74,0.7,0.74,0.73,0.71,0.67,0.72,0.73
ENSCVAT00000005493_ENSCVAG00000007676,0.78,0.82,0.78,0.76,0.76,0.64,0.85,0.82,0.87,0.85,0.83,0.8,0.86,0.86,0.86,0.85,0.82,0.75,0.69,0.86,0.68,0.74,1.0,0.8,0.88,0.88,0.84,0.88,0.88,0.86,0.83,0.88,0.86
ENSFHET00000021572_ENSFHEG00000015503,0.7,0.83,0.75,0.77,0.77,0.59,0.77,0.74,0.78,0.79,0.75,0.8,0.86,0.86,0.86,0.86,0.84,0.82,0.76,0.86,0.75,0.82,0.8,1.0,0.8,0.8,0.76,0.8,0.79,0.77,0.74,0.79,0.8
ENSKMAT00000024474_ENSKMAG00000017891,0.78,0.83,0.79,0.77,0.77,0.62,0.87,0.83,0.88,0.87,0.84,0.81,0.86,0.86,0.86,0.86,0.82,0.73,0.71,0.86,0.71,0.73,0.88,0.8,1.0,0.89,0.85,0.89,0.89,0.87,0.84,0.9,0.88
ENSAOCT00000011249_ENSAOCG00000005752,0.78,0.83,0.8,0.77,0.77,0.64,0.88,0.85,0.89,0.88,0.85,0.82,0.85,0.85,0.85,0.85,0.82,0.74,0.7,0.85,0.69,0.74,0.88,0.8,0.89,1.0,0.95,0.98,0.95,0.88,0.85,0.93,0.88
ENSAOCT00000011284_ENSAOCG00000005752,0.74,0.79,0.81,0.73,0.73,0.55,0.84,0.86,0.85,0.83,0.83,0.79,0.81,0.81,0.81,0.81,0.83,0.7,0.69,0.81,0.69,0.7,0.84,0.76,0.85,0.95,1.0,0.94,0.91,0.84,0.86,0.89,0.84
ENSAPET00000007389_ENSAPEG00000005116,0.78,0.83,0.8,0.77,0.77,0.64,0.88,0.85,0.89,0.88,0.85,0.82,0.85,0.85,0.85,0.85,0.82,0.74,0.7,0.86,0.7,0.74,0.88,0.8,0.89,0.98,0.94,1.0,0.95,0.88,0.85,0.93,0.88
ENSAPOT00000025488_ENSAPOG00000019678,0.78,0.82,0.79,0.76,0.76,0.64,0.88,0.85,0.89,0.88,0.85,0.82,0.85,0.85,0.85,0.85,0.81,0.73,0.7,0.85,0.7,0.73,0.88,0.79,0.89,0.95,0.91,0.95,1.0,0.88,0.85,0.92,0.87
ENSPRNT00000008651_ENSPRNG00000004600,0.79,0.8,0.76,0.74,0.74,0.65,0.86,0.83,0.88,0.87,0.84,0.81,0.83,0.83,0.83,0.82,0.79,0.71,0.68,0.82,0.68,0.71,0.86,0.77,0.87,0.88,0.84,0.88,0.88,1.0,0.96,0.88,0.86
ENSPRNT00000008661_ENSPRNG00000004600,0.76,0.78,0.78,0.71,0.71,0.59,0.84,0.85,0.85,0.84,0.83,0.79,0.8,0.8,0.8,0.79,0.81,0.67,0.68,0.8,0.68,0.67,0.83,0.74,0.84,0.85,0.86,0.85,0.85,0.96,1.0,0.86,0.83
ENSSPAT00000006440_ENSSPAG00000004829,0.77,0.83,0.79,0.76,0.76,0.66,0.89,0.86,0.9,0.89,0.86,0.83,0.85,0.85,0.85,0.85,0.82,0.73,0.71,0.85,0.71,0.72,0.88,0.79,0.9,0.93,0.89,0.93,0.92,0.88,0.86,1.0,0.88
ENSORLT00000025493_ENSORLG00000020579,0.78,0.83,0.79,0.75,0.75,0.62,0.85,0.82,0.86,0.85,0.82,0.8,0.85,0.85,0.85,0.85,0.81,0.73,0.68,0.85,0.67,0.73,0.86,0.8,0.88,0.88,0.84,0.88,0.87,0.86,0.83,0.88,1.0
