,ENSOANT00000041852_ENSOANG00000031518,ENSOANT00000041995_ENSOANG00000030413,ENSVURT00010007074_ENSVURG00010004848,ENSVURT00010007092_ENSVURG00010004848,ENSVURT00010007122_ENSVURG00010004848,ENSVURT00010007144_ENSVURG00010004848,ENSVURT00010007163_ENSVURG00010004848,ENSPCIT00000054886_ENSPCIG00000015221,ENSPCIT00000024643_ENSPCIG00000015221,ENSPCIT00000057264_ENSPCIG00000015221,ENSPCIT00000052472_ENSPCIG00000015221,ENSPCIT00000059225_ENSPCIG00000015221,ENSMEUT00000002911_ENSMEUG00000002894,ENSMODT00000012772_ENSMODG00000014377,ENSMODT00000053642_ENSMODG00000014377,ENSMODT00000055482_ENSMODG00000014377,ENSMODT00000058826_ENSMODG00000014377,ENSPCAT00000015592_ENSPCAG00000015562,ENSETET00000007842_ENSETEG00000007842,ENSSDAT00000004774_ENSSDAG00000003644,ENSSDAT00000004789_ENSSDAG00000003644,ENSSDAT00000004809_ENSSDAG00000003644
ENSPCIT00000052472_ENSPCIG00000015221,0.47,0.57,0.94,0.93,0.95,0.9,0.87,0.96,0.97,0.96,1.0,0.96,0.8,0.89,0.88,0.88,0.89,0.68,0.63,0.72,0.72,0.7
ENSPCIT00000059225_ENSPCIG00000015221,0.47,0.6,0.95,0.93,0.93,0.9,0.89,0.96,0.98,0.96,0.96,1.0,0.79,0.9,0.88,0.88,0.9,0.69,0.64,0.73,0.72,0.71
ENSMEUT00000002911_ENSMEUG00000002894,0.48,0.59,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.8,0.79,1.0,0.78,0.78,0.78,0.78,0.66,0.64,0.64,0.64,0.63
ENSMODT00000012772_ENSMODG00000014377,0.48,0.59,0.91,0.9,0.9,0.86,0.84,0.9,0.91,0.89,0.89,0.9,0.78,1.0,0.98,0.98,0.98,0.69,0.63,0.73,0.72,0.7
ENSMODT00000053642_ENSMODG00000014377,0.48,0.59,0.9,0.89,0.89,0.85,0.83,0.88,0.89,0.9,0.88,0.88,0.78,0.98,1.0,0.96,0.97,0.68,0.62,0.72,0.72,0.69
ENSMODT00000055482_ENSMODG00000014377,0.48,0.59,0.9,0.89,0.88,0.85,0.83,0.88,0.9,0.88,0.88,0.88,0.78,0.98,0.96,1.0,0.97,0.67,0.62,0.72,0.7,0.69
ENSMODT00000058826_ENSMODG00000014377,0.48,0.59,0.91,0.9,0.89,0.87,0.85,0.9,0.91,0.9,0.89,0.9,0.78,0.98,0.97,0.97,1.0,0.71,0.65,0.75,0.74,0.72
ENSPCAT00000015592_ENSPCAG00000015562,0.49,0.61,0.7,0.71,0.69,0.7,0.72,0.69,0.7,0.69,0.68,0.69,0.66,0.69,0.68,0.67,0.71,1.0,0.77,0.81,0.8,0.8
ENSETET00000007842_ENSETEG00000007842,0.43,0.56,0.65,0.63,0.63,0.63,0.67,0.64,0.64,0.63,0.63,0.64,0.64,0.63,0.62,0.62,0.65,0.77,1.0,0.73,0.72,0.73
ENSSDAT00000004774_ENSSDAG00000003644,0.34,0.59,0.74,0.73,0.72,0.71,0.72,0.72,0.74,0.72,0.72,0.73,0.64,0.73,0.72,0.72,0.75,0.81,0.73,1.0,0.99,0.95
ENSSDAT00000004789_ENSSDAG00000003644,0.34,0.59,0.73,0.72,0.72,0.7,0.71,0.71,0.72,0.73,0.72,0.72,0.64,0.72,0.72,0.7,0.74,0.8,0.72,0.99,1.0,0.95
ENSSDAT00000004809_ENSSDAG00000003644,0.34,0.59,0.72,0.71,0.7,0.69,0.7,0.7,0.71,0.7,0.7,0.71,0.63,0.7,0.69,0.69,0.72,0.8,0.73,0.95,0.95,1.0
