,K08D8.5.1_WBGene00010659,C32H11.1a.1_WBGene00007864,C32H11.1b.1_WBGene00007864,K08D8.4a.1_WBGene00010658,K08D8.4a.2_WBGene00010658,K08D8.4b.1_WBGene00010658,K08D8.4b.2_WBGene00010658,K08D8.4c.1_WBGene00010658,K08D8.4d.1_WBGene00010658,K08D8.3.1_WBGene00010657,C32H11.10.1_WBGene00007873,C32H11.9.1_WBGene00007872,C32H11.12.1_WBGene00007875,F55C9.6.1_WBGene00010103,ZK896.5.1_WBGene00014136,ZK896.5.2_WBGene00014136,ZK896.4.1_WBGene00014135,K08D8.6a.1_WBGene00010660,K08D8.6b.1_WBGene00010660,ZK896.1.1_WBGene00014132,C29F3.7a.1_WBGene00007807,C29F3.7b.1_WBGene00007807,ZK1037.6.1_WBGene00014194,T05E12.6a.1_WBGene00011487,T05E12.6b.1_WBGene00011487,K10D11.5.1_WBGene00010749,K10D11.3a.1_WBGene00010747,K10D11.3b.1_WBGene00010747,K10D11.3c.1_WBGene00010747,K10D11.6.1_WBGene00010750,K10D11.4.1_WBGene00010748,F55G11.4.1_WBGene00010124,F55G11.2.1_WBGene00010123,F55G11.8.1_WBGene00010128,F55G11.6.1_WBGene00010126,F55G11.7.1_WBGene00010127,F55G11.7.2_WBGene00010127,C49G7.13.1_WBGene00269425,K10D11.1.1_WBGene00010745,C32H11.13.1_WBGene00007876,F55G11.5a.1_WBGene00010125,F55G11.5b.1_WBGene00010125,K10D11.2.1_WBGene00010746,C32H11.3.1_WBGene00007866,C32H11.4.1_WBGene00007867,T19C9.8.1_WBGene00011844,F17C11.11a.1_WBGene00008922,F17C11.11b.1_WBGene00008922,C45B11.6.1_WBGene00045379,ENSPNAT00000002131_ENSPNAG00000013119,ENSCABT00000029595_ENSCABG00000019821,ENSGAGT00000027995_ENSGAGG00000017962
T05E12.6b.1_WBGene00011487,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.11,0.13,0.13,0.14,0.09,1e-18,0.09,0.39,0.38,0.41,0.86,1.0,0.32,0.16,1e-18,1e-18,0.19,0.18,0.2,0.14,0.18,0.15,0.23,0.23,0.22,0.15,0.2,0.23,1e-18,0.21,0.32,0.21,0.21,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
K10D11.5.1_WBGene00010749,0.17,0.18,0.2,0.17,0.17,0.17,0.17,0.13,0.17,0.19,0.17,0.17,0.18,0.13,0.19,0.19,0.2,0.2,0.24,0.19,0.38,0.38,0.38,0.36,0.32,1.0,0.2,0.21,0.21,0.22,0.23,0.06,0.05,0.04,0.1,0.09,0.09,0.19,0.12,0.19,0.08,1e-18,0.18,0.03,0.11,0.31,0.11,0.11,0.29,0.1,0.32,0.32
K10D11.3a.1_WBGene00010747,0.17,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.24,0.11,0.1,0.1,0.17,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.26,0.15,0.23,0.16,0.2,1.0,0.88,0.89,0.61,0.25,0.17,0.19,0.19,0.15,0.15,0.15,0.15,0.17,0.19,0.21,0.2,0.2,0.12,0.15,0.2,0.12,0.12,1e-18,0.08,0.08,0.1
K10D11.3b.1_WBGene00010747,0.17,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.24,0.11,0.1,0.1,0.18,0.23,0.23,0.23,0.23,0.24,0.23,0.2,0.2,0.14,0.28,1e-18,0.21,0.88,1.0,0.89,0.59,0.3,0.16,0.19,0.18,0.15,0.15,0.15,0.14,0.17,0.17,0.2,0.2,0.19,0.11,0.15,0.22,0.12,0.12,1e-18,0.08,0.08,0.1
K10D11.3c.1_WBGene00010747,0.23,0.26,0.27,0.26,0.26,0.25,0.25,0.25,0.26,0.29,0.2,0.2,0.18,0.24,0.25,0.25,0.25,0.25,0.24,0.25,0.2,0.2,0.14,0.28,1e-18,0.21,0.89,0.89,1.0,0.6,0.31,0.17,0.19,0.2,0.17,0.17,0.17,0.16,0.18,0.2,0.2,0.21,0.19,0.15,0.18,0.22,0.12,0.12,1e-18,0.08,0.08,0.1
K10D11.6.1_WBGene00010750,0.17,0.22,0.22,0.21,0.21,0.19,0.19,0.19,0.21,0.25,0.09,0.08,0.05,0.21,0.24,0.24,0.23,0.23,0.23,0.21,0.23,0.23,0.2,0.24,0.19,0.22,0.61,0.59,0.6,1.0,0.27,0.19,0.2,0.19,0.18,0.17,0.17,0.16,0.15,0.18,0.19,0.2,0.22,0.14,0.15,0.2,0.12,0.12,1e-18,0.05,0.1,0.11
K10D11.4.1_WBGene00010748,0.21,0.21,0.2,0.24,0.24,0.24,0.24,0.14,0.24,0.33,0.15,0.15,0.16,0.19,0.19,0.19,0.21,0.17,0.17,0.18,0.25,0.24,0.25,0.27,0.18,0.23,0.25,0.3,0.31,0.27,1.0,0.17,0.2,0.18,0.22,0.18,0.18,0.16,0.17,0.2,0.15,0.16,0.16,0.21,0.16,0.25,0.2,0.2,0.39,0.09,0.34,0.35
F55G11.4.1_WBGene00010124,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.27,0.22,0.21,0.14,0.14,0.2,0.24,0.21,0.21,0.19,0.21,0.16,0.22,0.24,0.24,0.14,0.2,0.2,0.06,0.17,0.16,0.17,0.19,0.17,1.0,0.69,0.67,0.66,0.66,0.66,0.64,0.64,0.53,0.46,0.43,0.47,0.44,0.44,0.17,1e-18,1e-18,1e-18,1e-18,0.09,0.1
F55G11.2.1_WBGene00010123,0.24,0.24,0.24,0.2,0.2,0.2,0.2,0.23,0.2,0.22,0.18,0.18,0.2,0.23,0.21,0.21,0.2,0.22,0.17,0.23,0.28,0.28,0.17,0.13,0.14,0.05,0.19,0.19,0.19,0.2,0.2,0.69,1.0,0.62,0.64,0.65,0.65,0.62,0.64,0.52,0.47,0.44,0.47,0.44,0.43,0.18,1e-18,1e-18,1e-18,1e-18,0.1,0.11
F55G11.8.1_WBGene00010128,0.24,0.25,0.25,0.22,0.22,0.23,0.23,0.26,0.22,0.22,0.18,0.18,0.21,0.26,0.21,0.21,0.18,0.2,0.12,0.22,0.27,0.27,0.09,0.17,0.18,0.04,0.19,0.18,0.2,0.19,0.18,0.67,0.62,1.0,0.67,0.65,0.65,0.63,0.64,0.54,0.47,0.44,0.46,0.45,0.44,0.12,1e-18,1e-18,1e-18,1e-18,0.09,0.1
F55G11.6.1_WBGene00010126,0.24,0.26,0.26,0.22,0.22,0.22,0.22,0.25,0.22,0.23,0.19,0.19,0.22,0.23,0.21,0.21,0.19,0.2,0.16,0.2,0.22,0.22,0.14,0.15,0.15,0.1,0.15,0.15,0.17,0.18,0.22,0.66,0.64,0.67,1.0,0.75,0.75,0.7,0.64,0.55,0.47,0.44,0.46,0.44,0.46,0.16,1e-18,1e-18,1e-18,1e-18,0.08,0.09
F55G11.7.1_WBGene00010127,0.23,0.24,0.24,0.22,0.22,0.23,0.23,0.25,0.22,0.22,0.16,0.16,0.21,0.25,0.23,0.23,0.21,0.2,0.18,0.22,0.13,0.13,0.19,0.23,0.23,0.09,0.15,0.15,0.17,0.17,0.18,0.66,0.65,0.65,0.75,1.0,0.9,0.69,0.63,0.54,0.47,0.44,0.46,0.44,0.45,0.18,1e-18,1e-18,1e-18,1e-18,0.11,0.12
F55G11.7.2_WBGene00010127,0.23,0.24,0.24,0.22,0.22,0.23,0.23,0.25,0.22,0.22,0.16,0.16,0.21,0.25,0.23,0.23,0.21,0.2,0.18,0.22,0.13,0.13,0.19,0.23,0.23,0.09,0.15,0.15,0.17,0.17,0.18,0.66,0.65,0.65,0.75,0.9,1.0,0.69,0.63,0.54,0.47,0.44,0.46,0.44,0.45,0.18,1e-18,1e-18,1e-18,1e-18,0.11,0.12
C49G7.13.1_WBGene00269425,0.23,0.24,0.24,0.22,0.22,0.22,0.22,0.25,0.22,0.24,0.15,0.15,0.19,0.22,0.21,0.21,0.2,0.2,0.17,0.2,0.05,0.05,0.25,0.21,0.22,0.19,0.15,0.14,0.16,0.16,0.16,0.64,0.62,0.63,0.7,0.69,0.69,1.0,0.61,0.52,0.44,0.42,0.45,0.42,0.43,0.22,1e-18,1e-18,1e-18,1e-18,0.06,0.07
K10D11.1.1_WBGene00010745,0.22,0.22,0.22,0.19,0.19,0.2,0.2,0.23,0.19,0.23,0.15,0.15,0.19,0.23,0.19,0.19,0.2,0.19,0.13,0.22,0.21,0.21,0.18,0.14,0.15,0.12,0.17,0.17,0.18,0.15,0.17,0.64,0.64,0.64,0.64,0.63,0.63,0.61,1.0,0.54,0.46,0.42,0.45,0.41,0.42,0.18,1e-18,1e-18,1e-18,1e-18,0.09,0.1
C32H11.13.1_WBGene00007876,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.29,0.25,0.22,0.12,0.12,0.14,0.22,0.18,0.18,0.2,0.2,0.13,0.21,0.08,0.08,0.21,0.2,0.2,0.19,0.19,0.17,0.2,0.18,0.2,0.53,0.52,0.54,0.55,0.54,0.54,0.52,0.54,1.0,0.47,0.44,0.47,0.42,0.43,0.2,1e-18,1e-18,1e-18,1e-18,0.09,0.1
F55G11.5a.1_WBGene00010125,0.24,0.26,0.26,0.25,0.25,0.25,0.25,0.28,0.25,0.22,0.17,0.17,0.24,0.23,0.2,0.2,0.19,0.2,0.14,0.23,0.09,0.09,0.11,0.23,0.23,0.08,0.21,0.2,0.2,0.19,0.15,0.46,0.47,0.47,0.47,0.47,0.47,0.44,0.46,0.47,1.0,0.88,0.64,0.42,0.41,0.25,1e-18,1e-18,1e-18,1e-18,0.08,0.09
F55G11.5b.1_WBGene00010125,0.23,0.27,0.27,0.24,0.24,0.24,0.24,0.27,0.24,0.21,0.19,0.19,0.23,0.23,0.18,0.18,0.17,0.18,0.14,0.22,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.2,0.2,0.21,0.2,0.16,0.43,0.44,0.44,0.44,0.44,0.44,0.42,0.42,0.44,0.88,1.0,0.64,0.39,0.37,1e-18,1e-18,1e-18,1e-18,1e-18,0.08,0.09
K10D11.2.1_WBGene00010746,0.22,0.23,0.23,0.21,0.21,0.21,0.21,0.24,0.21,0.21,0.18,0.18,0.23,0.27,0.21,0.21,0.21,0.22,0.16,0.25,0.15,0.15,0.22,0.21,0.21,0.18,0.2,0.19,0.19,0.22,0.16,0.47,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.47,0.64,0.64,1.0,0.41,0.41,0.010000000000000002,1e-18,1e-18,1e-18,1e-18,0.06,0.07
C32H11.3.1_WBGene00007866,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.2,0.17,0.17,0.2,0.29,0.21,0.21,0.19,0.2,0.16,0.21,0.16,0.16,0.15,0.32,0.32,0.03,0.12,0.11,0.15,0.14,0.21,0.44,0.44,0.45,0.44,0.44,0.44,0.42,0.41,0.42,0.42,0.39,0.41,1.0,0.6,0.23,1e-18,1e-18,1e-18,1e-18,0.1,0.1
C32H11.4.1_WBGene00007867,0.25,0.25,0.25,0.23,0.23,0.23,0.23,0.28,0.23,0.19,0.18,0.18,0.2,0.22,0.19,0.19,0.17,0.21,0.17,0.2,0.07,0.07,0.12,0.21,0.21,0.11,0.15,0.15,0.18,0.15,0.16,0.44,0.43,0.44,0.46,0.45,0.45,0.43,0.42,0.43,0.41,0.37,0.41,0.6,1.0,0.28,1e-18,1e-18,1e-18,1e-18,0.09,0.09
T19C9.8.1_WBGene00011844,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.13,0.15,0.15,0.15,0.15,0.14,0.17,0.18,0.18,0.19,0.16,0.18,0.15,0.32,0.32,0.29,0.33,0.21,0.31,0.2,0.22,0.22,0.2,0.25,0.17,0.18,0.12,0.16,0.18,0.18,0.22,0.18,0.2,0.25,1e-18,0.010000000000000002,0.23,0.28,1.0,0.1,0.1,0.17,0.09,0.19,0.18
F17C11.11a.1_WBGene00008922,0.15,0.15,0.17,0.2,0.2,0.21,0.21,0.21,0.22,0.08,0.19,0.19,0.21,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.1,0.1,0.11,0.09,1e-18,0.11,0.12,0.12,0.12,0.12,0.2,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.1,1.0,0.83,0.25,0.09,0.22,0.22
F17C11.11b.1_WBGene00008922,0.15,0.16,0.17,0.21,0.21,0.21,0.21,0.21,0.22,0.08,0.17,0.17,0.18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.1,0.1,0.11,0.09,1e-18,0.11,0.12,0.12,0.12,0.12,0.2,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.1,0.83,1.0,0.25,0.14,0.18,0.18
C45B11.6.1_WBGene00045379,1e-18,0.14,1e-18,0.29,0.29,0.29,0.29,1e-18,0.29,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.21,0.21,0.22,0.14,1e-18,0.29,1e-18,1e-18,1e-18,1e-18,0.39,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.17,0.25,0.25,1.0,1e-18,0.29,0.29
ENSPNAT00000002131_ENSPNAG00000013119,0.15,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.1,0.1,0.1,0.08,1e-18,0.1,0.08,0.08,0.08,0.05,0.09,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.09,0.09,0.14,1e-18,1.0,1e-18,1e-18
ENSCABT00000029595_ENSCABG00000019821,0.15,0.12,0.15,0.24,0.24,0.24,0.24,0.13,0.2,0.18,1e-18,1e-18,1e-18,0.08,0.17,0.17,0.09,0.12,1e-18,0.06,0.12,0.12,0.16,0.15,1e-18,0.32,0.08,0.08,0.08,0.1,0.34,0.09,0.1,0.09,0.08,0.11,0.11,0.06,0.09,0.09,0.08,0.08,0.06,0.1,0.09,0.19,0.22,0.18,0.29,1e-18,1.0,0.9
ENSGAGT00000027995_ENSGAGG00000017962,0.17,0.11,0.17,0.25,0.25,0.25,0.25,0.14,0.21,0.19,1e-18,1e-18,1e-18,0.09,0.18,0.18,0.1,0.13,1e-18,0.06,0.12,0.12,0.16,0.15,1e-18,0.32,0.1,0.1,0.1,0.11,0.35,0.1,0.11,0.1,0.09,0.12,0.12,0.07,0.1,0.1,0.09,0.09,0.07,0.1,0.09,0.18,0.22,0.18,0.29,1e-18,0.9,1.0
