,ENSCHAT00000067386_ENSCHAG00000027798,ENSCHAT00000067379_ENSCHAG00000027793,ENSCHAT00000067380_ENSCHAG00000027793,ENSCHAT00000067233_ENSCHAG00000027751,ENSCHAT00000067249_ENSCHAG00000027754,ENSCHAT00000067251_ENSCHAG00000027754,ENSCHAT00000067254_ENSCHAG00000027754,ENSCHAT00000067257_ENSCHAG00000027754,ENSCHAT00000067260_ENSCHAG00000027754,ENSCHAT00000067261_ENSCHAG00000027754,ENSCHAT00000067263_ENSCHAG00000027754,ENSCHAT00000067266_ENSCHAG00000027754,ENSCHAT00000067269_ENSCHAG00000027754,ENSCHAT00000067273_ENSCHAG00000027754,ENSCHAT00000067377_ENSCHAG00000027789,ENSCHAT00000067360_ENSCHAG00000027787,ENSCHAT00000067402_ENSCHAG00000027808,ENSCHAT00000067404_ENSCHAG00000027808,ENSCHAT00000067405_ENSCHAG00000027808,ENSCHAT00000067407_ENSCHAG00000027808,ENSCHAT00000067333_ENSCHAG00000027771,ENSCHAT00000067335_ENSCHAG00000027771,ENSCHAT00000067337_ENSCHAG00000027771,ENSCHAT00000067339_ENSCHAG00000027771,ENSCHAT00000067343_ENSCHAG00000027771,ENSCHAT00000067349_ENSCHAG00000027771,ENSDCDT00000010404_ENSDCDG00000004753,ENSDCDT00000010413_ENSDCDG00000004755,ENSDCDT00000010446_ENSDCDG00000004757,ENSDCDT00000010457_ENSDCDG00000004764,ENSDCDT00000010460_ENSDCDG00000004764,ENSAMXT00000040914_ENSAMXG00000037672
ENSCHAT00000067263_ENSCHAG00000027754,0.82,0.83,0.85,0.73,0.75,0.75,0.75,0.75,0.9,0.76,1.0,0.89,0.89,0.62,0.79,0.81,1e-18,0.81,0.81,0.82,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.5,0.58,0.56,0.55,0.51
ENSCHAT00000067266_ENSCHAG00000027754,0.82,0.83,0.85,0.73,0.75,0.75,0.75,0.75,0.89,0.76,0.89,1.0,0.9,0.61,0.79,0.81,1e-18,0.81,0.81,0.82,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.5,0.58,0.56,0.55,0.51
ENSCHAT00000067269_ENSCHAG00000027754,0.82,0.83,0.85,0.73,0.75,0.75,0.75,0.75,0.89,0.76,0.89,0.9,1.0,0.61,0.79,0.81,1e-18,0.81,0.81,0.82,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.5,0.58,0.56,0.55,0.51
ENSCHAT00000067273_ENSCHAG00000027754,0.82,0.83,0.85,0.73,0.64,0.64,0.64,0.64,0.61,0.63,0.62,0.61,0.61,1.0,0.79,0.81,1e-18,0.81,0.81,0.79,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.5,0.58,0.56,0.55,0.51
ENSCHAT00000067377_ENSCHAG00000027789,0.73,0.8,0.81,0.62,0.57,0.57,0.57,0.57,0.79,0.79,0.79,0.79,0.79,0.79,1.0,0.8,0.75,0.79,0.8,0.78,0.55,0.56,0.59,0.59,0.59,0.61,0.5,0.56,0.55,0.57,0.55,0.55
ENSCHAT00000067360_ENSCHAG00000027787,0.74,0.8,0.8,0.62,0.6,0.6,0.6,0.6,0.81,0.81,0.81,0.81,0.81,0.81,0.8,1.0,0.77,0.82,0.83,0.79,0.58,0.59,0.62,0.61,0.62,0.61,0.5,0.56,0.57,0.58,0.56,0.56
ENSCHAT00000067402_ENSCHAG00000027808,0.65,0.76,0.76,0.56,0.55,0.55,0.55,0.55,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.75,0.77,1.0,0.88,0.86,0.81,0.57,0.58,0.6,0.62,0.63,0.62,0.52,0.59,0.51,0.52,0.52,0.53
ENSCHAT00000067404_ENSCHAG00000027808,0.72,0.8,0.8,0.61,0.61,0.61,0.61,0.61,0.81,0.81,0.81,0.81,0.81,0.81,0.79,0.82,0.88,1.0,0.9,0.81,0.58,0.58,0.61,0.61,0.62,0.6,0.52,0.56,0.56,0.57,0.55,0.57
ENSCHAT00000067405_ENSCHAG00000027808,0.72,0.8,0.8,0.63,0.62,0.62,0.62,0.62,0.81,0.81,0.81,0.81,0.81,0.81,0.8,0.83,0.86,0.9,1.0,0.81,0.59,0.59,0.63,0.62,0.63,0.62,0.53,0.56,0.58,0.59,0.56,0.58
ENSCHAT00000067407_ENSCHAG00000027808,0.72,0.79,0.8,0.74,0.81,0.81,0.81,0.81,0.82,0.81,0.82,0.82,0.82,0.79,0.78,0.79,0.81,0.81,0.81,1.0,1e-18,0.68,0.68,0.66,0.69,0.67,1e-18,0.56,0.57,0.57,0.56,0.49
ENSCHAT00000067333_ENSCHAG00000027771,1e-18,1e-18,1e-18,0.48,0.55,0.55,0.55,0.55,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.55,0.58,0.57,0.58,0.59,1e-18,1.0,0.86,0.88,0.88,0.89,0.87,0.5,1e-18,0.49,0.51,0.5,0.48
ENSCHAT00000067335_ENSCHAG00000027771,0.72,0.68,0.68,0.52,0.52,0.52,0.52,0.52,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.56,0.59,0.58,0.58,0.59,0.68,0.86,1.0,0.88,0.86,0.86,0.85,0.47,0.57,0.49,0.51,0.5,0.46
ENSCHAT00000067337_ENSCHAG00000027771,0.74,0.69,0.69,0.54,0.54,0.54,0.54,0.54,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.59,0.62,0.6,0.61,0.63,0.68,0.88,0.88,1.0,0.88,0.89,0.87,0.48,0.57,0.52,0.54,0.53,0.5
ENSCHAT00000067339_ENSCHAG00000027771,0.72,0.68,0.68,0.53,0.56,0.56,0.56,0.56,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.59,0.61,0.62,0.61,0.62,0.66,0.88,0.86,0.88,1.0,0.9,0.89,0.5,0.57,0.53,0.56,0.55,0.5
ENSCHAT00000067343_ENSCHAG00000027771,0.72,0.68,0.68,0.53,0.55,0.55,0.55,0.55,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.59,0.62,0.63,0.62,0.63,0.69,0.89,0.86,0.89,0.9,1.0,0.9,0.5,0.57,0.52,0.54,0.53,0.5
ENSCHAT00000067349_ENSCHAG00000027771,0.7,0.66,0.62,0.55,0.56,0.56,0.56,0.56,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.61,0.61,0.62,0.6,0.62,0.67,0.87,0.85,0.87,0.89,0.9,1.0,0.5,0.57,0.52,0.54,0.53,0.49
ENSDCDT00000010404_ENSDCDG00000004753,1e-18,1e-18,1e-18,0.45,0.5,0.5,0.5,0.5,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.5,0.5,0.52,0.52,0.53,1e-18,0.5,0.47,0.48,0.5,0.5,0.5,1.0,1e-18,0.51,0.49,0.48,0.5
ENSDCDT00000010413_ENSDCDG00000004755,0.57,0.55,0.56,0.54,0.5,0.46,0.5,0.46,0.5,0.5,0.5,0.5,0.5,0.5,0.56,0.56,0.59,0.56,0.56,0.56,1e-18,0.57,0.57,0.57,0.57,0.57,1e-18,1.0,0.51,0.49,0.49,0.45
ENSDCDT00000010446_ENSDCDG00000004757,0.58,0.57,0.57,0.48,0.49,0.49,0.49,0.49,0.58,0.58,0.58,0.58,0.58,0.58,0.55,0.57,0.51,0.56,0.58,0.57,0.49,0.49,0.52,0.53,0.52,0.52,0.51,0.51,1.0,0.63,0.61,0.56
ENSDCDT00000010457_ENSDCDG00000004764,0.57,0.58,0.59,0.48,0.51,0.51,0.51,0.51,0.56,0.56,0.56,0.56,0.56,0.56,0.57,0.58,0.52,0.57,0.59,0.57,0.51,0.51,0.54,0.56,0.54,0.54,0.49,0.49,0.63,1.0,0.89,0.56
ENSDCDT00000010460_ENSDCDG00000004764,0.56,0.57,0.57,0.46,0.49,0.49,0.49,0.49,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.56,0.52,0.55,0.56,0.56,0.5,0.5,0.53,0.55,0.53,0.53,0.48,0.49,0.61,0.89,1.0,0.54
ENSAMXT00000040914_ENSAMXG00000037672,0.49,0.5,0.5,0.51,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.55,0.56,0.53,0.57,0.58,0.49,0.48,0.46,0.5,0.5,0.5,0.49,0.5,0.45,0.56,0.56,0.54,1.0
