,FBtr0077685_FBgn0051694,F58B3.6.1_WBGene00010232,ENSOANT00000005620_ENSOANG00000003546,ENSVURT00010014025_ENSVURG00010009503,ENSVURT00010014039_ENSVURG00010009503,ENSPCIT00000019958_ENSPCIG00000012498,ENSPCIT00000058566_ENSPCIG00000012498,ENSPCIT00000063516_ENSPCIG00000012498,ENSMEUT00000014109_ENSMEUG00000014064,ENSSHAT00000017059_ENSSHAG00000014390,ENSSHAT00000017060_ENSSHAG00000014390,ENSMODT00000020216_ENSMODG00000015916,ENSLAFT00000004166_ENSLAFG00000004167,ENSLAFT00000029713_ENSLAFG00000004167,ENSPCAT00000013376_ENSPCAG00000013362,ENSETET00000019162_ENSETEG00000019162,ENSPPAT00000063600_ENSPPAG00000042969,ENSPTRT00000093690_ENSPTRG00000019601,ENSPTRT00000089084_ENSPTRG00000019601,ENST00000432734_ENSG00000006652,ENST00000005558_ENSG00000006652,ENST00000443101_ENSG00000006652,ENST00000445335_ENSG00000006652,ENST00000417662_ENSG00000006652,ENST00000403825_ENSG00000006652,ENST00000429071_ENSG00000006652,ENST00000476927_ENSG00000006652,ENST00000440625_ENSG00000006652,ENST00000621379_ENSG00000006652,ENST00000535603_ENSG00000006652,ENSGGOT00000030418_ENSGGOG00000000718,ENSGGOT00000049977_ENSGGOG00000000718,ENSGGOT00000000723_ENSGGOG00000000718,ENSPPYT00000033253_ENSPPYG00000029715,ENSNLET00000014451_ENSNLEG00000011280,ENSNLET00000041149_ENSNLEG00000011280,ENSMMUT00000096258_ENSMMUG00000008033,ENSMMUT00000076969_ENSMMUG00000052812,ENSMFAT00000002238_ENSMFAG00000045385,ENSMNET00000069071_ENSMNEG00000044857,ENSMNET00000069077_ENSMNEG00000044857,ENSCATT00000058979_ENSCATG00000040248,ENSMLET00000040590_ENSMLEG00000032760,ENSMLET00000040592_ENSMLEG00000032760,ENSMLET00000040599_ENSMLEG00000032760,ENSTGET00000022507_ENSTGEG00000015223,ENSTGET00000022515_ENSTGEG00000015223,ENSPANT00000054433_ENSPANG00000021877,ENSCSAT00000009208_ENSCSAG00000011121,ENSPTET00000029704_ENSPTEG00000021693
ENSSHAT00000017060_ENSSHAG00000014390,0.24,0.27,0.67,0.93,0.81,0.93,0.9,0.82,0.79,0.94,1.0,0.92,0.8,0.82,0.76,0.72,0.73,0.73,0.79,0.67,0.82,0.67,0.69,0.72,0.82,0.73,0.7,0.69,0.79,0.79,0.82,0.73,0.79,0.81,0.82,0.73,0.82,0.68,0.73,0.82,0.74,0.73,0.79,0.71,0.78,0.82,0.74,0.74,0.82,0.82
ENSMODT00000020216_ENSMODG00000015916,0.25,0.27,0.66,0.92,0.81,0.92,0.89,0.82,0.77,0.9,0.92,1.0,0.8,0.82,0.75,0.72,0.73,0.72,0.79,0.62,0.82,0.67,0.68,0.66,0.82,0.72,0.7,0.69,0.79,0.79,0.82,0.73,0.79,0.8,0.82,0.73,0.82,0.68,0.73,0.82,0.73,0.73,0.79,0.72,0.78,0.82,0.73,0.73,0.82,0.82
ENSLAFT00000004166_ENSLAFG00000004167,0.25,0.25,0.65,0.8,0.72,0.8,0.77,0.73,0.69,0.78,0.8,0.8,1.0,0.94,0.83,0.77,0.77,0.77,0.84,0.78,0.86,0.72,0.74,0.78,0.86,0.77,0.77,0.76,0.84,0.84,0.86,0.77,0.84,0.85,0.86,0.78,0.86,0.73,0.78,0.85,0.78,0.78,0.83,0.76,0.82,0.85,0.78,0.78,0.86,0.86
ENSLAFT00000029713_ENSLAFG00000004167,0.25,0.25,0.66,0.82,0.74,0.82,0.79,0.74,0.69,0.8,0.82,0.82,0.94,1.0,0.85,0.78,0.79,0.79,0.85,0.74,0.88,0.73,0.75,0.74,0.88,0.78,0.77,0.77,0.85,0.85,0.88,0.78,0.85,0.87,0.88,0.79,0.88,0.74,0.79,0.88,0.79,0.8,0.84,0.77,0.83,0.88,0.79,0.79,0.88,0.88
ENSPCAT00000013376_ENSPCAG00000013362,0.25,0.26,0.63,0.76,0.71,0.76,0.74,0.71,0.65,0.74,0.76,0.75,0.83,0.85,1.0,0.73,0.75,0.75,0.79,0.66,0.81,0.71,0.7,0.63,0.81,0.75,0.73,0.72,0.79,0.79,0.81,0.76,0.79,0.8,0.81,0.76,0.81,0.7,0.76,0.81,0.76,0.76,0.79,0.76,0.78,0.81,0.76,0.76,0.81,0.81
ENSETET00000019162_ENSETEG00000019162,0.27,0.28,0.63,0.72,0.7,0.72,0.7,0.7,0.67,0.71,0.72,0.72,0.77,0.78,0.73,1.0,0.75,0.75,0.75,0.67,0.77,0.76,0.72,0.72,0.77,0.75,0.73,0.72,0.75,0.75,0.77,0.74,0.75,0.76,0.77,0.75,0.77,0.72,0.75,0.77,0.75,0.75,0.75,0.73,0.74,0.77,0.75,0.75,0.77,0.77
ENSPPAT00000063600_ENSPPAG00000042969,1e-18,1e-18,1e-18,0.74,0.79,0.74,0.71,0.79,0.68,0.72,0.73,0.73,0.77,0.79,0.75,0.75,1.0,0.94,0.83,0.84,0.86,0.85,0.87,0.83,0.86,0.97,0.88,0.88,0.83,0.83,0.86,0.94,0.83,0.87,0.86,0.94,0.85,1e-18,0.98,0.85,0.92,0.98,0.83,0.87,0.82,0.85,0.92,0.98,0.85,0.84
ENSPTRT00000093690_ENSPTRG00000019601,1e-18,1e-18,1e-18,0.73,0.8,0.74,0.71,0.79,0.68,0.72,0.73,0.72,0.77,0.79,0.75,0.75,0.94,1.0,0.84,0.83,0.86,0.83,0.85,0.82,0.86,0.93,0.88,0.88,0.83,0.83,0.86,0.99,0.83,0.87,0.86,0.99,0.85,1e-18,0.92,0.85,0.98,0.92,0.83,0.92,0.82,0.85,0.98,0.92,0.85,0.84
ENSPTRT00000089084_ENSPTRG00000019601,0.26,0.27,0.66,0.79,0.7,0.79,0.79,0.69,0.68,0.77,0.79,0.79,0.84,0.85,0.79,0.75,0.83,0.84,1.0,1e-18,0.93,0.82,0.76,1e-18,0.93,0.83,0.86,0.86,0.95,0.95,0.93,0.83,0.95,0.92,0.92,0.84,0.92,0.8,0.82,0.92,0.82,0.82,0.91,0.82,0.91,0.92,0.83,0.82,0.92,0.92
ENST00000432734_ENSG00000006652,1e-18,1e-18,1e-18,0.7,0.72,0.7,1e-18,0.72,0.69,0.66,0.67,0.62,0.78,0.74,0.66,0.67,0.84,0.83,1e-18,1.0,0.82,1e-18,0.9,1.0,0.82,0.85,1e-18,1e-18,1e-18,1e-18,0.79,0.82,1e-18,0.81,0.81,0.83,0.78,1e-18,0.81,0.78,0.8,0.81,1e-18,1e-18,1e-18,0.77,0.79,0.81,0.78,0.76
ENST00000005558_ENSG00000006652,0.26,0.26,0.66,0.82,0.74,0.82,0.79,0.73,0.69,0.8,0.82,0.82,0.86,0.88,0.81,0.77,0.86,0.86,0.93,0.82,1.0,0.82,0.83,0.82,0.96,0.86,0.85,0.85,0.94,0.94,0.96,0.86,0.93,0.94,0.95,0.86,0.94,0.8,0.84,0.94,0.85,0.84,0.91,0.83,0.9,0.94,0.85,0.85,0.94,0.94
ENST00000443101_ENSG00000006652,1e-18,1e-18,1e-18,0.69,0.71,0.68,0.68,0.7,1e-18,0.66,0.67,0.67,0.72,0.73,0.71,0.76,0.85,0.83,0.82,1e-18,0.82,1.0,0.8,1e-18,0.82,0.85,0.88,0.88,0.83,0.83,0.81,0.83,0.82,0.82,0.82,0.84,0.8,1e-18,0.82,0.8,0.82,0.83,0.8,0.82,0.79,0.8,0.82,0.83,0.79,0.79
ENST00000445335_ENSG00000006652,1e-18,1e-18,1e-18,0.71,0.74,0.71,0.69,0.73,0.68,0.69,0.69,0.68,0.74,0.75,0.7,0.72,0.87,0.85,0.76,0.9,0.83,0.8,1.0,0.9,0.83,0.88,0.8,0.8,0.8,0.8,0.82,0.85,0.8,0.83,0.82,0.86,0.8,1e-18,0.85,0.8,0.83,0.85,0.78,0.79,0.78,0.79,0.82,0.85,0.8,0.78
ENST00000417662_ENSG00000006652,1e-18,1e-18,1e-18,0.78,0.8,0.78,1e-18,0.8,0.78,0.72,0.72,0.66,0.78,0.74,0.63,0.72,0.83,0.82,1e-18,1.0,0.82,1e-18,0.9,1.0,0.82,0.85,1e-18,1e-18,1e-18,1e-18,0.78,0.8,1e-18,0.8,0.8,0.82,0.8,1e-18,0.83,0.8,0.82,0.83,1e-18,1e-18,1e-18,0.8,0.82,0.83,0.8,0.8
ENST00000403825_ENSG00000006652,0.26,0.26,0.66,0.82,0.74,0.82,0.79,0.73,0.69,0.8,0.82,0.82,0.86,0.88,0.81,0.77,0.86,0.86,0.93,0.82,0.96,0.82,0.83,0.82,1.0,0.86,0.85,0.85,0.94,0.94,0.96,0.86,0.93,0.94,0.95,0.86,0.94,0.8,0.84,0.94,0.85,0.84,0.91,0.83,0.9,0.94,0.85,0.85,0.94,0.94
ENST00000429071_ENSG00000006652,1e-18,1e-18,1e-18,0.73,0.79,0.74,0.71,0.78,0.68,0.71,0.73,0.72,0.77,0.78,0.75,0.75,0.97,0.93,0.83,0.85,0.86,0.85,0.88,0.85,0.86,1.0,0.88,0.88,0.84,0.84,0.85,0.93,0.83,0.87,0.86,0.93,0.85,1e-18,0.95,0.84,0.92,0.95,0.83,0.87,0.82,0.84,0.92,0.96,0.84,0.84
ENST00000476927_ENSG00000006652,1e-18,1e-18,1e-18,0.69,0.74,0.7,0.7,0.73,1e-18,0.68,0.7,0.7,0.77,0.77,0.73,0.73,0.88,0.88,0.86,1e-18,0.85,0.88,0.8,1e-18,0.85,0.88,1.0,0.98,0.87,0.87,0.84,0.88,0.86,0.85,0.85,0.88,0.84,1e-18,0.86,0.83,0.87,0.86,0.83,0.87,0.83,0.84,0.87,0.87,0.83,0.83
ENST00000440625_ENSG00000006652,1e-18,1e-18,1e-18,0.7,0.74,0.7,0.7,0.73,0.61,0.68,0.69,0.69,0.76,0.77,0.72,0.72,0.88,0.88,0.86,1e-18,0.85,0.88,0.8,1e-18,0.85,0.88,0.98,1.0,0.87,0.87,0.84,0.88,0.86,0.85,0.85,0.88,0.84,1e-18,0.86,0.84,0.87,0.86,0.84,0.87,0.83,0.84,0.87,0.87,0.84,0.84
ENST00000621379_ENSG00000006652,0.26,0.27,0.66,0.79,0.7,0.79,0.79,0.7,0.68,0.77,0.79,0.79,0.84,0.85,0.79,0.75,0.83,0.83,0.95,1e-18,0.94,0.83,0.8,1e-18,0.94,0.84,0.87,0.87,1.0,0.96,0.93,0.83,0.95,0.92,0.92,0.84,0.92,0.8,0.82,0.92,0.83,0.82,0.91,0.83,0.91,0.92,0.83,0.82,0.92,0.92
ENST00000535603_ENSG00000006652,0.26,0.27,0.66,0.79,0.7,0.79,0.79,0.7,0.68,0.77,0.79,0.79,0.84,0.85,0.79,0.75,0.83,0.83,0.95,1e-18,0.94,0.83,0.8,1e-18,0.94,0.84,0.87,0.87,0.96,1.0,0.93,0.83,0.95,0.92,0.92,0.84,0.92,0.8,0.82,0.92,0.83,0.82,0.91,0.83,0.91,0.92,0.83,0.82,0.92,0.92
ENSGGOT00000030418_ENSGGOG00000000718,0.26,0.27,0.65,0.82,0.73,0.82,0.79,0.73,0.69,0.8,0.82,0.82,0.86,0.88,0.81,0.77,0.86,0.86,0.93,0.79,0.96,0.81,0.82,0.78,0.96,0.85,0.84,0.84,0.93,0.93,1.0,0.87,0.94,0.95,0.95,0.86,0.94,0.8,0.84,0.94,0.84,0.84,0.91,0.83,0.9,0.94,0.84,0.84,0.94,0.94
ENSGGOT00000049977_ENSGGOG00000000718,1e-18,1e-18,1e-18,0.73,0.8,0.73,0.72,0.79,0.66,0.72,0.73,0.73,0.77,0.78,0.76,0.74,0.94,0.99,0.83,0.82,0.86,0.83,0.85,0.8,0.86,0.93,0.88,0.88,0.83,0.83,0.87,1.0,0.84,0.87,0.86,0.99,0.85,1e-18,0.92,0.84,0.98,0.92,0.83,0.92,0.82,0.84,0.98,0.92,0.84,0.84
ENSGGOT00000000723_ENSGGOG00000000718,0.26,0.27,0.66,0.79,0.7,0.79,0.79,0.7,0.68,0.77,0.79,0.79,0.84,0.85,0.79,0.75,0.83,0.83,0.95,1e-18,0.93,0.82,0.8,1e-18,0.93,0.83,0.86,0.86,0.95,0.95,0.94,0.84,1.0,0.92,0.93,0.84,0.92,0.8,0.82,0.92,0.83,0.82,0.92,0.83,0.91,0.92,0.83,0.82,0.92,0.92
ENSPPYT00000033253_ENSPPYG00000029715,0.21,0.24,0.66,0.81,0.74,0.81,0.78,0.74,0.68,0.79,0.81,0.8,0.85,0.87,0.8,0.76,0.87,0.87,0.92,0.81,0.94,0.82,0.83,0.8,0.94,0.87,0.85,0.85,0.92,0.92,0.95,0.87,0.92,1.0,0.95,0.87,0.94,0.8,0.85,0.94,0.86,0.85,0.9,0.84,0.9,0.93,0.86,0.86,0.94,0.93
ENSNLET00000014451_ENSNLEG00000011280,0.25,0.26,0.65,0.83,0.74,0.82,0.79,0.74,0.69,0.8,0.82,0.82,0.86,0.88,0.81,0.77,0.86,0.86,0.92,0.81,0.95,0.82,0.82,0.8,0.95,0.86,0.85,0.85,0.92,0.92,0.95,0.86,0.93,0.95,1.0,0.87,0.95,0.79,0.85,0.95,0.85,0.85,0.92,0.83,0.91,0.95,0.85,0.85,0.95,0.95
ENSNLET00000041149_ENSNLEG00000011280,1e-18,1e-18,1e-18,0.74,0.81,0.74,0.72,0.79,0.68,0.72,0.73,0.73,0.78,0.79,0.76,0.75,0.94,0.99,0.84,0.83,0.86,0.84,0.86,0.82,0.86,0.93,0.88,0.88,0.84,0.84,0.86,0.99,0.84,0.87,0.87,1.0,0.85,1e-18,0.92,0.85,0.98,0.92,0.83,0.92,0.82,0.85,0.98,0.93,0.85,0.84
ENSMMUT00000096258_ENSMMUG00000008033,0.26,0.26,0.65,0.83,0.74,0.82,0.79,0.74,0.69,0.8,0.82,0.82,0.86,0.88,0.81,0.77,0.85,0.85,0.92,0.78,0.94,0.8,0.8,0.8,0.94,0.85,0.84,0.84,0.92,0.92,0.94,0.85,0.92,0.94,0.95,0.85,1.0,0.82,0.86,0.96,0.86,0.86,0.93,0.84,0.92,0.96,0.86,0.86,0.96,0.96
ENSMMUT00000076969_ENSMMUG00000052812,0.21,0.22,0.65,0.67,1e-18,0.66,0.66,1e-18,0.67,0.68,0.68,0.68,0.73,0.74,0.7,0.72,1e-18,1e-18,0.8,1e-18,0.8,1e-18,1e-18,1e-18,0.8,1e-18,1e-18,1e-18,0.8,0.8,0.8,1e-18,0.8,0.8,0.79,1e-18,0.82,1.0,1e-18,0.82,1e-18,1e-18,0.81,1e-18,0.81,0.82,1e-18,1e-18,0.81,0.8
ENSMFAT00000002238_ENSMFAG00000045385,1e-18,1e-18,1e-18,0.74,0.79,0.74,0.71,0.79,0.71,0.72,0.73,0.73,0.78,0.79,0.76,0.75,0.98,0.92,0.82,0.81,0.84,0.82,0.85,0.83,0.84,0.95,0.86,0.86,0.82,0.82,0.84,0.92,0.82,0.85,0.85,0.92,0.86,1e-18,1.0,0.86,0.94,1.0,0.84,0.88,0.83,0.86,0.94,1.0,0.86,0.85
ENSMNET00000069071_ENSMNEG00000044857,0.26,0.26,0.65,0.82,0.74,0.82,0.79,0.74,0.69,0.8,0.82,0.82,0.85,0.88,0.81,0.77,0.85,0.85,0.92,0.78,0.94,0.8,0.8,0.8,0.94,0.84,0.83,0.84,0.92,0.92,0.94,0.84,0.92,0.94,0.95,0.85,0.96,0.82,0.86,1.0,0.87,0.86,0.93,0.84,0.92,0.96,0.86,0.86,0.96,0.95
ENSMNET00000069077_ENSMNEG00000044857,1e-18,1e-18,1e-18,0.74,0.81,0.74,0.72,0.8,0.7,0.72,0.74,0.73,0.78,0.79,0.76,0.75,0.92,0.98,0.82,0.8,0.85,0.82,0.83,0.82,0.85,0.92,0.87,0.87,0.83,0.83,0.84,0.98,0.83,0.86,0.85,0.98,0.86,1e-18,0.94,0.87,1.0,0.94,0.84,0.93,0.83,0.86,1.0,0.94,0.86,0.85
ENSCATT00000058979_ENSCATG00000040248,1e-18,1e-18,1e-18,0.74,0.8,0.74,0.72,0.79,0.71,0.72,0.73,0.73,0.78,0.8,0.76,0.75,0.98,0.92,0.82,0.81,0.84,0.83,0.85,0.83,0.84,0.95,0.86,0.86,0.82,0.82,0.84,0.92,0.82,0.85,0.85,0.92,0.86,1e-18,1.0,0.86,0.94,1.0,0.84,0.88,0.83,0.86,0.94,1.0,0.86,0.85
ENSMLET00000040590_ENSMLEG00000032760,0.25,0.26,0.65,0.79,0.71,0.79,0.79,0.72,0.67,0.77,0.79,0.79,0.83,0.84,0.79,0.75,0.83,0.83,0.91,1e-18,0.91,0.8,0.78,1e-18,0.91,0.83,0.83,0.84,0.91,0.91,0.91,0.83,0.92,0.9,0.92,0.83,0.93,0.81,0.84,0.93,0.84,0.84,1.0,0.87,0.92,0.93,0.84,0.84,0.93,0.92
ENSMLET00000040592_ENSMLEG00000032760,1e-18,1e-18,1e-18,0.71,0.74,0.72,0.72,0.74,1e-18,0.7,0.71,0.72,0.76,0.77,0.76,0.73,0.87,0.92,0.82,1e-18,0.83,0.82,0.79,1e-18,0.83,0.87,0.87,0.87,0.83,0.83,0.83,0.92,0.83,0.84,0.83,0.92,0.84,1e-18,0.88,0.84,0.93,0.88,0.87,1.0,0.84,0.84,0.93,0.88,0.84,0.84
ENSMLET00000040599_ENSMLEG00000032760,0.25,0.26,0.65,0.78,0.71,0.78,0.78,0.71,0.67,0.76,0.78,0.78,0.82,0.83,0.78,0.74,0.82,0.82,0.91,1e-18,0.9,0.79,0.78,1e-18,0.9,0.82,0.83,0.83,0.91,0.91,0.9,0.82,0.91,0.9,0.91,0.82,0.92,0.81,0.83,0.92,0.83,0.83,0.92,0.84,1.0,0.92,0.84,0.83,0.92,0.91
ENSTGET00000022507_ENSTGEG00000015223,0.26,0.26,0.65,0.82,0.74,0.82,0.79,0.74,0.69,0.8,0.82,0.82,0.85,0.88,0.81,0.77,0.85,0.85,0.92,0.77,0.94,0.8,0.79,0.8,0.94,0.84,0.84,0.84,0.92,0.92,0.94,0.84,0.92,0.93,0.95,0.85,0.96,0.82,0.86,0.96,0.86,0.86,0.93,0.84,0.92,1.0,0.87,0.86,0.96,0.95
ENSTGET00000022515_ENSTGEG00000015223,1e-18,1e-18,1e-18,0.74,0.81,0.74,0.72,0.8,0.69,0.72,0.74,0.73,0.78,0.79,0.76,0.75,0.92,0.98,0.83,0.79,0.85,0.82,0.82,0.82,0.85,0.92,0.87,0.87,0.83,0.83,0.84,0.98,0.83,0.86,0.85,0.98,0.86,1e-18,0.94,0.86,1.0,0.94,0.84,0.93,0.84,0.87,1.0,0.94,0.86,0.85
ENSPANT00000054433_ENSPANG00000021877,1e-18,1e-18,1e-18,0.74,0.8,0.74,0.71,0.79,0.71,0.72,0.74,0.73,0.78,0.79,0.76,0.75,0.98,0.92,0.82,0.81,0.85,0.83,0.85,0.83,0.85,0.96,0.87,0.87,0.82,0.82,0.84,0.92,0.82,0.86,0.85,0.93,0.86,1e-18,1.0,0.86,0.94,1.0,0.84,0.88,0.83,0.86,0.94,1.0,0.86,0.85
ENSCSAT00000009208_ENSCSAG00000011121,0.26,0.26,0.65,0.82,0.74,0.82,0.79,0.74,0.69,0.8,0.82,0.82,0.86,0.88,0.81,0.77,0.85,0.85,0.92,0.78,0.94,0.79,0.8,0.8,0.94,0.84,0.83,0.84,0.92,0.92,0.94,0.84,0.92,0.94,0.95,0.85,0.96,0.81,0.86,0.96,0.86,0.86,0.93,0.84,0.92,0.96,0.86,0.86,1.0,0.95
ENSPTET00000029704_ENSPTEG00000021693,0.26,0.26,0.65,0.82,0.74,0.82,0.79,0.73,0.69,0.8,0.82,0.82,0.86,0.88,0.81,0.77,0.84,0.84,0.92,0.76,0.94,0.79,0.78,0.8,0.94,0.84,0.83,0.84,0.92,0.92,0.94,0.84,0.92,0.93,0.95,0.84,0.96,0.8,0.85,0.95,0.85,0.85,0.92,0.84,0.91,0.95,0.85,0.85,0.95,1.0
