,ENSELUT00000019698_ENSELUG00000001696,ENSMALT00000015184_ENSMALG00000010446,ENSHBUT00000005730_ENSHBUG00000007572,ENSMALT00000006971_ENSMALG00000004868,ENSORLT00000029415_ENSORLG00000024839,ENSPNYT00000003834_ENSPNYG00000002924,ENSPNYT00000003841_ENSPNYG00000002924,ENSGWIT00000029454_ENSGWIG00000014147,ENSGWIT00000029455_ENSGWIG00000014147,ENSGWIT00000029458_ENSGWIG00000014147,ENSMAMT00000024001_ENSMAMG00000015753,ENSATET00000002141_ENSATEG00000001520,ENSATET00000002155_ENSATEG00000001520,ENSLCAT00010014090_ENSLCAG00010006558,ENSLBET00000024235_ENSLBEG00000017662,ENSIPUT00000004246_ENSIPUG00000002867,ENSPKIT00000014576_ENSPKIG00000013304,ENSLOCT00000004310_ENSLOCG00000003631,ENSECRT00000034308_ENSECRG00000022734,ENSECRT00000034314_ENSECRG00000022734,ENSEBUT00000008988_ENSEBUG00000005491,ENSPTET00000024393_ENSPTEG00000018066,ENSPTET00000012414_ENSPTEG00000009256,C04E6.5.1_WBGene00015422,YIL156W_mRNA_YIL156W
ENSMAMT00000024001_ENSMAMG00000015753,1e-18,1e-18,1e-18,0.16,0.36,0.4,0.38,0.38,0.39,0.39,1.0,0.64,0.64,0.66,0.58,0.32,0.4,0.34,0.17,0.18,0.25,1e-18,1e-18,0.16,1e-18
ENSATET00000002141_ENSATEG00000001520,1e-18,1e-18,1e-18,0.2,0.38,0.38,0.35,0.4,0.41,0.4,0.64,1.0,0.91,0.62,0.53,0.32,0.31,0.32,0.18,0.19,0.3,1e-18,1e-18,0.2,1e-18
ENSATET00000002155_ENSATEG00000001520,1e-18,1e-18,1e-18,0.2,0.38,0.38,0.35,0.4,0.41,0.4,0.64,0.91,1.0,0.62,0.53,0.32,0.31,0.32,0.18,0.19,0.31,1e-18,1e-18,0.21,1e-18
ENSLCAT00010014090_ENSLCAG00010006558,1e-18,1e-18,1e-18,0.16,0.36,0.39,0.37,0.38,0.38,0.38,0.66,0.62,0.62,1.0,0.56,0.32,0.32,0.34,0.21,0.21,0.28,1e-18,1e-18,0.19,1e-18
ENSLBET00000024235_ENSLBEG00000017662,1e-18,1e-18,1e-18,0.19,0.36,0.39,0.37,0.39,0.39,0.39,0.58,0.53,0.53,0.56,1.0,0.33,0.35,0.32,0.19,0.19,0.27,1e-18,1e-18,0.17,1e-18
ENSIPUT00000004246_ENSIPUG00000002867,0.18,0.19,0.26,0.13,0.31,0.29,0.32,0.31,0.31,0.31,0.32,0.32,0.32,0.32,0.33,1.0,0.36,0.37,0.15,0.15,0.23,0.2,0.2,0.17,0.38
ENSPKIT00000014576_ENSPKIG00000013304,0.24,0.21,0.21,0.17,0.41,0.41,0.38,0.32,0.34,0.32,0.4,0.31,0.31,0.32,0.35,0.36,1.0,0.39,0.32,0.32,0.29,0.2,0.21,0.17,0.35
ENSLOCT00000004310_ENSLOCG00000003631,0.25,0.32,0.29,0.15,0.37,0.33,0.37,0.34,0.34,0.35,0.34,0.32,0.32,0.34,0.32,0.37,0.39,1.0,0.24,0.24,0.24,0.21,0.25,0.11,0.33
ENSECRT00000034308_ENSECRG00000022734,1e-18,1e-18,1e-18,0.19,0.14,0.12,0.12,0.19,0.13,0.19,0.17,0.18,0.18,0.21,0.19,0.15,0.32,0.24,1.0,0.91,0.19,1e-18,1e-18,0.18,1e-18
ENSECRT00000034314_ENSECRG00000022734,1e-18,1e-18,1e-18,0.19,0.14,0.12,0.12,0.19,0.14,0.19,0.18,0.19,0.19,0.21,0.19,0.15,0.32,0.24,0.91,1.0,0.19,1e-18,1e-18,0.18,1e-18
ENSEBUT00000008988_ENSEBUG00000005491,1e-18,1e-18,1e-18,0.25,0.2,0.24,0.23,0.32,0.32,0.32,0.25,0.3,0.31,0.28,0.27,0.23,0.29,0.24,0.19,0.19,1.0,1e-18,1e-18,0.25,1e-18
ENSPTET00000024393_ENSPTEG00000018066,0.17,0.19,0.13,1e-18,0.14,1e-18,0.17,0.16,0.16,0.16,1e-18,1e-18,1e-18,1e-18,1e-18,0.2,0.2,0.21,1e-18,1e-18,1e-18,1.0,0.44,1e-18,0.32
ENSPTET00000012414_ENSPTEG00000009256,0.17,0.21,0.12,1e-18,0.19,1e-18,0.15,0.17,0.17,0.17,1e-18,1e-18,1e-18,1e-18,1e-18,0.2,0.21,0.25,1e-18,1e-18,1e-18,0.44,1.0,1e-18,0.34
C04E6.5.1_WBGene00015422,1e-18,1e-18,1e-18,0.23,0.09,0.22,0.19,0.1,0.1,0.1,0.16,0.2,0.21,0.19,0.17,0.17,0.17,0.11,0.18,0.18,0.25,1e-18,1e-18,1.0,1e-18
YIL156W_mRNA_YIL156W,0.22,0.28,0.21,1e-18,0.4,1e-18,0.34,0.38,0.38,0.38,1e-18,1e-18,1e-18,1e-18,1e-18,0.38,0.35,0.33,1e-18,1e-18,1e-18,0.32,0.34,1e-18,1.0
