,ENSCABT00000019905_ENSCABG00000013483,ENSGAGT00000026083_ENSGAGG00000016784,ENSCPBT00000018232_ENSCPBG00000011385,ENSCPRT00005001336_ENSCPRG00005000879,ENSCPRT00005001340_ENSCPRG00005000879,ENSPVIT00000002506_ENSPVIG00000001684,ENSSMRT00000013331_ENSSMRG00000008991,ENSEEUT00000006495_ENSEEUG00000006507,ENSSART00000011453_ENSSARG00000011442,ENSPTRT00000008205_ENSPTRG00000004428,ENSPPAT00000028670_ENSPPAG00000025837,ENST00000326621_ENSG00000019102,ENST00000403470_ENSG00000019102,ENSGGOT00000005821_ENSGGOG00000005793,ENSPPYT00000004776_ENSPPYG00000004019,ENSNLET00000009488_ENSNLEG00000007438,ENSMLET00000044242_ENSMLEG00000034586,ENSCATT00000039978_ENSCATG00000031866,ENSPANT00000008897_ENSPANG00000023741,ENSMFAT00000014011_ENSMFAG00000046060,ENSMNET00000060836_ENSMNEG00000041317,ENSTGET00000041000_ENSTGEG00000027548,ENSCSAT00000000395_ENSCSAG00000002377,ENSCANT00000014713_ENSCANG00000013117,ENSPTET00000008868_ENSPTEG00000006664,ENSRBIT00000000755_ENSRBIG00000000677,ENSRROT00000041875_ENSRROG00000032958,ENSCCAT00000051997_ENSCCAG00000035089,ENSSBOT00000025909_ENSSBOG00000021464,ENSCJAT00000015614_ENSCJAG00000007995,ENSANAT00000056737_ENSANAG00000036762,ENSTSYT00000011575_ENSTSYG00000011576,ENSPSMT00000002830_ENSPSMG00000001874,ENSMICT00000001692_ENSMICG00000001695,ENSPCOT00000019346_ENSPCOG00000015699,ENSOGAT00000015711_ENSOGAG00000015706,ENSDORT00000002738_ENSDORG00000002740,ENSCLAT00000022427_ENSCLAG00000015241,ENSODET00000006751_ENSODEG00000004967,ENSCPOT00000000604_ENSCPOG00000000599,ENSCAPT00000019492_ENSCAPG00000015778,ENSHGLT00100006574_ENSHGLG00100004860,ENSHGLT00000004394_ENSHGLG00000003169,ENSFDAT00000014237_ENSFDAG00000010404,ENSMUST00000002008_ENSMUSG00000001943,ENSMUST00000215957_ENSMUSG00000001943,ENSMUST00000215271_ENSMUSG00000001943
ENSPPAT00000028670_ENSPPAG00000025837,0.54,0.36,0.38,0.33,0.47,0.45,0.58,0.58,0.48,0.89,1.0,0.89,0.85,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.86,0.86,0.83,0.8,0.79,0.83,0.82,0.79,0.75,0.74,0.79,0.7,0.75,0.75,0.79,0.79,0.63,0.68
ENST00000326621_ENSG00000019102,0.55,0.36,0.38,0.33,0.47,0.45,0.58,0.58,0.49,0.89,0.89,1.0,0.85,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.86,0.86,0.84,0.8,0.79,0.84,0.82,0.79,0.76,0.74,0.79,0.7,0.75,0.75,0.8,0.79,0.63,0.68
ENST00000403470_ENSG00000019102,0.6,0.38,0.4,0.31,0.47,0.49,0.54,0.56,0.46,0.85,0.85,0.85,1.0,0.85,0.85,0.85,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.82,0.82,0.83,0.82,0.8,0.86,0.76,0.8,0.79,0.76,0.73,0.71,0.76,0.68,0.72,0.72,0.77,0.75,0.6,0.66
ENSGGOT00000005821_ENSGGOG00000005793,0.54,0.35,0.38,0.34,0.47,0.45,0.58,0.58,0.48,0.89,0.89,0.89,0.85,1.0,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.87,0.86,0.84,0.8,0.79,0.84,0.82,0.79,0.76,0.74,0.79,0.7,0.75,0.75,0.8,0.79,0.63,0.69
ENSPPYT00000004776_ENSPPYG00000004019,0.54,0.35,0.38,0.33,0.47,0.45,0.58,0.58,0.48,0.89,0.89,0.89,0.85,0.89,1.0,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.88,0.88,0.86,0.86,0.86,0.86,0.83,0.79,0.79,0.83,0.82,0.79,0.75,0.74,0.79,0.7,0.75,0.75,0.79,0.79,0.63,0.68
ENSNLET00000009488_ENSNLEG00000007438,0.55,0.36,0.38,0.33,0.47,0.45,0.58,0.59,0.49,0.89,0.89,0.89,0.85,0.89,0.88,1.0,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.86,0.86,0.84,0.8,0.79,0.84,0.82,0.79,0.75,0.74,0.79,0.7,0.75,0.75,0.8,0.79,0.63,0.69
ENSMLET00000044242_ENSMLEG00000034586,0.55,0.35,0.38,0.34,0.47,0.44,0.58,0.58,0.49,0.88,0.88,0.88,0.84,0.88,0.88,0.88,1.0,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.86,0.86,0.86,0.86,0.83,0.79,0.78,0.83,0.82,0.79,0.75,0.74,0.78,0.7,0.75,0.75,0.8,0.79,0.62,0.68
ENSCATT00000039978_ENSCATG00000031866,0.55,0.35,0.38,0.33,0.47,0.45,0.58,0.58,0.49,0.88,0.88,0.88,0.84,0.88,0.88,0.88,0.89,1.0,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.86,0.86,0.86,0.86,0.83,0.79,0.79,0.83,0.82,0.79,0.75,0.74,0.79,0.7,0.75,0.75,0.8,0.79,0.63,0.68
ENSPANT00000008897_ENSPANG00000023741,0.55,0.35,0.38,0.33,0.47,0.45,0.58,0.58,0.49,0.88,0.88,0.88,0.84,0.88,0.88,0.88,0.89,0.89,1.0,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.86,0.86,0.86,0.86,0.83,0.79,0.79,0.83,0.82,0.79,0.75,0.74,0.79,0.7,0.75,0.75,0.8,0.79,0.63,0.68
ENSMFAT00000014011_ENSMFAG00000046060,0.55,0.35,0.38,0.33,0.47,0.44,0.58,0.58,0.49,0.88,0.88,0.88,0.84,0.88,0.88,0.88,0.89,0.89,0.89,1.0,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.86,0.86,0.86,0.86,0.83,0.79,0.79,0.83,0.82,0.79,0.75,0.74,0.78,0.7,0.75,0.75,0.8,0.79,0.63,0.68
ENSMNET00000060836_ENSMNEG00000041317,0.55,0.35,0.38,0.33,0.47,0.44,0.58,0.58,0.49,0.88,0.88,0.88,0.84,0.88,0.88,0.88,0.89,0.89,0.89,0.89,1.0,0.89,0.89,0.88,0.88,0.89,0.89,0.85,0.85,0.86,0.86,0.83,0.79,0.78,0.83,0.82,0.79,0.75,0.74,0.78,0.7,0.75,0.75,0.8,0.79,0.62,0.68
ENSTGET00000041000_ENSTGEG00000027548,0.55,0.35,0.38,0.33,0.47,0.45,0.58,0.58,0.49,0.88,0.88,0.88,0.84,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.89,1.0,0.89,0.88,0.88,0.89,0.89,0.86,0.86,0.86,0.86,0.83,0.79,0.79,0.83,0.82,0.79,0.75,0.74,0.79,0.7,0.75,0.75,0.8,0.79,0.62,0.68
ENSCSAT00000000395_ENSCSAG00000002377,0.54,0.35,0.38,0.33,0.47,0.44,0.58,0.58,0.49,0.88,0.88,0.88,0.84,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,1.0,0.89,0.88,0.89,0.89,0.86,0.86,0.86,0.86,0.83,0.79,0.79,0.83,0.82,0.79,0.75,0.74,0.79,0.7,0.75,0.75,0.8,0.79,0.63,0.68
ENSCANT00000014713_ENSCANG00000013117,0.54,0.35,0.37,0.33,0.47,0.45,0.58,0.58,0.49,0.88,0.88,0.88,0.84,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.88,0.88,0.89,1.0,0.89,0.89,0.89,0.85,0.86,0.86,0.85,0.83,0.79,0.78,0.83,0.82,0.79,0.75,0.74,0.79,0.7,0.75,0.75,0.79,0.79,0.63,0.68
ENSPTET00000008868_ENSPTEG00000006664,0.54,0.35,0.37,0.33,0.47,0.45,0.58,0.58,0.49,0.88,0.88,0.88,0.84,0.88,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,1.0,0.89,0.89,0.85,0.85,0.85,0.85,0.83,0.79,0.78,0.83,0.82,0.79,0.75,0.74,0.79,0.7,0.75,0.75,0.79,0.78,0.62,0.68
ENSRBIT00000000755_ENSRBIG00000000677,0.54,0.35,0.37,0.33,0.47,0.45,0.58,0.58,0.48,0.88,0.88,0.88,0.84,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,1.0,0.9,0.85,0.85,0.86,0.85,0.83,0.79,0.78,0.83,0.82,0.79,0.75,0.74,0.79,0.7,0.75,0.75,0.79,0.79,0.63,0.68
ENSRROT00000041875_ENSRROG00000032958,0.54,0.35,0.37,0.33,0.47,0.45,0.58,0.58,0.48,0.88,0.88,0.88,0.84,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,1.0,0.85,0.85,0.86,0.85,0.83,0.79,0.78,0.83,0.82,0.79,0.75,0.74,0.79,0.7,0.75,0.75,0.79,0.79,0.63,0.68
ENSCCAT00000051997_ENSCCAG00000035089,0.53,0.35,0.38,0.32,0.47,0.44,0.58,0.58,0.49,0.86,0.86,0.86,0.82,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.85,0.86,0.86,0.85,0.85,0.85,0.85,1.0,0.87,0.87,0.87,0.83,0.79,0.78,0.82,0.82,0.79,0.75,0.74,0.78,0.69,0.75,0.75,0.79,0.78,0.62,0.68
ENSSBOT00000025909_ENSSBOG00000021464,0.54,0.35,0.38,0.32,0.47,0.44,0.58,0.58,0.49,0.86,0.86,0.86,0.82,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.85,0.86,0.86,0.86,0.85,0.85,0.85,0.87,1.0,0.87,0.87,0.83,0.78,0.78,0.83,0.82,0.79,0.75,0.73,0.78,0.7,0.75,0.75,0.79,0.78,0.62,0.68
ENSCJAT00000015614_ENSCJAG00000007995,0.53,0.35,0.37,0.32,0.46,0.44,0.57,0.58,0.49,0.86,0.86,0.86,0.83,0.87,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.85,0.86,0.86,0.87,0.87,1.0,0.87,0.83,0.79,0.78,0.82,0.82,0.79,0.75,0.74,0.78,0.7,0.75,0.75,0.8,0.79,0.63,0.68
ENSANAT00000056737_ENSANAG00000036762,0.53,0.34,0.37,0.32,0.46,0.44,0.57,0.58,0.48,0.86,0.86,0.86,0.82,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.85,0.85,0.85,0.85,0.87,0.87,0.87,1.0,0.83,0.79,0.78,0.83,0.83,0.79,0.75,0.74,0.78,0.7,0.75,0.75,0.79,0.79,0.62,0.68
ENSTSYT00000011575_ENSTSYG00000011576,0.54,0.35,0.37,0.34,0.47,0.45,0.58,0.58,0.48,0.83,0.83,0.84,0.8,0.84,0.83,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1.0,0.79,0.79,0.84,0.83,0.8,0.76,0.74,0.79,0.7,0.75,0.76,0.8,0.79,0.63,0.68
ENSPSMT00000002830_ENSPSMG00000001874,0.59,0.37,0.39,0.3,0.46,0.48,0.53,0.54,0.44,0.79,0.8,0.8,0.86,0.8,0.79,0.8,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.78,0.79,0.79,0.79,1.0,0.79,0.83,0.8,0.76,0.72,0.71,0.76,0.68,0.72,0.72,0.76,0.76,0.6,0.66
ENSMICT00000001692_ENSMICG00000001695,0.5,0.35,0.37,0.33,0.47,0.44,0.54,0.55,0.48,0.79,0.79,0.79,0.76,0.79,0.79,0.79,0.78,0.79,0.79,0.79,0.78,0.79,0.79,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.79,1.0,0.83,0.8,0.75,0.72,0.71,0.75,0.7,0.71,0.72,0.75,0.75,0.6,0.65
ENSPCOT00000019346_ENSPCOG00000015699,0.54,0.35,0.37,0.33,0.47,0.44,0.58,0.59,0.48,0.83,0.83,0.84,0.8,0.84,0.83,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.82,0.83,0.82,0.83,0.84,0.83,0.83,1.0,0.84,0.8,0.76,0.75,0.8,0.71,0.75,0.75,0.8,0.8,0.64,0.69
ENSOGAT00000015711_ENSOGAG00000015706,0.54,0.35,0.37,0.32,0.46,0.43,0.57,0.57,0.48,0.82,0.82,0.82,0.79,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.83,0.83,0.8,0.8,0.84,1.0,0.79,0.74,0.73,0.78,0.7,0.74,0.74,0.79,0.79,0.63,0.68
ENSDORT00000002738_ENSDORG00000002740,0.53,0.33,0.36,0.32,0.46,0.45,0.58,0.56,0.46,0.79,0.79,0.79,0.76,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.8,0.76,0.75,0.8,0.79,1.0,0.74,0.73,0.78,0.69,0.74,0.74,0.78,0.78,0.63,0.67
ENSCLAT00000022427_ENSCLAG00000015241,0.49,0.33,0.35,0.31,0.43,0.41,0.52,0.55,0.47,0.75,0.75,0.76,0.73,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.76,0.72,0.72,0.76,0.74,0.74,1.0,0.8,0.79,0.72,0.83,0.83,0.79,0.73,0.6,0.64
ENSODET00000006751_ENSODEG00000004967,0.49,0.34,0.35,0.31,0.43,0.41,0.52,0.54,0.46,0.74,0.74,0.74,0.71,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.74,0.74,0.74,0.71,0.71,0.75,0.73,0.73,0.8,1.0,0.78,0.71,0.78,0.78,0.78,0.73,0.59,0.63
ENSCPOT00000000604_ENSCPOG00000000599,0.53,0.34,0.36,0.31,0.45,0.44,0.58,0.56,0.48,0.79,0.79,0.79,0.76,0.79,0.79,0.79,0.78,0.79,0.79,0.78,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.79,0.76,0.75,0.8,0.78,0.78,0.79,0.78,1.0,0.8,0.77,0.77,0.82,0.78,0.63,0.66
ENSCAPT00000019492_ENSCAPG00000015778,0.46,0.34,0.37,0.31,0.46,0.44,0.51,0.52,0.48,0.7,0.7,0.7,0.68,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7,0.7,0.7,0.7,0.68,0.7,0.71,0.7,0.69,0.72,0.71,0.8,1.0,0.71,0.71,0.73,0.69,0.56,0.6
ENSHGLT00100006574_ENSHGLG00100004860,0.49,0.33,0.35,0.31,0.44,0.42,0.53,0.54,0.47,0.75,0.75,0.75,0.72,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.72,0.71,0.75,0.74,0.74,0.83,0.78,0.77,0.71,1.0,0.87,0.81,0.73,0.59,0.63
ENSHGLT00000004394_ENSHGLG00000003169,0.49,0.33,0.35,0.31,0.44,0.42,0.52,0.54,0.47,0.75,0.75,0.75,0.72,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.76,0.72,0.72,0.75,0.74,0.74,0.83,0.78,0.77,0.71,0.87,1.0,0.81,0.73,0.59,0.63
ENSFDAT00000014237_ENSFDAG00000010404,0.52,0.33,0.36,0.32,0.46,0.45,0.57,0.56,0.47,0.8,0.79,0.8,0.77,0.8,0.79,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.79,0.79,0.8,0.79,0.8,0.76,0.75,0.8,0.79,0.78,0.79,0.78,0.82,0.73,0.81,0.81,1.0,0.78,0.62,0.66
ENSMUST00000002008_ENSMUSG00000001943,0.53,0.34,0.37,0.31,0.45,0.44,0.58,0.56,0.48,0.79,0.79,0.79,0.75,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.78,0.79,0.79,0.78,0.78,0.79,0.79,0.79,0.76,0.75,0.8,0.79,0.78,0.73,0.73,0.78,0.69,0.73,0.73,0.78,1.0,0.75,0.78
ENSMUST00000215957_ENSMUSG00000001943,0.4,0.27,0.28,0.33,0.32,0.29,0.44,0.5,0.41,0.63,0.63,0.63,0.6,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.62,0.62,0.63,0.63,0.62,0.63,0.63,0.62,0.62,0.63,0.62,0.63,0.6,0.6,0.64,0.63,0.63,0.6,0.59,0.63,0.56,0.59,0.59,0.62,0.75,1.0,0.65
ENSMUST00000215271_ENSMUSG00000001943,0.44,0.39,0.41,0.27,0.43,0.41,0.47,0.56,0.49,0.68,0.68,0.68,0.66,0.69,0.68,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.66,0.65,0.69,0.68,0.67,0.64,0.63,0.66,0.6,0.63,0.63,0.66,0.78,0.65,1.0
