,ENSCHAT00000035784_ENSCHAG00000015727,ENSCHAT00000035868_ENSCHAG00000015727,ENSCHAT00000035892_ENSCHAG00000015727,ENSDCDT00000039808_ENSDCDG00000021467,ENSDCDT00000039811_ENSDCDG00000021467,ENSEEET00000024157_ENSEEEG00000011580,ENSEEET00000024158_ENSEEEG00000011580,ENSEEET00000024161_ENSEEEG00000011580,ENSIPUT00000014631_ENSIPUG00000009584,ENSPNAT00000022921_ENSPNAG00000020833,ENSAMXT00000010873_ENSAMXG00000010584,ENSDART00000158046_ENSDARG00000102167,ENSDART00000180030_ENSDARG00000102167,ENSHHUT00000020049_ENSHHUG00000012084,ENSHHUT00000058392_ENSHHUG00000033688,ENSELUT00000034877_ENSELUG00000022493,ENSXMAT00000042306_ENSXMAG00000026912,ENSXCOT00000011951_ENSXCOG00000008931,ENSPRET00000027115_ENSPREG00000018136,ENSPFOT00000000113_ENSPFOG00000000128,ENSPLAT00000022559_ENSPLAG00000017965,ENSCVAT00000020604_ENSCVAG00000015584,ENSCVAT00000030617_ENSCVAG00000015584
ENSAMXT00000010873_ENSAMXG00000010584,0.59,0.61,0.6,0.58,0.56,0.64,0.63,0.61,0.65,0.72,1.0,0.6,0.6,0.61,0.62,0.59,0.52,0.47,0.52,0.44,0.34,0.53,0.54
ENSDART00000158046_ENSDARG00000102167,0.65,0.66,0.64,0.67,0.66,0.68,0.65,0.64,0.66,0.65,0.6,1.0,0.95,0.68,0.63,0.68,0.58,0.47,0.59,0.54,0.47,0.57,0.57
ENSDART00000180030_ENSDARG00000102167,0.65,0.66,0.64,0.67,0.66,0.68,0.65,0.64,0.66,0.65,0.6,0.95,1.0,0.68,0.63,0.68,0.58,0.47,0.59,0.54,0.47,0.57,0.57
ENSHHUT00000020049_ENSHHUG00000012084,0.71,0.72,0.7,0.69,0.68,0.66,0.63,0.62,0.65,0.67,0.61,0.68,0.68,1.0,0.86,0.79,0.62,0.51,0.62,0.54,0.49,0.62,0.62
ENSHHUT00000058392_ENSHHUG00000033688,0.66,0.67,0.66,0.64,0.64,0.62,0.6,0.58,0.61,0.63,0.62,0.63,0.63,0.86,1.0,0.74,0.57,0.5,0.57,0.48,0.37,0.57,0.57
ENSELUT00000034877_ENSELUG00000022493,0.65,0.66,0.65,0.68,0.67,0.66,0.63,0.62,0.64,0.63,0.59,0.68,0.68,0.79,0.74,1.0,0.6,0.48,0.6,0.52,0.49,0.58,0.58
ENSXMAT00000042306_ENSXMAG00000026912,0.61,0.61,0.6,0.62,0.62,0.57,0.54,0.54,0.56,0.57,0.52,0.58,0.58,0.62,0.57,0.6,1.0,0.85,0.92,0.85,0.75,0.79,0.79
ENSXCOT00000011951_ENSXCOG00000008931,0.49,0.51,0.5,0.5,0.51,0.46,0.46,0.44,0.44,0.46,0.47,0.47,0.47,0.51,0.5,0.48,0.85,1.0,0.82,0.78,1e-18,0.7,0.7
ENSPRET00000027115_ENSPREG00000018136,0.6,0.61,0.59,0.62,0.61,0.57,0.54,0.54,0.56,0.57,0.52,0.59,0.59,0.62,0.57,0.6,0.92,0.82,1.0,0.85,0.74,0.77,0.77
ENSPFOT00000000113_ENSPFOG00000000128,0.54,0.54,0.53,0.56,0.57,0.52,0.5,0.52,0.49,0.49,0.44,0.54,0.54,0.54,0.48,0.52,0.85,0.78,0.85,1.0,0.87,0.71,0.71
ENSPLAT00000022559_ENSPLAG00000017965,0.51,0.51,0.5,0.52,0.52,0.45,0.44,0.46,0.46,0.47,0.34,0.47,0.47,0.49,0.37,0.49,0.75,1e-18,0.74,0.87,1.0,0.61,0.61
ENSCVAT00000020604_ENSCVAG00000015584,0.6,0.61,0.59,0.6,0.59,0.56,0.54,0.54,0.56,0.57,0.53,0.57,0.57,0.62,0.57,0.58,0.79,0.7,0.77,0.71,0.61,1.0,0.95
ENSCVAT00000030617_ENSCVAG00000015584,0.6,0.61,0.59,0.6,0.59,0.56,0.54,0.54,0.56,0.57,0.54,0.57,0.57,0.62,0.57,0.58,0.79,0.7,0.77,0.71,0.61,0.95,1.0
