,ENSPTRT00000106924_ENSPTRG00000052739,ENSPTRT00000099106_ENSPTRG00000052739,ENSPTRT00000097098_ENSPTRG00000052739,ENSPTRT00000108660_ENSPTRG00000052739,ENSPPAT00000030664_ENSPPAG00000027250,ENSPPAT00000030668_ENSPPAG00000027250,ENSPPAT00000030671_ENSPPAG00000027250,ENST00000378097_ENSG00000069424,ENST00000666163_ENSG00000069424,ENST00000671676_ENSG00000069424,ENST00000658883_ENSG00000069424,ENST00000445501_ENSG00000069424,ENST00000668706_ENSG00000069424,ENST00000653262_ENSG00000069424,ENST00000389632_ENSG00000069424,ENST00000341524_ENSG00000069424,ENST00000462676_ENSG00000069424,ENST00000428161_ENSG00000069424,ENST00000352527_ENSG00000069424,ENST00000663169_ENSG00000069424,ENST00000656198_ENSG00000069424,ENST00000602612_ENSG00000069424,ENST00000666299_ENSG00000069424,ENST00000652845_ENSG00000069424,ENST00000655703_ENSG00000069424,ENST00000669250_ENSG00000069424,ENST00000164247_ENSG00000069424,ENST00000668559_ENSG00000069424,ENST00000378092_ENSG00000069424,ENST00000472700_ENSG00000069424,ENST00000378083_ENSG00000069424,ENST00000662147_ENSG00000069424,ENST00000458166_ENSG00000069424,ENST00000662363_ENSG00000069424,ENST00000655548_ENSG00000069424,ENST00000378111_ENSG00000069424,ENSNLET00000013176_ENSNLEG00000010301,ENSNLET00000035379_ENSNLEG00000010301,ENSNLET00000045043_ENSNLEG00000010301,ENSPANT00000026409_ENSPANG00000008514,ENSPANT00000057435_ENSPANG00000008514,ENSPANT00000056465_ENSPANG00000008514,ENSMLET00000040176_ENSMLEG00000032567,ENSMLET00000040180_ENSMLEG00000032567,ENSMLET00000040191_ENSMLEG00000032567,ENSMLET00000040199_ENSMLEG00000032567,ENSTGET00000021993_ENSTGEG00000014878,ENSTGET00000021998_ENSTGEG00000014878,ENSTGET00000022007_ENSTGEG00000014878,ENSMFAT00000034808_ENSMFAG00000035522,ENSMFAT00000034814_ENSMFAG00000035522,ENSMFAT00000034828_ENSMFAG00000035522,ENSMFAT00000034830_ENSMFAG00000035522,ENSMMUT00000060761_ENSMMUG00000016837,ENSMMUT00000064634_ENSMMUG00000016837,ENSMMUT00000061811_ENSMMUG00000016837,ENSMMUT00000023658_ENSMMUG00000016837,ENSMMUT00000047626_ENSMMUG00000016837,ENSMMUT00000047625_ENSMMUG00000016837,ENSMNET00000005937_ENSMNEG00000005434,ENSMNET00000005940_ENSMNEG00000005434,ENSMNET00000005945_ENSMNEG00000005434,ENSMNET00000005948_ENSMNEG00000005434,ENSMNET00000005953_ENSMNEG00000005434,ENSCATT00000052279_ENSCATG00000037349,ENSCATT00000052280_ENSCATG00000037349,ENSCATT00000052281_ENSCATG00000037349,ENSCATT00000052285_ENSCATG00000037349,ENSRBIT00000041179_ENSRBIG00000032665,ENSRBIT00000041183_ENSRBIG00000032665,ENSRBIT00000041184_ENSRBIG00000032665,ENSRBIT00000041193_ENSRBIG00000032665,ENSRBIT00000041194_ENSRBIG00000032665,ENSRROT00000067454_ENSRROG00000044539,ENSRROT00000067457_ENSRROG00000044539,ENSRROT00000067473_ENSRROG00000044539,ENSRROT00000067484_ENSRROG00000044539,ENSRROT00000067488_ENSRROG00000044539,ENSRROT00000067491_ENSRROG00000044539
ENST00000658883_ENSG00000069424,0.86,0.85,0.82,0.83,0.85,0.84,0.83,0.86,0.85,0.86,1.0,0.91,0.9,0.85,0.81,0.86,0.9,0.86,0.85,0.9,0.93,0.86,0.92,0.92,0.9,0.85,0.86,0.86,0.86,0.91,0.83,0.81,0.81,0.83,0.9,0.9,0.81,0.83,0.81,0.82,0.86,0.82,0.83,0.84,0.85,0.82,0.84,0.83,0.82,0.88,0.83,0.85,0.83,0.85,0.85,0.85,0.83,0.81,0.83,0.85,0.83,0.85,0.83,0.85,0.84,0.83,0.82,0.9,0.84,0.83,0.82,0.9,0.84,0.84,0.83,0.84,0.85,0.82,0.84
ENST00000445501_ENSG00000069424,0.89,0.87,0.83,0.85,0.88,0.86,0.85,0.89,0.87,0.89,0.91,1.0,0.94,0.88,0.85,0.88,0.89,0.89,0.87,0.89,0.91,0.89,0.9,0.88,0.86,0.87,0.89,0.89,0.89,0.9,0.85,0.84,0.83,0.86,0.94,0.94,0.83,0.85,0.82,0.86,0.86,0.85,0.86,0.87,0.85,0.84,0.88,0.86,0.85,0.87,0.85,0.88,0.87,0.88,0.88,0.88,0.87,0.82,0.85,0.88,0.87,0.85,0.85,0.88,0.87,0.86,0.84,0.89,0.88,0.86,0.85,0.89,0.88,0.88,0.86,0.85,0.85,0.85,0.88
ENST00000668706_ENSG00000069424,0.89,0.87,0.83,0.85,0.88,0.87,0.85,0.89,0.88,0.89,0.9,0.94,1.0,0.88,0.85,0.88,0.9,0.89,0.88,0.88,0.9,0.89,0.89,0.87,0.86,0.88,0.89,0.89,0.89,0.91,0.86,0.83,0.84,0.86,0.94,0.94,0.83,0.85,0.82,0.86,0.85,0.85,0.86,0.88,0.85,0.85,0.88,0.87,0.85,0.86,0.86,0.88,0.87,0.88,0.88,0.88,0.87,0.81,0.86,0.88,0.87,0.85,0.86,0.88,0.88,0.86,0.85,0.88,0.88,0.87,0.85,0.88,0.88,0.88,0.87,0.84,0.85,0.85,0.88
ENST00000653262_ENSG00000069424,0.95,0.96,0.9,0.92,0.95,0.96,0.92,0.95,0.96,0.95,0.85,0.88,0.88,1.0,0.88,0.94,0.86,0.95,0.96,0.86,0.85,0.96,0.86,0.85,0.82,0.96,0.95,0.96,0.95,0.85,0.92,0.82,0.92,0.94,0.89,0.89,0.92,0.92,0.88,0.94,0.9,0.9,0.94,0.93,0.89,0.9,0.93,0.94,0.9,0.84,0.9,0.93,0.94,0.92,0.93,0.93,0.94,0.88,0.9,0.93,0.94,0.81,0.9,0.93,0.93,0.94,0.9,0.83,0.93,0.94,0.9,0.84,0.93,0.93,0.94,0.81,0.89,0.9,0.93
ENST00000389632_ENSG00000069424,0.87,0.88,0.84,0.86,0.87,0.87,0.86,0.87,0.88,0.87,0.81,0.85,0.85,0.88,1.0,0.86,0.82,0.87,0.88,0.82,0.82,0.88,0.82,0.81,1e-18,0.88,0.87,0.88,0.87,0.82,0.87,0.84,0.9,0.88,0.86,0.86,0.86,0.86,0.85,0.86,0.81,0.84,0.85,0.85,0.81,0.84,0.85,0.86,0.84,0.82,0.84,0.85,0.86,0.84,0.85,0.85,0.86,0.81,0.84,0.85,0.86,0.81,0.84,0.85,0.85,0.86,0.84,0.8,0.85,0.85,0.84,0.8,0.85,0.85,0.85,0.8,0.81,0.84,0.85
ENST00000341524_ENSG00000069424,0.96,0.95,0.89,0.94,0.95,0.94,0.94,0.96,0.95,0.96,0.86,0.88,0.88,0.94,0.86,1.0,0.85,0.96,0.95,0.85,0.86,0.95,0.85,0.84,0.83,0.95,0.96,0.95,0.96,0.86,0.95,0.82,0.91,0.93,0.89,0.89,0.91,0.91,0.91,0.93,0.89,0.93,0.93,0.94,0.89,0.93,0.94,0.93,0.93,0.83,0.93,0.94,0.93,0.96,0.94,0.94,0.93,0.87,0.93,0.94,0.93,0.83,0.93,0.92,0.94,0.93,0.93,0.84,0.94,0.93,0.92,0.84,0.92,0.94,0.93,0.82,0.91,0.92,0.92
ENST00000462676_ENSG00000069424,0.85,0.85,0.82,0.84,0.84,0.84,0.83,0.85,0.85,0.85,0.9,0.89,0.9,0.86,0.82,0.85,1.0,0.85,0.85,0.91,0.9,0.85,0.93,0.9,0.84,0.85,0.85,0.85,0.85,0.91,0.84,0.83,0.81,0.84,0.88,0.88,0.81,0.81,0.8,0.84,0.85,0.83,0.84,0.84,0.84,0.83,0.84,0.84,0.83,0.89,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.81,0.84,0.84,0.84,0.83,0.84,0.84,0.83,0.84,0.83,0.87,0.84,0.84,0.83,0.87,0.84,0.84,0.84,0.83,0.83,0.83,0.84
ENST00000428161_ENSG00000069424,0.98,0.96,0.9,0.92,0.97,0.96,0.92,0.98,0.97,0.98,0.86,0.89,0.89,0.95,0.87,0.96,0.85,1.0,0.97,0.85,0.86,0.97,0.85,0.84,0.83,0.97,0.98,0.97,0.98,0.86,0.93,0.82,0.93,0.94,0.9,0.9,0.92,0.92,0.89,0.94,0.9,0.91,0.94,0.96,0.9,0.91,0.96,0.95,0.91,0.84,0.91,0.96,0.95,0.94,0.96,0.96,0.95,0.88,0.91,0.96,0.94,0.83,0.91,0.93,0.96,0.94,0.91,0.84,0.96,0.94,0.91,0.85,0.94,0.96,0.94,0.82,0.92,0.91,0.94
ENST00000352527_ENSG00000069424,0.96,0.97,0.91,0.93,0.96,0.97,0.93,0.97,0.98,0.97,0.85,0.87,0.88,0.96,0.88,0.95,0.85,0.97,1.0,0.85,0.85,0.95,0.86,0.84,0.82,0.98,0.97,0.95,0.97,0.85,0.94,0.82,0.94,0.95,0.89,0.89,0.93,0.91,0.89,0.96,0.89,0.92,0.95,0.94,0.89,0.92,0.95,0.96,0.92,0.84,0.92,0.95,0.96,0.93,0.95,0.95,0.96,0.89,0.92,0.94,0.96,0.81,0.92,0.92,0.94,0.96,0.92,0.83,0.94,0.95,0.91,0.83,0.92,0.94,0.95,0.81,0.91,0.91,0.92
ENST00000663169_ENSG00000069424,0.85,0.85,0.82,0.84,0.84,0.84,0.83,0.85,0.85,0.85,0.9,0.89,0.88,0.86,0.82,0.85,0.91,0.85,0.85,1.0,0.93,0.85,0.93,0.9,0.84,0.85,0.85,0.85,0.85,0.91,0.84,0.83,0.81,0.84,0.88,0.88,0.81,0.81,0.8,0.84,0.85,0.83,0.84,0.84,0.84,0.83,0.84,0.84,0.83,0.89,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.81,0.84,0.84,0.84,0.83,0.84,0.84,0.83,0.84,0.83,0.87,0.84,0.84,0.83,0.87,0.84,0.84,0.84,0.83,0.83,0.83,0.84
ENST00000656198_ENSG00000069424,0.86,0.85,0.82,0.83,0.85,0.84,0.83,0.86,0.85,0.86,0.93,0.91,0.9,0.85,0.82,0.86,0.9,0.86,0.85,0.93,1.0,0.87,0.91,0.89,0.87,0.85,0.86,0.87,0.86,0.94,0.83,0.82,0.81,0.84,0.9,0.9,0.81,0.83,0.8,0.83,0.86,0.83,0.84,0.85,0.86,0.83,0.85,0.84,0.83,0.88,0.83,0.85,0.84,0.85,0.85,0.85,0.84,0.81,0.83,0.85,0.84,0.86,0.83,0.85,0.85,0.83,0.82,0.9,0.85,0.84,0.83,0.9,0.85,0.85,0.84,0.85,0.85,0.83,0.85
ENST00000602612_ENSG00000069424,0.96,0.95,0.89,0.91,0.96,0.95,0.91,0.97,0.95,0.97,0.86,0.89,0.89,0.96,0.88,0.95,0.85,0.97,0.95,0.85,0.87,1.0,0.86,0.84,0.84,0.95,0.97,0.99,0.97,0.86,0.92,0.82,0.91,0.93,0.91,0.91,0.91,0.94,0.88,0.93,0.91,0.9,0.93,0.94,0.9,0.89,0.95,0.93,0.9,0.84,0.9,0.95,0.93,0.93,0.95,0.95,0.93,0.87,0.9,0.94,0.93,0.83,0.9,0.94,0.94,0.93,0.9,0.85,0.94,0.93,0.89,0.85,0.94,0.94,0.93,0.82,0.91,0.89,0.94
ENST00000666299_ENSG00000069424,0.85,0.86,0.82,0.84,0.84,0.85,0.83,0.85,0.86,0.85,0.92,0.9,0.89,0.86,0.82,0.85,0.93,0.85,0.86,0.93,0.91,0.86,1.0,0.92,0.85,0.86,0.85,0.86,0.85,0.9,0.84,0.83,0.81,0.84,0.89,0.89,0.81,0.81,0.8,0.84,0.85,0.83,0.84,0.84,0.85,0.83,0.84,0.84,0.83,0.9,0.84,0.84,0.85,0.84,0.84,0.84,0.85,0.81,0.84,0.84,0.85,0.84,0.84,0.84,0.84,0.84,0.83,0.88,0.84,0.84,0.83,0.89,0.84,0.84,0.84,0.83,0.83,0.83,0.84
ENST00000652845_ENSG00000069424,0.84,0.84,0.82,0.82,0.83,0.83,0.81,0.84,0.84,0.84,0.92,0.88,0.87,0.85,0.81,0.84,0.9,0.84,0.84,0.9,0.89,0.84,0.92,1.0,0.86,0.84,0.84,0.84,0.84,0.88,0.82,0.82,0.81,0.83,0.87,0.87,0.81,0.81,0.8,0.82,0.83,0.82,0.83,0.82,0.83,0.82,0.82,0.83,0.82,0.88,0.82,0.83,0.83,0.83,0.83,0.83,0.83,0.81,0.82,0.83,0.83,0.83,0.82,0.83,0.82,0.83,0.82,0.86,0.82,0.83,0.82,0.86,0.82,0.82,0.83,0.82,0.83,0.82,0.82
ENST00000655703_ENSG00000069424,0.83,0.82,0.82,0.81,0.82,0.81,0.81,0.83,0.82,0.83,0.9,0.86,0.86,0.82,1e-18,0.83,0.84,0.83,0.82,0.84,0.87,0.84,0.85,0.86,1.0,0.82,0.83,0.84,0.83,0.86,0.81,1e-18,1e-18,0.81,0.86,0.86,0.81,0.83,0.81,0.79,0.82,0.81,0.8,0.82,0.82,0.81,0.82,0.8,0.81,0.82,0.81,0.82,0.8,0.82,0.82,0.82,0.8,0.8,0.81,0.82,0.8,0.86,0.81,0.82,0.82,0.8,0.81,0.85,0.82,0.8,0.81,0.85,0.82,0.82,0.8,0.86,0.82,0.81,0.82
ENST00000669250_ENSG00000069424,0.96,0.97,0.91,0.93,0.96,0.97,0.93,0.97,0.98,0.97,0.85,0.87,0.88,0.96,0.88,0.95,0.85,0.97,0.98,0.85,0.85,0.95,0.86,0.84,0.82,1.0,0.97,0.95,0.97,0.85,0.94,0.82,0.94,0.95,0.89,0.89,0.93,0.91,0.89,0.96,0.89,0.92,0.95,0.94,0.89,0.92,0.95,0.96,0.92,0.84,0.92,0.95,0.96,0.93,0.95,0.95,0.96,0.89,0.92,0.94,0.96,0.81,0.92,0.92,0.94,0.96,0.92,0.83,0.94,0.95,0.91,0.83,0.92,0.94,0.95,0.81,0.91,0.91,0.92
ENST00000164247_ENSG00000069424,0.98,0.96,0.9,0.92,0.97,0.96,0.92,0.98,0.97,0.98,0.86,0.89,0.89,0.95,0.87,0.96,0.85,0.98,0.97,0.85,0.86,0.97,0.85,0.84,0.83,0.97,1.0,0.97,0.98,0.86,0.93,0.82,0.93,0.94,0.9,0.9,0.92,0.92,0.89,0.94,0.9,0.91,0.94,0.96,0.9,0.91,0.96,0.95,0.91,0.84,0.91,0.96,0.95,0.94,0.96,0.96,0.95,0.88,0.91,0.96,0.94,0.83,0.91,0.93,0.96,0.94,0.91,0.84,0.96,0.94,0.91,0.85,0.94,0.96,0.94,0.82,0.92,0.91,0.94
ENST00000668559_ENSG00000069424,0.96,0.95,0.89,0.91,0.96,0.95,0.91,0.97,0.95,0.97,0.86,0.89,0.89,0.96,0.88,0.95,0.85,0.97,0.95,0.85,0.87,0.99,0.86,0.84,0.84,0.95,0.97,1.0,0.97,0.86,0.92,0.82,0.91,0.93,0.91,0.91,0.91,0.94,0.88,0.93,0.91,0.9,0.93,0.94,0.9,0.89,0.95,0.93,0.9,0.84,0.9,0.95,0.93,0.93,0.95,0.95,0.93,0.87,0.9,0.94,0.93,0.83,0.9,0.94,0.94,0.93,0.9,0.85,0.94,0.93,0.89,0.85,0.94,0.94,0.93,0.82,0.91,0.89,0.94
ENST00000378092_ENSG00000069424,0.98,0.96,0.9,0.92,0.97,0.96,0.92,0.98,0.97,0.98,0.86,0.89,0.89,0.95,0.87,0.96,0.85,0.98,0.97,0.85,0.86,0.97,0.85,0.84,0.83,0.97,0.98,0.97,1.0,0.86,0.93,0.82,0.93,0.94,0.9,0.9,0.92,0.92,0.89,0.94,0.9,0.91,0.94,0.96,0.9,0.91,0.96,0.95,0.91,0.84,0.91,0.96,0.95,0.94,0.96,0.96,0.95,0.88,0.91,0.96,0.94,0.83,0.91,0.93,0.96,0.94,0.91,0.84,0.96,0.94,0.91,0.85,0.94,0.96,0.94,0.82,0.92,0.91,0.94
ENST00000472700_ENSG00000069424,0.86,0.85,0.82,0.83,0.85,0.84,0.82,0.86,0.85,0.86,0.91,0.9,0.91,0.85,0.82,0.86,0.91,0.86,0.85,0.91,0.94,0.86,0.9,0.88,0.86,0.85,0.86,0.86,0.86,1.0,0.83,0.82,0.81,0.83,0.89,0.89,0.81,0.82,0.79,0.83,0.86,0.83,0.83,0.85,0.85,0.83,0.85,0.83,0.83,0.87,0.83,0.85,0.84,0.85,0.85,0.85,0.84,0.81,0.83,0.85,0.84,0.85,0.83,0.85,0.84,0.83,0.82,0.89,0.85,0.83,0.83,0.89,0.85,0.85,0.83,0.85,0.84,0.83,0.85
ENST00000378083_ENSG00000069424,0.92,0.93,0.88,0.98,0.92,0.93,0.97,0.93,0.94,0.93,0.83,0.85,0.86,0.92,0.87,0.95,0.84,0.93,0.94,0.84,0.83,0.92,0.84,0.82,0.81,0.94,0.93,0.92,0.93,0.83,1.0,0.82,0.92,0.94,0.86,0.86,0.89,0.88,0.94,0.92,0.86,0.96,0.92,0.91,0.86,0.96,0.91,0.92,0.96,0.83,0.96,0.91,0.92,0.93,0.91,0.91,0.92,0.86,0.96,0.91,0.92,0.81,0.96,0.89,0.91,0.92,0.96,0.82,0.91,0.91,0.95,0.83,0.89,0.91,0.91,0.8,0.87,0.95,0.89
