,ENSLACT00000013392_ENSLACG00000011707,ENSCMIT00000008259_ENSCMIG00000004323,ENSCMIT00000034880_ENSCMIG00000014589,ENSCMIT00000034882_ENSCMIG00000014591,ENSCMIT00000034884_ENSCMIG00000014591,ENSCMIT00000034849_ENSCMIG00000014576,ENSCMIT00000034859_ENSCMIG00000014583,ENSCMIT00000034866_ENSCMIG00000014583,ENSCMIT00000034871_ENSCMIG00000014583,ENSCMIT00000034876_ENSCMIG00000014583,ENSCMIT00000034830_ENSCMIG00000014551,ENSCMIT00000034834_ENSCMIG00000014551,ENSCMIT00000034835_ENSCMIG00000014551,ENSCMIT00000034710_ENSCMIG00000014515,ENSCMIT00000034714_ENSCMIG00000014515,ENSCMIT00000034720_ENSCMIG00000014515,ENSCMIT00000034724_ENSCMIG00000014515,ENSCMIT00000000338_ENSCMIG00000000244,ENSCMIT00000034758_ENSCMIG00000014536,ENSCMIT00000034843_ENSCMIG00000014570,ENSLACT00000010645_ENSLACG00000009311,ENSDCDT00000030152_ENSDCDG00000017056,ENSDCDT00000030155_ENSDCDG00000017056,ENSCHAT00000050916_ENSCHAG00000021756,ENSCHAT00000050923_ENSCHAG00000021756
ENSCMIT00000034830_ENSCMIG00000014551,0.42,0.43,0.61,0.41,0.41,0.55,0.55,0.57,0.57,0.56,1.0,0.88,0.88,0.65,0.64,0.65,0.65,0.68,0.55,0.53,0.42,0.41,0.41,0.42,0.42
ENSCMIT00000034834_ENSCMIG00000014551,0.42,0.43,0.65,0.47,0.48,0.61,0.57,0.59,0.6,0.59,0.88,1.0,0.9,0.67,0.66,0.68,0.67,0.72,0.54,0.55,0.41,0.42,0.42,0.42,0.43
ENSCMIT00000034835_ENSCMIG00000014551,0.42,0.42,0.64,0.46,0.46,0.6,0.56,0.59,0.6,0.59,0.88,0.9,1.0,0.67,0.66,0.69,0.66,0.72,0.56,0.54,0.41,0.41,0.41,0.42,0.42
ENSCMIT00000034710_ENSCMIG00000014515,0.43,0.43,0.64,0.49,0.51,0.63,0.58,0.59,0.61,0.59,0.65,0.67,0.67,1.0,0.88,0.89,0.89,0.79,0.58,0.56,0.43,0.42,0.42,0.42,0.43
ENSCMIT00000034714_ENSCMIG00000014515,0.43,0.45,0.63,0.48,0.49,0.63,0.59,0.6,0.59,0.6,0.64,0.66,0.66,0.88,1.0,0.88,0.9,0.79,0.57,0.57,0.43,0.44,0.44,0.44,0.45
ENSCMIT00000034720_ENSCMIG00000014515,0.41,0.43,0.63,0.51,0.51,0.63,0.59,0.6,0.61,0.6,0.65,0.68,0.69,0.89,0.88,1.0,0.9,0.79,0.58,0.56,0.44,0.43,0.43,0.42,0.43
ENSCMIT00000034724_ENSCMIG00000014515,0.44,0.45,0.61,0.49,0.49,0.63,0.57,0.62,0.58,0.59,0.65,0.67,0.66,0.89,0.9,0.9,1.0,0.79,0.57,0.59,0.46,0.44,0.43,0.44,0.45
ENSCMIT00000000338_ENSCMIG00000000244,0.36,0.27,0.73,1e-18,1e-18,0.73,0.73,0.72,0.73,0.73,0.68,0.72,0.72,0.79,0.79,0.79,0.79,1.0,0.25,0.17,0.41,0.32,0.38,0.31,0.31
ENSCMIT00000034758_ENSCMIG00000014536,0.38,0.39,0.54,0.46,0.46,0.52,0.48,0.5,0.51,0.5,0.55,0.54,0.56,0.58,0.57,0.58,0.57,0.25,1.0,0.58,0.36,0.37,0.36,0.39,0.4
ENSCMIT00000034843_ENSCMIG00000014570,0.4,0.39,0.48,0.46,0.46,0.52,0.46,0.5,0.48,0.5,0.53,0.55,0.54,0.56,0.57,0.56,0.59,0.17,0.58,1.0,0.36,0.39,0.39,0.39,0.39
ENSLACT00000010645_ENSLACG00000009311,0.36,0.36,0.46,0.36,0.36,0.42,0.42,0.44,0.42,0.42,0.42,0.41,0.41,0.43,0.43,0.44,0.46,0.41,0.36,0.36,1.0,0.35,0.37,0.35,0.35
ENSDCDT00000030152_ENSDCDG00000017056,0.41,0.43,0.4,0.33,0.35,0.42,0.38,0.42,0.4,0.41,0.41,0.42,0.41,0.42,0.44,0.43,0.44,0.32,0.37,0.39,0.35,1.0,0.9,0.63,0.64
ENSDCDT00000030155_ENSDCDG00000017056,0.41,0.41,0.41,0.33,0.35,0.42,0.38,0.42,0.4,0.41,0.41,0.42,0.41,0.42,0.44,0.43,0.43,0.38,0.36,0.39,0.37,0.9,1.0,0.62,0.63
ENSCHAT00000050916_ENSCHAG00000021756,0.42,0.41,0.42,0.32,0.34,0.4,0.36,0.4,0.38,0.39,0.42,0.42,0.42,0.42,0.44,0.42,0.44,0.31,0.39,0.39,0.35,0.63,0.62,1.0,0.9
ENSCHAT00000050923_ENSCHAG00000021756,0.43,0.42,0.43,0.32,0.34,0.41,0.36,0.4,0.38,0.39,0.42,0.43,0.42,0.43,0.45,0.43,0.45,0.31,0.4,0.39,0.35,0.64,0.63,0.9,1.0
