,ENSPMAT00000001519_ENSPMAG00000001360,ENSEBUT00000002856_ENSEBUG00000001890,ENSEBUT00000025555_ENSEBUG00000015424,ENSEBUT00000025570_ENSEBUG00000015424,ENSCHAT00000009156_ENSCHAG00000004825,ENSCHAT00000009222_ENSCHAG00000004825,ENSDCDT00000009649_ENSDCDG00000004373,ENSDCDT00000009653_ENSDCDG00000004373,ENSDCDT00000009682_ENSDCDG00000004373,ENSTRUT00000016541_ENSTRUG00000006702,ENSTRUT00000016540_ENSTRUG00000006702,ENSLBET00000023132_ENSLBEG00000016880,ENSXMAT00000018250_ENSXMAG00000018179,ENSXMAT00000038357_ENSXMAG00000018179,ENSGAFT00000011031_ENSGAFG00000007390,ENSGAFT00000011037_ENSGAFG00000007390,ENSPFOT00000013815_ENSPFOG00000013726,ENSPLAT00000011690_ENSPLAG00000004694,ENSPLAT00000011697_ENSPLAG00000004694,ENSPMET00000012714_ENSPMEG00000003362,ENSPRET00000005658_ENSPREG00000003882,ENSFHET00000009476_ENSFHEG00000004997
ENSTRUT00000016540_ENSTRUG00000006702,0.55,0.58,0.54,0.55,0.69,0.73,0.67,0.66,0.69,0.93,1.0,0.75,0.76,0.73,0.77,0.73,0.77,0.77,0.74,0.8,0.77,0.8
ENSLBET00000023132_ENSLBEG00000016880,0.57,0.59,0.59,0.61,0.74,0.71,0.74,0.65,0.7,0.82,0.75,1.0,0.86,0.76,0.86,0.76,0.85,0.85,0.74,0.81,0.85,0.84
ENSXMAT00000018250_ENSXMAG00000018179,0.6,0.58,0.59,0.61,0.76,0.72,0.75,0.66,0.72,0.82,0.76,0.86,1.0,0.89,0.97,0.87,0.96,0.96,0.85,0.92,0.96,0.89
ENSXMAT00000038357_ENSXMAG00000018179,0.53,0.54,0.52,0.52,0.63,0.66,0.63,0.65,0.65,0.72,0.73,0.76,0.89,1.0,0.87,0.97,0.85,0.85,0.95,0.88,0.85,0.78
ENSGAFT00000011031_ENSGAFG00000007390,0.6,0.58,0.59,0.61,0.76,0.72,0.75,0.66,0.72,0.83,0.77,0.86,0.97,0.87,1.0,0.89,0.96,0.96,0.86,0.92,0.96,0.9
ENSGAFT00000011037_ENSGAFG00000007390,0.54,0.54,0.52,0.53,0.64,0.66,0.63,0.66,0.65,0.72,0.73,0.76,0.87,0.97,0.89,1.0,0.86,0.86,0.95,0.88,0.86,0.79
ENSPFOT00000013815_ENSPFOG00000013726,0.6,0.58,0.59,0.61,0.77,0.73,0.75,0.66,0.72,0.83,0.77,0.85,0.96,0.85,0.96,0.86,1.0,0.99,0.89,0.94,0.97,0.91
ENSPLAT00000011690_ENSPLAG00000004694,0.6,0.58,0.59,0.61,0.77,0.73,0.75,0.66,0.72,0.83,0.77,0.85,0.96,0.85,0.96,0.86,0.99,1.0,0.89,0.94,0.97,0.91
ENSPLAT00000011697_ENSPLAG00000004694,0.54,0.55,0.52,0.52,0.65,0.67,0.63,0.65,0.65,0.73,0.74,0.74,0.85,0.95,0.86,0.95,0.89,0.89,1.0,0.9,0.87,0.8
ENSPMET00000012714_ENSPMEG00000003362,0.58,0.59,0.57,0.59,0.73,0.76,0.7,0.68,0.73,0.79,0.8,0.81,0.92,0.88,0.92,0.88,0.94,0.94,0.9,1.0,0.93,0.87
ENSPRET00000005658_ENSPREG00000003882,0.6,0.58,0.6,0.62,0.77,0.73,0.75,0.66,0.72,0.83,0.77,0.85,0.96,0.85,0.96,0.86,0.97,0.97,0.87,0.93,1.0,0.9
ENSFHET00000009476_ENSFHEG00000004997,0.59,0.59,0.59,0.61,0.78,0.74,0.75,0.65,0.71,0.86,0.8,0.84,0.89,0.78,0.9,0.79,0.91,0.91,0.8,0.87,0.9,1.0
