,ENSVURT00010032229_ENSVURG00010021649,ENSMEUT00000007203_ENSMEUG00000007188,ENSPCIT00000037524_ENSPCIG00000022691,ENSPCIT00000037525_ENSPCIG00000022691,ENSSHAT00000017385_ENSSHAG00000014658,ENSSHAT00000017386_ENSSHAG00000014658,ENSMODT00000014104_ENSMODG00000011062,ENSLAFT00000007371_ENSLAFG00000007374,ENSETET00000010873_ENSETEG00000010873,ENSMICT00000073074_ENSMICG00000049534,ENSPSMT00000035634_ENSPSMG00000021441,ENSPCOT00000015159_ENSPCOG00000013205,ENSOGAT00000015480_ENSOGAG00000015476,ENSOCUT00000015670_ENSOCUG00000015676,ENSOCUT00000020933_ENSOCUG00000021085,ENSOPRT00000004470_ENSOPRG00000004491,ENSPPAT00000008379_ENSPPAG00000007697,ENSPTRT00000027652_ENSPTRG00000014791,ENST00000334681_ENSG00000187094,ENST00000396169_ENSG00000187094,ENST00000434608_ENSG00000187094,ENSPPYT00000016261_ENSPPYG00000013983,ENSNLET00000007375_ENSNLEG00000005801,ENSCATT00000045632_ENSCATG00000034434,ENSMLET00000040661_ENSMLEG00000032801,ENSMLET00000040663_ENSMLEG00000032801,ENSMMUT00000001529_ENSMMUG00000001077,ENSMNET00000059138_ENSMNEG00000040525,ENSMFAT00000023577_ENSMFAG00000002130,ENSPANT00000017356_ENSPANG00000012767,ENSCSAT00000014892_ENSCSAG00000016797,ENSTGET00000021954_ENSTGEG00000014861
ENSPPYT00000016261_ENSPPYG00000013983,0.58,0.59,0.58,0.58,0.58,0.52,0.57,0.81,0.73,0.84,0.84,0.85,0.83,0.82,0.69,0.74,0.92,0.92,0.92,0.92,0.92,1.0,0.93,0.92,0.85,0.85,0.92,0.92,0.92,0.91,0.9,0.91
ENSNLET00000007375_ENSNLEG00000005801,0.58,0.59,0.58,0.58,0.58,0.53,0.58,0.82,0.73,0.86,0.86,0.87,0.84,0.84,0.7,0.74,0.93,0.93,0.93,0.93,0.93,0.93,1.0,0.92,0.86,0.86,0.92,0.92,0.92,0.92,0.91,0.91
ENSCATT00000045632_ENSCATG00000034434,0.59,0.59,0.59,0.59,0.58,0.53,0.57,0.83,0.73,0.85,0.85,0.86,0.84,0.83,0.69,0.75,0.91,0.91,0.91,0.91,0.91,0.92,0.92,1.0,0.88,0.88,0.95,0.95,0.95,0.95,0.94,0.94
ENSMLET00000040661_ENSMLEG00000032801,0.55,0.57,0.55,0.55,0.54,0.53,0.54,0.77,0.7,0.78,0.78,0.79,0.78,0.77,0.64,0.72,0.86,0.86,0.86,0.86,0.86,0.85,0.86,0.88,1.0,0.9,0.88,0.88,0.88,0.87,0.87,0.88
ENSMLET00000040663_ENSMLEG00000032801,0.55,0.57,0.55,0.55,0.54,0.53,0.54,0.77,0.7,0.78,0.78,0.79,0.78,0.77,0.64,0.72,0.86,0.86,0.86,0.86,0.86,0.85,0.86,0.88,0.9,1.0,0.88,0.88,0.88,0.87,0.87,0.88
ENSMMUT00000001529_ENSMMUG00000001077,0.59,0.59,0.59,0.59,0.58,0.53,0.57,0.83,0.73,0.85,0.85,0.86,0.84,0.83,0.69,0.75,0.91,0.91,0.91,0.91,0.91,0.92,0.92,0.95,0.88,0.88,1.0,0.95,0.95,0.95,0.94,0.94
ENSMNET00000059138_ENSMNEG00000040525,0.59,0.59,0.59,0.59,0.58,0.53,0.57,0.83,0.73,0.85,0.85,0.86,0.84,0.83,0.69,0.75,0.91,0.91,0.91,0.91,0.91,0.92,0.92,0.95,0.88,0.88,0.95,1.0,0.95,0.95,0.94,0.94
ENSMFAT00000023577_ENSMFAG00000002130,0.59,0.59,0.59,0.59,0.58,0.53,0.57,0.83,0.73,0.85,0.85,0.86,0.84,0.83,0.69,0.75,0.91,0.91,0.91,0.91,0.91,0.92,0.92,0.95,0.88,0.88,0.95,0.95,1.0,0.95,0.94,0.94
ENSPANT00000017356_ENSPANG00000012767,0.59,0.59,0.59,0.59,0.58,0.53,0.57,0.82,0.73,0.85,0.85,0.86,0.84,0.83,0.69,0.75,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.95,0.87,0.87,0.95,0.95,0.95,1.0,0.94,0.94
ENSCSAT00000014892_ENSCSAG00000016797,0.59,0.59,0.59,0.59,0.58,0.53,0.57,0.82,0.73,0.84,0.84,0.85,0.84,0.82,0.67,0.74,0.9,0.9,0.9,0.9,0.9,0.9,0.91,0.94,0.87,0.87,0.94,0.94,0.94,0.94,1.0,0.93
ENSTGET00000021954_ENSTGEG00000014861,0.6,0.6,0.59,0.59,0.59,0.53,0.57,0.83,0.73,0.85,0.84,0.86,0.83,0.82,0.68,0.75,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.94,0.88,0.88,0.94,0.94,0.94,0.94,0.93,1.0
