,ENSHHUT00000009994_ENSHHUG00000005918,ENSHHUT00000009998_ENSHHUG00000005918,ENSCMIT00000027857_ENSCMIG00000011872,ENSCMIT00000027866_ENSCMIG00000011872,ENSCMIT00000027870_ENSCMIG00000011872,ENSCMIT00000027873_ENSCMIG00000011872,ENSEBUT00000013902_ENSEBUG00000008427,ENSEBUT00000013923_ENSEBUG00000008427,ENSEBUT00000013946_ENSEBUG00000008427,ENSPMAT00000010485_ENSPMAG00000009496,ENSLOCT00000011244_ENSLOCG00000009200,ENSLOCT00000011255_ENSLOCG00000009200,ENSECRT00000025268_ENSECRG00000016755,ENSECRT00000025320_ENSECRG00000016755,ENSAOCT00000007551_ENSAOCG00000008175,ENSSFOT00015014774_ENSSFOG00015009418,ENSSFOT00015014821_ENSSFOG00015009418,ENSSFOT00015014887_ENSSFOG00015009418,ENSSFOT00015014937_ENSSFOG00015009418,ENSSFOT00015014970_ENSSFOG00015009418,ENSSFOT00015015027_ENSSFOG00015009418,ENSSFOT00015015078_ENSSFOG00015009418,ENSPKIT00000025047_ENSPKIG00000019538,ENSPKIT00000025098_ENSPKIG00000019538,ENSPKIT00000025166_ENSPKIG00000019538,ENSPKIT00000025236_ENSPKIG00000019538,ENSPKIT00000025302_ENSPKIG00000019538,ENSPKIT00000025363_ENSPKIG00000019538,ENSPKIT00000025436_ENSPKIG00000019538,ENSPKIT00000025507_ENSPKIG00000019538,ENSPKIT00000025585_ENSPKIG00000019538,ENSPKIT00000025637_ENSPKIG00000019538,ENSPKIT00000015572_ENSPKIG00000013885,ENSPKIT00000015585_ENSPKIG00000013885,ENSSFOT00015024517_ENSSFOG00015015592,ENSSFOT00015024529_ENSSFOG00015015592,ENSCHAT00000004010_ENSCHAG00000002272,ENSCHAT00000004115_ENSCHAG00000002272,ENSCHAT00000004202_ENSCHAG00000002272,ENSCHAT00000004491_ENSCHAG00000002272,ENSCHAT00000005390_ENSCHAG00000002272,ENSCHAT00000005450_ENSCHAG00000002272,ENSCHAT00000005689_ENSCHAG00000002272,ENSCHAT00000005984_ENSCHAG00000002272,ENSDCDT00000053516_ENSDCDG00000026116,ENSDCDT00000053518_ENSDCDG00000026116,ENSDCDT00000053525_ENSDCDG00000026116,ENSDCDT00000053531_ENSDCDG00000026116,ENSDCDT00000053535_ENSDCDG00000026116,ENSDCDT00000053544_ENSDCDG00000026116,ENSDCDT00000053548_ENSDCDG00000026116,ENSDCDT00000053552_ENSDCDG00000026116,ENSDCDT00000053553_ENSDCDG00000026116,ENSDCDT00000053568_ENSDCDG00000026116
ENSLOCT00000011244_ENSLOCG00000009200,0.52,0.52,0.51,0.51,0.51,0.58,0.31,0.31,0.31,0.39,1.0,0.95,0.67,0.65,0.61,0.67,0.67,0.66,0.67,0.67,0.67,0.66,0.65,0.65,0.65,0.64,0.65,0.65,0.64,0.66,0.64,0.63,0.49,0.53,0.57,0.49,0.65,0.65,0.65,0.65,0.6,0.65,0.63,0.62,0.64,0.63,0.64,0.63,0.63,0.64,0.62,0.62,0.62,0.61
ENSLOCT00000011255_ENSLOCG00000009200,0.52,0.52,0.51,0.51,0.51,0.57,0.32,0.32,0.32,0.39,0.95,1.0,0.67,0.66,0.61,0.67,0.67,0.68,0.67,0.68,0.67,0.66,0.67,0.65,0.66,0.65,0.67,0.65,0.65,0.68,0.65,0.63,0.49,0.53,0.56,0.49,0.65,0.65,0.65,0.66,0.61,0.65,0.63,0.63,0.64,0.63,0.64,0.63,0.64,0.64,0.62,0.62,0.62,0.6
ENSECRT00000025268_ENSECRG00000016755,0.46,0.46,0.49,0.49,0.5,0.56,0.32,0.32,0.32,0.4,0.67,0.67,1.0,0.94,0.6,0.6,0.61,0.61,0.61,0.6,0.6,0.61,0.58,0.57,0.58,0.59,0.59,0.58,0.57,0.58,0.58,0.57,0.47,0.47,0.53,0.42,0.58,0.59,0.58,0.58,0.54,0.58,0.58,0.59,0.6,0.6,0.6,0.59,0.59,0.6,0.57,0.59,0.59,0.58
ENSECRT00000025320_ENSECRG00000016755,0.46,0.46,0.5,0.5,0.5,0.56,0.32,0.32,0.32,0.4,0.65,0.66,0.94,1.0,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.56,0.57,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.59,0.47,0.44,0.54,0.41,0.56,0.56,0.56,0.56,0.55,0.56,0.57,0.58,0.59,0.59,0.59,0.6,0.6,0.59,0.58,0.6,0.6,0.58
ENSAOCT00000007551_ENSAOCG00000008175,0.61,0.61,0.56,0.56,0.56,0.61,1e-18,1e-18,1e-18,0.43,0.61,0.61,0.6,0.6,1.0,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.52,0.52,0.62,0.45,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.63
ENSSFOT00015014774_ENSSFOG00015009418,0.57,0.57,0.52,0.52,0.53,0.6,0.31,0.31,0.31,0.4,0.67,0.67,0.6,0.59,0.63,1.0,0.96,0.94,0.95,0.94,0.96,0.94,0.75,0.75,0.75,0.74,0.74,0.75,0.74,0.74,0.73,0.72,0.6,0.6,0.62,0.54,0.69,0.69,0.69,0.69,0.63,0.69,0.67,0.66,0.67,0.66,0.67,0.66,0.66,0.67,0.64,0.65,0.65,0.63
ENSSFOT00015014821_ENSSFOG00015009418,0.57,0.57,0.52,0.52,0.53,0.6,0.32,0.31,0.31,0.4,0.67,0.67,0.61,0.59,0.63,0.96,1.0,0.95,0.96,0.94,0.96,0.94,0.74,0.74,0.76,0.75,0.75,0.76,0.75,0.74,0.73,0.72,0.6,0.6,0.62,0.54,0.69,0.7,0.69,0.69,0.63,0.69,0.67,0.66,0.67,0.66,0.67,0.66,0.66,0.67,0.64,0.65,0.65,0.63
ENSSFOT00015014887_ENSSFOG00015009418,0.57,0.57,0.53,0.53,0.53,0.6,0.32,0.31,0.31,0.4,0.66,0.68,0.61,0.59,0.63,0.94,0.95,1.0,0.95,0.96,0.94,0.93,0.75,0.73,0.75,0.76,0.76,0.75,0.74,0.75,0.73,0.71,0.6,0.6,0.62,0.54,0.67,0.68,0.67,0.67,0.64,0.67,0.66,0.67,0.66,0.66,0.66,0.65,0.66,0.66,0.64,0.65,0.65,0.64
ENSSFOT00015014937_ENSSFOG00015009418,0.57,0.57,0.53,0.53,0.53,0.61,0.32,0.31,0.31,0.41,0.67,0.67,0.61,0.59,0.63,0.95,0.96,0.95,1.0,0.94,0.95,0.94,0.74,0.75,0.75,0.74,0.75,0.75,0.74,0.74,0.73,0.73,0.6,0.6,0.63,0.54,0.68,0.69,0.68,0.68,0.64,0.68,0.66,0.66,0.66,0.66,0.67,0.66,0.66,0.66,0.64,0.65,0.66,0.64
ENSSFOT00015014970_ENSSFOG00015009418,0.57,0.57,0.53,0.53,0.53,0.6,0.31,0.31,0.31,0.4,0.67,0.68,0.6,0.59,0.63,0.94,0.94,0.96,0.94,1.0,0.94,0.93,0.75,0.73,0.74,0.75,0.75,0.74,0.73,0.75,0.73,0.71,0.55,0.6,0.62,0.54,0.67,0.67,0.67,0.68,0.64,0.67,0.66,0.67,0.66,0.66,0.66,0.65,0.66,0.66,0.65,0.65,0.65,0.64
ENSSFOT00015015027_ENSSFOG00015009418,0.57,0.57,0.52,0.52,0.53,0.6,0.31,0.31,0.31,0.4,0.67,0.67,0.6,0.59,0.63,0.96,0.96,0.94,0.95,0.94,1.0,0.94,0.74,0.74,0.75,0.74,0.74,0.75,0.74,0.74,0.73,0.72,0.6,0.6,0.62,0.54,0.69,0.69,0.69,0.69,0.63,0.7,0.67,0.66,0.67,0.66,0.67,0.66,0.66,0.67,0.64,0.65,0.65,0.63
ENSSFOT00015015078_ENSSFOG00015009418,0.57,0.57,0.53,0.53,0.53,0.61,0.32,0.31,0.32,0.41,0.66,0.66,0.61,0.6,0.63,0.94,0.94,0.93,0.94,0.93,0.94,1.0,0.73,0.73,0.73,0.72,0.73,0.73,0.72,0.73,0.75,0.73,0.6,0.6,0.63,0.56,0.67,0.67,0.67,0.67,0.63,0.67,0.69,0.69,0.69,0.68,0.7,0.67,0.67,0.69,0.64,0.66,0.66,0.64
ENSPKIT00000025047_ENSPKIG00000019538,0.59,0.59,0.53,0.53,0.53,0.61,0.31,0.31,0.31,0.43,0.65,0.67,0.58,0.56,0.62,0.75,0.74,0.75,0.74,0.75,0.74,0.73,1.0,0.96,0.96,0.95,0.96,0.95,0.95,0.96,0.95,0.93,0.59,0.59,0.62,0.55,0.69,0.68,0.68,0.68,0.63,0.68,0.67,0.66,0.65,0.64,0.65,0.64,0.65,0.65,0.62,0.63,0.63,0.61
ENSPKIT00000025098_ENSPKIG00000019538,0.59,0.59,0.53,0.53,0.54,0.61,0.31,0.31,0.31,0.43,0.65,0.65,0.57,0.57,0.62,0.75,0.74,0.73,0.75,0.73,0.74,0.73,0.96,1.0,0.94,0.94,0.95,0.95,0.94,0.95,0.93,0.94,0.59,0.59,0.63,0.55,0.69,0.68,0.68,0.68,0.64,0.68,0.67,0.66,0.65,0.64,0.65,0.64,0.64,0.65,0.62,0.63,0.64,0.62
ENSPKIT00000025166_ENSPKIG00000019538,0.59,0.59,0.52,0.52,0.53,0.61,0.31,0.31,0.31,0.43,0.65,0.66,0.58,0.56,0.62,0.75,0.76,0.75,0.75,0.74,0.75,0.73,0.96,0.94,1.0,0.96,0.97,0.96,0.96,0.96,0.95,0.93,0.59,0.59,0.62,0.55,0.68,0.69,0.68,0.68,0.63,0.68,0.67,0.66,0.65,0.64,0.65,0.64,0.64,0.65,0.62,0.62,0.63,0.61
ENSPKIT00000025236_ENSPKIG00000019538,0.59,0.59,0.53,0.53,0.53,0.61,0.31,0.31,0.31,0.43,0.64,0.65,0.59,0.56,0.62,0.74,0.75,0.76,0.74,0.75,0.74,0.72,0.95,0.94,0.96,1.0,0.96,0.95,0.95,0.95,0.94,0.92,0.59,0.59,0.62,0.55,0.67,0.68,0.67,0.67,0.63,0.67,0.66,0.66,0.64,0.65,0.64,0.63,0.64,0.64,0.62,0.63,0.63,0.61
ENSPKIT00000025302_ENSPKIG00000019538,0.59,0.59,0.53,0.53,0.53,0.61,0.31,0.31,0.31,0.43,0.65,0.67,0.59,0.56,0.62,0.74,0.75,0.76,0.75,0.75,0.74,0.73,0.96,0.95,0.97,0.96,1.0,0.96,0.96,0.96,0.95,0.93,0.59,0.59,0.62,0.55,0.68,0.69,0.68,0.68,0.63,0.68,0.67,0.66,0.65,0.64,0.65,0.64,0.65,0.65,0.62,0.63,0.63,0.61
ENSPKIT00000025363_ENSPKIG00000019538,0.59,0.59,0.53,0.53,0.53,0.61,0.31,0.31,0.31,0.43,0.65,0.65,0.58,0.56,0.62,0.75,0.76,0.75,0.75,0.74,0.75,0.73,0.95,0.95,0.96,0.95,0.96,1.0,0.95,0.95,0.94,0.93,0.59,0.59,0.62,0.55,0.68,0.7,0.68,0.68,0.63,0.68,0.67,0.66,0.65,0.64,0.65,0.64,0.64,0.65,0.62,0.63,0.63,0.61
ENSPKIT00000025436_ENSPKIG00000019538,0.59,0.59,0.53,0.53,0.53,0.61,0.31,0.31,0.31,0.43,0.64,0.65,0.57,0.56,0.62,0.74,0.75,0.74,0.74,0.73,0.74,0.72,0.95,0.94,0.96,0.95,0.96,0.95,1.0,0.95,0.94,0.93,0.59,0.59,0.62,0.53,0.67,0.68,0.67,0.67,0.63,0.67,0.66,0.65,0.64,0.63,0.64,0.64,0.65,0.64,0.62,0.63,0.63,0.61
ENSPKIT00000025507_ENSPKIG00000019538,0.59,0.59,0.53,0.53,0.53,0.61,0.31,0.31,0.31,0.43,0.66,0.68,0.58,0.56,0.62,0.74,0.74,0.75,0.74,0.75,0.74,0.73,0.96,0.95,0.96,0.95,0.96,0.95,0.95,1.0,0.95,0.93,0.55,0.59,0.62,0.55,0.68,0.68,0.68,0.69,0.64,0.68,0.67,0.66,0.65,0.64,0.65,0.64,0.65,0.65,0.62,0.63,0.63,0.61
ENSPKIT00000025585_ENSPKIG00000019538,0.59,0.59,0.53,0.53,0.53,0.61,0.31,0.31,0.31,0.43,0.64,0.65,0.58,0.56,0.62,0.73,0.73,0.73,0.73,0.73,0.73,0.75,0.95,0.93,0.95,0.94,0.95,0.94,0.94,0.95,1.0,0.94,0.59,0.59,0.62,0.56,0.67,0.67,0.67,0.67,0.62,0.67,0.69,0.68,0.67,0.66,0.67,0.65,0.65,0.67,0.61,0.63,0.63,0.62
ENSPKIT00000025637_ENSPKIG00000019538,0.59,0.59,0.54,0.54,0.55,0.62,0.32,0.32,0.32,0.43,0.63,0.63,0.57,0.59,0.63,0.72,0.72,0.71,0.73,0.71,0.72,0.73,0.93,0.94,0.93,0.92,0.93,0.93,0.93,0.93,0.94,1.0,0.59,0.56,0.63,0.54,0.66,0.66,0.66,0.66,0.63,0.66,0.67,0.66,0.65,0.64,0.65,0.67,0.67,0.65,0.63,0.64,0.64,0.63
ENSPKIT00000015572_ENSPKIG00000013885,0.5,0.5,0.46,0.46,0.46,0.47,1e-18,1e-18,1e-18,0.42,0.49,0.49,0.47,0.47,0.52,0.6,0.6,0.6,0.6,0.55,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.55,0.59,0.59,1.0,0.88,0.5,0.54,0.55,0.55,0.55,0.52,0.52,0.55,0.55,0.55,0.56,0.56,0.56,0.56,0.56,0.56,0.49,0.51,0.56,0.51
ENSPKIT00000015585_ENSPKIG00000013885,0.5,0.5,0.46,0.46,0.46,0.47,1e-18,1e-18,1e-18,0.42,0.53,0.53,0.47,0.44,0.52,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.56,0.88,1.0,0.5,0.54,0.55,0.55,0.55,0.55,0.56,0.55,0.55,0.55,0.56,0.56,0.56,0.52,0.52,0.56,0.51,0.51,0.56,0.51
ENSSFOT00015024517_ENSSFOG00015015592,0.44,0.44,0.57,0.56,0.57,0.62,1e-18,1e-18,1e-18,0.45,0.57,0.56,0.53,0.54,0.62,0.62,0.62,0.62,0.63,0.62,0.62,0.63,0.62,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.5,0.5,1.0,0.82,0.58,0.58,0.58,0.58,0.59,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.59,0.6,0.61,0.6
ENSSFOT00015024529_ENSSFOG00015015592,0.45,0.45,0.44,0.44,0.44,0.45,1e-18,1e-18,1e-18,0.39,0.49,0.49,0.42,0.41,0.45,0.54,0.54,0.54,0.54,0.54,0.54,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.53,0.55,0.56,0.54,0.54,0.54,0.82,1.0,0.52,0.52,0.52,0.52,0.5,0.52,0.52,0.53,0.5,0.5,0.5,0.49,0.49,0.5,0.46,0.47,0.49,0.47
ENSCHAT00000004010_ENSCHAG00000002272,0.59,0.59,0.52,0.52,0.52,0.59,0.31,0.31,0.31,0.42,0.65,0.65,0.58,0.56,0.61,0.69,0.69,0.67,0.68,0.67,0.69,0.67,0.69,0.69,0.68,0.67,0.68,0.68,0.67,0.68,0.67,0.66,0.55,0.55,0.58,0.52,1.0,0.96,0.96,0.96,0.9,0.96,0.95,0.93,0.73,0.72,0.73,0.72,0.72,0.73,0.7,0.71,0.71,0.69
ENSCHAT00000004115_ENSCHAG00000002272,0.59,0.59,0.52,0.52,0.52,0.59,0.31,0.31,0.31,0.42,0.65,0.65,0.59,0.56,0.61,0.69,0.7,0.68,0.69,0.67,0.69,0.67,0.68,0.68,0.69,0.68,0.69,0.7,0.68,0.68,0.67,0.66,0.55,0.55,0.58,0.52,0.96,1.0,0.96,0.96,0.9,0.96,0.95,0.93,0.73,0.72,0.73,0.72,0.72,0.73,0.7,0.71,0.71,0.69
ENSCHAT00000004202_ENSCHAG00000002272,0.59,0.59,0.52,0.52,0.52,0.59,0.31,0.31,0.31,0.42,0.65,0.65,0.58,0.56,0.61,0.69,0.69,0.67,0.68,0.67,0.69,0.67,0.68,0.68,0.68,0.67,0.68,0.68,0.67,0.68,0.67,0.66,0.55,0.55,0.58,0.52,0.96,0.96,1.0,0.96,0.9,0.96,0.95,0.93,0.73,0.72,0.73,0.72,0.72,0.73,0.7,0.71,0.71,0.69
ENSCHAT00000004491_ENSCHAG00000002272,0.59,0.59,0.52,0.52,0.52,0.59,0.31,0.31,0.31,0.42,0.65,0.66,0.58,0.56,0.61,0.69,0.69,0.67,0.68,0.68,0.69,0.67,0.68,0.68,0.68,0.67,0.68,0.68,0.67,0.69,0.67,0.66,0.52,0.55,0.58,0.52,0.96,0.96,0.96,1.0,0.91,0.96,0.95,0.93,0.73,0.72,0.73,0.72,0.72,0.73,0.7,0.71,0.71,0.69
ENSCHAT00000005390_ENSCHAG00000002272,0.52,0.49,0.54,0.53,0.54,0.6,0.31,0.31,0.31,0.42,0.6,0.61,0.54,0.55,0.61,0.63,0.63,0.64,0.64,0.64,0.63,0.63,0.63,0.64,0.63,0.63,0.63,0.63,0.63,0.64,0.62,0.63,0.52,0.56,0.59,0.5,0.9,0.9,0.9,0.91,1.0,0.9,0.9,0.9,0.69,0.69,0.69,0.69,0.69,0.69,0.71,0.69,0.69,0.69
ENSCHAT00000005450_ENSCHAG00000002272,0.59,0.59,0.52,0.52,0.52,0.59,0.31,0.31,0.31,0.42,0.65,0.65,0.58,0.56,0.61,0.69,0.69,0.67,0.68,0.67,0.7,0.67,0.68,0.68,0.68,0.67,0.68,0.68,0.67,0.68,0.67,0.66,0.55,0.55,0.58,0.52,0.96,0.96,0.96,0.96,0.9,1.0,0.95,0.93,0.73,0.72,0.73,0.72,0.72,0.73,0.7,0.71,0.71,0.69
ENSCHAT00000005689_ENSCHAG00000002272,0.59,0.59,0.52,0.53,0.53,0.59,0.31,0.31,0.31,0.42,0.63,0.63,0.58,0.57,0.61,0.67,0.67,0.66,0.66,0.66,0.67,0.69,0.67,0.67,0.67,0.66,0.67,0.67,0.66,0.67,0.69,0.67,0.55,0.55,0.59,0.52,0.95,0.95,0.95,0.95,0.9,0.95,1.0,0.96,0.75,0.75,0.75,0.73,0.72,0.75,0.7,0.71,0.71,0.7
ENSCHAT00000005984_ENSCHAG00000002272,0.59,0.59,0.53,0.53,0.54,0.6,0.31,0.31,0.31,0.42,0.62,0.63,0.59,0.58,0.61,0.66,0.66,0.67,0.66,0.67,0.66,0.69,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.66,0.68,0.66,0.55,0.55,0.59,0.53,0.93,0.93,0.93,0.93,0.9,0.93,0.96,1.0,0.74,0.75,0.75,0.72,0.72,0.74,0.7,0.72,0.72,0.71
ENSDCDT00000053516_ENSDCDG00000026116,0.61,0.61,0.52,0.52,0.53,0.59,0.32,0.32,0.32,0.43,0.64,0.64,0.6,0.59,0.62,0.67,0.67,0.66,0.66,0.66,0.67,0.69,0.65,0.65,0.65,0.64,0.65,0.65,0.64,0.65,0.67,0.65,0.56,0.56,0.59,0.5,0.73,0.73,0.73,0.73,0.69,0.73,0.75,0.74,1.0,0.96,0.96,0.94,0.93,0.96,0.9,0.91,0.91,0.91
ENSDCDT00000053518_ENSDCDG00000026116,0.61,0.61,0.53,0.52,0.53,0.59,0.32,0.32,0.32,0.43,0.63,0.63,0.6,0.59,0.62,0.66,0.66,0.66,0.66,0.66,0.66,0.68,0.64,0.64,0.64,0.65,0.64,0.64,0.63,0.64,0.66,0.64,0.56,0.56,0.59,0.5,0.72,0.72,0.72,0.72,0.69,0.72,0.75,0.75,0.96,1.0,0.95,0.93,0.93,0.95,0.9,0.92,0.92,0.91
ENSDCDT00000053525_ENSDCDG00000026116,0.61,0.61,0.53,0.52,0.53,0.59,0.32,0.32,0.32,0.43,0.64,0.64,0.6,0.59,0.62,0.67,0.67,0.66,0.67,0.66,0.67,0.7,0.65,0.65,0.65,0.64,0.65,0.65,0.64,0.65,0.67,0.65,0.56,0.56,0.59,0.5,0.73,0.73,0.73,0.73,0.69,0.73,0.75,0.75,0.96,0.95,1.0,0.94,0.94,0.96,0.9,0.92,0.92,0.91
