,ENSEBUT00000005670_ENSEBUG00000003586,ENSNVIT00000002442_ENSNVIG00000001484,ENSCPUT00000024088_ENSCPUG00000013909,ENSMUNT00000003627_ENSMUNG00000002653,ENSLSDT00000027153_ENSLSDG00000016952,ENSSCAT00000003464_ENSSCAG00000002541,ENSJHYT00000012140_ENSJHYG00000007879,ENSFALT00000006426_ENSFALG00000006133,ENSPMJT00000025080_ENSPMJG00000014392,ENSLCOT00000017876_ENSLCOG00000012026,ENSGALT00000092172_ENSGALG00000008514,ENSGALT00000013867_ENSGALG00000008514,ENSMGAT00000012530_ENSMGAG00000011145,ENSCJPT00005024483_ENSCJPG00005014326,ENSNMET00000033611_ENSNMEG00000019619,ENSAHAT00000002902_ENSAHAG00000002094,ENSARWT00000016945_ENSARWG00000010282,ENSNPET00000004789_ENSNPEG00000003561,ENSCPRT00005031392_ENSCPRG00005018617,ENSGAGT00000012281_ENSGAGG00000008313,ENSCPBT00000021844_ENSCPBG00000013483,ENSPVIT00000032215_ENSPVIG00000019525,ENSACAT00000003489_ENSACAG00000003483,ENSSMRT00000023287_ENSSMRG00000015475,ENSSMRT00000023288_ENSSMRG00000015475,ENSBTAT00000013680_ENSBTAG00000010361,ENSBTAT00000085148_ENSBTAG00000010361,ENSBMUT00000028088_ENSBMUG00000018313,ENSBBBT00000004964_ENSBBBG00000014697,ENSOART00000022115_ENSOARG00000020309,ENSCHIT00000022096_ENSCHIG00000015386,ENSSSCT00000062422_ENSSSCG00000004755,ENSSSCT00000005254_ENSSSCG00000004755,ENSTBET00000010850_ENSTBEG00000010805,ENSLAFT00000014764_ENSLAFG00000014766,ENSUAMT00000023577_ENSUAMG00000016604,ENSUAMT00000023578_ENSUAMG00000016604,ENSUMAT00000019959_ENSUMAG00000012387,ENSAMET00000018517_ENSAMEG00000016821,ENSMPUT00000008843_ENSMPUG00000008771,ENSNVIT00000025709_ENSNVIG00000017198,ENSNVIT00000025729_ENSNVIG00000017198,ENSCAFT00020008117_ENSCAFG00020005705,ENSCAFT00000014966_ENSCAFG00000009401,ENSVVUT00000049040_ENSVVUG00000026692,ENSPPRT00000017992_ENSPPRG00000010910,ENSPTIT00000027345_ENSPTIG00000019554,ENSFCAT00000014725_ENSFCAG00000014721,ENSECAT00000014007_ENSECAG00000013434,ENSEAST00005026215_ENSEASG00005016419,ENSMLUT00000004544_ENSMLUG00000004545,ENSCLAT00000016361_ENSCLAG00000011143,ENSODET00000023633_ENSODEG00000017129,ENSCPOT00000011489_ENSCPOG00000011383,ENSHGLT00000022839_ENSHGLG00000016140,ENSFDAT00000008941_ENSFDAG00000005722,ENSFDAT00000008951_ENSFDAG00000005722,ENSCCNT00000018792_ENSCCNG00000014818
ENSGALT00000092172_ENSGALG00000008514,0.38,0.34,0.72,0.55,0.67,0.62,0.53,0.6,0.8,0.53,1.0,0.84,0.63,0.7,0.67,0.2,0.58,0.57,0.52,0.6,0.58,0.55,0.46,0.53,0.54,0.6,0.48,0.54,0.6,0.59,0.42,0.53,0.51,0.34,0.57,0.53,0.48,0.51,0.51,0.58,0.53,0.46,0.53,0.48,0.48,0.51,0.52,0.51,0.53,0.53,0.56,0.59,0.48,0.57,0.58,0.48,0.49,0.55
ENSGALT00000013867_ENSGALG00000008514,0.35,0.35,0.7,0.52,0.65,0.59,0.51,0.57,0.78,0.51,0.84,1.0,0.64,0.71,0.68,0.22,0.57,0.54,0.5,0.6,0.55,0.53,0.44,0.5,0.53,0.58,0.48,0.52,0.58,0.57,0.39,0.51,0.49,0.34,0.6,0.51,0.49,0.46,0.53,0.56,0.52,0.43,0.51,0.46,0.46,0.49,0.5,0.49,0.51,0.51,0.58,0.57,0.47,0.55,0.56,0.46,0.48,0.53
ENSMGAT00000012530_ENSMGAG00000011145,0.34,0.3,0.56,0.51,0.53,0.5,0.56,0.49,0.57,0.57,0.63,0.64,1.0,0.6,0.64,0.03,0.52,0.56,0.48,0.57,0.5,0.39,0.37,0.46,0.45,0.44,0.41,0.42,0.44,0.44,0.38,0.44,0.43,0.36,0.44,0.44,0.46,0.45,0.45,0.43,0.44,0.4,0.44,0.43,0.43,0.43,0.41,0.42,0.45,0.44,0.43,0.43,0.42,0.41,0.38,0.4,0.42,0.44
ENSCJPT00005024483_ENSCJPG00005014326,0.35,0.37,0.66,0.52,0.56,0.58,0.51,0.55,0.65,0.51,0.7,0.71,0.6,1.0,0.65,0.25,0.58,0.55,0.49,0.56,0.5,0.46,0.39,0.45,0.47,0.48,0.41,0.43,0.48,0.48,0.37,0.43,0.43,0.32,0.48,0.43,0.45,0.44,0.44,0.48,0.45,0.41,0.43,0.39,0.39,0.42,0.45,0.42,0.43,0.43,0.49,0.48,0.42,0.48,0.47,0.4,0.42,0.48
ENSNMET00000033611_ENSNMEG00000019619,0.36,0.35,0.73,0.51,0.54,0.52,0.59,0.5,0.64,0.59,0.67,0.68,0.64,0.65,1.0,0.1,0.52,0.6,0.51,0.68,0.56,0.48,0.47,0.51,0.5,0.45,0.41,0.4,0.45,0.45,0.37,0.48,0.47,0.32,0.45,0.46,0.43,0.45,0.49,0.46,0.46,0.39,0.47,0.45,0.45,0.45,0.45,0.45,0.47,0.47,0.45,0.44,0.44,0.44,0.45,0.43,0.42,0.42
ENSAHAT00000002902_ENSAHAG00000002094,0.09,0.08,0.15,0.07,0.23,0.12,0.06,0.1,0.22,0.06,0.2,0.22,0.03,0.25,0.1,1.0,0.38,0.09,0.07,0.11,0.18,0.14,0.08,0.08,0.19,0.19,0.17,0.19,0.19,0.19,0.05,0.1,0.11,0.02,0.21,0.1,0.09,0.1,0.1,0.19,0.17,0.17,0.1,0.15,0.15,0.09,0.1,0.08,0.09,0.09,0.21,0.19,0.09,0.19,0.19,0.1,0.12,0.19
ENSARWT00000016945_ENSARWG00000010282,0.35,0.35,0.57,0.56,0.71,0.59,0.56,0.57,0.61,0.56,0.58,0.57,0.52,0.58,0.52,0.38,1.0,0.56,0.53,0.52,0.56,0.51,0.46,0.47,0.48,0.5,0.46,0.5,0.5,0.5,0.38,0.48,0.47,0.38,0.5,0.48,0.45,0.46,0.49,0.5,0.46,0.44,0.48,0.46,0.46,0.46,0.48,0.46,0.48,0.47,0.5,0.49,0.45,0.5,0.49,0.42,0.44,0.47
ENSNPET00000004789_ENSNPEG00000003561,0.45,0.39,0.58,0.6,0.57,0.58,0.63,0.57,0.58,0.63,0.57,0.54,0.56,0.55,0.6,0.09,0.56,1.0,0.59,0.57,0.59,0.49,0.49,0.49,0.48,0.47,0.4,0.47,0.47,0.47,0.39,0.55,0.52,0.39,0.47,0.55,0.53,0.53,0.58,0.47,0.48,0.42,0.55,0.51,0.51,0.52,0.47,0.52,0.54,0.54,0.47,0.46,0.5,0.47,0.45,0.38,0.41,0.45
ENSCPRT00005031392_ENSCPRG00005018617,0.51,0.39,0.55,0.67,0.51,0.63,0.64,0.63,0.52,0.64,0.52,0.5,0.48,0.49,0.51,0.07,0.53,0.59,1.0,0.51,0.55,0.55,0.56,0.47,0.46,0.48,0.44,0.48,0.48,0.48,0.41,0.57,0.54,0.38,0.45,0.57,0.53,0.53,0.53,0.48,0.48,0.44,0.57,0.48,0.48,0.54,0.48,0.54,0.57,0.57,0.45,0.47,0.51,0.48,0.47,0.42,0.45,0.47
ENSGAGT00000012281_ENSGAGG00000008313,0.37,0.36,0.6,0.48,0.53,0.47,0.53,0.47,0.6,0.53,0.6,0.6,0.57,0.56,0.68,0.11,0.52,0.57,0.51,1.0,0.64,0.49,0.47,0.51,0.5,0.44,0.38,0.4,0.44,0.44,0.37,0.48,0.47,0.32,0.45,0.47,0.44,0.42,0.49,0.46,0.47,0.33,0.47,0.45,0.45,0.46,0.45,0.47,0.48,0.47,0.46,0.44,0.45,0.44,0.46,0.38,0.39,0.43
ENSCPBT00000021844_ENSCPBG00000013483,0.4,0.36,0.55,0.57,0.57,0.56,0.61,0.55,0.6,0.61,0.58,0.55,0.5,0.5,0.56,0.18,0.56,0.59,0.55,0.64,1.0,0.54,0.51,0.51,0.51,0.5,0.47,0.51,0.5,0.5,0.41,0.52,0.51,0.34,0.48,0.51,0.45,0.5,0.49,0.49,0.49,0.46,0.51,0.57,0.57,0.53,0.47,0.53,0.52,0.52,0.49,0.5,0.48,0.48,0.49,0.4,0.43,0.47
ENSPVIT00000032215_ENSPVIG00000019525,0.42,0.34,0.56,0.59,0.56,0.65,0.58,0.62,0.57,0.56,0.55,0.53,0.39,0.46,0.48,0.14,0.51,0.49,0.55,0.49,0.54,1.0,0.61,0.58,0.57,0.51,0.44,0.51,0.51,0.51,0.4,0.56,0.53,0.34,0.48,0.55,0.47,0.52,0.52,0.5,0.46,0.42,0.55,0.45,0.45,0.52,0.48,0.52,0.55,0.55,0.48,0.51,0.5,0.49,0.51,0.45,0.46,0.46
ENSACAT00000003489_ENSACAG00000003483,0.41,0.34,0.5,0.52,0.47,0.52,0.52,0.5,0.48,0.52,0.46,0.44,0.37,0.39,0.47,0.08,0.46,0.49,0.56,0.47,0.51,0.61,1.0,0.54,0.53,0.44,0.4,0.44,0.43,0.43,0.39,0.51,0.49,0.33,0.4,0.5,0.4,0.46,0.47,0.43,0.44,0.4,0.5,0.43,0.43,0.47,0.43,0.48,0.51,0.51,0.39,0.44,0.46,0.44,0.43,0.4,0.41,0.37
ENSSMRT00000023287_ENSSMRG00000015475,0.39,0.32,0.52,0.5,0.51,0.5,0.5,0.47,0.54,0.49,0.53,0.5,0.46,0.45,0.51,0.08,0.47,0.49,0.47,0.51,0.51,0.58,0.54,1.0,0.84,0.48,0.4,0.44,0.47,0.48,0.38,0.51,0.49,0.34,0.45,0.51,0.43,0.48,0.48,0.45,0.45,0.41,0.5,0.44,0.44,0.49,0.46,0.48,0.5,0.5,0.45,0.48,0.46,0.47,0.48,0.43,0.45,0.43
ENSSMRT00000023288_ENSSMRG00000015475,0.37,0.32,0.51,0.49,0.51,0.49,0.49,0.46,0.55,0.48,0.54,0.53,0.45,0.47,0.5,0.19,0.48,0.48,0.46,0.5,0.51,0.57,0.53,0.84,1.0,0.5,0.43,0.46,0.5,0.5,0.37,0.49,0.48,0.34,0.48,0.49,0.41,0.47,0.46,0.49,0.49,0.43,0.48,0.46,0.46,0.47,0.45,0.47,0.48,0.48,0.48,0.5,0.44,0.49,0.5,0.42,0.44,0.47
ENSBTAT00000013680_ENSBTAG00000010361,0.38,0.36,0.53,0.47,0.51,0.52,0.47,0.51,0.59,0.46,0.6,0.58,0.44,0.48,0.45,0.19,0.5,0.47,0.48,0.44,0.5,0.51,0.44,0.48,0.5,1.0,0.71,0.77,0.84,0.83,0.57,0.65,0.63,0.47,0.75,0.65,0.6,0.62,0.62,0.74,0.68,0.6,0.64,0.66,0.66,0.63,0.68,0.63,0.64,0.64,0.71,0.77,0.58,0.75,0.73,0.62,0.66,0.7
ENSBTAT00000085148_ENSBTAG00000010361,0.32,0.34,0.45,0.44,0.46,0.45,0.43,0.45,0.47,0.43,0.48,0.48,0.41,0.41,0.41,0.17,0.46,0.4,0.44,0.38,0.47,0.44,0.4,0.4,0.43,0.71,1.0,0.71,0.71,0.7,0.55,0.61,0.6,0.46,0.65,0.61,0.59,0.6,0.62,0.62,0.6,0.58,0.6,0.62,0.62,0.59,0.58,0.59,0.59,0.59,0.64,0.64,0.55,0.62,0.62,0.56,0.57,0.6
ENSBMUT00000028088_ENSBMUG00000018313,0.38,0.36,0.48,0.47,0.51,0.52,0.47,0.51,0.52,0.46,0.54,0.52,0.42,0.43,0.4,0.19,0.5,0.47,0.48,0.4,0.51,0.51,0.44,0.44,0.46,0.77,0.71,1.0,0.77,0.76,0.58,0.65,0.63,0.47,0.67,0.65,0.6,0.62,0.62,0.68,0.63,0.59,0.64,0.7,0.7,0.63,0.63,0.63,0.64,0.64,0.65,0.7,0.58,0.68,0.67,0.58,0.61,0.64
ENSBBBT00000004964_ENSBBBG00000014697,0.37,0.36,0.53,0.47,0.51,0.52,0.46,0.5,0.58,0.46,0.6,0.58,0.44,0.48,0.45,0.19,0.5,0.47,0.48,0.44,0.5,0.51,0.43,0.47,0.5,0.84,0.71,0.77,1.0,0.83,0.57,0.64,0.63,0.47,0.75,0.65,0.6,0.62,0.62,0.74,0.68,0.6,0.64,0.66,0.66,0.62,0.67,0.63,0.63,0.64,0.71,0.77,0.58,0.75,0.73,0.62,0.66,0.7
ENSOART00000022115_ENSOARG00000020309,0.38,0.37,0.53,0.47,0.51,0.51,0.46,0.5,0.58,0.46,0.59,0.57,0.44,0.48,0.45,0.19,0.5,0.47,0.48,0.44,0.5,0.51,0.43,0.48,0.5,0.83,0.7,0.76,0.83,1.0,0.57,0.65,0.63,0.47,0.75,0.65,0.6,0.63,0.62,0.73,0.68,0.6,0.64,0.66,0.65,0.63,0.67,0.63,0.64,0.64,0.71,0.77,0.58,0.74,0.73,0.62,0.66,0.69
ENSCHIT00000022096_ENSCHIG00000015386,0.3,0.32,0.4,0.4,0.41,0.4,0.4,0.4,0.41,0.4,0.42,0.39,0.38,0.37,0.37,0.05,0.38,0.39,0.41,0.37,0.41,0.4,0.39,0.38,0.37,0.57,0.55,0.58,0.57,0.57,1.0,0.59,0.58,0.48,0.53,0.59,0.57,0.6,0.61,0.52,0.53,0.52,0.59,0.55,0.55,0.57,0.52,0.57,0.58,0.58,0.53,0.52,0.54,0.5,0.52,0.46,0.48,0.5
ENSSSCT00000062422_ENSSSCG00000004755,0.49,0.38,0.52,0.58,0.52,0.55,0.55,0.53,0.52,0.55,0.53,0.51,0.44,0.43,0.48,0.1,0.48,0.55,0.57,0.48,0.52,0.56,0.51,0.51,0.49,0.65,0.61,0.65,0.64,0.65,0.59,1.0,0.78,0.5,0.61,0.81,0.72,0.76,0.77,0.64,0.64,0.6,0.8,0.65,0.65,0.75,0.61,0.75,0.8,0.8,0.61,0.62,0.69,0.61,0.62,0.56,0.58,0.59
ENSSSCT00000005254_ENSSSCG00000004755,0.46,0.37,0.5,0.55,0.51,0.53,0.53,0.51,0.51,0.53,0.51,0.49,0.43,0.43,0.47,0.11,0.47,0.52,0.54,0.47,0.51,0.53,0.49,0.49,0.48,0.63,0.6,0.63,0.63,0.63,0.58,0.78,1.0,0.5,0.6,0.76,0.68,0.72,0.73,0.63,0.63,0.59,0.75,0.63,0.63,0.71,0.6,0.71,0.75,0.75,0.59,0.6,0.66,0.59,0.61,0.55,0.57,0.58
ENSTBET00000010850_ENSTBEG00000010805,0.27,0.3,0.32,0.37,0.39,0.37,0.37,0.37,0.33,0.37,0.34,0.34,0.36,0.32,0.32,0.02,0.38,0.39,0.38,0.32,0.34,0.34,0.33,0.34,0.34,0.47,0.46,0.47,0.47,0.47,0.48,0.5,0.5,1.0,0.46,0.5,0.5,0.5,0.5,0.48,0.49,0.48,0.5,0.47,0.47,0.51,0.49,0.51,0.5,0.5,0.48,0.48,0.49,0.46,0.48,0.46,0.47,0.5
ENSLAFT00000014764_ENSLAFG00000014766,0.35,0.35,0.5,0.44,0.49,0.48,0.44,0.47,0.56,0.44,0.57,0.6,0.44,0.48,0.45,0.21,0.5,0.47,0.45,0.45,0.48,0.48,0.4,0.45,0.48,0.75,0.65,0.67,0.75,0.75,0.53,0.61,0.6,0.46,1.0,0.61,0.59,0.63,0.63,0.7,0.65,0.59,0.61,0.62,0.62,0.59,0.63,0.59,0.6,0.6,0.72,0.74,0.6,0.72,0.7,0.62,0.66,0.66
ENSUAMT00000023577_ENSUAMG00000016604,0.5,0.39,0.51,0.58,0.52,0.56,0.56,0.53,0.52,0.55,0.53,0.51,0.44,0.43,0.46,0.1,0.48,0.55,0.57,0.47,0.51,0.55,0.5,0.51,0.49,0.65,0.61,0.65,0.65,0.65,0.59,0.81,0.76,0.5,0.61,1.0,0.75,0.79,0.78,0.65,0.65,0.6,0.82,0.66,0.66,0.76,0.62,0.76,0.8,0.8,0.61,0.62,0.69,0.6,0.63,0.55,0.57,0.6
ENSUAMT00000023578_ENSUAMG00000016604,0.5,0.41,0.44,0.57,0.47,0.55,0.55,0.49,0.46,0.55,0.48,0.49,0.46,0.45,0.43,0.09,0.45,0.53,0.53,0.44,0.45,0.47,0.4,0.43,0.41,0.6,0.59,0.6,0.6,0.6,0.57,0.72,0.68,0.5,0.59,0.75,1.0,0.8,0.79,0.6,0.6,0.59,0.73,0.61,0.61,0.69,0.57,0.69,0.71,0.71,0.6,0.57,0.68,0.55,0.58,0.52,0.55,0.58
ENSUMAT00000019959_ENSUMAG00000012387,0.46,0.4,0.48,0.54,0.5,0.53,0.53,0.5,0.5,0.52,0.51,0.46,0.45,0.44,0.45,0.1,0.46,0.53,0.53,0.42,0.5,0.52,0.46,0.48,0.47,0.62,0.6,0.62,0.62,0.63,0.6,0.76,0.72,0.5,0.63,0.79,0.8,1.0,0.84,0.63,0.63,0.6,0.77,0.64,0.64,0.73,0.6,0.72,0.75,0.75,0.63,0.6,0.71,0.57,0.6,0.51,0.54,0.57
ENSAMET00000018517_ENSAMEG00000016821,0.47,0.39,0.49,0.54,0.5,0.52,0.52,0.5,0.5,0.52,0.51,0.53,0.45,0.44,0.49,0.1,0.49,0.58,0.53,0.49,0.49,0.52,0.47,0.48,0.46,0.62,0.62,0.62,0.62,0.62,0.61,0.77,0.73,0.5,0.63,0.78,0.79,0.84,1.0,0.63,0.63,0.62,0.77,0.64,0.64,0.72,0.59,0.72,0.75,0.75,0.62,0.6,0.72,0.58,0.6,0.55,0.57,0.57
ENSMPUT00000008843_ENSMPUG00000008771,0.39,0.37,0.53,0.47,0.51,0.52,0.47,0.53,0.56,0.46,0.58,0.56,0.43,0.48,0.46,0.19,0.5,0.47,0.48,0.46,0.49,0.5,0.43,0.45,0.49,0.74,0.62,0.68,0.74,0.73,0.52,0.64,0.63,0.48,0.7,0.65,0.6,0.63,0.63,1.0,0.78,0.64,0.65,0.65,0.65,0.62,0.67,0.63,0.62,0.63,0.71,0.72,0.58,0.7,0.73,0.6,0.63,0.69
ENSNVIT00000025709_ENSNVIG00000017198,0.38,0.36,0.5,0.47,0.47,0.47,0.47,0.48,0.51,0.46,0.53,0.52,0.44,0.45,0.46,0.17,0.46,0.48,0.48,0.47,0.49,0.46,0.44,0.45,0.49,0.68,0.6,0.63,0.68,0.68,0.53,0.64,0.63,0.49,0.65,0.65,0.6,0.63,0.63,0.78,1.0,0.68,0.65,0.65,0.65,0.63,0.63,0.63,0.63,0.63,0.65,0.66,0.58,0.64,0.67,0.56,0.59,0.64
ENSNVIT00000025729_ENSNVIG00000017198,0.33,0.35,0.43,0.43,0.43,0.43,0.43,0.42,0.43,0.42,0.46,0.43,0.4,0.41,0.39,0.17,0.44,0.42,0.44,0.33,0.46,0.42,0.4,0.41,0.43,0.6,0.58,0.59,0.6,0.6,0.52,0.6,0.59,0.48,0.59,0.6,0.59,0.6,0.62,0.64,0.68,1.0,0.6,0.62,0.62,0.59,0.56,0.59,0.58,0.58,0.6,0.58,0.55,0.56,0.59,0.45,0.49,0.56
ENSCAFT00020008117_ENSCAFG00020005705,0.5,0.4,0.51,0.57,0.52,0.55,0.55,0.52,0.52,0.55,0.53,0.51,0.44,0.43,0.47,0.1,0.48,0.55,0.57,0.47,0.51,0.55,0.5,0.5,0.48,0.64,0.6,0.64,0.64,0.64,0.59,0.8,0.75,0.5,0.61,0.82,0.73,0.77,0.77,0.65,0.65,0.6,1.0,0.68,0.68,0.75,0.61,0.75,0.79,0.79,0.61,0.63,0.69,0.6,0.63,0.55,0.57,0.59
ENSCAFT00000014966_ENSCAFG00000009401,0.38,0.36,0.41,0.47,0.46,0.47,0.52,0.45,0.47,0.52,0.48,0.46,0.43,0.39,0.45,0.15,0.46,0.51,0.48,0.45,0.57,0.45,0.43,0.44,0.46,0.66,0.62,0.7,0.66,0.66,0.55,0.65,0.63,0.47,0.62,0.66,0.61,0.64,0.64,0.65,0.65,0.62,0.68,1.0,0.82,0.63,0.6,0.63,0.64,0.64,0.61,0.64,0.58,0.62,0.63,0.54,0.57,0.6
