cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010751
oryzias_latipes_asm223467v1 ENSORLG00000023532
oryzias_latipes_asm223469v1 ENSORLG00015000750
oryzias_latipes_asm223471v1 ENSORLG00020000980
oryzias_melastigma ENSOMEG00000015880
xiphophorus_maculatus ENSXMAG00000012315
xiphophorus_couchianus ENSXCOG00000000030
gambusia_affinis ENSGAFG00000005282
poecilia_mexicana ENSPMEG00000002854
poecilia_reticulata ENSPREG00000011437
poecilia_latipinna ENSPLAG00000004061
poecilia_formosa ENSPFOG00000020666
fundulus_heteroclitus ENSFHEG00000011048
kryptolebias_marmoratus ENSKMAG00000005538
mastacembelus_armatus ENSMAMG00000013221
monopterus_albus ENSMALG00000007262
anabas_testudineus ENSATEG00000004040
mola_mola ENSMMOG00000015088
labrus_bergylta ENSLBEG00000014526
takifugu_rubripes ENSTRUG00000020331
tetraodon_nigroviridis ENSTNIG00000010882
esox_lucius ENSELUG00000004313
astyanax_mexicanus ENSAMXG00000025022
pygocentrus_nattereri ENSPNAG00000020175
ictalurus_punctatus ENSIPUG00000021389
paramormyrops_kingsleyae ENSPKIG00000012386
periophthalmus_magnuspinnatus ENSPMGG00000000826
esox_lucius ENSELUG00000024386
scleropages_formosus ENSSFOG00015009833
