canis_lupus_familiaris ENSCAFG00000023647
echinops_telfairi ENSETEG00000007881
echinops_telfairi ENSETEG00000000447
sarcophilus_harrisii ENSSHAG00000003178
notamacropus_eugenii ENSMEUG00000016158
monodelphis_domestica ENSMODG00000014620
junco_hyemalis ENSJHYG00000015382
zonotrichia_albicollis ENSZALG00000005196
serinus_canaria ENSSCAG00000007706
lonchura_striata_domestica ENSLSDG00000007357
ficedula_albicollis ENSFALG00000000341
parus_major ENSPMJG00000000323
cyanistes_caeruleus ENSCCEG00000021713
lepidothrix_coronata ENSLCOG00000011502
manacus_vitellinus ENSMVIG00005003688
calidris_pugnax ENSCPUG00000000371
melopsittacus_undulatus ENSMUNG00000001543
gallus_gallus ENSGALG00000019719
meleagris_gallopavo ENSMGAG00000003084
coturnix_japonica ENSCJPG00005004587
numida_meleagris ENSNMEG00000007099
pelodiscus_sinensis ENSPSIG00000002599
astyanax_mexicanus ENSAMXG00000005194
pygocentrus_nattereri ENSPNAG00000001937
ictalurus_punctatus ENSIPUG00000012605
danio_rerio ENSDARG00000044975
danio_rerio ENSDARG00000044976
danio_rerio ENSDARG00000014356
danio_rerio ENSDARG00000022334
takifugu_rubripes ENSTRUG00000015114
tetraodon_nigroviridis ENSTNIG00000001746
tetraodon_nigroviridis ENSTNIG00000019366
cynoglossus_semilaevis ENSCSEG00000016058
labrus_bergylta ENSLBEG00000009359
gasterosteus_aculeatus ENSGACG00000018299
mola_mola ENSMMOG00000007628
mola_mola ENSMMOG00000007634
xiphophorus_maculatus ENSXMAG00000000155
xiphophorus_couchianus ENSXCOG00000012766
gambusia_affinis ENSGAFG00000012559
poecilia_mexicana ENSPMEG00000008698
poecilia_reticulata ENSPREG00000000459
poecilia_formosa ENSPFOG00000004335
poecilia_latipinna ENSPLAG00000008072
fundulus_heteroclitus ENSFHEG00000001649
cyprinodon_variegatus ENSCVAG00000019039
kryptolebias_marmoratus ENSKMAG00000020377
oryzias_latipes_asm223471v1 ENSORLG00020004076
oryzias_latipes_asm223467v1 ENSORLG00000012662
oryzias_latipes_asm223469v1 ENSORLG00015002028
oryzias_melastigma ENSOMEG00000011603
amphiprion_percula ENSAPEG00000020916
amphiprion_ocellaris ENSAOCG00000021442
acanthochromis_polyacanthus ENSAPOG00000015225
stegastes_partitus ENSSPAG00000018562
haplochromis_burtoni ENSHBUG00000019853
pundamilia_nyererei ENSPNYG00000003207
maylandia_zebra ENSMZEG00005008511
astatotilapia_calliptera ENSACLG00000018950
neolamprologus_brichardi ENSNBRG00000022244
amphilophus_citrinellus ENSACIG00000007065
mastacembelus_armatus ENSMAMG00000010209
monopterus_albus ENSMALG00000004496
anabas_testudineus ENSATEG00000020591
periophthalmus_magnuspinnatus ENSPMGG00000022810
seriola_dumerili ENSSDUG00000000267
seriola_lalandi_dorsalis ENSSLDG00000010940
scophthalmus_maximus ENSSMAG00000006254
hippocampus_comes ENSHCOG00000015619
gadus_morhua ENSGMOG00000014102
scleropages_formosus ENSSFOG00015003590
paramormyrops_kingsleyae ENSPKIG00000007736
lepisosteus_oculatus ENSLOCG00000013607
pogona_vitticeps ENSPVIG00000016621
anolis_carolinensis ENSACAG00000028562
sphenodon_punctatus ENSSPUG00000013500
crocodylus_porosus ENSCPRG00005003494
xenopus_tropicalis ENSXETG00000012488
ictalurus_punctatus ENSIPUG00000012900
pygocentrus_nattereri ENSPNAG00000001391
astyanax_mexicanus ENSAMXG00000041997
mastacembelus_armatus ENSMAMG00000005361
petromyzon_marinus ENSPMAG00000004413
eptatretus_burgeri ENSEBUG00000006725
