oryzias_melastigma ENSOMEG00000010147
xiphophorus_maculatus ENSXMAG00000022741
xiphophorus_maculatus ENSXMAG00000024913
xiphophorus_maculatus ENSXMAG00000021744
xiphophorus_maculatus ENSXMAG00000022059
xiphophorus_maculatus ENSXMAG00000029719
xiphophorus_maculatus ENSXMAG00000026652
xiphophorus_maculatus ENSXMAG00000021132
xiphophorus_maculatus ENSXMAG00000023718
xiphophorus_maculatus ENSXMAG00000024747
xiphophorus_maculatus ENSXMAG00000026234
xiphophorus_maculatus ENSXMAG00000026875
xiphophorus_maculatus ENSXMAG00000026407
paramormyrops_kingsleyae ENSPKIG00000007990
danio_rerio ENSDARG00000087331
paramormyrops_kingsleyae ENSPKIG00000023579
cyprinodon_variegatus ENSCVAG00000016193
stegastes_partitus ENSSPAG00000022180
oryzias_latipes_asm223471v1 ENSORLG00020021919
monopterus_albus ENSMALG00000005532
monopterus_albus ENSMALG00000014983
monopterus_albus ENSMALG00000004881
seriola_dumerili ENSSDUG00000017220
seriola_dumerili ENSSDUG00000010207
seriola_lalandi_dorsalis ENSSLDG00000023366
mola_mola ENSMMOG00000006100
eptatretus_burgeri ENSEBUG00000004544
stegastes_partitus ENSSPAG00000010962
stegastes_partitus ENSSPAG00000001203
amphiprion_percula ENSAPEG00000002556
amphiprion_ocellaris ENSAOCG00000014638
amphiprion_ocellaris ENSAOCG00000007886
amphiprion_percula ENSAPEG00000022958
amphiprion_ocellaris ENSAOCG00000007740
acanthochromis_polyacanthus ENSAPOG00000008375
seriola_dumerili ENSSDUG00000020616
paramormyrops_kingsleyae ENSPKIG00000002442
paramormyrops_kingsleyae ENSPKIG00000020383
paramormyrops_kingsleyae ENSPKIG00000025017
oryzias_latipes_asm223467v1 ENSORLG00000028646
oryzias_latipes_asm223471v1 ENSORLG00020016284
poecilia_formosa ENSPFOG00000023445
amphiprion_percula ENSAPEG00000004456
amphiprion_percula ENSAPEG00000016391
amphiprion_ocellaris ENSAOCG00000024268
poecilia_reticulata ENSPREG00000012898
poecilia_reticulata ENSPREG00000019648
xiphophorus_maculatus ENSXMAG00000024733
poecilia_mexicana ENSPMEG00000006239
poecilia_formosa ENSPFOG00000001300
xiphophorus_maculatus ENSXMAG00000022819
amphilophus_citrinellus ENSACIG00000011143
poecilia_formosa ENSPFOG00000023281
stegastes_partitus ENSSPAG00000013048
amphilophus_citrinellus ENSACIG00000009988
mola_mola ENSMMOG00000011440
mola_mola ENSMMOG00000009218
astyanax_mexicanus ENSAMXG00000042885
astyanax_mexicanus ENSAMXG00000042851
paramormyrops_kingsleyae ENSPKIG00000024224
labrus_bergylta ENSLBEG00000022611
labrus_bergylta ENSLBEG00000002217
pygocentrus_nattereri ENSPNAG00000013410
pygocentrus_nattereri ENSPNAG00000019207
eptatretus_burgeri ENSEBUG00000004323
