heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010279
vicugna_pacos ENSVPAG00000005535
tursiops_truncatus ENSTTRG00000000287
choloepus_hoffmanni ENSCHOG00000007651
dasypus_novemcinctus ENSDNOG00000039597
procavia_capensis ENSPCAG00000010255
echinops_telfairi ENSETEG00000004504
loxodonta_africana ENSLAFG00000006243
notamacropus_eugenii ENSMEUG00000002826
phascolarctos_cinereus ENSPCIG00000024824
sarcophilus_harrisii ENSSHAG00000016741
monodelphis_domestica ENSMODG00000002377
monodelphis_domestica ENSMODG00000023542
ornithorhynchus_anatinus ENSOANG00000019997
ornithorhynchus_anatinus ENSOANG00000013316
equus_asinus_asinus ENSEASG00005000115
gallus_gallus ENSGALG00000046646
calidris_pygmaea ENSCPGG00000002863
calidris_pugnax ENSCPUG00000001589
melopsittacus_undulatus ENSMUNG00000002014
serinus_canaria ENSSCAG00000011894
ficedula_albicollis ENSFALG00000002664
parus_major ENSPMJG00000019295
cyanistes_caeruleus ENSCCEG00000000464
junco_hyemalis ENSJHYG00000016684
zonotrichia_albicollis ENSZALG00000015284
lonchura_striata_domestica ENSLSDG00000002706
taeniopygia_guttata ENSTGUG00000004604
manacus_vitellinus ENSMVIG00005015955
lepidothrix_coronata ENSLCOG00000012926
anser_brachyrhynchus ENSABRG00000011626
anas_platyrhynchos_platyrhynchos ENSAPLG00000006400
coturnix_japonica ENSCJPG00005021084
gallus_gallus ENSGALG00000001951
meleagris_gallopavo ENSMGAG00000006153
numida_meleagris ENSNMEG00000020087
apteryx_rowi ENSARWG00000018790
apteryx_owenii ENSAOWG00000003713
apteryx_haastii ENSAHAG00000014931
dromaius_novaehollandiae ENSDNVG00000007474
nothoprocta_perdicaria ENSNPEG00000005606
crocodylus_porosus ENSCPRG00005017693
gopherus_agassizii ENSGAGG00000001551
chelonoidis_abingdonii ENSCABG00000008967
chrysemys_picta_bellii ENSCPBG00000028301
pelodiscus_sinensis ENSPSIG00000004983
pogona_vitticeps ENSPVIG00000007120
anolis_carolinensis ENSACAG00000005665
notechis_scutatus ENSNSUG00000006552
salvator_merianae ENSSMRG00000014578
sphenodon_punctatus ENSSPUG00000017725
latimeria_chalumnae ENSLACG00000015644
xenopus_tropicalis ENSXETG00000009948
takifugu_rubripes ENSTRUG00000011642
tetraodon_nigroviridis ENSTNIG00000015300
mola_mola ENSMMOG00000011636
labrus_bergylta ENSLBEG00000024567
labrus_bergylta ENSLBEG00000001628
gasterosteus_aculeatus ENSGACG00000015158
seriola_dumerili ENSSDUG00000016534
seriola_lalandi_dorsalis ENSSLDG00000023525
scophthalmus_maximus ENSSMAG00000001814
fundulus_heteroclitus ENSFHEG00000002856
cyprinodon_variegatus ENSCVAG00000005517
xiphophorus_maculatus ENSXMAG00000008664
xiphophorus_couchianus ENSXCOG00000008332
gambusia_affinis ENSGAFG00000008926
poecilia_formosa ENSPFOG00000003800
poecilia_mexicana ENSPMEG00000017905
poecilia_latipinna ENSPLAG00000013206
poecilia_reticulata ENSPREG00000015585
kryptolebias_marmoratus ENSKMAG00000005565
oryzias_latipes_asm223471v1 ENSORLG00020016301
oryzias_latipes_asm223469v1 ENSORLG00015000469
oryzias_latipes_asm223467v1 ENSORLG00000015603
oryzias_melastigma ENSOMEG00000021980
pundamilia_nyererei ENSPNYG00000007608
haplochromis_burtoni ENSHBUG00000022488
maylandia_zebra ENSMZEG00005025539
astatotilapia_calliptera ENSACLG00000001733
neolamprologus_brichardi ENSNBRG00000019233
oreochromis_niloticus ENSONIG00000010131
amphilophus_citrinellus ENSACIG00000016446
amphiprion_percula ENSAPEG00000011008
amphiprion_ocellaris ENSAOCG00000012718
acanthochromis_polyacanthus ENSAPOG00000005269
stegastes_partitus ENSSPAG00000023156
mastacembelus_armatus ENSMAMG00000010629
monopterus_albus ENSMALG00000019493
anabas_testudineus ENSATEG00000014496
cynoglossus_semilaevis ENSCSEG00000015040
hippocampus_comes ENSHCOG00000001076
periophthalmus_magnuspinnatus ENSPMGG00000017578
gadus_morhua ENSGMOG00000012081
esox_lucius ENSELUG00000010383
pygocentrus_nattereri ENSPNAG00000017504
astyanax_mexicanus ENSAMXG00000014288
danio_rerio ENSDARG00000053104
scleropages_formosus ENSSFOG00015011213
paramormyrops_kingsleyae ENSPKIG00000017219
xiphophorus_maculatus ENSXMAG00000000553
xiphophorus_couchianus ENSXCOG00000008204
poecilia_formosa ENSPFOG00000019237
poecilia_mexicana ENSPMEG00000012538
poecilia_latipinna ENSPLAG00000000866
poecilia_reticulata ENSPREG00000022550
gambusia_affinis ENSGAFG00000010369
cyprinodon_variegatus ENSCVAG00000012132
fundulus_heteroclitus ENSFHEG00000003122
kryptolebias_marmoratus ENSKMAG00000009363
oryzias_latipes_asm223467v1 ENSORLG00000011370
oryzias_latipes_asm223471v1 ENSORLG00020006230
oryzias_latipes_asm223469v1 ENSORLG00015003988
oryzias_melastigma ENSOMEG00000010933
gasterosteus_aculeatus ENSGACG00000006422
hippocampus_comes ENSHCOG00000017158
cynoglossus_semilaevis ENSCSEG00000019409
astatotilapia_calliptera ENSACLG00000026508
maylandia_zebra ENSMZEG00005018834
haplochromis_burtoni ENSHBUG00000004080
pundamilia_nyererei ENSPNYG00000014642
neolamprologus_brichardi ENSNBRG00000020617
oreochromis_niloticus ENSONIG00000008362
amphilophus_citrinellus ENSACIG00000016412
labrus_bergylta ENSLBEG00000020085
labrus_bergylta ENSLBEG00000016379
amphiprion_percula ENSAPEG00000014168
amphiprion_ocellaris ENSAOCG00000017661
acanthochromis_polyacanthus ENSAPOG00000013374
stegastes_partitus ENSSPAG00000010766
mola_mola ENSMMOG00000001630
seriola_dumerili ENSSDUG00000015867
seriola_lalandi_dorsalis ENSSLDG00000018949
scophthalmus_maximus ENSSMAG00000019895
monopterus_albus ENSMALG00000019471
mastacembelus_armatus ENSMAMG00000012116
anabas_testudineus ENSATEG00000022099
takifugu_rubripes ENSTRUG00000023288
tetraodon_nigroviridis ENSTNIG00000003314
periophthalmus_magnuspinnatus ENSPMGG00000000702
gadus_morhua ENSGMOG00000008658
esox_lucius ENSELUG00000023557
pygocentrus_nattereri ENSPNAG00000000830
astyanax_mexicanus ENSAMXG00000035721
ictalurus_punctatus ENSIPUG00000020650
danio_rerio ENSDARG00000002333
scleropages_formosus ENSSFOG00015004479
paramormyrops_kingsleyae ENSPKIG00000004892
lepisosteus_oculatus ENSLOCG00000007897
lepisosteus_oculatus ENSLOCG00000006965
latimeria_chalumnae ENSLACG00000013426
