numida_meleagris ENSNMEG00000004490
callithrix_jacchus ENSCJAG00000009140
aotus_nancymaae ENSANAG00000028160
rhinopithecus_bieti ENSRBIG00000029326
piliocolobus_tephrosceles ENSPTEG00000002854
mus_spicilegus ENSMSIG00000026328
carlito_syrichta ENSTSYG00000029347
prolemur_simus ENSPSMG00000010722
microcebus_murinus ENSMICG00000015733
propithecus_coquereli ENSPCOG00000017349
otolemur_garnettii ENSOGAG00000015086
myotis_lucifugus ENSMLUG00000001802
panthera_tigris_altaica ENSPTIG00000014534
spermophilus_dauricus ENSSDAG00000019653
ochotona_princeps ENSOPRG00000002184
sorex_araneus ENSSARG00000011326
procavia_capensis ENSPCAG00000007678
loxodonta_africana ENSLAFG00000006041
echinops_telfairi ENSETEG00000016418
dasypus_novemcinctus ENSDNOG00000009697
erinaceus_europaeus ENSEEUG00000015492
phascolarctos_cinereus ENSPCIG00000024846
notamacropus_eugenii ENSMEUG00000010367
takifugu_rubripes ENSTRUG00000012408
tetraodon_nigroviridis ENSTNIG00000016989
mola_mola ENSMMOG00000019830
gasterosteus_aculeatus ENSGACG00000005790
labrus_bergylta ENSLBEG00000013649
labrus_bergylta ENSLBEG00000001503
mastacembelus_armatus ENSMAMG00000011450
monopterus_albus ENSMALG00000016594
xiphophorus_maculatus ENSXMAG00000002876
xiphophorus_couchianus ENSXCOG00000020160
gambusia_affinis ENSGAFG00000015701
poecilia_formosa ENSPFOG00000006726
poecilia_latipinna ENSPLAG00000020822
poecilia_mexicana ENSPMEG00000015750
poecilia_reticulata ENSPREG00000004917
cyprinodon_variegatus ENSCVAG00000006868
oryzias_latipes_asm223469v1 ENSORLG00015010997
oryzias_latipes_asm223471v1 ENSORLG00020000795
oryzias_latipes_asm223467v1 ENSORLG00000011030
pundamilia_nyererei ENSPNYG00000009297
amphilophus_citrinellus ENSACIG00000021196
acanthochromis_polyacanthus ENSAPOG00000021310
amphiprion_ocellaris ENSAOCG00000008564
stegastes_partitus ENSSPAG00000016473
seriola_dumerili ENSSDUG00000008733
seriola_lalandi_dorsalis ENSSLDG00000009367
scophthalmus_maximus ENSSMAG00000011273
cynoglossus_semilaevis ENSCSEG00000015907
periophthalmus_magnuspinnatus ENSPMGG00000005861
hippocampus_comes ENSHCOG00000018229
gadus_morhua ENSGMOG00000006844
astyanax_mexicanus ENSAMXG00000031491
ictalurus_punctatus ENSIPUG00000021122
danio_rerio ENSDARG00000070094
scleropages_formosus ENSSFOG00015021628
paramormyrops_kingsleyae ENSPKIG00000022115
lepisosteus_oculatus ENSLOCG00000004774
latimeria_chalumnae ENSLACG00000015092
xenopus_tropicalis ENSXETG00000020676
