melopsittacus_undulatus ENSMUNG00000013578
mandrillus_leucophaeus ENSMLEG00000038655
theropithecus_gelada ENSTGEG00000025423
chlorocebus_sabaeus ENSCSAG00000000406
carlito_syrichta ENSTSYG00000006047
otolemur_garnettii ENSOGAG00000031744
ictidomys_tridecemlineatus ENSSTOG00000013920
urocitellus_parryii ENSUPAG00010012898
spermophilus_dauricus ENSSDAG00000018003
marmota_marmota_marmota ENSMMMG00000012768
capra_hircus ENSCHIG00000016286
ovis_aries ENSOARG00000010669
bos_taurus ENSBTAG00000020194
sus_scrofa ENSSSCG00000022331
ursus_americanus ENSUAMG00000003874
ailuropoda_melanoleuca ENSAMEG00000016185
neovison_vison ENSNVIG00000001046
canis_lupus_dingo ENSCAFG00020024504
canis_lupus_familiaris ENSCAFG00000032672
vulpes_vulpes ENSVVUG00000021385
equus_asinus_asinus ENSEASG00005015982
myotis_lucifugus ENSMLUG00000005625
loxodonta_africana ENSLAFG00000003454
vicugna_pacos ENSVPAG00000009715
ochotona_princeps ENSOPRG00000011441
echinops_telfairi ENSETEG00000019785
choloepus_hoffmanni ENSCHOG00000004376
mesocricetus_auratus ENSMAUG00000008666
dasypus_novemcinctus ENSDNOG00000044091
phascolarctos_cinereus ENSPCIG00000006275
kryptolebias_marmoratus ENSKMAG00000001997
xiphophorus_couchianus ENSXCOG00000016072
oreochromis_niloticus ENSONIG00000002720
amphilophus_citrinellus ENSACIG00000011490
stegastes_partitus ENSSPAG00000008445
seriola_dumerili ENSSDUG00000019973
tetraodon_nigroviridis ENSTNIG00000016839
periophthalmus_magnuspinnatus ENSPMGG00000017871
astyanax_mexicanus ENSAMXG00000000040
danio_rerio ENSDARG00000035056
cyprinodon_variegatus ENSCVAG00000014484
fundulus_heteroclitus ENSFHEG00000022293
poecilia_mexicana ENSPMEG00000004114
poecilia_latipinna ENSPLAG00000017978
poecilia_formosa ENSPFOG00000006203
poecilia_reticulata ENSPREG00000007543
xiphophorus_maculatus ENSXMAG00000000441
xiphophorus_couchianus ENSXCOG00000006880
gambusia_affinis ENSGAFG00000003430
kryptolebias_marmoratus ENSKMAG00000008064
oryzias_latipes_asm223467v1 ENSORLG00000002061
oryzias_latipes_asm223469v1 ENSORLG00015002662
oryzias_melastigma ENSOMEG00000007025
takifugu_rubripes ENSTRUG00000007939
mola_mola ENSMMOG00000014521
hippocampus_comes ENSHCOG00000009068
labrus_bergylta ENSLBEG00000006401
astatotilapia_calliptera ENSACLG00000008552
pundamilia_nyererei ENSPNYG00000016380
maylandia_zebra ENSMZEG00005000828
haplochromis_burtoni ENSHBUG00000003999
neolamprologus_brichardi ENSNBRG00000004284
oreochromis_niloticus ENSONIG00000008596
amphilophus_citrinellus ENSACIG00000020858
amphiprion_percula ENSAPEG00000015730
seriola_dumerili ENSSDUG00000020368
scophthalmus_maximus ENSSMAG00000002856
gasterosteus_aculeatus ENSGACG00000020450
mastacembelus_armatus ENSMAMG00000021278
seriola_lalandi_dorsalis ENSSLDG00000005756
anabas_testudineus ENSATEG00000009279
acanthochromis_polyacanthus ENSAPOG00000003725
amphiprion_ocellaris ENSAOCG00000022246
stegastes_partitus ENSSPAG00000019990
amphiprion_percula ENSAPEG00000015745
oryzias_latipes_asm223471v1 ENSORLG00020018446
monopterus_albus ENSMALG00000019481
monopterus_albus ENSMALG00000019474
tetraodon_nigroviridis ENSTNIG00000019669
cynoglossus_semilaevis ENSCSEG00000019840
periophthalmus_magnuspinnatus ENSPMGG00000019012
gadus_morhua ENSGMOG00000011012
esox_lucius ENSELUG00000024077
pygocentrus_nattereri ENSPNAG00000028647
ictalurus_punctatus ENSIPUG00000017812
astyanax_mexicanus ENSAMXG00000032800
danio_rerio ENSDARG00000056633
xenopus_tropicalis ENSXETG00000003477
ciona_savignyi ENSCSAVG00000000336
