mus_musculus_strain_reference_cl57bl6 ENSMUSG00000005615
danio_rerio ENSDARG00000011233
scleropages_formosus ENSSFOG00015024216
scleropages_formosus ENSSFOG00015017682
paramormyrops_kingsleyae ENSPKIG00000011434
lepisosteus_oculatus ENSLOCG00000008590
pygocentrus_nattereri ENSPNAG00000022034
astyanax_mexicanus ENSAMXG00000013963
ictalurus_punctatus ENSIPUG00000013777
danio_rerio ENSDARG00000004492
eptatretus_burgeri ENSEBUG00000016712
