mus_musculus_strain_reference_cl57bl6 ENSMUSG00000002633
propithecus_coquereli ENSPCOG00000020875
marmota_marmota_marmota ENSMMMG00000018886
spermophilus_dauricus ENSSDAG00000017452
ursus_americanus ENSUAMG00000023241
cyanistes_caeruleus ENSCCEG00000001013
melopsittacus_undulatus ENSMUNG00000013104
scleropages_formosus ENSSFOG00015002935
xenopus_tropicalis ENSXETG00000013504
latimeria_chalumnae ENSLACG00000011470
takifugu_rubripes ENSTRUG00000025705
tetraodon_nigroviridis ENSTNIG00000012780
gasterosteus_aculeatus ENSGACG00000003893
poecilia_mexicana ENSPMEG00000013400
poecilia_formosa ENSPFOG00000015445
poecilia_latipinna ENSPLAG00000007971
poecilia_reticulata ENSPREG00000008962
xiphophorus_maculatus ENSXMAG00000024356
xiphophorus_couchianus ENSXCOG00000011493
gambusia_affinis ENSGAFG00000003288
fundulus_heteroclitus ENSFHEG00000016095
cyprinodon_variegatus ENSCVAG00000007661
kryptolebias_marmoratus ENSKMAG00000012655
oryzias_latipes_asm223471v1 ENSORLG00020010889
oryzias_latipes_asm223467v1 ENSORLG00000010463
oryzias_latipes_asm223469v1 ENSORLG00015010578
oryzias_melastigma ENSOMEG00000004319
labrus_bergylta ENSLBEG00000009093
mola_mola ENSMMOG00000004435
amphiprion_ocellaris ENSAOCG00000006125
amphiprion_percula ENSAPEG00000016169
acanthochromis_polyacanthus ENSAPOG00000011867
stegastes_partitus ENSSPAG00000001127
amphilophus_citrinellus ENSACIG00000018203
amphilophus_citrinellus ENSACIG00000018215
maylandia_zebra ENSMZEG00005022108
astatotilapia_calliptera ENSACLG00000027636
haplochromis_burtoni ENSHBUG00000014721
pundamilia_nyererei ENSPNYG00000006829
neolamprologus_brichardi ENSNBRG00000016664
oreochromis_niloticus ENSONIG00000005944
seriola_dumerili ENSSDUG00000006770
seriola_lalandi_dorsalis ENSSLDG00000021952
scophthalmus_maximus ENSSMAG00000010967
monopterus_albus ENSMALG00000008681
mastacembelus_armatus ENSMAMG00000003867
anabas_testudineus ENSATEG00000005796
cynoglossus_semilaevis ENSCSEG00000000971
periophthalmus_magnuspinnatus ENSPMGG00000001880
hippocampus_comes ENSHCOG00000011853
gadus_morhua ENSGMOG00000005048
pygocentrus_nattereri ENSPNAG00000017697
astyanax_mexicanus ENSAMXG00000034481
ictalurus_punctatus ENSIPUG00000011640
esox_lucius ENSELUG00000006116
danio_rerio ENSDARG00000068567
esox_lucius ENSELUG00000013459
danio_rerio ENSDARG00000038867
lepisosteus_oculatus ENSLOCG00000012487
paramormyrops_kingsleyae ENSPKIG00000005904
paramormyrops_kingsleyae ENSPKIG00000012845
scleropages_formosus ENSSFOG00015004140
pygocentrus_nattereri ENSPNAG00000019147
astyanax_mexicanus ENSAMXG00000008367
ictalurus_punctatus ENSIPUG00000001720
seriola_lalandi_dorsalis ENSSLDG00000014689
seriola_dumerili ENSSDUG00000003939
amphiprion_ocellaris ENSAOCG00000012732
amphiprion_percula ENSAPEG00000023921
acanthochromis_polyacanthus ENSAPOG00000007969
stegastes_partitus ENSSPAG00000006069
amphilophus_citrinellus ENSACIG00000002882
seriola_lalandi_dorsalis ENSSLDG00000002121
acanthochromis_polyacanthus ENSAPOG00000008189
petromyzon_marinus ENSPMAG00000004136
petromyzon_marinus ENSPMAG00000005160
eptatretus_burgeri ENSEBUG00000001209
eptatretus_burgeri ENSEBUG00000010476
eptatretus_burgeri ENSEBUG00000015630
eptatretus_burgeri ENSEBUG00000014339
eptatretus_burgeri ENSEBUG00000001185
eptatretus_burgeri ENSEBUG00000009517
eptatretus_burgeri ENSEBUG00000015698
