kryptolebias_marmoratus ENSKMAG00000009813
equus_asinus_asinus ENSEASG00005012426
ovis_aries ENSOARG00000019596
capra_hircus ENSCHIG00000023387
bos_mutus ENSBMUG00000015995
bos_taurus ENSBTAG00000002132
bison_bison_bison ENSBBBG00000016079
tursiops_truncatus ENSTTRG00000000181
sus_scrofa ENSSSCG00000011911
vicugna_pacos ENSVPAG00000011966
castor_canadensis ENSCCNG00000012430
dipodomys_ordii ENSDORG00000012995
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022705
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021656
mus_spicilegus ENSMSIG00000004875
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020757
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016457
rattus_norvegicus ENSRNOG00000060806
meriones_unguiculatus ENSMUGG00000018414
meriones_unguiculatus ENSMUGG00000018492
cricetulus_griseus_crigri-picr ENSCGRG00015015862
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020663
cricetulus_griseus_crigri_1.0 ENSCGRG00000009090
mesocricetus_auratus ENSMAUG00000010185
microtus_ochrogaster ENSMOCG00000008878
peromyscus_maniculatus_bairdii ENSPEMG00000003740
nannospalax_galili ENSNGAG00000008648
jaculus_jaculus ENSJJAG00000018298
chinchilla_lanigera ENSCLAG00000014423
octodon_degus ENSODEG00000005699
cavia_porcellus ENSCPOG00000002552
cavia_aperea ENSCAPG00000005861
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003559
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018420
fukomys_damarensis ENSFDAG00000002020
urocitellus_parryii ENSUPAG00010019802
spermophilus_dauricus ENSSDAG00000011980
ictidomys_tridecemlineatus ENSSTOG00000000307
marmota_marmota_marmota ENSMMMG00000010664
oryctolagus_cuniculus ENSOCUG00000002605
ochotona_princeps ENSOPRG00000014440
tupaia_belangeri ENSTBEG00000016497
papio_anubis ENSPANG00000025631
theropithecus_gelada ENSTGEG00000003805
cercocebus_atys ENSCATG00000035557
mandrillus_leucophaeus ENSMLEG00000029836
macaca_nemestrina ENSMNEG00000034372
macaca_fascicularis ENSMFAG00000037060
macaca_mulatta ENSMMUG00000022936
chlorocebus_sabaeus ENSCSAG00000006929
rhinopithecus_bieti ENSRBIG00000018656
rhinopithecus_roxellana ENSRROG00000034459
colobus_angolensis_palliatus ENSCANG00000042427
piliocolobus_tephrosceles ENSPTEG00000022292
pan_paniscus ENSPPAG00000033825
pan_troglodytes ENSPTRG00000015241
gorilla_gorilla ENSGGOG00000014644
homo_sapiens ENSG00000151577
pongo_abelii ENSPPYG00000013529
nomascus_leucogenys ENSNLEG00000004740
cebus_capucinus_imitator ENSCCAG00000037901
cebus_capucinus_imitator ENSCCAG00000034360
saimiri_boliviensis_boliviensis ENSSBOG00000034452
callithrix_jacchus ENSCJAG00000009251
aotus_nancymaae ENSANAG00000034304
carlito_syrichta ENSTSYG00000003431
microcebus_murinus ENSMICG00000049039
propithecus_coquereli ENSPCOG00000015970
prolemur_simus ENSPSMG00000018272
otolemur_garnettii ENSOGAG00000015072
loxodonta_africana ENSLAFG00000002472
procavia_capensis ENSPCAG00000012455
echinops_telfairi ENSETEG00000019290
latimeria_chalumnae ENSLACG00000002004
