acanthochromis_polyacanthus ENSAPOG00000016709
apteryx_owenii ENSAOWG00000008669
apteryx_rowi ENSARWG00000017964
pelodiscus_sinensis ENSPSIG00000008975
pogona_vitticeps ENSPVIG00000003626
gopherus_agassizii ENSGAGG00000006926
nothoprocta_perdicaria ENSNPEG00000015140
castor_canadensis ENSCCNG00000008893
dipodomys_ordii ENSDORG00000005815
urocitellus_parryii ENSUPAG00010022467
ictidomys_tridecemlineatus ENSSTOG00000006997
spermophilus_dauricus ENSSDAG00000011889
marmota_marmota_marmota ENSMMMG00000017823
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011360
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007688
fukomys_damarensis ENSFDAG00000020279
cavia_porcellus ENSCPOG00000013879
cavia_aperea ENSCAPG00000000194
octodon_degus ENSODEG00000007742
chinchilla_lanigera ENSCLAG00000007168
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027260
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028545
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026291
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028624
rattus_norvegicus ENSRNOG00000008025
meriones_unguiculatus ENSMUGG00000003514
meriones_unguiculatus ENSMUGG00000003560
peromyscus_maniculatus_bairdii ENSPEMG00000022292
microtus_ochrogaster ENSMOCG00000003340
cricetulus_griseus_crigri-picr ENSCGRG00015023036
cricetulus_griseus_crigri_1.0 ENSCGRG00000014231
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018629
mesocricetus_auratus ENSMAUG00000007838
nannospalax_galili ENSNGAG00000016052
jaculus_jaculus ENSJJAG00000007543
tupaia_belangeri ENSTBEG00000000695
cebus_capucinus_imitator ENSCCAG00000027560
saimiri_boliviensis_boliviensis ENSSBOG00000015358
callithrix_jacchus ENSCJAG00000021284
aotus_nancymaae ENSANAG00000018794
pan_paniscus ENSPPAG00000040466
pan_troglodytes ENSPTRG00000000721
homo_sapiens ENSG00000162373
gorilla_gorilla ENSGGOG00000003566
pongo_abelii ENSPPYG00000001371
nomascus_leucogenys ENSNLEG00000033925
rhinopithecus_roxellana ENSRROG00000038073
rhinopithecus_bieti ENSRBIG00000036850
colobus_angolensis_palliatus ENSCANG00000027732
piliocolobus_tephrosceles ENSPTEG00000038421
papio_anubis ENSPANG00000013119
theropithecus_gelada ENSTGEG00000002917
chlorocebus_sabaeus ENSCSAG00000001256
macaca_mulatta ENSMMUG00000019137
macaca_fascicularis ENSMFAG00000032787
macaca_nemestrina ENSMNEG00000030902
mandrillus_leucophaeus ENSMLEG00000030818
cercocebus_atys ENSCATG00000007212
carlito_syrichta ENSTSYG00000007521
propithecus_coquereli ENSPCOG00000023490
prolemur_simus ENSPSMG00000002676
microcebus_murinus ENSMICG00000003282
otolemur_garnettii ENSOGAG00000005779
ursus_maritimus ENSUMAG00000023282
sorex_araneus ENSSARG00000013821
sus_scrofa ENSSSCG00000037235
sus_scrofa ENSSSCG00000036079
erinaceus_europaeus ENSEEUG00000002656
choloepus_hoffmanni ENSCHOG00000004966
dasypus_novemcinctus ENSDNOG00000044786
procavia_capensis ENSPCAG00000010667
pteropus_vampyrus ENSPVAG00000009974
myotis_lucifugus ENSMLUG00000016578
bos_taurus ENSBTAG00000009209
bos_mutus ENSBMUG00000015425
bison_bison_bison ENSBBBG00000009734
capra_hircus ENSCHIG00000021731
ovis_aries ENSOARG00000004077
tursiops_truncatus ENSTTRG00000012397
equus_asinus_asinus ENSEASG00005010723
equus_caballus ENSECAG00000025062
neovison_vison ENSNVIG00000002432
mustela_putorius_furo ENSMPUG00000012351
ursus_americanus ENSUAMG00000016608
ailuropoda_melanoleuca ENSAMEG00000009379
canis_lupus_dingo ENSCAFG00020014470
vulpes_vulpes ENSVVUG00000006293
panthera_pardus ENSPPRG00000022625
panthera_tigris_altaica ENSPTIG00000020902
felis_catus ENSFCAG00000000551
vicugna_pacos ENSVPAG00000011605
oryctolagus_cuniculus ENSOCUG00000006471
ochotona_princeps ENSOPRG00000012392
loxodonta_africana ENSLAFG00000003490
meriones_unguiculatus ENSMUGG00000003574
echinops_telfairi ENSETEG00000007885
cercocebus_atys ENSCATG00000037935
canis_lupus_familiaris ENSCAFG00000003935
mus_spicilegus ENSMSIG00000021353
notamacropus_eugenii ENSMEUG00000008185
phascolarctos_cinereus ENSPCIG00000004124
ornithorhynchus_anatinus ENSOANG00000009132
xenopus_tropicalis ENSXETG00000008687
latimeria_chalumnae ENSLACG00000012193
