vicugna_pacos ENSVPAG00000011388
oryzias_melastigma ENSOMEG00000009891
gasterosteus_aculeatus ENSGACG00000001340
takifugu_rubripes ENSTRUG00000015498
tetraodon_nigroviridis ENSTNIG00000015681
mola_mola ENSMMOG00000019514
mastacembelus_armatus ENSMAMG00000020403
cynoglossus_semilaevis ENSCSEG00000008626
anabas_testudineus ENSATEG00000002067
monopterus_albus ENSMALG00000016943
seriola_lalandi_dorsalis ENSSLDG00000019577
seriola_dumerili ENSSDUG00000013530
scophthalmus_maximus ENSSMAG00000007429
labrus_bergylta ENSLBEG00000014910
xiphophorus_maculatus ENSXMAG00000014747
xiphophorus_couchianus ENSXCOG00000018295
gambusia_affinis ENSGAFG00000004463
poecilia_mexicana ENSPMEG00000022432
poecilia_latipinna ENSPLAG00000006198
poecilia_formosa ENSPFOG00000007124
poecilia_reticulata ENSPREG00000001414
fundulus_heteroclitus ENSFHEG00000014822
cyprinodon_variegatus ENSCVAG00000017008
kryptolebias_marmoratus ENSKMAG00000013403
maylandia_zebra ENSMZEG00005019166
astatotilapia_calliptera ENSACLG00000018279
haplochromis_burtoni ENSHBUG00000003554
oreochromis_niloticus ENSONIG00000015746
neolamprologus_brichardi ENSNBRG00000012006
amphiprion_ocellaris ENSAOCG00000018283
amphiprion_percula ENSAPEG00000022338
acanthochromis_polyacanthus ENSAPOG00000017034
stegastes_partitus ENSSPAG00000001925
hippocampus_comes ENSHCOG00000017676
gadus_morhua ENSGMOG00000015560
esox_lucius ENSELUG00000005626
pygocentrus_nattereri ENSPNAG00000027505
astyanax_mexicanus ENSAMXG00000011002
ictalurus_punctatus ENSIPUG00000001087
danio_rerio ENSDARG00000056387
paramormyrops_kingsleyae ENSPKIG00000001648
scleropages_formosus ENSSFOG00015023037
lepisosteus_oculatus ENSLOCG00000010768
xenopus_tropicalis ENSXETG00000034020
calidris_pugnax ENSCPUG00000014756
calidris_pygmaea ENSCPGG00000002408
melopsittacus_undulatus ENSMUNG00000003653
parus_major ENSPMJG00000017638
cyanistes_caeruleus ENSCCEG00000023868
ficedula_albicollis ENSFALG00000008766
junco_hyemalis ENSJHYG00000005386
zonotrichia_albicollis ENSZALG00000011978
serinus_canaria ENSSCAG00000005207
taeniopygia_guttata ENSTGUG00000011272
taeniopygia_guttata ENSTGUG00000011267
lonchura_striata_domestica ENSLSDG00000007779
lepidothrix_coronata ENSLCOG00000005993
manacus_vitellinus ENSMVIG00005013208
anas_platyrhynchos_platyrhynchos ENSAPLG00000003969
anser_brachyrhynchus ENSABRG00000016608
gallus_gallus ENSGALG00000045414
meleagris_gallopavo ENSMGAG00000015138
coturnix_japonica ENSCJPG00005001674
numida_meleagris ENSNMEG00000019469
apteryx_owenii ENSAOWG00000015483
apteryx_haastii ENSAHAG00000007675
apteryx_rowi ENSARWG00000013734
dromaius_novaehollandiae ENSDNVG00000016103
nothoprocta_perdicaria ENSNPEG00000006837
latimeria_chalumnae ENSLACG00000000323
bison_bison_bison ENSBBBG00000021538
ornithorhynchus_anatinus ENSOANG00000029102
eptatretus_burgeri ENSEBUG00000012011
eptatretus_burgeri ENSEBUG00000016781
caenorhabditis_elegans_strain_n2 WBGene00012684
