cricetulus_griseus_crigri-picr ENSCGRG00015009564
capra_hircus ENSCHIG00000017756
ovis_aries ENSOARG00000010987
bos_taurus ENSBTAG00000016126
bos_mutus ENSBMUG00000008558
bison_bison_bison ENSBBBG00000022127
sus_scrofa ENSSSCG00000017207
tursiops_truncatus ENSTTRG00000014395
pteropus_vampyrus ENSPVAG00000008429
dasypus_novemcinctus ENSDNOG00000018516
choloepus_hoffmanni ENSCHOG00000001340
echinops_telfairi ENSETEG00000019962
castor_canadensis ENSCCNG00000025151
phascolarctos_cinereus ENSPCIG00000004754
notamacropus_eugenii ENSMEUG00000016629
monodelphis_domestica ENSMODG00000007246
sarcophilus_harrisii ENSSHAG00000018482
ornithorhynchus_anatinus ENSOANG00000008323
anolis_carolinensis ENSACAG00000006230
pogona_vitticeps ENSPVIG00000001179
notechis_scutatus ENSNSUG00000013476
salvator_merianae ENSSMRG00000023203
sphenodon_punctatus ENSSPUG00000009393
apteryx_rowi ENSARWG00000007415
apteryx_owenii ENSAOWG00000013046
apteryx_haastii ENSAHAG00000015911
dromaius_novaehollandiae ENSDNVG00000009750
nothoprocta_perdicaria ENSNPEG00000003717
anser_brachyrhynchus ENSABRG00000015897
anas_platyrhynchos_platyrhynchos ENSAPLG00000007065
gallus_gallus ENSGALG00000007974
meleagris_gallopavo ENSMGAG00000009380
coturnix_japonica ENSCJPG00005021557
numida_meleagris ENSNMEG00000011523
cyanistes_caeruleus ENSCCEG00000014030
parus_major ENSPMJG00000000448
ficedula_albicollis ENSFALG00000001202
taeniopygia_guttata ENSTGUG00000008703
lonchura_striata_domestica ENSLSDG00000014479
serinus_canaria ENSSCAG00000000676
junco_hyemalis ENSJHYG00000005268
zonotrichia_albicollis ENSZALG00000014249
lepidothrix_coronata ENSLCOG00000002095
manacus_vitellinus ENSMVIG00005001426
melopsittacus_undulatus ENSMUNG00000010397
calidris_pygmaea ENSCPGG00000000886
calidris_pugnax ENSCPUG00000002546
crocodylus_porosus ENSCPRG00005003356
gopherus_agassizii ENSGAGG00000022620
chelonoidis_abingdonii ENSCABG00000010728
chrysemys_picta_bellii ENSCPBG00000028114
pelodiscus_sinensis ENSPSIG00000006537
xenopus_tropicalis ENSXETG00000027060
latimeria_chalumnae ENSLACG00000004308
takifugu_rubripes ENSTRUG00000011208
tetraodon_nigroviridis ENSTNIG00000011937
mola_mola ENSMMOG00000005217
labrus_bergylta ENSLBEG00000027411
gasterosteus_aculeatus ENSGACG00000012276
mastacembelus_armatus ENSMAMG00000023593
monopterus_albus ENSMALG00000005777
anabas_testudineus ENSATEG00000024675
seriola_dumerili ENSSDUG00000002664
seriola_lalandi_dorsalis ENSSLDG00000025606
scophthalmus_maximus ENSSMAG00000013392
hippocampus_comes ENSHCOG00000008679
fundulus_heteroclitus ENSFHEG00000002883
cyprinodon_variegatus ENSCVAG00000003041
poecilia_formosa ENSPFOG00000012162
poecilia_mexicana ENSPMEG00000015728
poecilia_latipinna ENSPLAG00000013940
poecilia_reticulata ENSPREG00000002070
xiphophorus_maculatus ENSXMAG00000014557
xiphophorus_couchianus ENSXCOG00000000222
gambusia_affinis ENSGAFG00000019073
kryptolebias_marmoratus ENSKMAG00000020841
oryzias_latipes_asm223471v1 ENSORLG00020016782
oryzias_latipes_asm223467v1 ENSORLG00000009756
oryzias_latipes_asm223469v1 ENSORLG00015006257
oryzias_melastigma ENSOMEG00000014029
astatotilapia_calliptera ENSACLG00000027982
haplochromis_burtoni ENSHBUG00000011052
pundamilia_nyererei ENSPNYG00000014689
maylandia_zebra ENSMZEG00005012951
oreochromis_niloticus ENSONIG00000002239
neolamprologus_brichardi ENSNBRG00000005206
amphilophus_citrinellus ENSACIG00000004500
amphiprion_percula ENSAPEG00000009318
amphiprion_ocellaris ENSAOCG00000024132
acanthochromis_polyacanthus ENSAPOG00000019974
stegastes_partitus ENSSPAG00000014805
periophthalmus_magnuspinnatus ENSPMGG00000018182
cynoglossus_semilaevis ENSCSEG00000012637
gadus_morhua ENSGMOG00000004717
esox_lucius ENSELUG00000007805
pygocentrus_nattereri ENSPNAG00000016316
astyanax_mexicanus ENSAMXG00000042274
ictalurus_punctatus ENSIPUG00000021770
danio_rerio ENSDARG00000112002
danio_rerio ENSDARG00000098679
paramormyrops_kingsleyae ENSPKIG00000023507
scleropages_formosus ENSSFOG00015004969
lepisosteus_oculatus ENSLOCG00000013342
eptatretus_burgeri ENSEBUG00000005299
eptatretus_burgeri ENSEBUG00000012927
petromyzon_marinus ENSPMAG00000002326
ciona_intestinalis ENSCING00000021893
ciona_intestinalis ENSCING00000009550
ciona_savignyi ENSCSAVG00000004888
drosophila_melanogaster FBgn0034310
caenorhabditis_elegans_strain_n2 WBGene00003788
saccharomyces_cerevisiae_strain_s288c YJR042W
