ornithorhynchus_anatinus ENSOANG00000014327
nannospalax_galili ENSNGAG00000004807
jaculus_jaculus ENSJJAG00000010515
castor_canadensis ENSCCNG00000018841
dipodomys_ordii ENSDORG00000013889
spermophilus_dauricus ENSSDAG00000021215
ictidomys_tridecemlineatus ENSSTOG00000027309
urocitellus_parryii ENSUPAG00010008990
marmota_marmota_marmota ENSMMMG00000020535
chinchilla_lanigera ENSCLAG00000003638
octodon_degus ENSODEG00000014839
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014403
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005676
fukomys_damarensis ENSFDAG00000005005
cavia_porcellus ENSCPOG00000030782
oryctolagus_cuniculus ENSOCUG00000014268
ochotona_princeps ENSOPRG00000003825
microcebus_murinus ENSMICG00000033111
propithecus_coquereli ENSPCOG00000016308
prolemur_simus ENSPSMG00000025749
otolemur_garnettii ENSOGAG00000012932
pan_troglodytes ENSPTRG00000049394
pan_paniscus ENSPPAG00000039623
homo_sapiens ENSG00000126778
gorilla_gorilla ENSGGOG00000001388
gorilla_gorilla ENSGGOG00000039317
pongo_abelii ENSPPYG00000005874
nomascus_leucogenys ENSNLEG00000013774
macaca_nemestrina ENSMNEG00000038756
macaca_fascicularis ENSMFAG00000032684
cercocebus_atys ENSCATG00000041483
mandrillus_leucophaeus ENSMLEG00000038688
theropithecus_gelada ENSTGEG00000014845
papio_anubis ENSPANG00000033292
chlorocebus_sabaeus ENSCSAG00000014174
colobus_angolensis_palliatus ENSCANG00000034144
piliocolobus_tephrosceles ENSPTEG00000000812
rhinopithecus_roxellana ENSRROG00000034829
rhinopithecus_bieti ENSRBIG00000043661
cebus_capucinus_imitator ENSCCAG00000021734
saimiri_boliviensis_boliviensis ENSSBOG00000021555
callithrix_jacchus ENSCJAG00000039065
aotus_nancymaae ENSANAG00000018190
tupaia_belangeri ENSTBEG00000007513
panthera_tigris_altaica ENSPTIG00000006803
ursus_americanus ENSUAMG00000002438
macaca_mulatta ENSMMUG00000018507
notamacropus_eugenii ENSMEUG00000001932
phascolarctos_cinereus ENSPCIG00000034712
sarcophilus_harrisii ENSSHAG00000015711
monodelphis_domestica ENSMODG00000008640
gallus_gallus ENSGALG00000029401
coturnix_japonica ENSCJPG00005005470
numida_meleagris ENSNMEG00000016979
anas_platyrhynchos_platyrhynchos ENSAPLG00000008206
parus_major ENSPMJG00000002144
cyanistes_caeruleus ENSCCEG00000006031
ficedula_albicollis ENSFALG00000003451
lepidothrix_coronata ENSLCOG00000005544
manacus_vitellinus ENSMVIG00005009376
lonchura_striata_domestica ENSLSDG00000013036
junco_hyemalis ENSJHYG00000014187
calidris_pygmaea ENSCPGG00000012829
calidris_pugnax ENSCPUG00000001066
nothoprocta_perdicaria ENSNPEG00000012214
dromaius_novaehollandiae ENSDNVG00000015849
apteryx_owenii ENSAOWG00000013281
apteryx_haastii ENSAHAG00000005556
serinus_canaria ENSSCAG00000005907
zonotrichia_albicollis ENSZALG00000005764
sphenodon_punctatus ENSSPUG00000010066
apteryx_rowi ENSARWG00000011468
kryptolebias_marmoratus ENSKMAG00000005933
cynoglossus_semilaevis ENSCSEG00000001519
poecilia_formosa ENSPFOG00000004024
poecilia_mexicana ENSPMEG00000014917
poecilia_latipinna ENSPLAG00000012637
poecilia_reticulata ENSPREG00000015465
xiphophorus_maculatus ENSXMAG00000026312
xiphophorus_couchianus ENSXCOG00000008557
gambusia_affinis ENSGAFG00000004176
fundulus_heteroclitus ENSFHEG00000008146
cyprinodon_variegatus ENSCVAG00000007565
oryzias_latipes_asm223469v1 ENSORLG00015008589
oryzias_latipes_asm223471v1 ENSORLG00020009768
oryzias_latipes_asm223467v1 ENSORLG00000015761
oryzias_melastigma ENSOMEG00000006552
takifugu_rubripes ENSTRUG00000010669
tetraodon_nigroviridis ENSTNIG00000017345
mola_mola ENSMMOG00000012168
seriola_lalandi_dorsalis ENSSLDG00000000137
seriola_dumerili ENSSDUG00000019814
mastacembelus_armatus ENSMAMG00000001815
monopterus_albus ENSMALG00000009452
anabas_testudineus ENSATEG00000015632
scophthalmus_maximus ENSSMAG00000001628
amphiprion_ocellaris ENSAOCG00000007681
amphiprion_percula ENSAPEG00000022780
acanthochromis_polyacanthus ENSAPOG00000015427
stegastes_partitus ENSSPAG00000012895
pundamilia_nyererei ENSPNYG00000022047
haplochromis_burtoni ENSHBUG00000022985
maylandia_zebra ENSMZEG00005007476
astatotilapia_calliptera ENSACLG00000020308
neolamprologus_brichardi ENSNBRG00000009454
oreochromis_niloticus ENSONIG00000020118
amphilophus_citrinellus ENSACIG00000024226
gasterosteus_aculeatus ENSGACG00000008432
labrus_bergylta ENSLBEG00000023099
hippocampus_comes ENSHCOG00000021069
periophthalmus_magnuspinnatus ENSPMGG00000003847
gadus_morhua ENSGMOG00000010826
esox_lucius ENSELUG00000011244
pygocentrus_nattereri ENSPNAG00000028036
astyanax_mexicanus ENSAMXG00000019354
ictalurus_punctatus ENSIPUG00000017473
danio_rerio ENSDARG00000026473
danio_rerio ENSDARG00000039304
scleropages_formosus ENSSFOG00015013031
scleropages_formosus ENSSFOG00015013516
paramormyrops_kingsleyae ENSPKIG00000018141
paramormyrops_kingsleyae ENSPKIG00000019706
lepisosteus_oculatus ENSLOCG00000010086
xenopus_tropicalis ENSXETG00000016943
latimeria_chalumnae ENSLACG00000018541
astyanax_mexicanus ENSAMXG00000021318
pygocentrus_nattereri ENSPNAG00000007366
ictalurus_punctatus ENSIPUG00000002678
lepisosteus_oculatus ENSLOCG00000014838
procavia_capensis ENSPCAG00000016266
loxodonta_africana ENSLAFG00000032688
ursus_maritimus ENSUMAG00000012890
erinaceus_europaeus ENSEEUG00000004059
eptatretus_burgeri ENSEBUG00000016238
eptatretus_burgeri ENSEBUG00000006433
petromyzon_marinus ENSPMAG00000009968
notechis_scutatus ENSNSUG00000018730
latimeria_chalumnae ENSLACG00000012621
ciona_intestinalis ENSCING00000022188
ciona_savignyi ENSCSAVG00000002607
drosophila_melanogaster FBgn0003460
