amphilophus_citrinellus ENSACIG00000002319
chelonoidis_abingdonii ENSCABG00000019535
gopherus_agassizii ENSGAGG00000024731
chrysemys_picta_bellii ENSCPBG00000022498
pelodiscus_sinensis ENSPSIG00000002746
crocodylus_porosus ENSCPRG00005016097
ornithorhynchus_anatinus ENSOANG00000009167
pogona_vitticeps ENSPVIG00000015321
anolis_carolinensis ENSACAG00000010364
notechis_scutatus ENSNSUG00000011832
notechis_scutatus ENSNSUG00000006781
salvator_merianae ENSSMRG00000003023
sphenodon_punctatus ENSSPUG00000016064
coturnix_japonica ENSCJPG00005012529
gallus_gallus ENSGALG00000025929
numida_meleagris ENSNMEG00000007756
melopsittacus_undulatus ENSMUNG00000007185
manacus_vitellinus ENSMVIG00005017597
cyanistes_caeruleus ENSCCEG00000005569
parus_major ENSPMJG00000001464
lepidothrix_coronata ENSLCOG00000001691
junco_hyemalis ENSJHYG00000005748
zonotrichia_albicollis ENSZALG00000011301
ficedula_albicollis ENSFALG00000009458
lonchura_striata_domestica ENSLSDG00000000813
taeniopygia_guttata ENSTGUG00000002906
serinus_canaria ENSSCAG00000015048
calidris_pygmaea ENSCPGG00000004782
calidris_pugnax ENSCPUG00000010837
anas_platyrhynchos_platyrhynchos ENSAPLG00000022394
anser_brachyrhynchus ENSABRG00000010228
apteryx_owenii ENSAOWG00000006302
apteryx_haastii ENSAHAG00000019244
apteryx_rowi ENSARWG00000010817
dromaius_novaehollandiae ENSDNVG00000011790
nothoprocta_perdicaria ENSNPEG00000002489
monodelphis_domestica ENSMODG00000000483
phascolarctos_cinereus ENSPCIG00000013698
sarcophilus_harrisii ENSSHAG00000016720
carlito_syrichta ENSTSYG00000036293
dipodomys_ordii ENSDORG00000025053
pteropus_vampyrus ENSPVAG00000002490
myotis_lucifugus ENSMLUG00000028593
equus_asinus_asinus ENSEASG00005022167
ursus_americanus ENSUAMG00000014242
ailuropoda_melanoleuca ENSAMEG00000005898
neovison_vison ENSNVIG00000012142
mustela_putorius_furo ENSMPUG00000004770
canis_lupus_familiaris ENSCAFG00000002950
canis_lupus_dingo ENSCAFG00020003593
vulpes_vulpes ENSVVUG00000024796
felis_catus ENSFCAG00000045684
panthera_pardus ENSPPRG00000009947
sus_scrofa ENSSSCG00000016703
ictidomys_tridecemlineatus ENSSTOG00000011206
urocitellus_parryii ENSUPAG00010017397
marmota_marmota_marmota ENSMMMG00000006523
loxodonta_africana ENSLAFG00000026981
cricetulus_griseus_crigri-picr ENSCGRG00015021064
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001687
mesocricetus_auratus ENSMAUG00000002058
microtus_ochrogaster ENSMOCG00000012515
peromyscus_maniculatus_bairdii ENSPEMG00000029029
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000038253
mus_spicilegus ENSMSIG00000009856
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029388
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028387
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022136
rattus_norvegicus ENSRNOG00000047951
rattus_norvegicus ENSRNOG00000052804
rattus_norvegicus ENSRNOG00000006466
meriones_unguiculatus ENSMUGG00000001002
nannospalax_galili ENSNGAG00000023140
jaculus_jaculus ENSJJAG00000011757
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016863
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004794
octodon_degus ENSODEG00000007850
chinchilla_lanigera ENSCLAG00000004908
cavia_porcellus ENSCPOG00000035800
castor_canadensis ENSCCNG00000012249
oryctolagus_cuniculus ENSOCUG00000029580
ochotona_princeps ENSOPRG00000010429
cebus_capucinus_imitator ENSCCAG00000029402
callithrix_jacchus ENSCJAG00000047690
saimiri_boliviensis_boliviensis ENSSBOG00000027127
aotus_nancymaae ENSANAG00000034612
mandrillus_leucophaeus ENSMLEG00000032881
theropithecus_gelada ENSTGEG00000020979
macaca_fascicularis ENSMFAG00000045639
macaca_nemestrina ENSMNEG00000041820
cercocebus_atys ENSCATG00000043876
chlorocebus_sabaeus ENSCSAG00000014278
papio_anubis ENSPANG00000009594
piliocolobus_tephrosceles ENSPTEG00000021574
colobus_angolensis_palliatus ENSCANG00000028185
rhinopithecus_roxellana ENSRROG00000027924
rhinopithecus_bieti ENSRBIG00000036351
pan_troglodytes ENSPTRG00000048699
pan_troglodytes ENSPTRG00000019015
pan_paniscus ENSPPAG00000044047
homo_sapiens ENSG00000106004
gorilla_gorilla ENSGGOG00000002217
pongo_abelii ENSPPYG00000017703
prolemur_simus ENSPSMG00000014678
microcebus_murinus ENSMICG00000046770
propithecus_coquereli ENSPCOG00000020367
erinaceus_europaeus ENSEEUG00000005567
procavia_capensis ENSPCAG00000015575
bos_taurus ENSBTAG00000012211
bison_bison_bison ENSBBBG00000020518
capra_hircus ENSCHIG00000005534
bos_mutus ENSBMUG00000002631
ovis_aries ENSOARG00000009717
tursiops_truncatus ENSTTRG00000006777
fukomys_damarensis ENSFDAG00000010532
cricetulus_griseus_crigri_1.0 ENSCGRG00000009463
otolemur_garnettii ENSOGAG00000031153
dasypus_novemcinctus ENSDNOG00000034242
erinaceus_europaeus ENSEEUG00000009904
equus_caballus ENSECAG00000000461
echinops_telfairi ENSETEG00000005152
sorex_araneus ENSSARG00000005548
notamacropus_eugenii ENSMEUG00000007118
xenopus_tropicalis ENSXETG00000000720
latimeria_chalumnae ENSLACG00000017330
eptatretus_burgeri ENSEBUG00000004299
