heterocephalus_glaber_hetgla_1.0 ENSHGLG00100021045
serinus_canaria ENSSCAG00000002954
ficedula_albicollis ENSFALG00000013482
calidris_pygmaea ENSCPGG00000011226
calidris_pugnax ENSCPUG00000008357
melopsittacus_undulatus ENSMUNG00000001860
apteryx_rowi ENSARWG00000007353
apteryx_owenii ENSAOWG00000011845
apteryx_haastii ENSAHAG00000008676
nothoprocta_perdicaria ENSNPEG00000015757
dromaius_novaehollandiae ENSDNVG00000007101
apteryx_rowi ENSARWG00000007352
nothoprocta_perdicaria ENSNPEG00000015756
sphenodon_punctatus ENSSPUG00000004117
chelonoidis_abingdonii ENSCABG00000013314
fukomys_damarensis ENSFDAG00000010526
spermophilus_dauricus ENSSDAG00000022102
ursus_maritimus ENSUMAG00000018712
maylandia_zebra ENSMZEG00005007729
cyprinodon_variegatus ENSCVAG00000015469
notechis_scutatus ENSNSUG00000013284
latimeria_chalumnae ENSLACG00000011957
xenopus_tropicalis ENSXETG00000001882
ornithorhynchus_anatinus ENSOANG00000005545
ursus_americanus ENSUAMG00000003841
ailuropoda_melanoleuca ENSAMEG00000006746
neovison_vison ENSNVIG00000010843
mustela_putorius_furo ENSMPUG00000012081
canis_lupus_familiaris ENSCAFG00000032127
canis_lupus_dingo ENSCAFG00020008839
vulpes_vulpes ENSVVUG00000020761
panthera_pardus ENSPPRG00000004363
panthera_pardus ENSPPRG00000004168
panthera_tigris_altaica ENSPTIG00000020723
felis_catus ENSFCAG00000034483
erinaceus_europaeus ENSEEUG00000002675
