heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010899
bos_taurus ENSBTAG00000038084
bos_mutus ENSBMUG00000021713
capra_hircus ENSCHIG00000026422
tursiops_truncatus ENSTTRG00000006891
sus_scrofa ENSSSCG00000011403
ursus_americanus ENSUAMG00000028338
ursus_maritimus ENSUMAG00000021887
neovison_vison ENSNVIG00000000972
mustela_putorius_furo ENSMPUG00000013071
panthera_pardus ENSPPRG00000000639
panthera_tigris_altaica ENSPTIG00000003147
felis_catus ENSFCAG00000029620
equus_asinus_asinus ENSEASG00005012131
equus_caballus ENSECAG00000017992
pteropus_vampyrus ENSPVAG00000017112
myotis_lucifugus ENSMLUG00000026040
loxodonta_africana ENSLAFG00000029210
notamacropus_eugenii ENSMEUG00000011967
phascolarctos_cinereus ENSPCIG00000023111
sarcophilus_harrisii ENSSHAG00000018689
monodelphis_domestica ENSMODG00000012069
ornithorhynchus_anatinus ENSOANG00000005478
calidris_pygmaea ENSCPGG00000017889
calidris_pugnax ENSCPUG00000004306
lonchura_striata_domestica ENSLSDG00000012381
taeniopygia_guttata ENSTGUG00000013896
parus_major ENSPMJG00000012549
ficedula_albicollis ENSFALG00000008786
junco_hyemalis ENSJHYG00000011962
zonotrichia_albicollis ENSZALG00000017331
lepidothrix_coronata ENSLCOG00000004229
manacus_vitellinus ENSMVIG00005009374
melopsittacus_undulatus ENSMUNG00000013588
gallus_gallus ENSGALG00000049722
coturnix_japonica ENSCJPG00005012239
meleagris_gallopavo ENSMGAG00000016195
numida_meleagris ENSNMEG00000013412
anser_brachyrhynchus ENSABRG00000001855
apteryx_haastii ENSAHAG00000001997
apteryx_rowi ENSARWG00000016680
dromaius_novaehollandiae ENSDNVG00000002388
nothoprocta_perdicaria ENSNPEG00000009198
crocodylus_porosus ENSCPRG00005014433
chelonoidis_abingdonii ENSCABG00000008310
pogona_vitticeps ENSPVIG00000024272
notechis_scutatus ENSNSUG00000005412
salvator_merianae ENSSMRG00000008318
anolis_carolinensis ENSACAG00000008735
xenopus_tropicalis ENSXETG00000007327
mastacembelus_armatus ENSMAMG00000016376
monopterus_albus ENSMALG00000004597
hippocampus_comes ENSHCOG00000007425
amphiprion_ocellaris ENSAOCG00000000928
amphiprion_percula ENSAPEG00000012160
acanthochromis_polyacanthus ENSAPOG00000011737
stegastes_partitus ENSSPAG00000002945
scophthalmus_maximus ENSSMAG00000010789
seriola_dumerili ENSSDUG00000015936
periophthalmus_magnuspinnatus ENSPMGG00000004314
poecilia_mexicana ENSPMEG00000020876
poecilia_formosa ENSPFOG00000000985
poecilia_latipinna ENSPLAG00000014589
poecilia_reticulata ENSPREG00000003796
xiphophorus_couchianus ENSXCOG00000002988
fundulus_heteroclitus ENSFHEG00000018573
cyprinodon_variegatus ENSCVAG00000010888
kryptolebias_marmoratus ENSKMAG00000002257
oryzias_latipes_asm223467v1 ENSORLG00000023105
oryzias_latipes_asm223471v1 ENSORLG00020018203
oryzias_latipes_asm223469v1 ENSORLG00015011809
oryzias_latipes_asm223469v1 ENSORLG00015011829
oryzias_melastigma ENSOMEG00000000181
astatotilapia_calliptera ENSACLG00000019585
maylandia_zebra ENSMZEG00005008202
haplochromis_burtoni ENSHBUG00000000115
neolamprologus_brichardi ENSNBRG00000023259
oreochromis_niloticus ENSONIG00000001769
amphilophus_citrinellus ENSACIG00000017331
cynoglossus_semilaevis ENSCSEG00000005758
gasterosteus_aculeatus ENSGACG00000005802
esox_lucius ENSELUG00000011867
astyanax_mexicanus ENSAMXG00000029441
pygocentrus_nattereri ENSPNAG00000017796
danio_rerio ENSDARG00000068590
scleropages_formosus ENSSFOG00015018664
paramormyrops_kingsleyae ENSPKIG00000001618
lepisosteus_oculatus ENSLOCG00000018263
petromyzon_marinus ENSPMAG00000007176
eptatretus_burgeri ENSEBUG00000006165
ciona_savignyi ENSCSAVG00000009155
ciona_intestinalis ENSCING00000021543
drosophila_melanogaster FBgn0037747
caenorhabditis_elegans_strain_n2 WBGene00016983
