heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018678
castor_canadensis ENSCCNG00000005818
ailuropoda_melanoleuca ENSAMEG00000018314
myotis_lucifugus ENSMLUG00000005931
procavia_capensis ENSPCAG00000010676
dasypus_novemcinctus ENSDNOG00000042336
capra_hircus ENSCHIG00000021989
ovis_aries ENSOARG00000001545
bos_taurus ENSBTAG00000013688
bos_mutus ENSBMUG00000007539
bison_bison_bison ENSBBBG00000014283
echinops_telfairi ENSETEG00000007912
phascolarctos_cinereus ENSPCIG00000008740
notamacropus_eugenii ENSMEUG00000014288
sarcophilus_harrisii ENSSHAG00000018194
monodelphis_domestica ENSMODG00000006071
ornithorhynchus_anatinus ENSOANG00000019969
chrysemys_picta_bellii ENSCPBG00000026236
chelonoidis_abingdonii ENSCABG00000022732
gopherus_agassizii ENSGAGG00000020104
pelodiscus_sinensis ENSPSIG00000017412
sphenodon_punctatus ENSSPUG00000003427
sphenodon_punctatus ENSSPUG00000014813
crocodylus_porosus ENSCPRG00005004776
pogona_vitticeps ENSPVIG00000020066
anolis_carolinensis ENSACAG00000016795
salvator_merianae ENSSMRG00000012606
manacus_vitellinus ENSMVIG00005003488
lepidothrix_coronata ENSLCOG00000015580
lonchura_striata_domestica ENSLSDG00000002764
coturnix_japonica ENSCJPG00005019243
numida_meleagris ENSNMEG00000022372
calidris_pygmaea ENSCPGG00000003138
zonotrichia_albicollis ENSZALG00000001675
junco_hyemalis ENSJHYG00000011600
taeniopygia_guttata ENSTGUG00000012189
serinus_canaria ENSSCAG00000009832
ficedula_albicollis ENSFALG00000006336
parus_major ENSPMJG00000016731
calidris_pugnax ENSCPUG00000000641
melopsittacus_undulatus ENSMUNG00000009698
meleagris_gallopavo ENSMGAG00000012731
gallus_gallus ENSGALG00000047771
anas_platyrhynchos_platyrhynchos ENSAPLG00000010094
apteryx_owenii ENSAOWG00000003143
apteryx_haastii ENSAHAG00000009248
apteryx_rowi ENSARWG00000005525
nothoprocta_perdicaria ENSNPEG00000007711
dromaius_novaehollandiae ENSDNVG00000002106
anser_brachyrhynchus ENSABRG00000006020
apteryx_owenii ENSAOWG00000003134
latimeria_chalumnae ENSLACG00000018931
sphenodon_punctatus ENSSPUG00000011187
salvator_merianae ENSSMRG00000017602
gopherus_agassizii ENSGAGG00000011422
chrysemys_picta_bellii ENSCPBG00000015307
latimeria_chalumnae ENSLACG00000013449
takifugu_rubripes ENSTRUG00000011294
tetraodon_nigroviridis ENSTNIG00000010745
mola_mola ENSMMOG00000004696
labrus_bergylta ENSLBEG00000025005
monopterus_albus ENSMALG00000017433
mastacembelus_armatus ENSMAMG00000012887
scophthalmus_maximus ENSSMAG00000006677
amphiprion_ocellaris ENSAOCG00000010526
amphiprion_percula ENSAPEG00000023649
acanthochromis_polyacanthus ENSAPOG00000018920
stegastes_partitus ENSSPAG00000000596
gadus_morhua ENSGMOG00000011858
esox_lucius ENSELUG00000012212
pygocentrus_nattereri ENSPNAG00000020028
astyanax_mexicanus ENSAMXG00000042816
ictalurus_punctatus ENSIPUG00000020268
danio_rerio ENSDARG00000115359
amphiprion_percula ENSAPEG00000024292
amphiprion_ocellaris ENSAOCG00000000373
acanthochromis_polyacanthus ENSAPOG00000002220
stegastes_partitus ENSSPAG00000010402
oryzias_latipes_asm223469v1 ENSORLG00015006809
oryzias_latipes_asm223471v1 ENSORLG00020007516
oryzias_latipes_asm223467v1 ENSORLG00000028504
oryzias_melastigma ENSOMEG00000022193
kryptolebias_marmoratus ENSKMAG00000003721
scophthalmus_maximus ENSSMAG00000003587
cynoglossus_semilaevis ENSCSEG00000000313
anabas_testudineus ENSATEG00000022588
seriola_lalandi_dorsalis ENSSLDG00000019871
monopterus_albus ENSMALG00000006287
labrus_bergylta ENSLBEG00000001856
takifugu_rubripes ENSTRUG00000018179
xiphophorus_maculatus ENSXMAG00000015239
xiphophorus_couchianus ENSXCOG00000009564
gambusia_affinis ENSGAFG00000016197
poecilia_mexicana ENSPMEG00000005797
poecilia_latipinna ENSPLAG00000006164
poecilia_reticulata ENSPREG00000014188
poecilia_formosa ENSPFOG00000023963
cyprinodon_variegatus ENSCVAG00000022666
fundulus_heteroclitus ENSFHEG00000016731
haplochromis_burtoni ENSHBUG00000019894
astatotilapia_calliptera ENSACLG00000023224
oreochromis_niloticus ENSONIG00000020160
gasterosteus_aculeatus ENSGACG00000007852
mastacembelus_armatus ENSMAMG00000004186
amphiprion_ocellaris ENSAOCG00000008111
maylandia_zebra ENSMZEG00005020656
seriola_dumerili ENSSDUG00000002439
pundamilia_nyererei ENSPNYG00000023066
neolamprologus_brichardi ENSNBRG00000005257
amphilophus_citrinellus ENSACIG00000006900
mola_mola ENSMMOG00000000905
hippocampus_comes ENSHCOG00000003859
periophthalmus_magnuspinnatus ENSPMGG00000011513
gadus_morhua ENSGMOG00000016243
esox_lucius ENSELUG00000008313
ictalurus_punctatus ENSIPUG00000023991
pygocentrus_nattereri ENSPNAG00000016795
danio_rerio ENSDARG00000076767
paramormyrops_kingsleyae ENSPKIG00000001806
scleropages_formosus ENSSFOG00015017214
