canis_lupus_familiaris ENSCAFG00000019014
anolis_carolinensis ENSACAG00000008345
pogona_vitticeps ENSPVIG00000023401
salvator_merianae ENSSMRG00000017769
sphenodon_punctatus ENSSPUG00000010368
calidris_pygmaea ENSCPGG00000000382
calidris_pugnax ENSCPUG00000006216
lonchura_striata_domestica ENSLSDG00000001704
serinus_canaria ENSSCAG00000001424
parus_major ENSPMJG00000012875
ficedula_albicollis ENSFALG00000001158
junco_hyemalis ENSJHYG00000007537
gallus_gallus ENSGALG00000001171
coturnix_japonica ENSCJPG00005010326
meleagris_gallopavo ENSMGAG00000002890
numida_meleagris ENSNMEG00000002946
anas_platyrhynchos_platyrhynchos ENSAPLG00000028933
apteryx_haastii ENSAHAG00000003587
apteryx_owenii ENSAOWG00000007256
apteryx_rowi ENSARWG00000003144
pelodiscus_sinensis ENSPSIG00000008133
ornithorhynchus_anatinus ENSOANG00000020945
anolis_carolinensis ENSACAG00000016554
ciona_intestinalis ENSCING00000013472
tetraodon_nigroviridis ENSTNIG00000010688
takifugu_rubripes ENSTRUG00000004606
gasterosteus_aculeatus ENSGACG00000012286
amphiprion_percula ENSAPEG00000005674
amphiprion_ocellaris ENSAOCG00000017317
acanthochromis_polyacanthus ENSAPOG00000019487
stegastes_partitus ENSSPAG00000000744
maylandia_zebra ENSMZEG00005005896
astatotilapia_calliptera ENSACLG00000022069
pundamilia_nyererei ENSPNYG00000015678
haplochromis_burtoni ENSHBUG00000004674
neolamprologus_brichardi ENSNBRG00000009643
oreochromis_niloticus ENSONIG00000004688
xiphophorus_maculatus ENSXMAG00000013002
xiphophorus_couchianus ENSXCOG00000009856
gambusia_affinis ENSGAFG00000001451
poecilia_latipinna ENSPLAG00000014889
poecilia_formosa ENSPFOG00000017683
poecilia_mexicana ENSPMEG00000024429
poecilia_reticulata ENSPREG00000009721
cyprinodon_variegatus ENSCVAG00000003808
fundulus_heteroclitus ENSFHEG00000001707
kryptolebias_marmoratus ENSKMAG00000002520
oryzias_latipes_asm223471v1 ENSORLG00020017382
oryzias_latipes_asm223469v1 ENSORLG00015013152
oryzias_latipes_asm223467v1 ENSORLG00000016416
oryzias_melastigma ENSOMEG00000006296
cynoglossus_semilaevis ENSCSEG00000003255
seriola_lalandi_dorsalis ENSSLDG00000017602
seriola_dumerili ENSSDUG00000006383
scophthalmus_maximus ENSSMAG00000009913
mastacembelus_armatus ENSMAMG00000000701
anabas_testudineus ENSATEG00000002421
amphilophus_citrinellus ENSACIG00000013389
monopterus_albus ENSMALG00000010493
labrus_bergylta ENSLBEG00000019646
mola_mola ENSMMOG00000020527
hippocampus_comes ENSHCOG00000010356
periophthalmus_magnuspinnatus ENSPMGG00000023272
gadus_morhua ENSGMOG00000002420
esox_lucius ENSELUG00000015725
pygocentrus_nattereri ENSPNAG00000002754
astyanax_mexicanus ENSAMXG00000009341
ictalurus_punctatus ENSIPUG00000015586
danio_rerio ENSDARG00000061976
scleropages_formosus ENSSFOG00015002518
paramormyrops_kingsleyae ENSPKIG00000015683
pygocentrus_nattereri ENSPNAG00000011815
astyanax_mexicanus ENSAMXG00000003192
ictalurus_punctatus ENSIPUG00000015591
danio_rerio ENSDARG00000036626
labrus_bergylta ENSLBEG00000001761
gasterosteus_aculeatus ENSGACG00000015346
tetraodon_nigroviridis ENSTNIG00000015338
mola_mola ENSMMOG00000010525
mastacembelus_armatus ENSMAMG00000009129
anabas_testudineus ENSATEG00000016213
monopterus_albus ENSMALG00000021614
seriola_lalandi_dorsalis ENSSLDG00000018880
seriola_dumerili ENSSDUG00000015110
scophthalmus_maximus ENSSMAG00000003655
amphiprion_ocellaris ENSAOCG00000021073
amphiprion_percula ENSAPEG00000013119
acanthochromis_polyacanthus ENSAPOG00000024157
stegastes_partitus ENSSPAG00000003173
astatotilapia_calliptera ENSACLG00000003255
haplochromis_burtoni ENSHBUG00000021065
maylandia_zebra ENSMZEG00005025646
pundamilia_nyererei ENSPNYG00000006186
neolamprologus_brichardi ENSNBRG00000020447
oreochromis_niloticus ENSONIG00000010253
amphilophus_citrinellus ENSACIG00000017259
fundulus_heteroclitus ENSFHEG00000021542
cyprinodon_variegatus ENSCVAG00000004526
xiphophorus_maculatus ENSXMAG00000019292
xiphophorus_couchianus ENSXCOG00000008150
gambusia_affinis ENSGAFG00000008218
poecilia_mexicana ENSPMEG00000021160
poecilia_latipinna ENSPLAG00000019578
poecilia_formosa ENSPFOG00000012213
poecilia_reticulata ENSPREG00000013156
kryptolebias_marmoratus ENSKMAG00000007266
oryzias_latipes_asm223467v1 ENSORLG00000014868
oryzias_latipes_asm223469v1 ENSORLG00015018150
oryzias_latipes_asm223471v1 ENSORLG00020017947
oryzias_melastigma ENSOMEG00000019770
hippocampus_comes ENSHCOG00000001472
cynoglossus_semilaevis ENSCSEG00000013725
periophthalmus_magnuspinnatus ENSPMGG00000003253
gadus_morhua ENSGMOG00000012280
esox_lucius ENSELUG00000007771
paramormyrops_kingsleyae ENSPKIG00000007662
lepisosteus_oculatus ENSLOCG00000006724
ciona_intestinalis ENSCING00000014403
latimeria_chalumnae ENSLACG00000003139
