cricetulus_griseus_crigri_1.0 ENSCGRG00000001846
maylandia_zebra ENSMZEG00005004686
astatotilapia_calliptera ENSACLG00000009027
pundamilia_nyererei ENSPNYG00000008361
neolamprologus_brichardi ENSNBRG00000011248
oreochromis_niloticus ENSONIG00000008610
amphilophus_citrinellus ENSACIG00000020552
kryptolebias_marmoratus ENSKMAG00000015943
amphiprion_ocellaris ENSAOCG00000004108
amphiprion_percula ENSAPEG00000022493
acanthochromis_polyacanthus ENSAPOG00000015295
stegastes_partitus ENSSPAG00000009001
oryzias_latipes_asm223467v1 ENSORLG00000017546
oryzias_latipes_asm223469v1 ENSORLG00015014807
oryzias_latipes_asm223471v1 ENSORLG00020020839
oryzias_melastigma ENSOMEG00000004819
periophthalmus_magnuspinnatus ENSPMGG00000000731
tetraodon_nigroviridis ENSTNIG00000001764
takifugu_rubripes ENSTRUG00000017520
mola_mola ENSMMOG00000000554
gasterosteus_aculeatus ENSGACG00000004548
poecilia_formosa ENSPFOG00000014020
poecilia_mexicana ENSPMEG00000002688
poecilia_latipinna ENSPLAG00000007734
poecilia_reticulata ENSPREG00000005385
xiphophorus_maculatus ENSXMAG00000000435
xiphophorus_couchianus ENSXCOG00000019218
gambusia_affinis ENSGAFG00000004105
fundulus_heteroclitus ENSFHEG00000007502
cyprinodon_variegatus ENSCVAG00000018985
labrus_bergylta ENSLBEG00000016756
hippocampus_comes ENSHCOG00000009973
scophthalmus_maximus ENSSMAG00000015192
cynoglossus_semilaevis ENSCSEG00000005607
seriola_lalandi_dorsalis ENSSLDG00000018953
seriola_dumerili ENSSDUG00000000363
gadus_morhua ENSGMOG00000004252
esox_lucius ENSELUG00000023003
pygocentrus_nattereri ENSPNAG00000021306
astyanax_mexicanus ENSAMXG00000007001
ictalurus_punctatus ENSIPUG00000019869
danio_rerio ENSDARG00000059280
lepisosteus_oculatus ENSLOCG00000007043
eptatretus_burgeri ENSEBUG00000005902
