rhinopithecus_bieti ENSRBIG00000030242
cricetulus_griseus_crigri-picr ENSCGRG00015002205
cricetulus_griseus_crigri-picr ENSCGRG00015021429
mesocricetus_auratus ENSMAUG00000016422
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0000085
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076525
mus_spicilegus ENSMSIG00000010679
peromyscus_maniculatus_bairdii ENSPEMG00000029221
peromyscus_maniculatus_bairdii ENSPEMG00000027907
peromyscus_maniculatus_bairdii ENSPEMG00000030104
peromyscus_maniculatus_bairdii ENSPEMG00000027270
peromyscus_maniculatus_bairdii ENSPEMG00000028245
peromyscus_maniculatus_bairdii ENSPEMG00000025600
peromyscus_maniculatus_bairdii ENSPEMG00000025626
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000096336
mus_spicilegus ENSMSIG00000002946
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000094491
mus_spicilegus ENSMSIG00000019215
mus_spicilegus ENSMSIG00000019239
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076505
mus_spicilegus ENSMSIG00000019233
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000096580
rattus_norvegicus ENSRNOG00000053327
rattus_norvegicus ENSRNOG00000054428
rattus_norvegicus ENSRNOG00000061169
rattus_norvegicus ENSRNOG00000030177
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0000075
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0000093
rattus_norvegicus ENSRNOG00000059176
rattus_norvegicus ENSRNOG00000054012
rattus_norvegicus ENSRNOG00000038376
rattus_norvegicus ENSRNOG00000059352
rattus_norvegicus ENSRNOG00000061407
rattus_norvegicus ENSRNOG00000057963
rattus_norvegicus ENSRNOG00000059214
rattus_norvegicus ENSRNOG00000059762
peromyscus_maniculatus_bairdii ENSPEMG00000029254
peromyscus_maniculatus_bairdii ENSPEMG00000030524
cricetulus_griseus_crigri-picr ENSCGRG00015003585
cricetulus_griseus_crigri-picr ENSCGRG00015012542
cricetulus_griseus_crigri-picr ENSCGRG00015011647
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0000102
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000076573
mus_spicilegus ENSMSIG00000008377
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0000077
rattus_norvegicus ENSRNOG00000050066
rattus_norvegicus ENSRNOG00000049024
jaculus_jaculus ENSJJAG00000016984
jaculus_jaculus ENSJJAG00000017135
castor_canadensis ENSCCNG00000019887
mus_spicilegus ENSMSIG00000012508
mus_spicilegus ENSMSIG00000005438
peromyscus_maniculatus_bairdii ENSPEMG00000030176
cricetulus_griseus_crigri-picr ENSCGRG00015011596
castor_canadensis ENSCCNG00000021774
tupaia_belangeri ENSTBEG00000008065
tupaia_belangeri ENSTBEG00000008573
tupaia_belangeri ENSTBEG00000011304
pan_troglodytes ENSPTRG00000048779
sorex_araneus ENSSARG00000007556
sorex_araneus ENSSARG00000013734
sorex_araneus ENSSARG00000003171
otolemur_garnettii ENSOGAG00000033208
aotus_nancymaae ENSANAG00000019683
spermophilus_dauricus ENSSDAG00000013473
spermophilus_dauricus ENSSDAG00000013947
marmota_marmota_marmota ENSMMMG00000003505
marmota_marmota_marmota ENSMMMG00000021151
spermophilus_dauricus ENSSDAG00000016406
ictidomys_tridecemlineatus ENSSTOG00000004701
marmota_marmota_marmota ENSMMMG00000021126
marmota_marmota_marmota ENSMMMG00000007012
urocitellus_parryii ENSUPAG00010010411
urocitellus_parryii ENSUPAG00010007320
spermophilus_dauricus ENSSDAG00000024703
spermophilus_dauricus ENSSDAG00000024704
marmota_marmota_marmota ENSMMMG00000006993
marmota_marmota_marmota ENSMMMG00000007026
marmota_marmota_marmota ENSMMMG00000003608
spermophilus_dauricus ENSSDAG00000018411
urocitellus_parryii ENSUPAG00010000248
marmota_marmota_marmota ENSMMMG00000003670
marmota_marmota_marmota ENSMMMG00000003698
urocitellus_parryii ENSUPAG00010010420
marmota_marmota_marmota ENSMMMG00000003689
urocitellus_parryii ENSUPAG00010010380
spermophilus_dauricus ENSSDAG00000022824
ictidomys_tridecemlineatus ENSSTOG00000027883
marmota_marmota_marmota ENSMMMG00000003656
spermophilus_dauricus ENSSDAG00000003833
urocitellus_parryii ENSUPAG00010010431
marmota_marmota_marmota ENSMMMG00000007004
marmota_marmota_marmota ENSMMMG00000003679
spermophilus_dauricus ENSSDAG00000009327
spermophilus_dauricus ENSSDAG00000009346
urocitellus_parryii ENSUPAG00010007602
marmota_marmota_marmota ENSMMMG00000003483
spermophilus_dauricus ENSSDAG00000021843
urocitellus_parryii ENSUPAG00010000385
urocitellus_parryii ENSUPAG00010015316
urocitellus_parryii ENSUPAG00010010398
urocitellus_parryii ENSUPAG00010010433
ictidomys_tridecemlineatus ENSSTOG00000024756
urocitellus_parryii ENSUPAG00010000378
ictidomys_tridecemlineatus ENSSTOG00000019524
spermophilus_dauricus ENSSDAG00000016685
urocitellus_parryii ENSUPAG00010000390
urocitellus_parryii ENSUPAG00010001794
spermophilus_dauricus ENSSDAG00000009354
marmota_marmota_marmota ENSMMMG00000021139
marmota_marmota_marmota ENSMMMG00000003288
marmota_marmota_marmota ENSMMMG00000003148
marmota_marmota_marmota ENSMMMG00000021116
urocitellus_parryii ENSUPAG00010020129
fukomys_damarensis ENSFDAG00000016265
fukomys_damarensis ENSFDAG00000000596
spermophilus_dauricus ENSSDAG00000014989
urocitellus_parryii ENSUPAG00010023745
marmota_marmota_marmota ENSMMMG00000003234
urocitellus_parryii ENSUPAG00010023801
ictidomys_tridecemlineatus ENSSTOG00000013649
neovison_vison ENSNVIG00000007595
neovison_vison ENSNVIG00000018049
mustela_putorius_furo ENSMPUG00000009411
mustela_putorius_furo ENSMPUG00000009442
neovison_vison ENSNVIG00000018208
mustela_putorius_furo ENSMPUG00000009445
mustela_putorius_furo ENSMPUG00000009391
neovison_vison ENSNVIG00000018180
mustela_putorius_furo ENSMPUG00000009424
mustela_putorius_furo ENSMPUG00000009436
neovison_vison ENSNVIG00000018044
mustela_putorius_furo ENSMPUG00000009361
neovison_vison ENSNVIG00000018199
mustela_putorius_furo ENSMPUG00000018847
mustela_putorius_furo ENSMPUG00000009488
neovison_vison ENSNVIG00000017921
ursus_maritimus ENSUMAG00000008378
ursus_maritimus ENSUMAG00000008373
ursus_maritimus ENSUMAG00000008380
ursus_americanus ENSUAMG00000000543
ursus_maritimus ENSUMAG00000008337
ursus_maritimus ENSUMAG00000008313
ursus_maritimus ENSUMAG00000008338
ursus_americanus ENSUAMG00000026179
ailuropoda_melanoleuca ENSAMEG00000010166
ursus_americanus ENSUAMG00000026178
ursus_americanus ENSUAMG00000026176
ursus_maritimus ENSUMAG00000008376
ursus_americanus ENSUAMG00000011873
ursus_maritimus ENSUMAG00000008368
neovison_vison ENSNVIG00000017930
canis_lupus_dingo ENSCAFG00020016936
canis_lupus_familiaris ENSCAFG00000031853
canis_lupus_dingo ENSCAFG00020016937
canis_lupus_familiaris ENSCAFG00000029479
canis_lupus_familiaris ENSCAFG00000028583
canis_lupus_dingo ENSCAFG00020016927
canis_lupus_dingo ENSCAFG00020016925
canis_lupus_familiaris ENSCAFG00000029261
vulpes_vulpes ENSVVUG00000028713
canis_lupus_familiaris ENSCAFG00000028677
canis_lupus_familiaris ENSCAFG00000031753
canis_lupus_dingo ENSCAFG00020016921
canis_lupus_familiaris ENSCAFG00000015557
vulpes_vulpes ENSVVUG00000028707
canis_lupus_dingo ENSCAFG00020016932
canis_lupus_familiaris ENSCAFG00000030890
vulpes_vulpes ENSVVUG00000028717
canis_lupus_familiaris ENSCAFG00000031121
canis_lupus_familiaris ENSCAFG00000029743
canis_lupus_dingo ENSCAFG00020016922
canis_lupus_dingo ENSCAFG00020016924
canis_lupus_familiaris ENSCAFG00000029943
canis_lupus_familiaris ENSCAFG00000030680
canis_lupus_dingo ENSCAFG00020016929
canis_lupus_familiaris ENSCAFG00000015584
canis_lupus_familiaris ENSCAFG00000032691
canis_lupus_familiaris ENSCAFG00000029676
canis_lupus_familiaris ENSCAFG00000028918
canis_lupus_dingo ENSCAFG00020016930
canis_lupus_familiaris ENSCAFG00000029632
canis_lupus_dingo ENSCAFG00020016926
vulpes_vulpes ENSVVUG00000028718
vulpes_vulpes ENSVVUG00000028720
vulpes_vulpes ENSVVUG00000028719
canis_lupus_dingo ENSCAFG00020016951
canis_lupus_familiaris ENSCAFG00000029356
vulpes_vulpes ENSVVUG00000028709
panthera_pardus ENSPPRG00000006223
panthera_tigris_altaica ENSPTIG00000015720
felis_catus ENSFCAG00000041382
panthera_tigris_altaica ENSPTIG00000019526
felis_catus ENSFCAG00000043953
felis_catus ENSFCAG00000027582
felis_catus ENSFCAG00000043620
microcebus_murinus ENSMICG00000043516
propithecus_coquereli ENSPCOG00000020407
tupaia_belangeri ENSTBEG00000005347
equus_caballus ENSECAG00000037550
equus_asinus_asinus ENSEASG00005006558
equus_asinus_asinus ENSEASG00005006550
equus_caballus ENSECAG00000028513
equus_caballus ENSECAG00000033924
equus_asinus_asinus ENSEASG00005006551
bison_bison_bison ENSBBBG00000016966
bos_mutus ENSBMUG00000016942
bison_bison_bison ENSBBBG00000004205
capra_hircus ENSCHIG00000009419
capra_hircus ENSCHIG00000007247
ovis_aries ENSOARG00000020811
bison_bison_bison ENSBBBG00000017008
capra_hircus ENSCHIG00000016512
loxodonta_africana ENSLAFG00000025966
loxodonta_africana ENSLAFG00000031044
loxodonta_africana ENSLAFG00000028068
loxodonta_africana ENSLAFG00000028137
echinops_telfairi ENSETEG00000010027
echinops_telfairi ENSETEG00000010627
echinops_telfairi ENSETEG00000015615
