cricetulus_griseus_crigri-picr ENSCGRG00015028723
oryzias_latipes_asm223471v1 ENSORLG00020005931
oryzias_latipes_asm223469v1 ENSORLG00015000984
oryzias_melastigma ENSOMEG00000020451
takifugu_rubripes ENSTRUG00000007113
tetraodon_nigroviridis ENSTNIG00000008868
mola_mola ENSMMOG00000005190
labrus_bergylta ENSLBEG00000006180
mastacembelus_armatus ENSMAMG00000011545
monopterus_albus ENSMALG00000014037
anabas_testudineus ENSATEG00000009652
seriola_lalandi_dorsalis ENSSLDG00000020054
seriola_dumerili ENSSDUG00000008263
scophthalmus_maximus ENSSMAG00000002959
gasterosteus_aculeatus ENSGACG00000002401
amphiprion_ocellaris ENSAOCG00000007686
amphiprion_percula ENSAPEG00000004993
acanthochromis_polyacanthus ENSAPOG00000016341
stegastes_partitus ENSSPAG00000007867
haplochromis_burtoni ENSHBUG00000021926
maylandia_zebra ENSMZEG00005014752
pundamilia_nyererei ENSPNYG00000013052
oreochromis_niloticus ENSONIG00000004627
neolamprologus_brichardi ENSNBRG00000017060
amphilophus_citrinellus ENSACIG00000002641
periophthalmus_magnuspinnatus ENSPMGG00000011106
gadus_morhua ENSGMOG00000019273
esox_lucius ENSELUG00000017656
paramormyrops_kingsleyae ENSPKIG00000018001
lepisosteus_oculatus ENSLOCG00000006118
petromyzon_marinus ENSPMAG00000001408
eptatretus_burgeri ENSEBUG00000000993
astatotilapia_calliptera ENSACLG00000009287
maylandia_zebra ENSMZEG00005012155
haplochromis_burtoni ENSHBUG00000005236
pundamilia_nyererei ENSPNYG00000005027
neolamprologus_brichardi ENSNBRG00000017318
oreochromis_niloticus ENSONIG00000009105
amphiprion_ocellaris ENSAOCG00000018673
periophthalmus_magnuspinnatus ENSPMGG00000020754
poecilia_formosa ENSPFOG00000005198
poecilia_latipinna ENSPLAG00000003686
poecilia_mexicana ENSPMEG00000010014
poecilia_reticulata ENSPREG00000003067
gambusia_affinis ENSGAFG00000000299
xiphophorus_maculatus ENSXMAG00000016305
fundulus_heteroclitus ENSFHEG00000014757
cyprinodon_variegatus ENSCVAG00000018567
kryptolebias_marmoratus ENSKMAG00000008009
anabas_testudineus ENSATEG00000002123
mastacembelus_armatus ENSMAMG00000000690
takifugu_rubripes ENSTRUG00000021449
pygocentrus_nattereri ENSPNAG00000010936
ictalurus_punctatus ENSIPUG00000017333
lepisosteus_oculatus ENSLOCG00000005157
latimeria_chalumnae ENSLACG00000019099
ciona_savignyi ENSCSAVG00000006891
ciona_intestinalis ENSCING00000000096
drosophila_melanogaster FBgn0029092
caenorhabditis_elegans_strain_n2 WBGene00000420
