melopsittacus_undulatus ENSMUNG00000009548
nomascus_leucogenys ENSNLEG00000034619
piliocolobus_tephrosceles ENSPTEG00000009959
colobus_angolensis_palliatus ENSCANG00000035631
rhinopithecus_bieti ENSRBIG00000029169
rhinopithecus_roxellana ENSRROG00000033770
cercocebus_atys ENSCATG00000043349
mandrillus_leucophaeus ENSMLEG00000009596
papio_anubis ENSPANG00000007364
theropithecus_gelada ENSTGEG00000000617
chlorocebus_sabaeus ENSCSAG00000004785
macaca_fascicularis ENSMFAG00000001692
macaca_nemestrina ENSMNEG00000040573
callithrix_jacchus ENSCJAG00000018368
saimiri_boliviensis_boliviensis ENSSBOG00000028182
cebus_capucinus_imitator ENSCCAG00000022883
aotus_nancymaae ENSANAG00000029144
carlito_syrichta ENSTSYG00000030340
tupaia_belangeri ENSTBEG00000009833
dasypus_novemcinctus ENSDNOG00000047702
loxodonta_africana ENSLAFG00000017962
procavia_capensis ENSPCAG00000016220
echinops_telfairi ENSETEG00000002708
notamacropus_eugenii ENSMEUG00000006988
phascolarctos_cinereus ENSPCIG00000019525
monodelphis_domestica ENSMODG00000006050
sarcophilus_harrisii ENSSHAG00000004654
anas_platyrhynchos_platyrhynchos ENSAPLG00000016794
anser_brachyrhynchus ENSABRG00000014376
numida_meleagris ENSNMEG00000000053
calidris_pugnax ENSCPUG00000012836
calidris_pugnax ENSCPUG00000012834
calidris_pygmaea ENSCPGG00000006704
taeniopygia_guttata ENSTGUG00000015603
ficedula_albicollis ENSFALG00000007266
junco_hyemalis ENSJHYG00000017077
lepidothrix_coronata ENSLCOG00000001766
coturnix_japonica ENSCJPG00005000311
gallus_gallus ENSGALG00000051055
apteryx_rowi ENSARWG00000014139
apteryx_haastii ENSAHAG00000018100
apteryx_owenii ENSAOWG00000004807
nothoprocta_perdicaria ENSNPEG00000007109
gopherus_agassizii ENSGAGG00000013351
chelonoidis_abingdonii ENSCABG00000013537
chrysemys_picta_bellii ENSCPBG00000006221
anolis_carolinensis ENSACAG00000023640
pogona_vitticeps ENSPVIG00000000637
notechis_scutatus ENSNSUG00000004373
salvator_merianae ENSSMRG00000020503
sphenodon_punctatus ENSSPUG00000000472
xenopus_tropicalis ENSXETG00000015685
latimeria_chalumnae ENSLACG00000010022
scleropages_formosus ENSSFOG00015020839
paramormyrops_kingsleyae ENSPKIG00000025326
scleropages_formosus ENSSFOG00015022026
paramormyrops_kingsleyae ENSPKIG00000013938
astatotilapia_calliptera ENSACLG00000025919
haplochromis_burtoni ENSHBUG00000010696
maylandia_zebra ENSMZEG00005019578
pundamilia_nyererei ENSPNYG00000004597
neolamprologus_brichardi ENSNBRG00000000976
oreochromis_niloticus ENSONIG00000014878
amphilophus_citrinellus ENSACIG00000000807
amphiprion_ocellaris ENSAOCG00000023749
amphiprion_percula ENSAPEG00000003375
acanthochromis_polyacanthus ENSAPOG00000023989
stegastes_partitus ENSSPAG00000011562
xiphophorus_maculatus ENSXMAG00000004629
poecilia_reticulata ENSPREG00000014994
poecilia_mexicana ENSPMEG00000004806
poecilia_latipinna ENSPLAG00000015855
poecilia_formosa ENSPFOG00000017770
gambusia_affinis ENSGAFG00000005230
xiphophorus_couchianus ENSXCOG00000020401
fundulus_heteroclitus ENSFHEG00000019867
cyprinodon_variegatus ENSCVAG00000011629
kryptolebias_marmoratus ENSKMAG00000012506
oryzias_latipes_asm223471v1 ENSORLG00020001655
oryzias_latipes_asm223469v1 ENSORLG00015014027
oryzias_latipes_asm223467v1 ENSORLG00000010031
oryzias_melastigma ENSOMEG00000008853
monopterus_albus ENSMALG00000005631
mastacembelus_armatus ENSMAMG00000007945
anabas_testudineus ENSATEG00000000937
labrus_bergylta ENSLBEG00000014904
scophthalmus_maximus ENSSMAG00000004853
cynoglossus_semilaevis ENSCSEG00000005604
seriola_lalandi_dorsalis ENSSLDG00000023687
seriola_dumerili ENSSDUG00000015011
tetraodon_nigroviridis ENSTNIG00000017948
takifugu_rubripes ENSTRUG00000012050
mola_mola ENSMMOG00000012984
gasterosteus_aculeatus ENSGACG00000012408
hippocampus_comes ENSHCOG00000015855
periophthalmus_magnuspinnatus ENSPMGG00000016270
gadus_morhua ENSGMOG00000012254
esox_lucius ENSELUG00000022479
pygocentrus_nattereri ENSPNAG00000023963
astyanax_mexicanus ENSAMXG00000012940
ictalurus_punctatus ENSIPUG00000007785
danio_rerio ENSDARG00000063157
lepisosteus_oculatus ENSLOCG00000016754
