macaca_nemestrina ENSMNEG00000000511
kryptolebias_marmoratus ENSKMAG00000002018
monopterus_albus ENSMALG00000000608
mastacembelus_armatus ENSMAMG00000001163
anabas_testudineus ENSATEG00000004081
scophthalmus_maximus ENSSMAG00000004168
amphiprion_ocellaris ENSAOCG00000000708
amphiprion_percula ENSAPEG00000019927
acanthochromis_polyacanthus ENSAPOG00000014509
stegastes_partitus ENSSPAG00000014221
oryzias_latipes_asm223467v1 ENSORLG00000023838
oryzias_latipes_asm223469v1 ENSORLG00015007089
oryzias_latipes_asm223471v1 ENSORLG00020008605
oryzias_melastigma ENSOMEG00000005592
pundamilia_nyererei ENSPNYG00000005401
haplochromis_burtoni ENSHBUG00000004539
maylandia_zebra ENSMZEG00005019340
astatotilapia_calliptera ENSACLG00000019972
neolamprologus_brichardi ENSNBRG00000016374
oreochromis_niloticus ENSONIG00000019671
amphilophus_citrinellus ENSACIG00000020014
takifugu_rubripes ENSTRUG00000022534
tetraodon_nigroviridis ENSTNIG00000011521
mola_mola ENSMMOG00000004824
labrus_bergylta ENSLBEG00000024251
gasterosteus_aculeatus ENSGACG00000005275
hippocampus_comes ENSHCOG00000019895
periophthalmus_magnuspinnatus ENSPMGG00000023197
gadus_morhua ENSGMOG00000014537
esox_lucius ENSELUG00000023541
paramormyrops_kingsleyae ENSPKIG00000021931
scleropages_formosus ENSSFOG00015002722
lepisosteus_oculatus ENSLOCG00000011775
