oryzias_melastigma ENSOMEG00000016845
esox_lucius ENSELUG00000006307
mus_spicilegus ENSMSIG00000029751
rattus_norvegicus ENSRNOG00000011763
oryctolagus_cuniculus ENSOCUG00000016085
gorilla_gorilla ENSGGOG00000015388
homo_sapiens ENSG00000120742
pongo_abelii ENSPPYG00000014205
cebus_capucinus_imitator ENSCCAG00000030931
ailuropoda_melanoleuca ENSAMEG00000010503
sorex_araneus ENSSARG00000013943
saimiri_boliviensis_boliviensis ENSSBOG00000035923
aotus_nancymaae ENSANAG00000015017
rhinopithecus_bieti ENSRBIG00000025186
pan_paniscus ENSPPAG00000025138
peromyscus_maniculatus_bairdii ENSPEMG00000024537
microtus_ochrogaster ENSMOCG00000010605
meriones_unguiculatus ENSMUGG00000001975
fukomys_damarensis ENSFDAG00000014936
sus_scrofa ENSSSCG00000037465
bison_bison_bison ENSBBBG00000006244
ursus_americanus ENSUAMG00000007406
felis_catus ENSFCAG00000041925
equus_caballus ENSECAG00000033049
equus_asinus_asinus ENSEASG00005021394
pan_troglodytes ENSPTRG00000015527
callithrix_jacchus ENSCJAG00000038539
microcebus_murinus ENSMICG00000017448
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007759
chinchilla_lanigera ENSCLAG00000002795
nannospalax_galili ENSNGAG00000021430
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025948
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012974
panthera_pardus ENSPPRG00000022262
bos_mutus ENSBMUG00000021889
octodon_degus ENSODEG00000001959
jaculus_jaculus ENSJJAG00000016891
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026452
mesocricetus_auratus ENSMAUG00000016106
cavia_porcellus ENSCPOG00000031272
ochotona_princeps ENSOPRG00000014390
rhinopithecus_roxellana ENSRROG00000031143
ursus_maritimus ENSUMAG00000012280
myotis_lucifugus ENSMLUG00000010483
choloepus_hoffmanni ENSCHOG00000007398
procavia_capensis ENSPCAG00000000583
monodelphis_domestica ENSMODG00000021272
salvator_merianae ENSSMRG00000004879
pogona_vitticeps ENSPVIG00000012542
chlorocebus_sabaeus ENSCSAG00000011557
aotus_nancymaae ENSANAG00000030670
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027808
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025008
cricetulus_griseus_crigri-picr ENSCGRG00015021068
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019418
capra_hircus ENSCHIG00000026085
pteropus_vampyrus ENSPVAG00000011534
choloepus_hoffmanni ENSCHOG00000011885
phascolarctos_cinereus ENSPCIG00000022267
gopherus_agassizii ENSGAGG00000020540
chelonoidis_abingdonii ENSCABG00000019901
crocodylus_porosus ENSCPRG00005006800
microcebus_murinus ENSMICG00000045598
callithrix_jacchus ENSCJAG00000040595
bos_taurus ENSBTAG00000009104
cricetulus_griseus_crigri_1.0 ENSCGRG00000008904
chrysemys_picta_bellii ENSCPBG00000014425
mandrillus_leucophaeus ENSMLEG00000044121
cercocebus_atys ENSCATG00000031827
macaca_fascicularis ENSMFAG00000041790
macaca_nemestrina ENSMNEG00000032485
macaca_mulatta ENSMMUG00000017695
theropithecus_gelada ENSTGEG00000006520
nomascus_leucogenys ENSNLEG00000028924
urocitellus_parryii ENSUPAG00010012577
erinaceus_europaeus ENSEEUG00000006784
choloepus_hoffmanni ENSCHOG00000002374
dasypus_novemcinctus ENSDNOG00000023832
numida_meleagris ENSNMEG00000010604
gallus_gallus ENSGALG00000037325
anas_platyrhynchos_platyrhynchos ENSAPLG00000018299
lepidothrix_coronata ENSLCOG00000014815
junco_hyemalis ENSJHYG00000000506
nothoprocta_perdicaria ENSNPEG00000000697
colobus_angolensis_palliatus ENSCANG00000028905
piliocolobus_tephrosceles ENSPTEG00000028233
papio_anubis ENSPANG00000001993
propithecus_coquereli ENSPCOG00000024810
castor_canadensis ENSCCNG00000011313
neovison_vison ENSNVIG00000013541
canis_lupus_dingo ENSCAFG00020004495
notamacropus_eugenii ENSMEUG00000000745
calidris_pugnax ENSCPUG00000016782
calidris_pygmaea ENSCPGG00000004818
lonchura_striata_domestica ENSLSDG00000008618
coturnix_japonica ENSCJPG00005018744
