ficedula_albicollis ENSFALG00000011805
pygocentrus_nattereri ENSPNAG00000028350
astyanax_mexicanus ENSAMXG00000035466
ictalurus_punctatus ENSIPUG00000016382
danio_rerio ENSDARG00000035859
scleropages_formosus ENSSFOG00015020225
paramormyrops_kingsleyae ENSPKIG00000007986
lepisosteus_oculatus ENSLOCG00000002629
labrus_bergylta ENSLBEG00000000358
mola_mola ENSMMOG00000007626
scophthalmus_maximus ENSSMAG00000021038
seriola_dumerili ENSSDUG00000008717
seriola_lalandi_dorsalis ENSSLDG00000025347
cynoglossus_semilaevis ENSCSEG00000018112
monopterus_albus ENSMALG00000018505
mastacembelus_armatus ENSMAMG00000005887
anabas_testudineus ENSATEG00000016144
amphiprion_ocellaris ENSAOCG00000020250
amphiprion_percula ENSAPEG00000005393
stegastes_partitus ENSSPAG00000002327
oreochromis_niloticus ENSONIG00000012697
xiphophorus_maculatus ENSXMAG00000002569
xiphophorus_couchianus ENSXCOG00000005236
gambusia_affinis ENSGAFG00000004635
poecilia_formosa ENSPFOG00000001468
poecilia_mexicana ENSPMEG00000016110
poecilia_latipinna ENSPLAG00000016099
poecilia_reticulata ENSPREG00000011092
cyprinodon_variegatus ENSCVAG00000018693
kryptolebias_marmoratus ENSKMAG00000005527
gasterosteus_aculeatus ENSGACG00000008217
takifugu_rubripes ENSTRUG00000007525
tetraodon_nigroviridis ENSTNIG00000010200
hippocampus_comes ENSHCOG00000008623
periophthalmus_magnuspinnatus ENSPMGG00000020528
gadus_morhua ENSGMOG00000001102
esox_lucius ENSELUG00000010227
eptatretus_burgeri ENSEBUG00000001161
