nothoprocta_perdicaria ENSNPEG00000010180
paramormyrops_kingsleyae ENSPKIG00000001004
poecilia_formosa ENSPFOG00000017214
poecilia_latipinna ENSPLAG00000001910
poecilia_mexicana ENSPMEG00000003766
poecilia_reticulata ENSPREG00000020998
xiphophorus_maculatus ENSXMAG00000009684
gambusia_affinis ENSGAFG00000008119
kryptolebias_marmoratus ENSKMAG00000002089
oryzias_melastigma ENSOMEG00000009039
haplochromis_burtoni ENSHBUG00000023228
astatotilapia_calliptera ENSACLG00000018698
amphilophus_citrinellus ENSACIG00000021313
acanthochromis_polyacanthus ENSAPOG00000012724
amphiprion_ocellaris ENSAOCG00000002784
scophthalmus_maximus ENSSMAG00000006443
cynoglossus_semilaevis ENSCSEG00000020421
anabas_testudineus ENSATEG00000007154
tetraodon_nigroviridis ENSTNIG00000001284
seriola_dumerili ENSSDUG00000007510
seriola_lalandi_dorsalis ENSSLDG00000010010
takifugu_rubripes ENSTRUG00000023990
oryzias_latipes_asm223467v1 ENSORLG00000025662
oryzias_latipes_asm223471v1 ENSORLG00020007843
xiphophorus_couchianus ENSXCOG00000001504
neolamprologus_brichardi ENSNBRG00000004339
maylandia_zebra ENSMZEG00005028078
amphiprion_percula ENSAPEG00000020779
periophthalmus_magnuspinnatus ENSPMGG00000014212
amphiprion_percula ENSAPEG00000020989
mastacembelus_armatus ENSMAMG00000003315
monopterus_albus ENSMALG00000013870
esox_lucius ENSELUG00000020324
pygocentrus_nattereri ENSPNAG00000013701
astyanax_mexicanus ENSAMXG00000037949
ictalurus_punctatus ENSIPUG00000000754
danio_rerio ENSDARG00000088204
scleropages_formosus ENSSFOG00015004534
paramormyrops_kingsleyae ENSPKIG00000004031
poecilia_latipinna ENSPLAG00000004675
poecilia_mexicana ENSPMEG00000005507
amphiprion_ocellaris ENSAOCG00000011726
periophthalmus_magnuspinnatus ENSPMGG00000020334
lepisosteus_oculatus ENSLOCG00000011515
eptatretus_burgeri ENSEBUG00000015537
latimeria_chalumnae ENSLACG00000002765
latimeria_chalumnae ENSLACG00000009150
mola_mola ENSMMOG00000014843
gasterosteus_aculeatus ENSGACG00000013991
scophthalmus_maximus ENSSMAG00000005080
cynoglossus_semilaevis ENSCSEG00000010397
mastacembelus_armatus ENSMAMG00000002832
monopterus_albus ENSMALG00000020808
anabas_testudineus ENSATEG00000004416
seriola_lalandi_dorsalis ENSSLDG00000010796
seriola_dumerili ENSSDUG00000019123
labrus_bergylta ENSLBEG00000023962
poecilia_formosa ENSPFOG00000010810
poecilia_latipinna ENSPLAG00000002317
poecilia_mexicana ENSPMEG00000019028
poecilia_reticulata ENSPREG00000007895
xiphophorus_maculatus ENSXMAG00000023921
xiphophorus_couchianus ENSXCOG00000016487
gambusia_affinis ENSGAFG00000017953
cyprinodon_variegatus ENSCVAG00000015794
fundulus_heteroclitus ENSFHEG00000002754
kryptolebias_marmoratus ENSKMAG00000018765
oryzias_latipes_asm223467v1 ENSORLG00000029463
oryzias_latipes_asm223469v1 ENSORLG00015018439
oryzias_latipes_asm223471v1 ENSORLG00020005293
oryzias_melastigma ENSOMEG00000023983
haplochromis_burtoni ENSHBUG00000003504
astatotilapia_calliptera ENSACLG00000006261
maylandia_zebra ENSMZEG00005022464
pundamilia_nyererei ENSPNYG00000008016
oreochromis_niloticus ENSONIG00000001417
neolamprologus_brichardi ENSNBRG00000015026
amphilophus_citrinellus ENSACIG00000023276
amphiprion_percula ENSAPEG00000011656
amphiprion_ocellaris ENSAOCG00000022213
acanthochromis_polyacanthus ENSAPOG00000023825
stegastes_partitus ENSSPAG00000017186
takifugu_rubripes ENSTRUG00000012054
tetraodon_nigroviridis ENSTNIG00000018587
hippocampus_comes ENSHCOG00000015744
periophthalmus_magnuspinnatus ENSPMGG00000004247
esox_lucius ENSELUG00000021492
pygocentrus_nattereri ENSPNAG00000012054
astyanax_mexicanus ENSAMXG00000029150
ictalurus_punctatus ENSIPUG00000019600
danio_rerio ENSDARG00000052642
paramormyrops_kingsleyae ENSPKIG00000020609
scleropages_formosus ENSSFOG00015014666
lepisosteus_oculatus ENSLOCG00000007497
scleropages_formosus ENSSFOG00015011488
paramormyrops_kingsleyae ENSPKIG00000016449
poecilia_reticulata ENSPREG00000016559
poecilia_formosa ENSPFOG00000022165
xiphophorus_maculatus ENSXMAG00000012636
poecilia_formosa ENSPFOG00000023297
poecilia_latipinna ENSPLAG00000009458
poecilia_mexicana ENSPMEG00000022482
xiphophorus_couchianus ENSXCOG00000003130
fundulus_heteroclitus ENSFHEG00000017289
tetraodon_nigroviridis ENSTNIG00000012922
takifugu_rubripes ENSTRUG00000016966
oryzias_latipes_asm223469v1 ENSORLG00015005270
oryzias_latipes_asm223467v1 ENSORLG00000002882
oryzias_latipes_asm223471v1 ENSORLG00020006492
oryzias_melastigma ENSOMEG00000007889
kryptolebias_marmoratus ENSKMAG00000021879
amphiprion_ocellaris ENSAOCG00000011881
acanthochromis_polyacanthus ENSAPOG00000016885
scophthalmus_maximus ENSSMAG00000008053
cynoglossus_semilaevis ENSCSEG00000019672
seriola_lalandi_dorsalis ENSSLDG00000008188
mastacembelus_armatus ENSMAMG00000004471
monopterus_albus ENSMALG00000009606
anabas_testudineus ENSATEG00000009302
astatotilapia_calliptera ENSACLG00000017312
haplochromis_burtoni ENSHBUG00000001583
maylandia_zebra ENSMZEG00005007238
pundamilia_nyererei ENSPNYG00000002712
neolamprologus_brichardi ENSNBRG00000017504
amphilophus_citrinellus ENSACIG00000006519
cyprinodon_variegatus ENSCVAG00000020920
seriola_dumerili ENSSDUG00000008529
periophthalmus_magnuspinnatus ENSPMGG00000002422
mola_mola ENSMMOG00000003518
amphiprion_percula ENSAPEG00000003215
stegastes_partitus ENSSPAG00000014983
labrus_bergylta ENSLBEG00000025533
hippocampus_comes ENSHCOG00000015148
gadus_morhua ENSGMOG00000000579
esox_lucius ENSELUG00000019170
gambusia_affinis ENSGAFG00000002998
ictalurus_punctatus ENSIPUG00000001767
pygocentrus_nattereri ENSPNAG00000011908
danio_rerio ENSDARG00000045145
anolis_carolinensis ENSACAG00000023924
gadus_morhua ENSGMOG00000004462
eptatretus_burgeri ENSEBUG00000013262
