heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009647
tursiops_truncatus ENSTTRG00000004575
sus_scrofa ENSSSCG00000012795
equus_caballus ENSECAG00000009585
equus_asinus_asinus ENSEASG00005019196
ailuropoda_melanoleuca ENSAMEG00000018449
ursus_americanus ENSUAMG00000019355
mustela_putorius_furo ENSMPUG00000009059
neovison_vison ENSNVIG00000023867
canis_lupus_familiaris ENSCAFG00000019436
canis_lupus_dingo ENSCAFG00020022089
vulpes_vulpes ENSVVUG00000029594
felis_catus ENSFCAG00000010847
panthera_pardus ENSPPRG00000002790
erinaceus_europaeus ENSEEUG00000012190
myotis_lucifugus ENSMLUG00000014288
pteropus_vampyrus ENSPVAG00000000469
ochotona_princeps ENSOPRG00000009823
ochotona_princeps ENSOPRG00000001830
oryctolagus_cuniculus ENSOCUG00000025860
anolis_carolinensis ENSACAG00000012475
pogona_vitticeps ENSPVIG00000018975
notechis_scutatus ENSNSUG00000014917
salvator_merianae ENSSMRG00000001848
gopherus_agassizii ENSGAGG00000005113
chelonoidis_abingdonii ENSCABG00000011210
chrysemys_picta_bellii ENSCPBG00000006854
latimeria_chalumnae ENSLACG00000013100
pygocentrus_nattereri ENSPNAG00000024736
astyanax_mexicanus ENSAMXG00000039681
ictalurus_punctatus ENSIPUG00000013038
danio_rerio ENSDARG00000025949
esox_lucius ENSELUG00000019026
paramormyrops_kingsleyae ENSPKIG00000023994
scleropages_formosus ENSSFOG00015001632
takifugu_rubripes ENSTRUG00000006646
tetraodon_nigroviridis ENSTNIG00000005115
mola_mola ENSMMOG00000009872
labrus_bergylta ENSLBEG00000021274
gasterosteus_aculeatus ENSGACG00000001142
scophthalmus_maximus ENSSMAG00000012466
cynoglossus_semilaevis ENSCSEG00000017284
seriola_dumerili ENSSDUG00000019781
seriola_lalandi_dorsalis ENSSLDG00000006286
mastacembelus_armatus ENSMAMG00000011744
monopterus_albus ENSMALG00000014275
anabas_testudineus ENSATEG00000019432
xiphophorus_maculatus ENSXMAG00000003511
xiphophorus_couchianus ENSXCOG00000016450
poecilia_mexicana ENSPMEG00000006084
poecilia_reticulata ENSPREG00000012629
poecilia_formosa ENSPFOG00000024291
poecilia_latipinna ENSPLAG00000013953
fundulus_heteroclitus ENSFHEG00000017791
cyprinodon_variegatus ENSCVAG00000001909
kryptolebias_marmoratus ENSKMAG00000011452
oryzias_latipes_asm223471v1 ENSORLG00020003365
oryzias_latipes_asm223467v1 ENSORLG00000028017
oryzias_latipes_asm223469v1 ENSORLG00015017667
oryzias_melastigma ENSOMEG00000011232
amphiprion_percula ENSAPEG00000023917
amphiprion_ocellaris ENSAOCG00000011571
acanthochromis_polyacanthus ENSAPOG00000002801
stegastes_partitus ENSSPAG00000005179
haplochromis_burtoni ENSHBUG00000020760
pundamilia_nyererei ENSPNYG00000020350
astatotilapia_calliptera ENSACLG00000013689
maylandia_zebra ENSMZEG00005026760
neolamprologus_brichardi ENSNBRG00000008359
oreochromis_niloticus ENSONIG00000000806
amphilophus_citrinellus ENSACIG00000004554
hippocampus_comes ENSHCOG00000015946
periophthalmus_magnuspinnatus ENSPMGG00000017349
gadus_morhua ENSGMOG00000009053
lepisosteus_oculatus ENSLOCG00000014730
xenopus_tropicalis ENSXETG00000014246
petromyzon_marinus ENSPMAG00000007553
petromyzon_marinus ENSPMAG00000001487
eptatretus_burgeri ENSEBUG00000008632
