ficedula_albicollis ENSFALG00000012974
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011389
mesocricetus_auratus ENSMAUG00000001685
nannospalax_galili ENSNGAG00000023039
jaculus_jaculus ENSJJAG00000019934
spermophilus_dauricus ENSSDAG00000006416
marmota_marmota_marmota ENSMMMG00000010735
urocitellus_parryii ENSUPAG00010015507
ictidomys_tridecemlineatus ENSSTOG00000021205
cavia_porcellus ENSCPOG00000031579
cavia_aperea ENSCAPG00000012805
chinchilla_lanigera ENSCLAG00000000729
octodon_degus ENSODEG00000004154
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003628
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018681
fukomys_damarensis ENSFDAG00000002832
oryctolagus_cuniculus ENSOCUG00000014852
ochotona_princeps ENSOPRG00000015227
myotis_lucifugus ENSMLUG00000008899
pteropus_vampyrus ENSPVAG00000017357
equus_caballus ENSECAG00000012131
equus_asinus_asinus ENSEASG00005000614
ursus_americanus ENSUAMG00000020030
ailuropoda_melanoleuca ENSAMEG00000018165
neovison_vison ENSNVIG00000008803
mustela_putorius_furo ENSMPUG00000008104
canis_lupus_dingo ENSCAFG00020004719
canis_lupus_familiaris ENSCAFG00000029458
vulpes_vulpes ENSVVUG00000003233
felis_catus ENSFCAG00000043885
panthera_pardus ENSPPRG00000008511
capra_hircus ENSCHIG00000018087
ovis_aries ENSOARG00000013069
bos_mutus ENSBMUG00000013406
bos_taurus ENSBTAG00000017528
bison_bison_bison ENSBBBG00000003436
tursiops_truncatus ENSTTRG00000006262
sus_scrofa ENSSSCG00000040145
erinaceus_europaeus ENSEEUG00000000841
dasypus_novemcinctus ENSDNOG00000035204
loxodonta_africana ENSLAFG00000005117
echinops_telfairi ENSETEG00000012148
phascolarctos_cinereus ENSPCIG00000007471
monodelphis_domestica ENSMODG00000004165
sarcophilus_harrisii ENSSHAG00000006702
apteryx_owenii ENSAOWG00000012322
anas_platyrhynchos_platyrhynchos ENSAPLG00000019799
latimeria_chalumnae ENSLACG00000004705
ciona_savignyi ENSCSAVG00000009819
ciona_intestinalis ENSCING00000008903
drosophila_melanogaster FBgn0001983
