ornithorhynchus_anatinus ENSOANG00000007765
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007707
cricetulus_griseus_crigri_1.0 ENSCGRG00000002459
cricetulus_griseus_crigri-picr ENSCGRG00015019556
mesocricetus_auratus ENSMAUG00000019617
microtus_ochrogaster ENSMOCG00000016630
peromyscus_maniculatus_bairdii ENSPEMG00000028522
nannospalax_galili ENSNGAG00000011341
jaculus_jaculus ENSJJAG00000012287
loxodonta_africana ENSLAFG00000016513
echinops_telfairi ENSETEG00000004750
choloepus_hoffmanni ENSCHOG00000003239
oryctolagus_cuniculus ENSOCUG00000000252
ochotona_princeps ENSOPRG00000010994
cavia_porcellus ENSCPOG00000039662
cavia_aperea ENSCAPG00000011017
chinchilla_lanigera ENSCLAG00000000765
octodon_degus ENSODEG00000018655
octodon_degus ENSODEG00000019359
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007875
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002122
fukomys_damarensis ENSFDAG00000020998
urocitellus_parryii ENSUPAG00010007531
ictidomys_tridecemlineatus ENSSTOG00000022793
spermophilus_dauricus ENSSDAG00000011152
spermophilus_dauricus ENSSDAG00000011146
carlito_syrichta ENSTSYG00000011408
tupaia_belangeri ENSTBEG00000004410
crocodylus_porosus ENSCPRG00005010344
xenopus_tropicalis ENSXETG00000000810
latimeria_chalumnae ENSLACG00000002531
petromyzon_marinus ENSPMAG00000001277
petromyzon_marinus ENSPMAG00000009186
ciona_intestinalis ENSCING00000007348
ciona_savignyi ENSCSAVG00000005450
drosophila_melanogaster FBgn0037754
