cricetulus_griseus_crigri-picr ENSCGRG00015012957
dromaius_novaehollandiae ENSDNVG00000002213
nothoprocta_perdicaria ENSNPEG00000016177
apteryx_owenii ENSAOWG00000004901
lonchura_striata_domestica ENSLSDG00000012369
serinus_canaria ENSSCAG00000002200
junco_hyemalis ENSJHYG00000012020
zonotrichia_albicollis ENSZALG00000017327
parus_major ENSPMJG00000012555
lepidothrix_coronata ENSLCOG00000004233
manacus_vitellinus ENSMVIG00005009349
coturnix_japonica ENSCJPG00005010739
calidris_pygmaea ENSCPGG00000017870
anser_brachyrhynchus ENSABRG00000003369
anas_platyrhynchos_platyrhynchos ENSAPLG00000014687
meleagris_gallopavo ENSMGAG00000002280
gallus_gallus ENSGALG00000003806
numida_meleagris ENSNMEG00000011599
calidris_pugnax ENSCPUG00000004281
melopsittacus_undulatus ENSMUNG00000013595
apteryx_rowi ENSARWG00000013006
apteryx_haastii ENSAHAG00000002575
cyanistes_caeruleus ENSCCEG00000024206
ficedula_albicollis ENSFALG00000008761
anolis_carolinensis ENSACAG00000008297
pogona_vitticeps ENSPVIG00000024424
notechis_scutatus ENSNSUG00000005528
salvator_merianae ENSSMRG00000007767
sphenodon_punctatus ENSSPUG00000002063
microtus_ochrogaster ENSMOCG00000002972
peromyscus_maniculatus_bairdii ENSPEMG00000026890
meriones_unguiculatus ENSMUGG00000013175
octodon_degus ENSODEG00000001014
microcebus_murinus ENSMICG00000044079
propithecus_coquereli ENSPCOG00000025067
canis_lupus_dingo ENSCAFG00020023093
vulpes_vulpes ENSVVUG00000025455
canis_lupus_dingo ENSCAFG00020021020
ursus_americanus ENSUAMG00000005284
dasypus_novemcinctus ENSDNOG00000046934
pan_paniscus ENSPPAG00000031493
nomascus_leucogenys ENSNLEG00000034891
rhinopithecus_roxellana ENSRROG00000039331
rhinopithecus_bieti ENSRBIG00000044204
piliocolobus_tephrosceles ENSPTEG00000006642
aotus_nancymaae ENSANAG00000035201
carlito_syrichta ENSTSYG00000027497
phascolarctos_cinereus ENSPCIG00000024335
manacus_vitellinus ENSMVIG00005002670
urocitellus_parryii ENSUPAG00010003296
marmota_marmota_marmota ENSMMMG00000000469
spermophilus_dauricus ENSSDAG00000017324
ictidomys_tridecemlineatus ENSSTOG00000027757
latimeria_chalumnae ENSLACG00000004193
scophthalmus_maximus ENSSMAG00000006516
gasterosteus_aculeatus ENSGACG00000009938
takifugu_rubripes ENSTRUG00000021194
tetraodon_nigroviridis ENSTNIG00000015015
poecilia_formosa ENSPFOG00000005404
poecilia_latipinna ENSPLAG00000013945
poecilia_mexicana ENSPMEG00000005058
poecilia_reticulata ENSPREG00000019407
xiphophorus_maculatus ENSXMAG00000025119
xiphophorus_couchianus ENSXCOG00000007651
fundulus_heteroclitus ENSFHEG00000021087
cyprinodon_variegatus ENSCVAG00000009530
kryptolebias_marmoratus ENSKMAG00000019965
oryzias_latipes_asm223471v1 ENSORLG00020004650
oryzias_latipes_asm223469v1 ENSORLG00015021039
oryzias_latipes_asm223467v1 ENSORLG00000027727
oryzias_melastigma ENSOMEG00000000358
mastacembelus_armatus ENSMAMG00000008910
monopterus_albus ENSMALG00000011939
anabas_testudineus ENSATEG00000023516
mola_mola ENSMMOG00000011592
amphiprion_ocellaris ENSAOCG00000022687
amphiprion_percula ENSAPEG00000005584
acanthochromis_polyacanthus ENSAPOG00000018238
stegastes_partitus ENSSPAG00000004452
haplochromis_burtoni ENSHBUG00000007206
maylandia_zebra ENSMZEG00005027126
astatotilapia_calliptera ENSACLG00000008766
pundamilia_nyererei ENSPNYG00000015253
neolamprologus_brichardi ENSNBRG00000019773
oreochromis_niloticus ENSONIG00000012367
amphilophus_citrinellus ENSACIG00000013952
labrus_bergylta ENSLBEG00000007698
seriola_lalandi_dorsalis ENSSLDG00000001466
seriola_dumerili ENSSDUG00000015338
hippocampus_comes ENSHCOG00000002225
periophthalmus_magnuspinnatus ENSPMGG00000004505
gadus_morhua ENSGMOG00000011086
xiphophorus_couchianus ENSXCOG00000001038
xiphophorus_maculatus ENSXMAG00000004466
poecilia_latipinna ENSPLAG00000018874
poecilia_formosa ENSPFOG00000017531
poecilia_mexicana ENSPMEG00000021781
poecilia_reticulata ENSPREG00000008903
gambusia_affinis ENSGAFG00000014849
cyprinodon_variegatus ENSCVAG00000020923
kryptolebias_marmoratus ENSKMAG00000013469
oryzias_latipes_asm223467v1 ENSORLG00000018833
labrus_bergylta ENSLBEG00000015852
monopterus_albus ENSMALG00000016081
mastacembelus_armatus ENSMAMG00000014819
anabas_testudineus ENSATEG00000022138
mola_mola ENSMMOG00000013165
gasterosteus_aculeatus ENSGACG00000003630
seriola_dumerili ENSSDUG00000002274
seriola_lalandi_dorsalis ENSSLDG00000017023
scophthalmus_maximus ENSSMAG00000002542
cynoglossus_semilaevis ENSCSEG00000004398
amphiprion_ocellaris ENSAOCG00000011250
amphiprion_percula ENSAPEG00000014453
acanthochromis_polyacanthus ENSAPOG00000012390
stegastes_partitus ENSSPAG00000021187
pundamilia_nyererei ENSPNYG00000000432
haplochromis_burtoni ENSHBUG00000020089
astatotilapia_calliptera ENSACLG00000002466
maylandia_zebra ENSMZEG00005006954
neolamprologus_brichardi ENSNBRG00000004961
oreochromis_niloticus ENSONIG00000017974
amphilophus_citrinellus ENSACIG00000007979
esox_lucius ENSELUG00000001193
astyanax_mexicanus ENSAMXG00000016520
pygocentrus_nattereri ENSPNAG00000021346
ictalurus_punctatus ENSIPUG00000016774
danio_rerio ENSDARG00000026845
pygocentrus_nattereri ENSPNAG00000001518
ictalurus_punctatus ENSIPUG00000014375
danio_rerio ENSDARG00000116058
paramormyrops_kingsleyae ENSPKIG00000007429
scleropages_formosus ENSSFOG00015010679
esox_lucius ENSELUG00000014150
scleropages_formosus ENSSFOG00015014338
lepisosteus_oculatus ENSLOCG00000014301
scophthalmus_maximus ENSSMAG00000009997
cynoglossus_semilaevis ENSCSEG00000015375
hippocampus_comes ENSHCOG00000001218
takifugu_rubripes ENSTRUG00000010942
tetraodon_nigroviridis ENSTNIG00000018278
anabas_testudineus ENSATEG00000025095
monopterus_albus ENSMALG00000012143
amphiprion_ocellaris ENSAOCG00000020987
amphiprion_percula ENSAPEG00000002164
acanthochromis_polyacanthus ENSAPOG00000005967
stegastes_partitus ENSSPAG00000002400
haplochromis_burtoni ENSHBUG00000010167
maylandia_zebra ENSMZEG00005003594
pundamilia_nyererei ENSPNYG00000006351
astatotilapia_calliptera ENSACLG00000022023
neolamprologus_brichardi ENSNBRG00000007550
oreochromis_niloticus ENSONIG00000014669
amphilophus_citrinellus ENSACIG00000009140
mola_mola ENSMMOG00000001910
seriola_lalandi_dorsalis ENSSLDG00000008797
seriola_dumerili ENSSDUG00000021514
gasterosteus_aculeatus ENSGACG00000005413
labrus_bergylta ENSLBEG00000002327
cyprinodon_variegatus ENSCVAG00000002339
fundulus_heteroclitus ENSFHEG00000017878
xiphophorus_maculatus ENSXMAG00000022488
gambusia_affinis ENSGAFG00000000751
poecilia_formosa ENSPFOG00000013593
poecilia_latipinna ENSPLAG00000013104
poecilia_mexicana ENSPMEG00000022489
poecilia_reticulata ENSPREG00000011426
kryptolebias_marmoratus ENSKMAG00000015206
oryzias_latipes_asm223469v1 ENSORLG00015009789
oryzias_latipes_asm223471v1 ENSORLG00020014458
oryzias_melastigma ENSOMEG00000014119
mastacembelus_armatus ENSMAMG00000005487
periophthalmus_magnuspinnatus ENSPMGG00000023787
astyanax_mexicanus ENSAMXG00000000033
pygocentrus_nattereri ENSPNAG00000017896
ictalurus_punctatus ENSIPUG00000004722
danio_rerio ENSDARG00000018328
lepisosteus_oculatus ENSLOCG00000010281
mola_mola ENSMMOG00000008444
labrus_bergylta ENSLBEG00000009704
mastacembelus_armatus ENSMAMG00000007799
takifugu_rubripes ENSTRUG00000013021
tetraodon_nigroviridis ENSTNIG00000015041
poecilia_formosa ENSPFOG00000000709
poecilia_latipinna ENSPLAG00000023750
poecilia_mexicana ENSPMEG00000017629
poecilia_reticulata ENSPREG00000020122
xiphophorus_couchianus ENSXCOG00000007019
xiphophorus_maculatus ENSXMAG00000019368
gambusia_affinis ENSGAFG00000007687
fundulus_heteroclitus ENSFHEG00000005408
cyprinodon_variegatus ENSCVAG00000012459
kryptolebias_marmoratus ENSKMAG00000020750
oryzias_latipes_asm223467v1 ENSORLG00000002742
oryzias_latipes_asm223471v1 ENSORLG00020006364
oryzias_latipes_asm223469v1 ENSORLG00015022191
oryzias_melastigma ENSOMEG00000015673
scophthalmus_maximus ENSSMAG00000004900
cynoglossus_semilaevis ENSCSEG00000007466
monopterus_albus ENSMALG00000013920
amphiprion_percula ENSAPEG00000004482
amphiprion_ocellaris ENSAOCG00000002474
acanthochromis_polyacanthus ENSAPOG00000002943
stegastes_partitus ENSSPAG00000018396
maylandia_zebra ENSMZEG00005010160
maylandia_zebra ENSMZEG00005027165
pundamilia_nyererei ENSPNYG00000016821
astatotilapia_calliptera ENSACLG00000007550
haplochromis_burtoni ENSHBUG00000005847
oreochromis_niloticus ENSONIG00000012272
neolamprologus_brichardi ENSNBRG00000018580
amphilophus_citrinellus ENSACIG00000012443
anabas_testudineus ENSATEG00000023011
seriola_lalandi_dorsalis ENSSLDG00000003562
seriola_dumerili ENSSDUG00000014362
gasterosteus_aculeatus ENSGACG00000009574
periophthalmus_magnuspinnatus ENSPMGG00000011339
hippocampus_comes ENSHCOG00000019428
gadus_morhua ENSGMOG00000006748
gadus_morhua ENSGMOG00000017179
esox_lucius ENSELUG00000021901
paramormyrops_kingsleyae ENSPKIG00000024104
paramormyrops_kingsleyae ENSPKIG00000016846
paramormyrops_kingsleyae ENSPKIG00000019985
scleropages_formosus ENSSFOG00015008599
scleropages_formosus ENSSFOG00015018788
pygocentrus_nattereri ENSPNAG00000009771
astyanax_mexicanus ENSAMXG00000044075
ictalurus_punctatus ENSIPUG00000023572
danio_rerio ENSDARG00000021309
pogona_vitticeps ENSPVIG00000002379
anolis_carolinensis ENSACAG00000017941
notechis_scutatus ENSNSUG00000013737
salvator_merianae ENSSMRG00000004230
sphenodon_punctatus ENSSPUG00000013248
gopherus_agassizii ENSGAGG00000018736
chelonoidis_abingdonii ENSCABG00000014396
chrysemys_picta_bellii ENSCPBG00000018933
xenopus_tropicalis ENSXETG00000006898
latimeria_chalumnae ENSLACG00000017909
gadus_morhua ENSGMOG00000011927
oryzias_melastigma ENSOMEG00000022667
chelonoidis_abingdonii ENSCABG00000016449
gopherus_agassizii ENSGAGG00000017008
chrysemys_picta_bellii ENSCPBG00000002152
anolis_carolinensis ENSACAG00000005247
taeniopygia_guttata ENSTGUG00000017533
lonchura_striata_domestica ENSLSDG00000005666
serinus_canaria ENSSCAG00000015520
cyanistes_caeruleus ENSCCEG00000006060
parus_major ENSPMJG00000017585
ficedula_albicollis ENSFALG00000000736
lepidothrix_coronata ENSLCOG00000007666
gallus_gallus ENSGALG00000001569
coturnix_japonica ENSCJPG00005016674
meleagris_gallopavo ENSMGAG00000004926
numida_meleagris ENSNMEG00000012724
anser_brachyrhynchus ENSABRG00000007834
calidris_pygmaea ENSCPGG00000006348
calidris_pugnax ENSCPUG00000009980
melopsittacus_undulatus ENSMUNG00000005854
apteryx_owenii ENSAOWG00000008300
apteryx_rowi ENSARWG00000017457
apteryx_haastii ENSAHAG00000018933
dromaius_novaehollandiae ENSDNVG00000011582
nothoprocta_perdicaria ENSNPEG00000007935
crocodylus_porosus ENSCPRG00005015463
pelodiscus_sinensis ENSPSIG00000003676
junco_hyemalis ENSJHYG00000016996
gopherus_agassizii ENSGAGG00000017007
bos_taurus ENSBTAG00000014299
bos_mutus ENSBMUG00000002344
bison_bison_bison ENSBBBG00000000132
capra_hircus ENSCHIG00000024084
sus_scrofa ENSSSCG00000006777
ursus_americanus ENSUAMG00000006721
ursus_maritimus ENSUMAG00000015654
ailuropoda_melanoleuca ENSAMEG00000003493
mustela_putorius_furo ENSMPUG00000005141
canis_lupus_familiaris ENSCAFG00000013413
canis_lupus_dingo ENSCAFG00020008569
vulpes_vulpes ENSVVUG00000016051
panthera_pardus ENSPPRG00000003991
panthera_tigris_altaica ENSPTIG00000014819
felis_catus ENSFCAG00000045326
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004055
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007850
fukomys_damarensis ENSFDAG00000013854
cavia_porcellus ENSCPOG00000014541
cavia_aperea ENSCAPG00000008616
octodon_degus ENSODEG00000008244
octodon_degus ENSODEG00000020425
chinchilla_lanigera ENSCLAG00000004444
ictidomys_tridecemlineatus ENSSTOG00000022123
spermophilus_dauricus ENSSDAG00000007299
marmota_marmota_marmota ENSMMMG00000012297
spermophilus_dauricus ENSSDAG00000023958
ictidomys_tridecemlineatus ENSSTOG00000032123
marmota_marmota_marmota ENSMMMG00000005902
pongo_abelii ENSPPYG00000001019
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000002233
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026415
mus_spicilegus ENSMSIG00000010271
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025466
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026911
rattus_norvegicus ENSRNOG00000012630
meriones_unguiculatus ENSMUGG00000015875
peromyscus_maniculatus_bairdii ENSPEMG00000019894
microtus_ochrogaster ENSMOCG00000013270
cricetulus_griseus_crigri_1.0 ENSCGRG00000006114
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021156
mesocricetus_auratus ENSMAUG00000011420
nannospalax_galili ENSNGAG00000013328
nannospalax_galili ENSNGAG00000001111
jaculus_jaculus ENSJJAG00000004154
castor_canadensis ENSCCNG00000022923
dipodomys_ordii ENSDORG00000003382
propithecus_coquereli ENSPCOG00000016989
microcebus_murinus ENSMICG00000003200
otolemur_garnettii ENSOGAG00000027678
homo_sapiens ENSG00000155366
gorilla_gorilla ENSGGOG00000002741
pan_paniscus ENSPPAG00000032447
nomascus_leucogenys ENSNLEG00000004234
macaca_mulatta ENSMMUG00000015671
macaca_fascicularis ENSMFAG00000003557
macaca_nemestrina ENSMNEG00000036794
chlorocebus_sabaeus ENSCSAG00000001602
papio_anubis ENSPANG00000014084
theropithecus_gelada ENSTGEG00000004309
cercocebus_atys ENSCATG00000045222
mandrillus_leucophaeus ENSMLEG00000023164
rhinopithecus_roxellana ENSRROG00000035409
rhinopithecus_bieti ENSRBIG00000040896
colobus_angolensis_palliatus ENSCANG00000028024
piliocolobus_tephrosceles ENSPTEG00000029620
aotus_nancymaae ENSANAG00000020910
cebus_capucinus_imitator ENSCCAG00000010980
callithrix_jacchus ENSCJAG00000048701
saimiri_boliviensis_boliviensis ENSSBOG00000018515
pan_troglodytes ENSPTRG00000001112
carlito_syrichta ENSTSYG00000034077
equus_asinus_asinus ENSEASG00005005492
equus_caballus ENSECAG00000010174
loxodonta_africana ENSLAFG00000030194
spermophilus_dauricus ENSSDAG00000007320
spermophilus_dauricus ENSSDAG00000007277
cricetulus_griseus_crigri-picr ENSCGRG00015026902
homo_sapiens ENSG00000271810
pongo_abelii ENSPPYG00000010686
macaca_nemestrina ENSMNEG00000024668
saimiri_boliviensis_boliviensis ENSSBOG00000028169
neovison_vison ENSNVIG00000001815
canis_lupus_dingo ENSCAFG00020015330
oryctolagus_cuniculus ENSOCUG00000027213
bison_bison_bison ENSBBBG00000020206
tursiops_truncatus ENSTTRG00000010008
pteropus_vampyrus ENSPVAG00000002488
procavia_capensis ENSPCAG00000003910
tupaia_belangeri ENSTBEG00000001923
prolemur_simus ENSPSMG00000009860
ochotona_princeps ENSOPRG00000009284
echinops_telfairi ENSETEG00000002399
erinaceus_europaeus ENSEEUG00000011529
notamacropus_eugenii ENSMEUG00000004807
notamacropus_eugenii ENSMEUG00000006964
myotis_lucifugus ENSMLUG00000025586
dasypus_novemcinctus ENSDNOG00000012825
monodelphis_domestica ENSMODG00000000981
sarcophilus_harrisii ENSSHAG00000001981
petromyzon_marinus ENSPMAG00000000416
petromyzon_marinus ENSPMAG00000004041
petromyzon_marinus ENSPMAG00000005244
eptatretus_burgeri ENSEBUG00000015984
eptatretus_burgeri ENSEBUG00000014986
eptatretus_burgeri ENSEBUG00000008170
petromyzon_marinus ENSPMAG00000005525
petromyzon_marinus ENSPMAG00000007986
zonotrichia_albicollis ENSZALG00000015194
manacus_vitellinus ENSMVIG00005016759
anas_platyrhynchos_platyrhynchos ENSAPLG00000016291
scleropages_formosus ENSSFOG00015003366
paramormyrops_kingsleyae ENSPKIG00000023261
pygocentrus_nattereri ENSPNAG00000010304
ictalurus_punctatus ENSIPUG00000008426
astyanax_mexicanus ENSAMXG00000026330
periophthalmus_magnuspinnatus ENSPMGG00000016085
scleropages_formosus ENSSFOG00015003377
mola_mola ENSMMOG00000002983
scleropages_formosus ENSSFOG00015005331
paramormyrops_kingsleyae ENSPKIG00000004010
poecilia_formosa ENSPFOG00000020611
poecilia_reticulata ENSPREG00000006955
poecilia_mexicana ENSPMEG00000015795
poecilia_latipinna ENSPLAG00000001855
cyprinodon_variegatus ENSCVAG00000002435
fundulus_heteroclitus ENSFHEG00000021612
kryptolebias_marmoratus ENSKMAG00000017149
tetraodon_nigroviridis ENSTNIG00000002278
takifugu_rubripes ENSTRUG00000018178
gasterosteus_aculeatus ENSGACG00000009667
oryzias_latipes_asm223467v1 ENSORLG00000012619
oryzias_latipes_asm223469v1 ENSORLG00015009083
oryzias_melastigma ENSOMEG00000005912
hippocampus_comes ENSHCOG00000010150
cynoglossus_semilaevis ENSCSEG00000020938
amphiprion_ocellaris ENSAOCG00000001146
amphiprion_percula ENSAPEG00000020074
acanthochromis_polyacanthus ENSAPOG00000015781
stegastes_partitus ENSSPAG00000022935
maylandia_zebra ENSMZEG00005000393
astatotilapia_calliptera ENSACLG00000022471
pundamilia_nyererei ENSPNYG00000022862
haplochromis_burtoni ENSHBUG00000014710
neolamprologus_brichardi ENSNBRG00000020653
oreochromis_niloticus ENSONIG00000020448
amphilophus_citrinellus ENSACIG00000010517
seriola_dumerili ENSSDUG00000001734
seriola_lalandi_dorsalis ENSSLDG00000011815
mastacembelus_armatus ENSMAMG00000006155
monopterus_albus ENSMALG00000022320
anabas_testudineus ENSATEG00000014956
seriola_lalandi_dorsalis ENSSLDG00000001066
labrus_bergylta ENSLBEG00000020385
chrysemys_picta_bellii ENSCPBG00000019979
chelonoidis_abingdonii ENSCABG00000007182
pelodiscus_sinensis ENSPSIG00000011554
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020657
octodon_degus ENSODEG00000019841
chinchilla_lanigera ENSCLAG00000017801
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018445
mus_spicilegus ENSMSIG00000013015
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000054364
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017601
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029359
rattus_norvegicus ENSRNOG00000021403
meriones_unguiculatus ENSMUGG00000008824
cricetulus_griseus_crigri-picr ENSCGRG00015000378
cricetulus_griseus_crigri_1.0 ENSCGRG00000019686
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001843
mesocricetus_auratus ENSMAUG00000016245
peromyscus_maniculatus_bairdii ENSPEMG00000013485
microtus_ochrogaster ENSMOCG00000007966
dipodomys_ordii ENSDORG00000016173
pteropus_vampyrus ENSPVAG00000012227
myotis_lucifugus ENSMLUG00000001627
mustela_putorius_furo ENSMPUG00000019487
neovison_vison ENSNVIG00000012943
canis_lupus_familiaris ENSCAFG00000003850
ailuropoda_melanoleuca ENSAMEG00000019884
panthera_tigris_altaica ENSPTIG00000006084
panthera_pardus ENSPPRG00000021519
panthera_pardus ENSPPRG00000020084
felis_catus ENSFCAG00000031279
equus_caballus ENSECAG00000002668
bos_mutus ENSBMUG00000005721
bison_bison_bison ENSBBBG00000019223
ovis_aries ENSOARG00000019441
capra_hircus ENSCHIG00000012713
tursiops_truncatus ENSTTRG00000005690
vicugna_pacos ENSVPAG00000009796
callithrix_jacchus ENSCJAG00000040193
saimiri_boliviensis_boliviensis ENSSBOG00000013056
aotus_nancymaae ENSANAG00000018114
gorilla_gorilla ENSGGOG00000042542
homo_sapiens ENSG00000143878
pan_paniscus ENSPPAG00000023187
pan_troglodytes ENSPTRG00000046722
nomascus_leucogenys ENSNLEG00000030179
colobus_angolensis_palliatus ENSCANG00000004190
piliocolobus_tephrosceles ENSPTEG00000037793
rhinopithecus_roxellana ENSRROG00000027959
rhinopithecus_bieti ENSRBIG00000023783
papio_anubis ENSPANG00000016884
theropithecus_gelada ENSTGEG00000018572
chlorocebus_sabaeus ENSCSAG00000000379
macaca_nemestrina ENSMNEG00000004093
macaca_fascicularis ENSMFAG00000030406
macaca_mulatta ENSMMUG00000040501
mandrillus_leucophaeus ENSMLEG00000014328
cercocebus_atys ENSCATG00000021066
cebus_capucinus_imitator ENSCCAG00000018485
carlito_syrichta ENSTSYG00000026775
propithecus_coquereli ENSPCOG00000004927
microcebus_murinus ENSMICG00000029771
jaculus_jaculus ENSJJAG00000013877
nannospalax_galili ENSNGAG00000012881
ictidomys_tridecemlineatus ENSSTOG00000014644
ictidomys_tridecemlineatus ENSSTOG00000020463
urocitellus_parryii ENSUPAG00010009084
spermophilus_dauricus ENSSDAG00000005994
otolemur_garnettii ENSOGAG00000034489
castor_canadensis ENSCCNG00000023427
tupaia_belangeri ENSTBEG00000005585
loxodonta_africana ENSLAFG00000000243
echinops_telfairi ENSETEG00000007301
dasypus_novemcinctus ENSDNOG00000045615
notamacropus_eugenii ENSMEUG00000000058
phascolarctos_cinereus ENSPCIG00000036417
crocodylus_porosus ENSCPRG00005004980
anolis_carolinensis ENSACAG00000010665
ornithorhynchus_anatinus ENSOANG00000008835
notechis_scutatus ENSNSUG00000000761
salvator_merianae ENSSMRG00000004413
sphenodon_punctatus ENSSPUG00000017041
anser_brachyrhynchus ENSABRG00000018900
anas_platyrhynchos_platyrhynchos ENSAPLG00000011404
calidris_pugnax ENSCPUG00000004571
calidris_pygmaea ENSCPGG00000016239
gallus_gallus ENSGALG00000016485
coturnix_japonica ENSCJPG00005011290
meleagris_gallopavo ENSMGAG00000015633
numida_meleagris ENSNMEG00000006488
lepidothrix_coronata ENSLCOG00000009778
ficedula_albicollis ENSFALG00000014864
taeniopygia_guttata ENSTGUG00000013162
lonchura_striata_domestica ENSLSDG00000014846
junco_hyemalis ENSJHYG00000018368
zonotrichia_albicollis ENSZALG00000004116
serinus_canaria ENSSCAG00000013430
cyanistes_caeruleus ENSCCEG00000010768
parus_major ENSPMJG00000012501
melopsittacus_undulatus ENSMUNG00000010631
apteryx_owenii ENSAOWG00000017389
apteryx_haastii ENSAHAG00000002047
apteryx_rowi ENSARWG00000008448
dromaius_novaehollandiae ENSDNVG00000001475
nothoprocta_perdicaria ENSNPEG00000009091
gopherus_agassizii ENSGAGG00000020706
pogona_vitticeps ENSPVIG00000005356
canis_lupus_dingo ENSCAFG00020025677
vulpes_vulpes ENSVVUG00000014839
ursus_americanus ENSUAMG00000007296
equus_asinus_asinus ENSEASG00005009448
marmota_marmota_marmota ENSMMMG00000022086
procavia_capensis ENSPCAG00000011302
xenopus_tropicalis ENSXETG00000026772
eptatretus_burgeri ENSEBUG00000002113
petromyzon_marinus ENSPMAG00000001664
takifugu_rubripes ENSTRUG00000011944
tetraodon_nigroviridis ENSTNIG00000014672
mola_mola ENSMMOG00000021735
oryzias_latipes_asm223469v1 ENSORLG00015005768
oryzias_latipes_asm223467v1 ENSORLG00000019911
oryzias_latipes_asm223471v1 ENSORLG00020009501
oryzias_melastigma ENSOMEG00000004723
stegastes_partitus ENSSPAG00000012230
kryptolebias_marmoratus ENSKMAG00000021787
cynoglossus_semilaevis ENSCSEG00000001891
maylandia_zebra ENSMZEG00005011907
astatotilapia_calliptera ENSACLG00000021116
pundamilia_nyererei ENSPNYG00000009317
haplochromis_burtoni ENSHBUG00000022920
neolamprologus_brichardi ENSNBRG00000005480
oreochromis_niloticus ENSONIG00000018884
amphilophus_citrinellus ENSACIG00000018724
poecilia_reticulata ENSPREG00000005571
poecilia_reticulata ENSPREG00000016947
