numida_meleagris ENSNMEG00000015047
cebus_capucinus_imitator ENSCCAG00000037746
saimiri_boliviensis_boliviensis ENSSBOG00000019779
callithrix_jacchus ENSCJAG00000001766
aotus_nancymaae ENSANAG00000024792
chinchilla_lanigera ENSCLAG00000000509
octodon_degus ENSODEG00000015927
cavia_aperea ENSCAPG00000014553
cavia_porcellus ENSCPOG00000025621
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003817
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017439
fukomys_damarensis ENSFDAG00000008941
dipodomys_ordii ENSDORG00000005701
nannospalax_galili ENSNGAG00000018117
urocitellus_parryii ENSUPAG00010014347
carlito_syrichta ENSTSYG00000007203
oryctolagus_cuniculus ENSOCUG00000012344
ochotona_princeps ENSOPRG00000011565
ictidomys_tridecemlineatus ENSSTOG00000011529
marmota_marmota_marmota ENSMMMG00000001593
tupaia_belangeri ENSTBEG00000005616
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014814
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014010
mus_spicilegus ENSMSIG00000002412
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026058
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027259
rattus_norvegicus ENSRNOG00000012284
meriones_unguiculatus ENSMUGG00000017384
peromyscus_maniculatus_bairdii ENSPEMG00000011247
microtus_ochrogaster ENSMOCG00000012101
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022657
cricetulus_griseus_crigri_1.0 ENSCGRG00000003079
cricetulus_griseus_crigri-picr ENSCGRG00015022819
mesocricetus_auratus ENSMAUG00000013631
nomascus_leucogenys ENSNLEG00000033374
jaculus_jaculus ENSJJAG00000017812
loxodonta_africana ENSLAFG00000006655
procavia_capensis ENSPCAG00000001426
ursus_maritimus ENSUMAG00000018593
ursus_americanus ENSUAMG00000027183
ailuropoda_melanoleuca ENSAMEG00000007111
mustela_putorius_furo ENSMPUG00000002607
neovison_vison ENSNVIG00000013486
canis_lupus_dingo ENSCAFG00020015926
canis_lupus_familiaris ENSCAFG00000002470
vulpes_vulpes ENSVVUG00000008652
panthera_pardus ENSPPRG00000008147
panthera_tigris_altaica ENSPTIG00000020547
felis_catus ENSFCAG00000046207
equus_caballus ENSECAG00000021541
equus_asinus_asinus ENSEASG00005003578
pteropus_vampyrus ENSPVAG00000008137
myotis_lucifugus ENSMLUG00000005484
erinaceus_europaeus ENSEEUG00000003986
sorex_araneus ENSSARG00000004121
capra_hircus ENSCHIG00000024242
ovis_aries ENSOARG00000005603
bos_taurus ENSBTAG00000043990
tursiops_truncatus ENSTTRG00000005591
sus_scrofa ENSSSCG00000001490
vicugna_pacos ENSVPAG00000001469
echinops_telfairi ENSETEG00000002241
dasypus_novemcinctus ENSDNOG00000014028
choloepus_hoffmanni ENSCHOG00000013616
xenopus_tropicalis ENSXETG00000004451
stegastes_partitus ENSSPAG00000007836
fundulus_heteroclitus ENSFHEG00000007969
tetraodon_nigroviridis ENSTNIG00000016577
mastacembelus_armatus ENSMAMG00000015552
anabas_testudineus ENSATEG00000020863
seriola_dumerili ENSSDUG00000023520
seriola_lalandi_dorsalis ENSSLDG00000019363
scophthalmus_maximus ENSSMAG00000006422
xiphophorus_maculatus ENSXMAG00000009415
xiphophorus_couchianus ENSXCOG00000011857
gambusia_affinis ENSGAFG00000007645
poecilia_mexicana ENSPMEG00000011563
poecilia_latipinna ENSPLAG00000023478
poecilia_formosa ENSPFOG00000011638
poecilia_reticulata ENSPREG00000022525
fundulus_heteroclitus ENSFHEG00000021135
cyprinodon_variegatus ENSCVAG00000020560
kryptolebias_marmoratus ENSKMAG00000018214
oryzias_latipes_asm223471v1 ENSORLG00020020168
oryzias_latipes_asm223469v1 ENSORLG00015003971
oryzias_latipes_asm223467v1 ENSORLG00000010165
oryzias_melastigma ENSOMEG00000001684
amphiprion_ocellaris ENSAOCG00000011333
amphiprion_percula ENSAPEG00000019843
acanthochromis_polyacanthus ENSAPOG00000008806
astatotilapia_calliptera ENSACLG00000002710
maylandia_zebra ENSMZEG00005005504
pundamilia_nyererei ENSPNYG00000019550
haplochromis_burtoni ENSHBUG00000008029
neolamprologus_brichardi ENSNBRG00000013759
oreochromis_niloticus ENSONIG00000009755
amphilophus_citrinellus ENSACIG00000020525
labrus_bergylta ENSLBEG00000013077
gasterosteus_aculeatus ENSGACG00000006097
monopterus_albus ENSMALG00000002214
cynoglossus_semilaevis ENSCSEG00000005064
mola_mola ENSMMOG00000007708
takifugu_rubripes ENSTRUG00000015760
hippocampus_comes ENSHCOG00000013857
periophthalmus_magnuspinnatus ENSPMGG00000008580
gadus_morhua ENSGMOG00000005065
esox_lucius ENSELUG00000020898
pygocentrus_nattereri ENSPNAG00000008598
astyanax_mexicanus ENSAMXG00000009582
ictalurus_punctatus ENSIPUG00000015437
danio_rerio ENSDARG00000069469
scleropages_formosus ENSSFOG00015012491
paramormyrops_kingsleyae ENSPKIG00000003535
lepisosteus_oculatus ENSLOCG00000017016
petromyzon_marinus ENSPMAG00000003677
eptatretus_burgeri ENSEBUG00000007730
eptatretus_burgeri ENSEBUG00000012421
eptatretus_burgeri ENSEBUG00000007596
