geneTreeID ,  nbLeaves  ,  NbSharedLeaves , AU_TreeBest , au_nj  , AU_Ensembl , TreeBestPassTest , NJPassTest , orthoGroupPassTest , EnsemblTreePassTest, TreeBestBetter , NJBetter  , orthoGroupBetter , EnsemblBetter , REC_TreeBest  ,  REC_Ensembl  , Treebest_REC_is_best     , Ensembl_REC_is_best 
ENSGT00940000154956,19,"84,21","0,27","0,73",6E-41,1,1,1,0,0,1,1,0,15,16,1,0
ENSGT00940000163213,12,"91,67","0,469",3E-49,"0,531",1,0,1,1,0,0,0,1,10,10,0,0
ENSGT00950000183312,11,100,"0,737",1E-47,"0,263",1,0,1,1,1,0,1,0,8,9,1,0
ENSGT00940000178277,4,100,"0,49","0,448","0,522",1,1,1,1,0,0,0,1,2,2,0,0
ENSGT00940000169756,3,"66,67","0,507","0,462","0,487",1,1,1,1,1,0,1,0,2,2,0,0
ENSGT00390000003337,10,80,"0,829","0,001","0,194",1,0,1,1,1,0,1,0,6,4,0,1
ENSGT00940000156022,3,100,"0,51","0,468","0,477",1,1,1,1,1,0,1,0,1,1,0,0
ENSGT00940000161450,15,"53,33","0,937","0,00003","0,064",1,0,1,1,1,0,1,0,1,3,1,0
ENSGT00940000160474,17,100,"0,379","0,001","0,628",1,0,1,1,0,0,0,1,3,6,1,0
ENSGT00940000178375,3,100,"0,558","0,482","0,476",1,1,1,1,1,0,1,0,2,2,0,0
ENSGT00940000178042,9,"88,89","0,729","0,011","0,351",1,0,1,1,1,0,1,0,1,2,1,0
ENSGT00960000186606,7,"57,14","0,098","0,767","0,422",1,1,1,1,0,1,1,0,0,1,1,0
ENSGT00940000163885,13,"69,23","0,999","0,00007","0,001",1,0,1,0,1,0,1,0,11,10,0,1
ENSGT00530000063255,4,75,"0,456","0,476","0,519",1,1,1,1,0,0,0,1,3,3,0,0
ENSGT00940000177785,5,100,"0,2","0,687","0,562",1,1,1,1,0,1,1,0,0,1,1,0
ENSGT00940000177296,3,100,"0,518","0,47","0,47",1,1,1,1,1,0,1,0,1,1,0,0
ENSGT00940000177143,3,100,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
ENSGT00910000146517,7,100,"0,036","0,036","0,964",0,0,0,1,0,0,0,1,5,5,0,0
ENSGT00940000178325,6,100,"0,608","0,01","0,492",1,0,1,1,1,0,1,0,0,1,1,0
ENSGT00390000008931,10,70,"0,358","0,025","0,744",1,0,1,1,0,0,0,1,8,8,0,0
ENSGT00390000016470,11,"72,73","0,586","0,000003","0,414",1,0,1,1,1,0,1,0,9,9,0,0
ENSGT00940000167355,6,"66,67","0,068","0,588","0,63",1,1,1,1,0,0,0,1,3,4,1,0
ENSGT00940000178526,13,100,"0,02","0,022","0,988",0,0,0,1,0,0,0,1,7,8,1,0
ENSGT00940000159656,7,100,"0,517","0,464","0,473",1,1,1,1,1,0,1,0,4,5,1,0
ENSGT00860000135092,17,"88,24","0,48","0,00007","0,523",1,0,1,1,0,0,0,1,0,2,1,0
ENSGT00940000155474,14,"78,57","0,000002","0,135","0,867",0,1,1,1,0,0,0,1,2,4,1,0
ENSGT00940000178658,3,100,"0,512","0,462","0,478",1,1,1,1,1,0,1,0,0,1,1,0
ENSGT00940000168285,3,"66,67","0,465","0,493","0,499",1,1,1,1,0,0,0,1,1,0,0,1
ENSGT00640000091497,4,75,"0,5","0,494","0,46",1,1,1,1,1,0,1,0,1,0,0,1
ENSGT00390000003246,4,75,"0,489","0,475","0,495",1,1,1,1,0,0,0,1,1,0,0,1
ENSGT00940000156489,7,"57,14","0,948","0,109","0,036",1,1,1,0,1,0,1,0,2,3,1,0
ENSGT00940000176078,13,100,"0,365","0,000005","0,638",1,0,1,1,0,0,0,1,4,2,0,1
ENSGT00940000163053,9,"55,56","0,049","0,951","0,047",0,1,1,0,0,1,1,0,5,4,0,1
ENSGT00940000167593,8,100,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
ENSGT00390000012605,10,80,"0,502","0,0003","0,521",1,0,1,1,0,0,0,1,7,7,0,0
ENSGT00940000167230,5,40,"0,518","0,002","0,523",1,0,1,1,0,0,0,1,3,2,0,1
ENSGT00950000183132,25,92,"0,986","0,004","0,036",1,0,1,0,1,0,1,0,6,9,1,0
ENSGT00940000158642,3,0,"0,492","0,483","0,485",1,1,1,1,1,0,1,0,1,0,0,1
ENSGT00940000168688,7,100,"0,133","0,0002","0,872",1,0,1,1,0,0,0,1,1,1,0,0
ENSGT00530000063787,10,90,"0,603","0,298","0,555",1,1,1,1,1,0,1,0,8,8,0,0
,,"81,4437623762","0,498032495","0,2524453673","0,4228918812",89,53,93,81,45,14,59,39,"3,7821782178","3,9306930693",32,25
