geneTreeID ,  nbLeaves  ,  NbSharedLeaves , AU_TreeBest  , AU_Ensembl , TreeBestPassTest   , EnsemblTreePassTest, TreeBestBetter   , EnsemblBetter , REC_TreeBest  ,  REC_Ensembl  , Treebest_REC_is_best     , Ensembl_REC_is_best ,
ENSGT00860000135092,17,"94,12","0,494","0,506",1,1,0,1,0,2,1,0,
ENSGT00940000155474,14,"85,71","0,013","0,993",0,1,0,1,4,4,0,0,
ENSGT00940000178658,3,100,"0,506","0,487",1,1,1,0,0,1,1,0,
ENSGT00940000168285,3,"66,67","0,47","0,503",1,1,0,1,1,0,0,1,
ENSGT00640000091497,4,50,"0,494","0,476",1,1,1,0,1,0,0,1,
ENSGT00390000003246,4,75,"0,474","0,488",1,1,0,1,1,0,0,1,
ENSGT00940000156489,7,"57,14","0,411","0,14",1,1,1,0,2,3,1,0,
ENSGT00940000176078,13,100,"0,626","0,402",1,1,1,0,4,2,0,1,
ENSGT00940000163053,9,"55,56","0,156","0,207",1,1,0,1,5,4,0,1,
ENSGT00940000167593,8,100,0,0,0,0,0,0,5,0,0,1,
ENSGT00390000012605,10,60,"0,548","0,505",1,1,1,0,7,7,0,0,
ENSGT00940000167230,5,40,"0,478","0,499",1,1,0,1,3,2,0,1,
ENSGT00950000183132,25,92,"0,94","0,019",1,0,1,0,7,9,1,0,
ENSGT00940000168688,7,100,"0,13","0,877",1,1,0,1,1,1,0,0,
ENSGT00530000063787,10,90,"0,551","0,501",1,1,1,0,8,8,0,0,
,,"81,4155670103","0,5322680412","0,4476943299",90,82,53,41,"3,9175257732","4,0721649485",32,22,43
,,"17,3595281114","0,2158091189","0,2317389733","92,7835051546","84,5360824742","56,3829787234","43,6170212766","2,669261519","2,6248685041","32,9896907216","22,6804123711","44,3298969072"
