erpetoichthys_calabaricus ENSECRG00000000060
pteropus_vampyrus ENSPVAG00000012883
sorex_araneus ENSSARG00000009331
erinaceus_europaeus ENSEEUG00000002113
mustela_putorius ENSMPUG00000005702
neovison_vison ENSNVIG00000016263
canis_lupus ENSCAFG00020018113
canis_lupus ENSCAFG00000006601
vulpes_vulpes ENSVVUG00000013588
ursus_americanus ENSUAMG00000020575
ursus_maritimus ENSUMAG00000020809
ailuropoda_melanoleuca ENSAMEG00000000993
panthera_pardus ENSPPRG00000007194
panthera_tigris ENSPTIG00000018661
felis_catus ENSFCAG00000026052
bos_mutus ENSBMUG00000018782
bos_taurus ENSBTAG00000015002
bison_bison ENSBBBG00000022250
ovis_aries ENSOARG00000005266
capra_hircus ENSCHIG00000011961
tursiops_truncatus ENSTTRG00000003919
sus_scrofa ENSSSCG00000039196
equus_asinus ENSEASG00005002231
equus_caballus ENSECAG00000013654
dasypus_novemcinctus ENSDNOG00000015842
pogona_vitticeps ENSPVIG00000020857
apteryx_owenii ENSAOWG00000019467
colobus_angolensis ENSCANG00000031951
oryctolagus_cuniculus ENSOCUG00000015966
bos_indicus ENSBIXG00005010184
bos_indicus ENSBIXG00000002448
phascolarctos_cinereus ENSPCIG00000029226
phascolarctos_cinereus ENSPCIG00000015436
cyanistes_caeruleus ENSCCEG00000019849
cricetulus_griseus ENSCGRG00015009306
ficedula_albicollis ENSFALG00000006198
zonotrichia_albicollis ENSZALG00000006270
carlito_syrichta ENSTSYG00000028318
oryctolagus_cuniculus ENSOCUG00000024998
loxodonta_africana ENSLAFG00000015527
procavia_capensis ENSPCAG00000003494
echinops_telfairi ENSETEG00000012679
drosophila_melanogaster FBgn0004855
ciona_savignyi ENSCSAVG00000010630
caenorhabditis_elegans WBGene00022400
saccharomyces_cerevisiae YGL070C
