electrophorus_electricus ENSEEEG00000001991
chinchilla_lanigera ENSCLAG00000004622
spermophilus_dauricus ENSSDAG00000015047
urocitellus_parryii ENSUPAG00010009944
ictidomys_tridecemlineatus ENSSTOG00000004311
marmota_marmota ENSMMMG00000018363
oryctolagus_cuniculus ENSOCUG00000001548
ochotona_princeps ENSOPRG00000002742
pan_paniscus ENSPPAG00000042152
pan_troglodytes ENSPTRG00000021052
homo_sapiens ENSG00000165105
gorilla_gorilla ENSGGOG00000006651
pongo_abelii ENSPPYG00000019320
nomascus_leucogenys ENSNLEG00000003245
piliocolobus_tephrosceles ENSPTEG00000005252
colobus_angolensis ENSCANG00000034081
rhinopithecus_bieti ENSRBIG00000039516
rhinopithecus_roxellana ENSRROG00000044397
macaca_fascicularis ENSMFAG00000046414
macaca_mulatta ENSMMUG00000005988
macaca_nemestrina ENSMNEG00000044341
papio_anubis ENSPANG00000024899
mandrillus_leucophaeus ENSMLEG00000034579
theropithecus_gelada ENSTGEG00000028240
chlorocebus_sabaeus ENSCSAG00000007663
callithrix_jacchus ENSCJAG00000003547
saimiri_boliviensis ENSSBOG00000029298
cebus_capucinus ENSCCAG00000031624
aotus_nancymaae ENSANAG00000035226
carlito_syrichta ENSTSYG00000006987
propithecus_coquereli ENSPCOG00000022979
microcebus_murinus ENSMICG00000011836
prolemur_simus ENSPSMG00000019852
otolemur_garnettii ENSOGAG00000012724
tupaia_belangeri ENSTBEG00000007447
ornithorhynchus_anatinus ENSOANG00000010379
xenopus_tropicalis ENSXETG00000018674
latimeria_chalumnae ENSLACG00000010849
callorhinchus_milii ENSCMIG00000014111
denticeps_clupeoides ENSDCDG00000007767
eptatretus_burgeri ENSEBUG00000012629
petromyzon_marinus ENSPMAG00000001634
