fukomys_damarensis ENSFDAG00000015291
gallus_gallus ENSGALG00000033608
anser_brachyrhynchus ENSABRG00000018458
parus_major ENSPMJG00000014630
lonchura_striata_domestica ENSLSDG00000011744
junco_hyemalis ENSJHYG00000001528
apteryx_haastii ENSAHAG00000006722
crocodylus_porosus ENSCPRG00005009666
chrysemys_picta_bellii ENSCPBG00000028375
gopherus_agassizii ENSGAGG00000007278
chelonoidis_abingdonii ENSCABG00000003682
pelodiscus_sinensis ENSPSIG00000005412
latimeria_chalumnae ENSLACG00000010461
xenopus_tropicalis ENSXETG00000004289
phascolarctos_cinereus ENSPCIG00000010453
notamacropus_eugenii ENSMEUG00000000493
monodelphis_domestica ENSMODG00000021452
sarcophilus_harrisii ENSSHAG00000001489
paramormyrops_kingsleyae ENSPKIG00000008579
scleropages_formosus ENSSFOG00015013383
hippocampus_comes ENSHCOG00000012376
periophthalmus_magnuspinnatus ENSPMGG00000001890
oryzias_latipes_asm223469v1 ENSORLG00015007869
oryzias_latipes ENSORLG00020005131
oryzias_latipes ENSORLG00000003902
oryzias_melastigma ENSOMEG00000008191
takifugu_rubripes ENSTRUG00000024455
tetraodon_nigroviridis ENSTNIG00000014859
mola_mola ENSMMOG00000019337
cynoglossus_semilaevis ENSCSEG00000016933
mastacembelus_armatus ENSMAMG00000006862
monopterus_albus ENSMALG00000015762
anabas_testudineus ENSATEG00000019683
seriola_dumerili ENSSDUG00000008505
seriola_lalandi_dorsalis ENSSLDG00000022239
amphiprion_ocellaris ENSAOCG00000002130
amphiprion_percula ENSAPEG00000013255
acanthochromis_polyacanthus ENSAPOG00000002528
stegastes_partitus ENSSPAG00000010822
fundulus_heteroclitus ENSFHEG00000004319
cyprinodon_variegatus ENSCVAG00000003539
poecilia_formosa ENSPFOG00000001579
poecilia_latipinna ENSPLAG00000013594
poecilia_mexicana ENSPMEG00000010417
poecilia_reticulata ENSPREG00000017487
xiphophorus_maculatus ENSXMAG00000023617
xiphophorus_couchianus ENSXCOG00000019310
gambusia_affinis ENSGAFG00000020956
pundamilia_nyererei ENSPNYG00000023905
astatotilapia_calliptera ENSACLG00000007696
maylandia_zebra ENSMZEG00005024316
haplochromis_burtoni ENSHBUG00000008497
neolamprologus_brichardi ENSNBRG00000014428
oreochromis_niloticus ENSONIG00000018469
amphilophus_citrinellus ENSACIG00000020616
labrus_bergylta ENSLBEG00000013756
scophthalmus_maximus ENSSMAG00000012678
kryptolebias_marmoratus ENSKMAG00000020056
gasterosteus_aculeatus ENSGACG00000016639
pundamilia_nyererei ENSPNYG00000005654
gadus_morhua ENSGMOG00000012335
esox_lucius ENSELUG00000007123
pygocentrus_nattereri ENSPNAG00000015031
astyanax_mexicanus ENSAMXG00000004882
ictalurus_punctatus ENSIPUG00000017401
danio_rerio ENSDARG00000089428
lepisosteus_oculatus ENSLOCG00000002680
eptatretus_burgeri ENSEBUG00000006581
petromyzon_marinus ENSPMAG00000000344
