bison_bison_bison ENSBBBG00000002819
labrus_bergylta ENSLBEG00000006680
gasterosteus_aculeatus ENSGACG00000018083
amphiprion_ocellaris ENSAOCG00000012735
amphiprion_percula ENSAPEG00000017196
acanthochromis_polyacanthus ENSAPOG00000009610
stegastes_partitus ENSSPAG00000021669
neolamprologus_brichardi ENSNBRG00000011104
neolamprologus_brichardi ENSNBRG00000000119
maylandia_zebra ENSMZEG00005012658
haplochromis_burtoni ENSHBUG00000002610
astatotilapia_calliptera ENSACLG00000008157
pundamilia_nyererei ENSPNYG00000000310
oreochromis_niloticus ENSONIG00000012996
amphilophus_citrinellus ENSACIG00000016756
fundulus_heteroclitus ENSFHEG00000013240
cyprinodon_variegatus ENSCVAG00000020048
poecilia_formosa ENSPFOG00000022994
poecilia_mexicana ENSPMEG00000008880
poecilia_latipinna ENSPLAG00000010183
poecilia_reticulata ENSPREG00000003932
gambusia_affinis ENSGAFG00000008383
xiphophorus_maculatus ENSXMAG00000027265
kryptolebias_marmoratus ENSKMAG00000004998
oryzias_latipes ENSORLG00020012377
oryzias_latipes ENSORLG00000005198
oryzias_latipes_asm223469v1 ENSORLG00015022783
oryzias_melastigma ENSOMEG00000005699
seriola_lalandi_dorsalis ENSSLDG00000004870
seriola_dumerili ENSSDUG00000004479
scophthalmus_maximus ENSSMAG00000003440
monopterus_albus ENSMALG00000014692
mastacembelus_armatus ENSMAMG00000007752
anabas_testudineus ENSATEG00000007651
hippocampus_comes ENSHCOG00000000728
gadus_morhua ENSGMOG00000000252
esox_lucius ENSELUG00000015702
lepisosteus_oculatus ENSLOCG00000010054
latimeria_chalumnae ENSLACG00000000428
phascolarctos_cinereus ENSPCIG00000018198
notamacropus_eugenii ENSMEUG00000007899
sarcophilus_harrisii ENSSHAG00000016960
monodelphis_domestica ENSMODG00000004052
ornithorhynchus_anatinus ENSOANG00000010229
lepidothrix_coronata ENSLCOG00000007721
manacus_vitellinus ENSMVIG00005010800
zonotrichia_albicollis ENSZALG00000010272
junco_hyemalis ENSJHYG00000014164
serinus_canaria ENSSCAG00000011146
taeniopygia_guttata ENSTGUG00000001150
lonchura_striata_domestica ENSLSDG00000009711
cyanistes_caeruleus ENSCCEG00000010808
parus_major ENSPMJG00000008725
ficedula_albicollis ENSFALG00000007687
melopsittacus_undulatus ENSMUNG00000002829
calidris_pygmaea ENSCPGG00000003457
calidris_pugnax ENSCPUG00000003607
anser_brachyrhynchus ENSABRG00000003330
anas_platyrhynchos_platyrhynchos ENSAPLG00000015248
gallus_gallus ENSGALG00000006076
coturnix_japonica ENSCJPG00005005236
meleagris_gallopavo ENSMGAG00000007555
numida_meleagris ENSNMEG00000020359
apteryx_haastii ENSAHAG00000006244
apteryx_owenii ENSAOWG00000009527
apteryx_rowi ENSARWG00000002342
dromaius_novaehollandiae ENSDNVG00000010382
nothoprocta_perdicaria ENSNPEG00000007423
chelonoidis_abingdonii ENSCABG00000000717
gopherus_agassizii ENSGAGG00000012198
chelonoidis_abingdonii ENSCABG00000000721
chrysemys_picta_bellii ENSCPBG00000008876
pelodiscus_sinensis ENSPSIG00000014879
crocodylus_porosus ENSCPRG00005011474
pogona_vitticeps ENSPVIG00000008049
anolis_carolinensis ENSACAG00000016734
notechis_scutatus ENSNSUG00000003000
salvator_merianae ENSSMRG00000017347
sphenodon_punctatus ENSSPUG00000009818
periophthalmus_magnuspinnatus ENSPMGG00000020833
