colobus_angolensis ENSCANG00000036447
nothoprocta_perdicaria ENSNPEG00000013994
calidris_pygmaea ENSCPGG00000005996
calidris_pugnax ENSCPUG00000019355
anas_platyrhynchos ENSAPLG00000008722
anser_brachyrhynchus ENSABRG00000013774
gallus_gallus ENSGALG00000038026
coturnix_japonica ENSCJPG00005003055
meleagris_gallopavo ENSMGAG00000013591
numida_meleagris ENSNMEG00000011033
melopsittacus_undulatus ENSMUNG00000005669
parus_major ENSPMJG00000010599
cyanistes_caeruleus ENSCCEG00000012750
lonchura_striata ENSLSDG00000017864
taeniopygia_guttata ENSTGUG00000012348
junco_hyemalis ENSJHYG00000014884
zonotrichia_albicollis ENSZALG00000004062
serinus_canaria ENSSCAG00000007321
ficedula_albicollis ENSFALG00000001055
manacus_vitellinus ENSMVIG00005013020
lepidothrix_coronata ENSLCOG00000012683
crocodylus_porosus ENSCPRG00005012303
anolis_carolinensis ENSACAG00000017531
pogona_vitticeps ENSPVIG00000012575
notechis_scutatus ENSNSUG00000001981
salvator_merianae ENSSMRG00000005973
sphenodon_punctatus ENSSPUG00000001391
xiphophorus_maculatus ENSXMAG00000026296
gambusia_affinis ENSGAFG00000021971
poecilia_mexicana ENSPMEG00000020952
poecilia_formosa ENSPFOG00000005718
poecilia_latipinna ENSPLAG00000023455
poecilia_reticulata ENSPREG00000003863
fundulus_heteroclitus ENSFHEG00000008393
kryptolebias_marmoratus ENSKMAG00000002578
astatotilapia_calliptera ENSACLG00000006474
astatotilapia_calliptera ENSACLG00000006456
maylandia_zebra ENSMZEG00005005850
haplochromis_burtoni ENSHBUG00000004757
pundamilia_nyererei ENSPNYG00000000894
neolamprologus_brichardi ENSNBRG00000001648
oreochromis_niloticus ENSONIG00000008507
amphilophus_citrinellus ENSACIG00000018716
parambassis_ranga ENSPRNG00000021471
scophthalmus_maximus ENSSMAG00000010039
takifugu_rubripes ENSTRUG00000017011
tetraodon_nigroviridis ENSTNIG00000016032
mola_mola ENSMMOG00000012223
gasterosteus_aculeatus ENSGACG00000010024
larimichthys_crocea ENSLCRG00005019758
labrus_bergylta ENSLBEG00000012298
cottoperca_gobio ENSCGOG00000023845
seriola_dumerili ENSSDUG00000022226
seriola_lalandi ENSSLDG00000004139
lates_calcarifer ENSLCAG00010007100
monopterus_albus ENSMALG00000009745
mastacembelus_armatus ENSMAMG00000023232
anabas_testudineus ENSATEG00000016137
betta_splendens ENSBSLG00000008287
amphiprion_percula ENSAPEG00000002039
amphiprion_ocellaris ENSAOCG00000005038
acanthochromis_polyacanthus ENSAPOG00000010545
stegastes_partitus ENSSPAG00000014481
oryzias_latipes ENSORLG00000004512
oryzias_latipes ENSORLG00015006424
oryzias_latipes ENSORLG00020013422
oryzias_melastigma ENSOMEG00000013074
cynoglossus_semilaevis ENSCSEG00000013311
hippocampus_comes ENSHCOG00000016384
gouania_willdenowi ENSGWIG00000010679
periophthalmus_magnuspinnatus ENSPMGG00000005806
gadus_morhua ENSGMOG00000005290
hucho_hucho ENSHHUG00000002404
scleropages_formosus ENSSFOG00015011046
denticeps_clupeoides ENSDCDG00000007081
clupea_harengus ENSCHAG00000016755
scleropages_formosus ENSSFOG00015005825
paramormyrops_kingsleyae ENSPKIG00000016601
astyanax_mexicanus ENSAMXG00000000561
astyanax_mexicanus ENSAMXG00005019875
pygocentrus_nattereri ENSPNAG00000010421
ictalurus_punctatus ENSIPUG00000014270
electrophorus_electricus ENSEEEG00000001484
danio_rerio ENSDARG00000006038
clupea_harengus ENSCHAG00000005528
oryzias_latipes ENSORLG00000012453
oryzias_latipes ENSORLG00020020913
oryzias_latipes ENSORLG00015019549
oryzias_melastigma ENSOMEG00000021640
kryptolebias_marmoratus ENSKMAG00000021056
gouania_willdenowi ENSGWIG00000023803
cynoglossus_semilaevis ENSCSEG00000003233
tetraodon_nigroviridis ENSTNIG00000007244
takifugu_rubripes ENSTRUG00000010318
mola_mola ENSMMOG00000007273
monopterus_albus ENSMALG00000004332
mastacembelus_armatus ENSMAMG00000023291
anabas_testudineus ENSATEG00000023376
betta_splendens ENSBSLG00000021826
seriola_lalandi ENSSLDG00000014098
seriola_dumerili ENSSDUG00000014611
lates_calcarifer ENSLCAG00010019759
larimichthys_crocea ENSLCRG00005011969
labrus_bergylta ENSLBEG00000023343
cottoperca_gobio ENSCGOG00000014742
gasterosteus_aculeatus ENSGACG00000019249
amphiprion_percula ENSAPEG00000002227
amphiprion_ocellaris ENSAOCG00000013665
acanthochromis_polyacanthus ENSAPOG00000005598
stegastes_partitus ENSSPAG00000018982
parambassis_ranga ENSPRNG00000011591
pundamilia_nyererei ENSPNYG00000015340
astatotilapia_calliptera ENSACLG00000014883
haplochromis_burtoni ENSHBUG00000017392
maylandia_zebra ENSMZEG00005019262
neolamprologus_brichardi ENSNBRG00000000276
amphilophus_citrinellus ENSACIG00000007891
xiphophorus_couchianus ENSXCOG00000003440
xiphophorus_maculatus ENSXMAG00000001328
gambusia_affinis ENSGAFG00000005756
poecilia_formosa ENSPFOG00000008425
poecilia_latipinna ENSPLAG00000005719
poecilia_mexicana ENSPMEG00000013170
poecilia_reticulata ENSPREG00000012486
fundulus_heteroclitus ENSFHEG00000004659
hippocampus_comes ENSHCOG00000012795
periophthalmus_magnuspinnatus ENSPMGG00000011015
gadus_morhua ENSGMOG00000006096
hucho_hucho ENSHHUG00000020792
hucho_hucho ENSHHUG00000047809
esox_lucius ENSELUG00000017957
denticeps_clupeoides ENSDCDG00000027028
denticeps_clupeoides ENSDCDG00000026658
lepisosteus_oculatus ENSLOCG00000015421
latimeria_chalumnae ENSLACG00000010628
echinops_telfairi ENSETEG00000006095
ciona_savignyi ENSCSAVG00000000353
ciona_intestinalis ENSCING00000003436
