jaculus_jaculus ENSJJAG00000018958
urocitellus_parryii ENSUPAG00010012116
castor_canadensis ENSCCNG00000025451
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029889
mus_spicilegus ENSMSIG00000030230
mus_musculus ENSMUSG00000072772
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028847
mus_pahari MGP_PahariEiJ_G0022608
rattus_norvegicus ENSRNOG00000025810
rattus_norvegicus ENSRNOG00000050660
cricetulus_griseus_chok1gshd ENSCGRG00001000772
cricetulus_griseus_crigri-picr ENSCGRG00015002246
cricetulus_griseus_crigri ENSCGRG00000018413
mesocricetus_auratus ENSMAUG00000006718
microtus_ochrogaster ENSMOCG00000009351
peromyscus_maniculatus_bairdii ENSPEMG00000019030
peromyscus_maniculatus_bairdii ENSPEMG00000013305
nannospalax_galili ENSNGAG00000015624
meriones_unguiculatus ENSMUGG00000012837
chinchilla_lanigera ENSCLAG00000015538
octodon_degus ENSODEG00000003444
cavia_porcellus ENSCPOG00000021241
heterocephalus_glaber_male ENSHGLG00100008132
heterocephalus_glaber_female ENSHGLG00000000977
fukomys_damarensis ENSFDAG00000017464
oryctolagus_cuniculus ENSOCUG00000013275
erinaceus_europaeus ENSEEUG00000005028
loxodonta_africana ENSLAFG00000013063
procavia_capensis ENSPCAG00000012150
ursus_maritimus ENSUMAG00000004089
ochotona_princeps ENSOPRG00000004013
dasypus_novemcinctus ENSDNOG00000012015
monodelphis_domestica ENSMODG00000009276
monodelphis_domestica ENSMODG00000028247
phascolarctos_cinereus ENSPCIG00000002608
apteryx_haastii ENSAHAG00000014460
apteryx_owenii ENSAOWG00000011241
apteryx_rowi ENSARWG00000005268
dromaius_novaehollandiae ENSDNVG00000017329
nothoprocta_perdicaria ENSNPEG00000006541
anser_brachyrhynchus ENSABRG00000012446
anas_platyrhynchos_platyrhynchos ENSAPLG00000017896
gallus_gallus ENSGALG00000014555
meleagris_gallopavo ENSMGAG00000014137
coturnix_japonica ENSCJPG00005016761
calidris_pygmaea ENSCPGG00000005372
calidris_pugnax ENSCPUG00000005814
parus_major ENSPMJG00000007246
serinus_canaria ENSSCAG00000014688
taeniopygia_guttata ENSTGUG00000013279
lonchura_striata_domestica ENSLSDG00000012210
cyanistes_caeruleus ENSCCEG00000013896
junco_hyemalis ENSJHYG00000010480
ficedula_albicollis ENSFALG00000004649
lepidothrix_coronata ENSLCOG00000005609
melopsittacus_undulatus ENSMUNG00000001887
crocodylus_porosus ENSCPRG00005005023
gopherus_agassizii ENSGAGG00000005624
chelonoidis_abingdonii ENSCABG00000000841
chrysemys_picta_bellii ENSCPBG00000005136
pelodiscus_sinensis ENSPSIG00000012634
anolis_carolinensis ENSACAG00000005433
notechis_scutatus ENSNSUG00000009030
salvator_merianae ENSSMRG00000019294
xenopus_tropicalis ENSXETG00000023908
latimeria_chalumnae ENSLACG00000006114
paramormyrops_kingsleyae ENSPKIG00000022334
scleropages_formosus ENSSFOG00015007873
poecilia_latipinna ENSPLAG00000019566
poecilia_formosa ENSPFOG00000018395
poecilia_mexicana ENSPMEG00000012556
poecilia_reticulata ENSPREG00000009453
xiphophorus_maculatus ENSXMAG00000016893
xiphophorus_couchianus ENSXCOG00000001681
gambusia_affinis ENSGAFG00000002136
cyprinodon_variegatus ENSCVAG00000002832
fundulus_heteroclitus ENSFHEG00000020654
kryptolebias_marmoratus ENSKMAG00000019969
cynoglossus_semilaevis ENSCSEG00000003943
tetraodon_nigroviridis ENSTNIG00000010750
takifugu_rubripes ENSTRUG00000017936
mola_mola ENSMMOG00000015681
gasterosteus_aculeatus ENSGACG00000008108
anabas_testudineus ENSATEG00000018207
seriola_dumerili ENSSDUG00000004563
seriola_lalandi_dorsalis ENSSLDG00000024069
labrus_bergylta ENSLBEG00000012430
mastacembelus_armatus ENSMAMG00000003710
monopterus_albus ENSMALG00000022136
haplochromis_burtoni ENSHBUG00000002334
pundamilia_nyererei ENSPNYG00000023424
maylandia_zebra ENSMZEG00005002417
astatotilapia_calliptera ENSACLG00000025386
neolamprologus_brichardi ENSNBRG00000022709
oreochromis_niloticus ENSONIG00000005840
amphilophus_citrinellus ENSACIG00000009848
amphiprion_percula ENSAPEG00000008698
amphiprion_ocellaris ENSAOCG00000004283
acanthochromis_polyacanthus ENSAPOG00000009261
stegastes_partitus ENSSPAG00000013796
oryzias_latipes ENSORLG00000024125
oryzias_latipes_asm223469v1 ENSORLG00015012527
oryzias_latipes ENSORLG00020017562
oryzias_melastigma ENSOMEG00000022619
scophthalmus_maximus ENSSMAG00000001473
periophthalmus_magnuspinnatus ENSPMGG00000005031
hippocampus_comes ENSHCOG00000000109
gadus_morhua ENSGMOG00000004952
astyanax_mexicanus ENSAMXG00000043984
pygocentrus_nattereri ENSPNAG00000012522
ictalurus_punctatus ENSIPUG00000008823
esox_lucius ENSELUG00000009670
danio_rerio ENSDARG00000030038
petromyzon_marinus ENSPMAG00000001778
drosophila_melanogaster FBgn0031403
