otolemur_garnettii ENSOGAG00000009870
anas_platyrhynchos_platyrhynchos ENSAPLG00000008531
anser_brachyrhynchus ENSABRG00000019241
crocodylus_porosus ENSCPRG00005014200
chelonoidis_abingdonii ENSCABG00000006204
gopherus_agassizii ENSGAGG00000000166
chrysemys_picta_bellii ENSCPBG00000000798
pelodiscus_sinensis ENSPSIG00000006895
anolis_carolinensis ENSACAG00000009799
pogona_vitticeps ENSPVIG00000014214
notechis_scutatus ENSNSUG00000005492
salvator_merianae ENSSMRG00000010039
sphenodon_punctatus ENSSPUG00000013149
xenopus_tropicalis ENSXETG00000010494
latimeria_chalumnae ENSLACG00000011848
paramormyrops_kingsleyae ENSPKIG00000020944
scleropages_formosus ENSSFOG00015007143
astyanax_mexicanus ENSAMXG00000032927
pygocentrus_nattereri ENSPNAG00000018500
ictalurus_punctatus ENSIPUG00000010922
hippocampus_comes ENSHCOG00000018982
periophthalmus_magnuspinnatus ENSPMGG00000005048
gasterosteus_aculeatus ENSGACG00000017853
labrus_bergylta ENSLBEG00000012532
takifugu_rubripes ENSTRUG00000009862
tetraodon_nigroviridis ENSTNIG00000001415
mola_mola ENSMMOG00000016768
xiphophorus_maculatus ENSXMAG00000020352
xiphophorus_couchianus ENSXCOG00000017331
poecilia_formosa ENSPFOG00000020362
poecilia_latipinna ENSPLAG00000000208
poecilia_mexicana ENSPMEG00000000514
poecilia_reticulata ENSPREG00000009117
gambusia_affinis ENSGAFG00000021413
cyprinodon_variegatus ENSCVAG00000006839
fundulus_heteroclitus ENSFHEG00000013414
kryptolebias_marmoratus ENSKMAG00000005981
haplochromis_burtoni ENSHBUG00000006932
pundamilia_nyererei ENSPNYG00000014603
astatotilapia_calliptera ENSACLG00000019715
maylandia_zebra ENSMZEG00005025073
neolamprologus_brichardi ENSNBRG00000012244
oreochromis_niloticus ENSONIG00000021430
amphilophus_citrinellus ENSACIG00000018018
scophthalmus_maximus ENSSMAG00000019929
monopterus_albus ENSMALG00000020769
mastacembelus_armatus ENSMAMG00000014940
anabas_testudineus ENSATEG00000007595
seriola_lalandi_dorsalis ENSSLDG00000012049
seriola_dumerili ENSSDUG00000018857
amphiprion_percula ENSAPEG00000003742
amphiprion_ocellaris ENSAOCG00000011908
acanthochromis_polyacanthus ENSAPOG00000009384
stegastes_partitus ENSSPAG00000016549
oryzias_latipes ENSORLG00020009474
oryzias_latipes_asm223469v1 ENSORLG00015009439
oryzias_latipes ENSORLG00000017334
oryzias_melastigma ENSOMEG00000000140
cynoglossus_semilaevis ENSCSEG00000010754
lepisosteus_oculatus ENSLOCG00000005038
petromyzon_marinus ENSPMAG00000004217
eptatretus_burgeri ENSEBUG00000004271
ciona_intestinalis ENSCING00000022005
drosophila_melanogaster FBgn0039271
caenorhabditis_elegans_strain_n2 WBGene00011411
