oryzias_melastigma ENSOMEG00000002092
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031973
mus_musculus ENSMUSG00000039842
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030862
mus_pahari MGP_PahariEiJ_G0021326
rattus_norvegicus ENSRNOG00000028586
meriones_unguiculatus ENSMUGG00000001330
peromyscus_maniculatus_bairdii ENSPEMG00000011879
microtus_ochrogaster ENSMOCG00000020421
cricetulus_griseus_crigri ENSCGRG00000010223
cricetulus_griseus_chok1gshd ENSCGRG00001003438
cricetulus_griseus_crigri-picr ENSCGRG00015021505
nannospalax_galili ENSNGAG00000002140
jaculus_jaculus ENSJJAG00000010042
oryctolagus_cuniculus ENSOCUG00000012808
ochotona_princeps ENSOPRG00000012295
tupaia_belangeri ENSTBEG00000012696
pan_paniscus ENSPPAG00000011784
pan_troglodytes ENSPTRG00000019946
gorilla_gorilla ENSGGOG00000010024
homo_sapiens ENSG00000147316
pongo_abelii ENSPPYG00000018317
nomascus_leucogenys ENSNLEG00000014899
theropithecus_gelada ENSTGEG00000016513
papio_anubis ENSPANG00000007439
cercocebus_atys ENSCATG00000031870
mandrillus_leucophaeus ENSMLEG00000040843
macaca_fascicularis ENSMFAG00000043546
macaca_mulatta ENSMMUG00000010137
macaca_nemestrina ENSMNEG00000032359
chlorocebus_sabaeus ENSCSAG00000017002
piliocolobus_tephrosceles ENSPTEG00000017158
colobus_angolensis_palliatus ENSCANG00000034607
rhinopithecus_roxellana ENSRROG00000027588
rhinopithecus_bieti ENSRBIG00000033915
cebus_capucinus ENSCCAG00000026986
saimiri_boliviensis_boliviensis ENSSBOG00000022072
callithrix_jacchus ENSCJAG00000000217
aotus_nancymaae ENSANAG00000021601
carlito_syrichta ENSTSYG00000033222
prolemur_simus ENSPSMG00000017496
microcebus_murinus ENSMICG00000038616
otolemur_garnettii ENSOGAG00000015041
ailuropoda_melanoleuca ENSAMEG00000005280
ailuropoda_melanoleuca ENSAMEG00000019167
ursus_maritimus ENSUMAG00000024920
ursus_americanus ENSUAMG00000017992
mustela_putorius_furo ENSMPUG00000002557
neovison_vison ENSNVIG00000008311
canis_lupus_familiaris ENSCAFG00000008577
canis_lupus_dingo ENSCAFG00020012474
vulpes_vulpes ENSVVUG00000029636
panthera_pardus ENSPPRG00000004047
panthera_tigris_altaica ENSPTIG00000010962
felis_catus ENSFCAG00000046072
pteropus_vampyrus ENSPVAG00000012302
myotis_lucifugus ENSMLUG00000016959
equus_caballus ENSECAG00000018517
equus_asinus_asinus ENSEASG00005009566
bos_mutus ENSBMUG00000025033
bos_taurus ENSBTAG00000011032
bison_bison_bison ENSBBBG00000004508
ovis_aries ENSOARG00000004065
ovis_aries ENSOARG00000006183
capra_hircus ENSCHIG00000020863
tursiops_truncatus ENSTTRG00000017075
vicugna_pacos ENSVPAG00000007786
sus_scrofa ENSSSCG00000015754
erinaceus_europaeus ENSEEUG00000010722
meriones_unguiculatus ENSMUGG00000022368
chrysemys_picta_bellii ENSCPBG00000022016
lonchura_striata_domestica ENSLSDG00000012915
monodelphis_domestica ENSMODG00000023191
monodelphis_domestica ENSMODG00000012092
monodelphis_domestica ENSMODG00000023192
phascolarctos_cinereus ENSPCIG00000003167
sarcophilus_harrisii ENSSHAG00000001979
sphenodon_punctatus ENSSPUG00000007205
sphenodon_punctatus ENSSPUG00000007184
zonotrichia_albicollis ENSZALG00000011404
junco_hyemalis ENSJHYG00000014421
parus_major ENSPMJG00000009320
cyanistes_caeruleus ENSCCEG00000001707
taeniopygia_guttata ENSTGUG00000012890
manacus_vitellinus ENSMVIG00005005210
lepidothrix_coronata ENSLCOG00000000605
cyanistes_caeruleus ENSCCEG00000001739
serinus_canaria ENSSCAG00000011405
coturnix_japonica ENSCJPG00005007987
meleagris_gallopavo ENSMGAG00000013946
gallus_gallus ENSGALG00000016332
numida_meleagris ENSNMEG00000021210
melopsittacus_undulatus ENSMUNG00000013683
calidris_pugnax ENSCPUG00000008744
calidris_pygmaea ENSCPGG00000001785
anas_platyrhynchos_platyrhynchos ENSAPLG00000018704
anser_brachyrhynchus ENSABRG00000020727
apteryx_haastii ENSAHAG00000017308
apteryx_rowi ENSARWG00000015086
apteryx_owenii ENSAOWG00000011054
dromaius_novaehollandiae ENSDNVG00000005777
calidris_pygmaea ENSCPGG00000001833
nothoprocta_perdicaria ENSNPEG00000005519
crocodylus_porosus ENSCPRG00005010276
chelonoidis_abingdonii ENSCABG00000006919
gopherus_agassizii ENSGAGG00000019895
chelonoidis_abingdonii ENSCABG00000006898
pelodiscus_sinensis ENSPSIG00000016878
salvator_merianae ENSSMRG00000011212
anolis_carolinensis ENSACAG00000025078
pogona_vitticeps ENSPVIG00000003069
notechis_scutatus ENSNSUG00000007540
xenopus_tropicalis ENSXETG00000015950
eptatretus_burgeri ENSEBUG00000011321
ciona_intestinalis ENSCING00000018299
drosophila_melanogaster FBgn0260959
